_EF_PROGRAM_FACILITY_EZ.PGM_SYS_ACRNM,V_EF_PROGRAM_FACILITY_EZ.PGM_SYS_ID,V_EF_PROGRAM_FACILITY_EZ.REGISTRY_ID,V_EF_PROGRAM_FACILITY_EZ.STANDZED_PRIM_NAME,V_EF_PROGRAM_FACILITY_EZ.PRIMARY_NAME,V_EF_PROGRAM_FACILITY_EZ.CITY_NAME,V_EF_PROGRAM_FACILITY_EZ.COUNTY_NAME,V_EF_PROGRAM_FACILITY_EZ.STATE_CODE,V_EF_PROGRAM_FACILITY_EZ.POSTAL_CODE
TRIS,77034SHLND8901O,110000461447,ASHLAND DISTRIBUTION,ASHLAND DISTRIBUTION,HOUSTON,HARRIS,TX,77034
TRIS,75050CSTMB17131,110000456382,CUSTOM BLDG PROD,CUSTOM BUILDING PRODUCTS,GRAND PRAIRIE,DALLAS,TX,75050
TRIS,75051PLYMR2000W,110000456444,POLY AMER TRUCKING,POLY AMERICA TRUCKING,GRAND PRAIRIE,DALLAS,TX,75051
TRIS,75061BSTLF2222V,110000456480,BESTOLIFE,BESTOLIFE,IRVING,DALLAS,TX,75061
TRIS,75061FRTLY900NO,110000456499,FRITO LAY SNACK FOOD FACLTY AND MNTNC SHOP,FRITO LAY SNACK FOOD FACILITY AND MAINTENANCE SHOP,IRVING,DALLAS,TX,75061
TRIS,75062XXNCS1201E,110000456532,EXXON MOBIL IRVING TERML,EXXON MOBIL IRVING TERMINAL,IRVING,DALLAS,TX,75062
TRIS,75063HTCHS6431L,110000456541,ATMEL FAB 8,ATMEL FAB 8,IRVING,DALLAS,TX,75063
TRIS,75069MNTGM2101C,110000456587,MONTGOMERY KONE ; MCKINNEY ELEVATOR DIV,MONTGOMERY KONE INCORPORATED MCKINNEY ELEVATOR DIVISION,MC KINNEY,COLLIN,TX,75069
TRIS,75069NCRWR1410M,110000456596,ENCORE WIRE ; MCKINNEY FACLTY,ENCORE WIRE LIMITED MCKINNEY FACILITY,MC KINNEY,COLLIN,TX,75069
TRIS,77011HBFLL6107I,110000460821,FOSTER PROD,FOSTER PRODUCTS CORP,HOUSTON,HARRIS,TX,77011
TRIS,77011JBSMT6618N,110000460830,J B SMITH MFG,J B SMITH MANUFACTURING,HOUSTON,HARRIS,TX,77011
TRIS,77011MTLPR501NG,110000460858,METAL PREP HOUSTON PLT,METAL PREP HOUSTON PLANT,HOUSTON,HARRIS,TX,77011
TRIS,77012HSTNC2819B,110000460894,COCA COLA BTLG ; HOUSTON,COCA COLA BOTTLING CO HOUSTON,HOUSTON,HARRIS,TX,770123597
TRIS,77041BYLSG5910C,110000461544,HOUSTON NORTH AMER GALVANIZING,HOUSTON NORTH AMERICAN GALVANIZING COMPANY,HOUSTON,HARRIS,TX,77041
TRIS,78219MSSNF4340D,110000464809,MISSION FOODS,MISSION FOODS,SAN ANTONIO,BEXAR,TX,78219
TRIS,78233LDRDC14350,110000464872,ELDORADO CHEM ; SAN ANTONIO,ELDORADO CHEMICAL COMPANY SAN ANTONIO,SAN ANTONIO,BEXAR,TX,78233
TRIS,78245DVNCD8611M,110000464890,SONY SEMICONDUCTOR ; SAN ANTONIO FACLTY,SONY SEMICONDUCTOR COMPANY SAN ANTONIO FACILITY,SAN ANTONIO,BEXAR,TX,78245
TRIS,78405HMSTD410FL,110000464998,OHMSTEDE,OHMSTEDE LTD.,CORPUS CHRISTI,NUECES,TX,78405
