RELAT HUMID,91,percent,,,,,,,,,,
BARPRESS,1013.6,mbar,,,,,,,,,,
WAVEDIR,60,degrees,,,,,,,,,,
WAVEHT,2,m,,,,,,,,,,
WAVEPER,7,sec,,,,,,,,,,
WINDDIR,60,degrees,,,,,,,,,,
WINDSP,7.7,m/sec,,,,,,,,,,

DETAILS,TEMP,,,,,,,,,,,
DEPTH,C,,,,,,,,,,,
decimal places,2,,,,,,,,,,,
0,26.6,,,,,,,,,,,


STATION,7,,,,,,,,,9,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR,CRUISE,SHIP
17,0,,S,170,0,,E,6,13,1966,BORA III,4111

HEADERS,,,,,,,,,,,,
TIME,0,0,,local,,,,,,,,
AIRTEMP,26.2,C,,,,,,,,,,
RELAT HUMID,87,percent,,,,,,,,,,
BARPRESS,1014.8,mbar,,,,,,,,,,
WAVEDIR,60,degrees,,,,,,,,,,
WAVEHT,9,m,,,,,,,,,,
WAVEPER,1.5,sec,,,,,,,,,,
WINDDIR,50,degrees,,,,,,,,,,
WINDSP,5.1,m/sec,,,,,,,,,,

DETAILS,TEMP,,,,,,,,,,,
DEPTH,C,,,,,,,,,,,
decimal places,2,,,,,,,,,,,
0,26.6,,,,,,,,,,,


STATION,8,,,,,,,,,10,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR,CRUISE,SHIP
16,12,,S,170,6,,E,6,13,1966,BORA III,4111

HEADERS,,,,
TIME,6,0,,local
AIRTEMP,26.1,C,,
RELAT HUMID,83,percent,,
BARPRESS,1012.1,mbar,,
WAVEDIR,90,degrees,,
WAVEHT,1.5,m,,
WAVEPER,11,sec,,
WINDDIR,70,degrees,,
WINDSP,5.1,m/sec,,

DETAILS,TEMP,,,
DEPTH,C,,,
decimal places,2,,,
0,26.4,,,


STATION,2 / A,,,,,,,,,11,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR,CRUISE,SHIP
17,0,,S,170,0,,E,6,13,1966,BORA III,4111

HEADERS,,,,,,,,,,,,
TIME,7,0,,local,,,,,,,,

DETAILS,CHL A,CHL B/A,CHL C/A,LC14,PRIM PROD_INT,,,,,,,
DEPTH,mg/m3,,,mgC/m3/hr,GC/M2/DAY,,,,,,,
decimal places,2,1,1,2,2,,,,,,,
0,0.05,0.4,1.2,0.06,,,,,,,,
10,0.06,0.6,1.8,,,,,,,,,
20,,,,0.03,0.01,,,,,,,
25,0.07,0.6,2,,,,,,,,,
40,,,,0.13,0.03,,,,,,,
50,0.08,0.3,1.3,,,,,,,,,
60,,,,0.03,0.04,,,,,,,
75,0.17,0.3,1,,,,,,,,,
80,,,,0.04,0.05,,,,,,,
100,0.28,0.7,1,0.04,0.06,,,,,,,
125,0.18,0.9,1.2,0,0.06,,,,,,,
150,0.08,1,1.8,,,,,,,,,
175,0.04,1.1,0.3,,,,,,,,,
200,0.02,1.4,5,,,,,,,,,


STATION,2 / A,,,,,,,,,12,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR,CRUISE,SHIP
17,0,,S,170,0,,E,6,13,1966,BORA III,4111

HEADERS,,,,,,,,,
TIME,8,35,,local,,,,,
BOTTOM DEPTH,3100,M,,,,,,,

DETAILS,TEMP,SAL,OXY,PH,ALK,PO4,TCO2,NO2,NO3
DEPTH,C,psu,ml/l,,meq/l,ug-at/l,MMOL/L,ug-at/l,ug-at/l
decimal places,2,3,2,2,3,2,2,2,2
0,26.58,35.367,4.59,8.304,2.454,0.41,2.05,0.02,0.05
10,26.57,35.367,4.6,8.307,2.446,0.41,2.04,0.01,0.03
24,26.58,35.366,4.64,8.309,2.434,0.39,2.03,0.02,0.07
46,26.6,35.366,4.6,8.311,2.432,0.38,2.02,0.01,0.07
68,26.6,35.394,4.61,8.308,2.436,0.4,2.03,0,0.04
91,24.54,35.514,4.32,8.28,2.442,0.38,2.07,0.02,0.07
112,23.5,35.665,3.82,8.244,2.451,0.44,2.11,0.06,3
135,23.09,35.864,3.72,8.242,2.459,0.56,2.12,0.04,3.8
179,21.5,35.77,3.71,8.221,2.455,0.55,2.13,0.01,5
223,19.77,35.641,3.79,8.22,2.445,0.59,2.15,0,5.5,,,
268,17.92,35.485,3.78,8.226,2.455,0.66,2.16,0,7.4,,,
312,16.19,35.301,3.87,8.212,2.438,0.82,2.15,0,7.5,,,
355,14.75,35.151,3.66,8.168,2.43,1,2.18,,10.6,,,
441,11.18,34.811,3.8,8.119,2.43,1.23,2.23,,16.4,,,
529,8.47,34.586,4.01,8.09,2.415,1.39,2.23,,20.8,,,
618,6.8,34.458,,,,,,,,,,
707,5.69,34.42,4.14,8.038,2.409,1.92,2.27,,27,,,
889,4.46,34.464,3.84,8.047,2.448,2.31,2.31,,28.6,,,
1079,3.69,34.513,3.65,7.993,2.459,2.61,2.34,,29,,,


STATION,9,,,,,,,,,13,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR,CRUISE,SHIP
15,30,,S,170,0,,E,6,13,1966,BORA III,4111

HEADERS,,,,
TIME,12,0,,local
AIRTEMP,26,C,,
RELAT HUMID,86,percent,,
BARPRESS,1012.6,mbar,,
WAVEDIR,70,degrees,,
WAVEHT,1,m,,
WAVEPER,7,sec,,
WINDDIR,70,degrees,,
WINDSP,2.6,m/sec,,

DETAILS,TEMP,,,
DEPTH,C,,,
decimal places,2,,,
0,26.5,,,


STATION,10,,,,,,,,,14,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR,CRUISE,SHIP
14,24,,S,170,6,,E,6,13,1966,BORA III,4111

HEADERS,,,,,,,,,,,,
TIME,18,0,,local,,,,,,,,
AIRTEMP,26,C,,,,,,,,,,
RELAT HUMID,86,percent,,,,,,,,,,
BARPRESS,1010.6,mbar,,,,,,,,,,
WAVEDIR,50,degrees,,,,,,,,,,
WAVEHT,1.5,m,,,,,,,,,,
WAVEPER,9,sec,,,,,,,,,,
WINDDIR,40,degrees,,,,,,,,,,
WINDSP,2.6,m/sec,,,,,,,,,,

DETAILS,TEMP,,,,,,,,,,,
DEPTH,C,,,,,,,,,,,
decimal places,2,,,,,,,,,,,
0,27,,,,,,,,,,,


STATION,2 / B,,,,,,,,,15,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR,CRUISE,SHIP
15,49,,S,170,4,,E,6,13,1966,BORA III,4111

HEADERS,,,,,,,,,,,,
TIME,19,35,,local,,,,,,,,
BOTTOM DEPTH,3360,M,,,,,,,,,,

DETAILS,TEMP,SAL,OXY,PH,ALK,PO4,TCO2,NO2,NO3,,,
DEPTH,C,psu,ml/l,,meq/l,ug-at/l,MMOL/L,ug-at/l,ug-at/l,,,
decimal places,2,3,4.71,2,3,2,2,2,2
0,26.39,35.36,4.71,8.307,2.431,0.4,2.03,0.01,0.08
9,26.22,35.364,4.71,8.307,2.433,0.42,2.03,0.03,0.12
22,26.21,35.366,4.73,8.319,2.428,0.4,2.02,0.01,0.12
45,26.17,35.381,4.73,8.315,2.425,0.41,2.02,0,0.26
68,26.05,35.412,4.67,8.304,2.43,0.42,2.03,0.03,0.21
90,24.64,35.587,4.39,8.274,2.436,0.48,2.07,0.09,0.43
112,24.12,35.775,4.09,8.257,2.453,0.55,2.1,0.07,1.1
134,23.46,35.859,3.82,8.247,2.455,0.66,2.11,0.04,2.8
178,22.13,35.874,3.66,8.213,2.455,0.73,2.13,0.02,4.7
222,20.1,35.67,3.78,8.206,2.438,0.77,2.14,0.02,4.7
266,17.79,35.492,4.06,8.258,2.454,0.86,2.14,0.02,6.9
312,15.76,35.275,3.99,8.207,2.436,1.01,2.16,,8.4
356,14.03,35.089,3.88,8.164,2.413,1.19,2.18,,7.09
445,10.44,34.747,4.1,8.121,2.425,1.57,2.23,,16.2
534,7.7,34.524,4.27,8.092,2.405,1.86,2.22,,20.7
712,5.85,34.411,4.2,8.04,2.402,2.21,2.27,,22.6,,,
890,4.61,34.436,3.81,7.992,2.415,2.52,2.3,,24.7,,,


STATION,2B,,,,,,,,,16,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR,CRUISE,SHIP
15,48,,S,170,4,,E,6,13,1966,BORA III,4111

HEADERS,,,,,,,,,,,,
TOW DISTANCE,4950,m,,,,,,,,,,
TIME,20,55,,local,,,,,,,,


DETAILS,TAX COUNT B620,TAX WET WT B620,TAX NAME,,,,,,,,,
DEPTH,#/haul,mg/haul,,,,,,,,,,
decimal places,0,0,,,,,,,,,,
,29,492,AMPHIPODES
,15,12032,CARIDES
,5,1675,CEPHALOPODES
,85,3174,CHETOGNATHES
,68,445,COPEPODES
,394,11876,EUPHAUSIACES
,24,110,CRUSTACEA LARVA
,81,2744,FISH LARVA
,3,127,STOMATOPODA LARVA
,3,3862,LEPTOCERHALES
,,67415,GELATINOUS ANIMALS
,13,3881,PENEIDES
,137,42085,FISH
,38,651,PTEROPODES THECOSOMES
,11,2823,SERGESTIDES


STATION,11,,,,,,,,,17,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR,CRUISE,SHIP
14,18,,S,170,0,,E,6,14,1966,BORA III,4111

HEADERS,,,,,,,,,,,,
TIME,0,0,,local,,,,,,,,
AIRTEMP,26.8,C,,,,,,,,,,
RELAT HUMID,81,percent,,,,,,,,,,
BARPRESS,1012.6,mbar,,,,,,,,,,
WAVEDIR,70,degrees,,,,,,,,,,
WAVEHT,1,m,,,,,,,,,,
WAVEPER,9,sec,,,,,,,,,,
WINDDIR,70,degrees,,,,,,,,,,
WINDSP,5.1,m/sec,,,,,,,,,,

DETAILS,TEMP,,,,,,,,,,,
DEPTH,C,,,,,,,,,,,
decimal places,2,,,,,,,,,,,
0,27.1,,,,,,,,,,,


STATION,12,,,,,,,,,18,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR,CRUISE,SHIP
13,24,,S,170,0,,E,6,14,1966,BORA III,4111

HEADERS,,,,,,,,,,,,
TIME,6,0,,local,,,,,,,,
AIRTEMP,26.8,C,,,,,,,,,,
RELAT HUMID,81,percent,,,,,,,,,,
BARPRESS,1010.1,mbar,,,,,,,,,,
WAVEDIR,100,degrees,,,,,,,,,,
WAVEHT,1.5,m,,,,,,,,,,
WAVEPER,13,sec,,,,,,,,,,
WINDDIR,130,degrees,,,,,,,,,,
WINDSP,5.7,m/sec,,,,,,,,,,

DETAILS,TEMP,,,,,,,,,,,
DEPTH,C,,,,,,,,,,,
decimal places,2,,,,,,,,,,,
0,27.4,,,,,,,,,,,


STATION,3 / A,,,,,,,,,19,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR,CRUISE,SHIP
14,18,,S,170,0,,E,6,14,1966,BORA III,4111

HEADERS,,,,,,,,,,,,
TIME,7,30,,local,

DETAILS,CHL A,CHL B/A,CHL C/A,LC14,PRIM PROD_INT
DEPTH,mg/m3,,,mgC/m3/hr,GC/M2/DAY
decimal places,2,1,1,2,2
0,0.07,0.4,1.6,0.16,
10,0.08,0.4,1.7,,
20,,,,0.13,0.03
25,0.08,0.5,1.7,,
40,,,,0.12,0.05
50,0.14,0.3,1,,
60,,,,0.1,0.08
75,0.23,0.4,0.9,,
80,,,,0.08,0.09
100,0.2,0.6,1,0.08,0.11
125,0.13,0.9,1.4,0.02,0.12
150,0.05,1.1,2.3,0,0.13,,,,,,,
175,0.03,1,2.9,,,,,,,,,
200,0.02,1.7,6,0.01,,,,,,,,


STATION,3 / A,,,,,,,,,20,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR,CRUISE,SHIP
14,18,,S,170,0,,E,6,14,1966,BORA III,4111

HEADERS,,,,,,,,,,,,
TIME,8,43,,local,,,,,,,,
BOTTOM DEPTH,3500,M,,,,,,,,,,

DETAILS,TEMP,SAL,OXY,PH,ALK,PO4,TCO2,NO2,NO3,,,
DEPTH,C,psu,ml/l,,meq/l,ug-at/l,MMOL/L,ug-at/l,ug-at/l,,,
decimal places,2,3,2,2,3,2,2,2,2,,,
0,26.99,35.368,4.61,8.284,2.407,0.43,2.02,0.01,0.14
10,26.96,35.37,4.57,8.284,2.403,0.41,2.01,0.01,0.09
24,26.93,35.406,4.61,8.282,2.405,0.4,2.02,0.01,0.11
47,26.85,35.524,4.6,8.284,2.411,0.4,2.02,0.01,0.27
70,26.26,35.563,4.66,8.28,2.415,0.38,2.03,0.01,0.37
94,24.52,35.629,4.5,8.264,2.417,0.46,2.06,0.02,0.23
116,23.54,35.689,4.14,8.238,2.422,0.57,2.09,0.06,1.4
139,22.92,35.704,3.99,8.231,2.42,0.64,2.09,0.05,2.4
186,21.15,35.729,3.88,8.198,2.42,0.71,2.12,0.02,4.5
231,19.33,35.573,3.97,8.199,2.409,0.76,2.13,0.02,4.9
278,17.32,35.419,4.06,8.227,2.427,0.82,2.14,0.01,6.6
324,15.56,35.258,4.15,8.218,2.416,1.03,2.14,0,7.6
371,13.26,34.983,3.75,8.16,2.403,1.36,2.17,,12.3
462,9.19,34.625,4.03,8.081,2.384,1.77,2.2,,19.4
555,6.91,34.461,4.19,8.038,2.378,2.02,2.23,,23.2
646,5.82,34.426,,,,,,,
738,5.01,34.424,3.94,7.991,2.392,2.38,2.27,,29.4,,,
831,4.44,34.448,,,,,,,,,,
924,4.02,34.487,3.72,7.997,2.417,2.5,2.29,,29.5,,,
1112,3.4,34.538,3.47,7.941,2.425,2.73,2.32,,30.4,,,


STATION,13,,,,,,,,,21,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR,CRUISE,SHIP
13,0,,S,169,54,,E,6,14,1966,BORA III,4111

HEADERS,,,,,,,,,,,,
TIME,12,33,,local,,,,,,,,
AIRTEMP,26.6,C,,,,,,,,,,
RELAT HUMID,81,percent,,,,,,,,,,
BARPRESS,1012.5,mbar,,,,,,,,,,
WAVEDIR,140,degrees,,,,,,,,,,
WAVEHT,1.5,m,,,,,,,,,,
WAVEPER,7,sec,,,,,,,,,,
WINDDIR,140,degrees,,,,,,,,,,
WINDSP,7.2,m/sec,,,,,,,,,,

DETAILS,TEMP,,,,,,,,,,,
DEPTH,C,,,,,,,,,,,
decimal places,2,,,,,,,,,,,
0,27.5,,,,,,,,,,,


STATION,14,,,,,,,,,22,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR,CRUISE,SHIP
11,42,,S,169,54,,E,6,14,1966,BORA III,4111

HEADERS,,,,,,,,,,,,
TIME,18,0,,local
AIRTEMP,27,C,,
RELAT HUMID,85,percent,,
BARPRESS,1011,mbar,,
WAVEDIR,140,degrees,,
WAVEHT,1.5,m,,
WAVEPER,7,sec,,
WINDDIR,130,degrees,,
WINDSP,5.1,m/sec,,

DETAILS,TEMP,,,
DEPTH,C,,,
decimal places,2,,,
0,27.7,,,


STATION,3 / B,,,,,,,,,23,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR,CRUISE,SHIP
13,5,,S,169,53,,E,6,14,1966,BORA III,4111

HEADERS,,,,,,,,,,,,
TIME,19,33,,local,,,,,,,,
BOTTOM DEPTH,3200,M,,,,,,,,,,

DETAILS,TEMP,SAL,OXY,PH,ALK,PO4,TCO2,NO2,NO3,,,
DEPTH,C,psu,ml/l,,meq/l,ug-at/l,MMOL/L,ug-at/l,ug-at/l,,,
decimal places,2,3,2,2,3,2,2,2,2,,,
0,27.5,35.311,4.03,8.289,2.403,0.46,2.01,0.01,0.11,,,
10,27.49,35.315,4.64,8.289,2.402,0.43,2.01,0.02,0.05,,,
24,27.33,35.388,4.97,8.295,2.404,0.4,2.01,0,0.05,,,
47,27.19,35.474,4.68,8.288,2.413,0.42,2.02,0.01,0.22,,,
69,26.68,35.568,4.81,8.283,2.416,0.42,2.03,0,0.23,,,
92,25.47,35.655,4.55,8.274,2.428,0.5,2.05,0.02,0.2,
113,24.38,35.69,4.43,8.262,2.423,0.55,2.07,0.12,0.17,
135,23.96,35.846,3.93,8.231,2.433,0.68,2.1,0.09,1.8,
178,21.76,35.816,3.76,8.196,2.43,0.81,2.12,0.01,5,
222,19.39,35.605,4.05,8.209,2.419,0.82,2.13,0.01,5.4,
265,17.02,35.386,4.1,8.262,2.45,0.99,2.14,0.01,5.6,
309,14.38,35.137,4.11,8.212,2.427,1.2,2.16,0.02,10.6,
354,12.55,34.949,4.17,8.144,2.397,1.42,2.13,,11.5,
443,8.84,34.618,4.08,8.078,2.392,1.88,2.21,,21.2,
531,7.24,34.525,3.79,8.027,2.391,2.17,2.24,,23.6,
710,5.32,34.456,3.99,7.996,2.397,2.42,2.28,,24.4,
891,4.41,34.49,3.69,8.01,2.423,2.58,2.3,,27.9,
1073,3.74,34.556,3.43,8.003,2.43,2.69,2.31,,28.6,


STATION,3B,,,,,,,,,24
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR,CRUISE,SHIP
13,5,,S,169,53,,E,6,14,1966,BORA III,4111

HEADERS,,,,,,,,,,,,
TOW DISTANCE,5790,m,,,,,,,,,,
TIME,20,50,,local,,,,,,,,


DETAILS,TAX COUNT B590,TAX WET WT B590,TAX NAME,,,,,,,,,
DEPTH,#/haul,mg/haul,,,,,,,,,,
decimal places,0,0,,,,,,,,,,
,25,563,AMPHIPODES,,,,,,,,,
,20,7645,CARIDES,,,,,,,,,
,8,375,CEPHALOPODES,,,,,,,,,
,76,1597,CHETOGNATHES,,,,,,,,,
,71,424,COPEPODES,,,,,,,,,
,282,11373,EUPHAUSIACES,,,,,,,,,
,14,105,CRUSTACEA LARVA,,,,,,,,,
,64,4753,FISH LARVA,,,,,,,,,
,2,270,STOMATOPODA LARVA,,,,,,,,,
,2,311,LEPTOCERHALES,,,,,,,,,
,,100720,GELATINOUS ANIMALS,,,,,,,,,
,16,3937,PENEIDES,,,,,,,,,
,114,75069,FISH,,,,,,,,,
,88,2102,PTEROPODES THECOSOMES,,,,,,,,,
,20,5851,SERGESTIDES,,,,,,,,,


STATION,15,,,,,,,,,25,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR,CRUISE,SHIP
11,30,,S,169,42,,E,6,15,1966,BORA III,4111

HEADERS,,,,
TIME,0,0,,local
AIRTEMP,27.6,C,,
RELAT HUMID,84,percent,,
BARPRESS,1012.5,mbar,,
WAVEDIR,140,degrees,,
WAVEHT,1.5,m,,
WAVEPER,7,sec,,
WINDDIR,140,degrees,,
WINDSP,7.2,m/sec,,

DETAILS,TEMP,,,
DEPTH,C,,,
decimal places,2,,,
0,28,,,


STATION,16,,,,,,,,,26,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR,CRUISE,SHIP
11,30,,S,169,42,,E,6,15,1966,BORA III,4111

HEADERS,,,,,,,,,,,,
TIME,6,0,,local,,,,,,,,
AIRTEMP,27.4,C,,,,,,,,,,
RELAT HUMID,89,percent,,,,,,,,,,
