V_TRI_FORM_R_EZ.CHEM_NAME,V_TRI_FORM_R_EZ.FACILITY_NAME,V_TRI_FORM_R_EZ.LAND_TOTAL_RELEASE,V_TRI_FORM_R_EZ.OFF_SITE_TOTAL_TRANSFERS,V_TRI_FORM_R_EZ.OTH_DISP_TOT_REL,V_TRI_FORM_R_EZ.POTW_TOT_TRANSFER,V_TRI_FORM_R_EZ.TOTAL_OFF_SITE_RELEASE,V_TRI_FORM_R_EZ.TOTAL_ON_OFF_SITE_RELEASE,V_TRI_FORM_R_EZ.TOTAL_ON_SITE_RELEASE,V_TRI_FORM_R_EZ.TRI_FACILITY_ID,V_TRI_FORM_R_EZ.WATER_TOTAL_RELEASE
MANGANESE,HAULMARK INDUSTRIES INC.,0,3108.8,0,0,2,18.3,16.3,84663HLMRK165N1,0
BENZO(G H I)PERYLENE,ATK LAUNCH SYSTEMS INC BACCHUS,0,0,0,0,0,.022932,.022932,84044HRCLS4950S,0
ALUMINUM (FUME OR DUST),ATK LAUNCH SYSTEMS INC BACCHUS,0,93721,0,0,28443,28443,0,84044HRCLS4950S,0
TOLUENE,CHEMCENTRAL/SALT LAKE CITY,0,0,,0,0,0,0,84087CHMCN2465S,
NITRATE COMPOUNDS,PILKINGTON METAL FINISHING LLC,0,34201,0,34201,0,0,0,84104PLKNG1225S,0
HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY),INTERMOUNTAIN POWER GENERATING STATION,0,0,0,0,0,110000,110000,84624NTRMN850BR,0
CHLORINE,INTERMOUNTAIN POWER GENERATING STATION,0,0,0,0,0,1700,1700,84624NTRMN850BR,0
AMMONIA,INTERMOUNTAIN POWER GENERATING STATION,250,0,0,0,0,4255,4255,84624NTRMN850BR,0
DIISOCYANATES,MACA SUPPLY CO,0,0,,0,0,0,0,84663MCSPP1295W,
POLYCYCLIC AROMATIC COMPOUNDS,CONOCOPHILLIPS NORTH SALT LAKE PRODUCT TERMIN AL,0,0,0,0,0,0,0,84054CNCNR245E1,0
BENZENE,CONOCOPHILLIPS NORTH SALT LAKE PRODUCT TERMIN AL,0,133,0,0,0,659,659,84054CNCNR245E1,0
METHANOL,BJ CHEMICAL SERVICES,0,0,,0,0,0,0,84066BJSRV1661W,
ETHYLENE,TESORO REFINING & MARKETING CO,0,0,0,0,0,13000,13000,84103MCLCM474WE,0
MERCURY COMPOUNDS,TESORO REFINING & MARKETING CO,0,9.7,0,0,10,33,23,84103MCLCM474WE,0
