V_TRI_FORM_R_EZ.CHEM_NAME,V_TRI_FORM_R_EZ.FACILITY_NAME,V_TRI_FORM_R_EZ.LAND_TOTAL_RELEASE,V_TRI_FORM_R_EZ.OFF_SITE_TOTAL_TRANSFERS,V_TRI_FORM_R_EZ.OTH_DISP_TOT_REL,V_TRI_FORM_R_EZ.POTW_TOT_TRANSFER,V_TRI_FORM_R_EZ.TOTAL_OFF_SITE_RELEASE,V_TRI_FORM_R_EZ.TOTAL_ON_OFF_SITE_RELEASE,V_TRI_FORM_R_EZ.TOTAL_ON_SITE_RELEASE,V_TRI_FORM_R_EZ.TRI_FACILITY_ID,V_TRI_FORM_R_EZ.WATER_TOTAL_RELEASE
ETHYLBENZENE,CHEMCENTRAL/SALT LAKE CITY,0,0,,0,0,0,0,84087CHMCN2465S,
TOLUENE,CASTLE COUNTRY OIL,0,0,,0,0,0,0,84501CSTLC352WM,
POLYCYCLIC AROMATIC COMPOUNDS,CASTLE COUNTRY OIL,0,0,,0,0,0,0,84501CSTLC352WM,
MERCURY COMPOUNDS,INTERMOUNTAIN POWER GENERATING STATION,464.8,.00011,0,0,0,685.2,685.2,84624NTRMN850BR,0
ARSENIC COMPOUNDS,INTERMOUNTAIN POWER GENERATING STATION,81000,0,0,0,0,81255,81255,84624NTRMN850BR,0
PHENOL,CONOCOPHILLIPS NORTH SALT LAKE PRODUCT TERMIN AL,0,0,0,0,0,.9,.9,84054CNCNR245E1,0
CYCLOHEXANE,CONOCOPHILLIPS NORTH SALT LAKE PRODUCT TERMIN AL,0,0,0,0,0,82,82,84054CNCNR245E1,0
ETHYLBENZENE,CONOCOPHILLIPS NORTH SALT LAKE PRODUCT TERMIN AL,0,103,0,0,0,111,111,84054CNCNR245E1,0
CUMENE,CONOCOPHILLIPS NORTH SALT LAKE PRODUCT TERMIN AL,0,37,0,0,0,14,14,84054CNCNR245E1,0
LEAD,AMCOR MASONRY PRODUCTS,0,0,0,0,0,.1,.1,84054MCR  333SR,0
NITRATE COMPOUNDS,BUCYRUS BLADES INC.,0,21516,0,21516,0,0,0,84088PPRCL8556S,0
NICKEL,BUCYRUS BLADES INC.,0,0,,0,0,0,0,84088PPRCL8556S,
BENZENE,TESORO REFINING & MARKETING CO,250,3710,250,3700,0,5350,5350,84103MCLCM474WE,0
COPPER COMPOUNDS,BRENNTAG PACIFIC INC.,0,0,,0,0,0,0,84104GRTWS2334W,
MANGANESE,MARK STEEL CORP JORDAN RIVER PLANT,0,674690,0,0,0,9.81,9.81,84116MRKST1230W,0
NICKEL COMPOUNDS,CMC STEEL FABRICATORS INC. DBA CMC SOUTHERN POST,0,0,,0,0,0,0,84302STHRN920W6,
DIISOCYANATES,STORM PRODUCTS INC.,0,0,0,0,0,147.3,147.3,84302STRMP165S8,0
MANGANESE,FMCTI JETWAY SYSTEMS,0,10361,0,0,0,19.5,19.5,84409JTWYN3100S,0
MANGANESE,EXPRESS METAL FABRICATORS INC.,0,26084,0,0,0,89,89,84770STGRG1301E,0
PYRIDINE,CLEAN HARBORS ARAGONITE LLC,0,575,0,0,565,577,12,84029SFTYK11600,0
PENTACHLOROPHENOL,CLEAN HARBORS ARAGONITE LLC,0,799,0,0,1,3,2,84029SFTYK11600,0
PENTACHLOROBENZENE,CLEAN HARBORS ARAGONITE LLC,0,0,0,0,0,60,60,84029SFTYK11600,0
N-HEXANE,CLEAN HARBORS ARAGONITE LLC,0,707,0,0,582,627,45,84029SFTYK11600,0
HEXACHLOROBENZENE,CLEAN HARBORS ARAGONITE LLC,0,0,0,0,0,1,1,84029SFTYK11600,0
ETHYLBENZENE,CLEAN HARBORS ARAGONITE LLC,0,78,0,0,78,336,258,84029SFTYK11600,0
DIOXIN AND DIOXIN-LIKE COMPOUNDS,CLEAN HARBORS ARAGONITE LLC,0,0,0,0,0,45.13,45.13,84029SFTYK11600,0
BARIUM COMPOUNDS,CLEAN HARBORS ARAGONITE LLC,0,43998,0,0,43998,43999,1,84029SFTYK11600,0
METHOXYCHLOR,CLEAN HARBORS ARAGONITE LLC,0,0,0,0,0,3,3,84029SFTYK11600,0
MERCURY,CLEAN HARBORS ARAGONITE LLC,0,709,0,0,709,709,0,84029SFTYK11600,0
CHLOROBENZENE,CLEAN HARBORS ARAGONITE LLC,0,9,0,0,9,13,4,84029SFTYK11600,0
CHROMIUM,ATWOOD MOBILE COMPONENTS,0,30700,0,0,0,0,0,84104TWDMB1847S,0
LEAD,COMPEQ INTERNATIONAL,0,4559.19,0,28.06,0,1,1,84116CMPQN620NO,0
COPPER,ROCKY MOUNTAIN FABRICATION,0,6598,0,0,0,2,2,84116RCKYM1125W,0
CHROMIUM,ROCKY MOUNTAIN FABRICATION,0,19793,0,0,0,0,0,84116RCKYM1125W,0
ETHYLENE OXIDE,STERIGENICS US LLC,0,0,0,0,0,3320,3320,84116SRXMD5725W,0
ETHYLENE GLYCOL,STERIGENICS US LLC,0,262934,0,0,0,0,0,84116SRXMD5725W,0
BENZO(G H I)PERYLENE,SEMMATERIALS  L.P. - OGDEN UT,0,0,,0,0,0,0,84401STKRP2350S,
NICKEL,PETERSEN INC.,0,13552,0,0,0,28.45,28.45,84404PTRSN1527N,0
POLYCYCLIC AROMATIC COMPOUNDS,CEDAR CITY ASPHALT & CONCRETE PLANTS,0,0,0,0,0,.0949,.0949,84720CDRCT145NB,0
COPPER,TRINITY HIGHWAY PRODUCTS LLC,0,0,,0,0,0,0,84014SYRST950WE,
CHROMIUM,TRINITY HIGHWAY PRODUCTS LLC,0,0,,0,0,0,0,84014SYRST950WE,
MERCURY COMPOUNDS,ENERGYSOLUTIONS LLC,2470,0,0,0,0,2470,2470,84029NVRCRUSINT,0
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),ENERGYSOLUTIONS LLC,382821,0,0,0,0,382821,382821,84029NVRCRUSINT,0
POLYCHLORINATED BIPHENYLS,ENERGYSOLUTIONS LLC,12250,465,0,0,464,12714,12250,84029NVRCRUSINT,0
CYANIDE COMPOUNDS,CLEAN HARBORS GRASSY MOUNTAIN LLC,286303,0,0,0,0,286303,286303,84074PPMNCI80,0
SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY),FAIRCHILD SEMICONDUCTOR,0,0,0,0,0,1000,1000,84088NTNLS3333W,0
LEAD COMPOUNDS,HOLCIM (US) INC DEVIL'S SLIDE PLANT,1571,0,0,0,0,1576.1,1576.1,84050HLNMN6055E,0
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),U.S. AIR FORCE OGDEN AIR LOGISTICS CENTER,0,4629,0,64,4565,5101,536,84056SRFRC7274W,0
LEAD,U.S. AIR FORCE OGDEN AIR LOGISTICS CENTER,0,56949.6,0,8.4,301,301.5,.5,84056SRFRC7274W,0
NITRATE COMPOUNDS,PARK CITY READY-MIX CONCRETE,1110.2,0,0,0,0,1110.2,1110.2,84060PRKCT248EH,0
LEAD,PARK CITY READY-MIX CONCRETE,35.53,0,0,0,0,35.5353,35.5353,84060PRKCT248EH,0
LEAD,HARMAN MUSIC GROUP INC,0,723,0,0,0,.06,.06,84070HRMNM8670S,0
NITRATE COMPOUNDS,CHEVRON PRODUCTS CO SALT LAKE REFINERY,0,0,0,0,0,83000,83000,84116CHVRN2351N,83000
BENZENE,CHEVRON PRODUCTS CO SALT LAKE REFINERY,0,510,0,0,5,2160,2155,84116CHVRN2351N,5
1 3-BUTADIENE,CHEVRON PRODUCTS CO SALT LAKE REFINERY,0,0,0,0,0,1650,1650,84116CHVRN2351N,0
TITANIUM TETRACHLORIDE,HONEYWELL INC,0,0,0,0,0,176.87,176.87,84120THLTG4603W,0
HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY),TTM TECHNOLOGIES INC.,0,0,0,0,0,257,257,84321LNDHL710NO,0
VANADIUM COMPOUNDS,NUCOR CORP NUCOR STEEL DIV,0,9897,0,0,9897,9901,4,84330NCRST7285W,0
LEAD COMPOUNDS,NUCOR CORP NUCOR STEEL DIV,.2,510398.1,0,0,510397,512150.3,1753.3,84330NCRST7285W,5.1
COPPER COMPOUNDS,WILBUR-ELLIS CO,0,0,,0,0,0,0,84401KNXMC815W2,
ETHYLENE GLYCOL,NCFI POLYURETHANES SLC,0,0,0,0,0,.05,.05,84016NCFPLBUILD,0
DIISOCYANATES,NCFI POLYURETHANES SLC,0,0,0,0,0,.3,.3,84016NCFPLBUILD,0
CERTAIN GLYCOL ETHERS,ASHLAND DISTRIBUTION CO.,0,506,0,0,0,6,6,84016SHLNDFREEP,0
AMMONIA,KROGER CORP SMITHS FOOD & DRUG DAIRY DIV,0,0,0,0,0,10380,10380,84041SMTHS500NS,0
BENZO(G H I)PERYLENE,SEMMATERIALS LP WOODS CROSS,0,0,,0,0,0,0,84087SMMTR991W1,
LEAD,OLDCASTLE PRECAST INC,0,0,,0,0,0,0,84404MCRPR81W12,
MANGANESE,PACIFIC STATES CAST IRON PIPE CO,436000,2470,0,0,2470,438743,436273,84601PCFCS2550S,0
LEAD,SORENSON READY-MIX CONCRETE,11.63,0,0,0,0,11.63174,11.63174,84780SRNSN411SL,0
NITRIC ACID,FUTURA INDUSTRIES,0,0,0,0,0,16,16,84016FTRHMBLDGH,0
ETHYLENE,BIG WEST OIL LLC,0,0,0,0,0,100,100,84054BGWST333WE,0
BENZO(G H I)PERYLENE,BIG WEST OIL LLC,0,14,0,0,14,14,0,84054BGWST333WE,0
POLYCYCLIC AROMATIC COMPOUNDS,BIG WEST OIL LLC,0,292,0,0,292,292.016,.016,84054BGWST333WE,0
MANGANESE COMPOUNDS,BIG WEST OIL LLC,0,0,0,0,0,0,0,84054BGWST333WE,0
DIISOCYANATES,HUNTER PANELS LLC,0,0,0,0,0,2.2,2.2,84074HNTRP51SEM,0
CHLORINE,US MAGNESIUM LLC,0,0,0,0,0,3312229,3312229,84074MXMGNROWLE,0
TOLUENE,BRENNTAG PACIFIC INC.,0,0,,0,0,0,0,84078QDRCH1575S,
ETHYLENE GLYCOL,BRENNTAG PACIFIC INC.,0,0,0,0,0,66.11,66.11,84078QDRCH1575S,0
NITRIC ACID,O.C. TANNER MANUFACTURING CO.,0,0,0,0,0,0,0,84115CTNNR1930S,0
CERTAIN GLYCOL ETHERS,BRIDGEPOINT SYSTEMS,0,0,,0,0,0,0,84123BRDGP542WC,
NITRIC ACID,SCHREIBER FOODS INC.,0,0,0,0,0,0,0,84335SCHRB218W6,0
POLYCYCLIC AROMATIC COMPOUNDS,PACIFICORP CARBON PLANT,0,0,0,0,0,55,55,84526PCFCRINTER,0
MERCURY COMPOUNDS,PACIFICORP CARBON PLANT,19.2,0,0,0,0,46.5,46.5,84526PCFCRINTER,0
DI(2-ETHYLHEXYL) PHTHALATE,BALLARD MEDICAL PRODUCTS,0,17228,0,0,0,6,6,84020BLLRD12050,0
TOLUENE,SILVER EAGLE REFINING WOODS CROSS,0,64.35,0,55.44,9,3254.21,3245.21,84087CRYSN2355S,0
METHANOL,HOLLY REFINING & MARKETING CO WOODS CROSS REFINERY,0,0,0,0,0,3,3,84087PHLLP393SO,0
LEAD,JORDAN RIVER GALVANIZING,0,372,0,0,2,43,41,84088JRDNR5447W,0
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),OWENS CORNING INSULATING SYSTE M LLC - SALT LAKE CITY,0,14380,0,0,42,130,88,84104WSTRN4340W,0
LEAD,LYNRUS,0,14.637,0,0,7,8.08,1.08,84115LNRSL24W17,0
ZINC COMPOUNDS,JOHNSON MATTHEY INC,0,75593.27,0,24.27,0,18.2,18.2,84120JHNSN4601W,0
XYLENE (MIXED ISOMERS),BRENNTAG PACIFIC INC,0,0,,0,0,0,0,84402HCDYC450EX,
LEAD COMPOUNDS,PACIFICORP HUNTINGTON PLANT,21199.2,2.6,0,0,0,21409.2,21409.2,84528PCFCR10MIL,0
ZINC COMPOUNDS,BRUSH RESOURCES INC MILL,87374,0,0,0,0,87375.6,87375.6,84624BRSHW10MIL,0
MERCURY COMPOUNDS,BRUSH RESOURCES INC MILL,.49,0,0,0,0,.59,.59,84624BRSHW10MIL,0
MANGANESE COMPOUNDS,BRUSH RESOURCES INC MILL,30700,0,0,0,0,30703.2,30703.2,84624BRSHW10MIL,0
SODIUM NITRITE,AMERICAN PACIFIC CORP UTAH OPERATIONS,0,0,,0,0,0,0,84720MRCNZ10622,
AMMONIA,AMERICAN PACIFIC CORP UTAH OPERATIONS,16130,0,0,0,0,17101,17101,84720MRCNZ10622,0
CRESOL (MIXED ISOMERS),KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT,24000,0,0,0,0,24250,24250,84006KNNCT12300,250
ZINC COMPOUNDS,KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT,473870,410,470000,0,410,475745,475335,84006KNNCT12300,1210
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT,1250055,0,250000,0,0,1250325,1250325,84006KNNCT12300,250
CADMIUM COMPOUNDS,KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT,3752.1,0,3600,0,0,3835.1,3835.1,84006KNNCT12300,83
MERCURY COMPOUNDS,BONANZA POWER PLANT,123.7,.07,0,0,0,172.424,172.424,84078BNNZP12500,0
DIOXIN AND DIOXIN-LIKE COMPOUNDS,BONANZA POWER PLANT,0,0,0,0,0,3.6251,3.6251,84078BNNZP12500,0
SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY),BONANZA POWER PLANT,0,0,0,0,0,10858,10858,84078BNNZP12500,0
HYDROGEN FLUORIDE,BONANZA POWER PLANT,0,0,0,0,0,32533,32533,84078BNNZP12500,0
TOLUENE,VALLEY PAINT MANUFACTURING,0,0,0,0,0,166,166,84087VLLYP727SO,0
ETHYLBENZENE,VALLEY PAINT MANUFACTURING,0,0,0,0,0,1825,1825,84087VLLYP727SO,0
SODIUM AZIDE,AUTOLIV NORTH AMERICA,0,5,0,5,0,5,5,84302MRTNT250AM,0
SODIUM NITRITE,PACIFICORP HUNTER PLANT,0,0,,0,0,0,0,84513PCFCR3MILE,
LEAD COMPOUNDS,PACIFICORP HUNTER PLANT,14466,165,0,0,0,14563.2,14563.2,84513PCFCR3MILE,0
LEAD COMPOUNDS,SAPA EXTRUSIONS INC,0,2667.4,0,0,43,45.8,2.8,84660CRSSN1550N,0
METHANOL,SMITHFIELD BIOENERGY LLC,0,0,0,0,0,28.4,28.4,84752SMTHF36WTH,0
BENZO(G H I)PERYLENE,STAKER & PARSON COS ST GEORGE READY-MIX & ASPHALT,0,0,0,0,0,.0073,.0073,84770STKRP1843E,0
NITROGLYCERIN,US AIR FORCE UTTR  RANGE ACTIVITIES,0,0,0,0,0,0,0,84029SRFRC18MIL,0
NITRIC ACID,PILKINGTON METAL FINISHING LLC,0,0,0,0,0,235,235,84104PLKNG1225S,0
NICKEL,VARIAN MEDICAL SYSTEMS X-RAY PRODUCTS CPI EIMAC,0,13852.05,0,19.41,0,0,0,84104VRNMC1678S,0
LEAD,VARIAN MEDICAL SYSTEMS X-RAY PRODUCTS CPI EIMAC,0,9200.399,0,.339,0,0,0,84104VRNMC1678S,0
1 1 1-TRICHLOROETHANE,ATK LAUNCH SYSTEMS PROMONTORY,0,3300,0,0,0,9636,9636,84302MRTNT9160N,0
LEAD,STAKER & PARSON COMPANIES SMITHFIELD PLANT,22.96,0,0,0,0,22.9632,22.9632,84335STKRP250N3,0
XYLENE (MIXED ISOMERS),CONOCOPHILLIPS NORTH SALT LAKE PRODUCT TERMIN AL,0,516,0,0,0,464,464,84054CNCNR245E1,0
TOLUENE,CONOCOPHILLIPS NORTH SALT LAKE PRODUCT TERMIN AL,0,516,0,0,0,1096,1096,84054CNCNR245E1,0
SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY),TESORO REFINING & MARKETING CO,0,0,0,0,0,54100,54100,84103MCLCM474WE,0
POLYCYCLIC AROMATIC COMPOUNDS,TESORO REFINING & MARKETING CO,5,8,5,0,7,18,11,84103MCLCM474WE,0
BIPHENYL,TESORO REFINING & MARKETING CO,5,0,5,0,0,505,505,84103MCLCM474WE,0
ETHYLBENZENE,TESORO REFINING & MARKETING CO,5,510,5,250,5,1010,1005,84103MCLCM474WE,0
DIISOCYANATES,UNIVAR USA INC. - SALT LAKE CI TY,0,0,0,0,0,.12,.12,84104VNWTR650W8,0
NICKEL,MARK STEEL CORP JORDAN RIVER PLANT,0,674690,0,0,0,.33,.33,84116MRKST1230W,0
CHROMIUM,MARK STEEL CORP JORDAN RIVER PLANT,0,674690,0,0,0,3.53,3.53,84116MRKST1230W,0
POLYCYCLIC AROMATIC COMPOUNDS,STAKER & PARSON COS BECK NORTH READY MIX & ASPHALT,0,0,0,0,0,.2653,.2653,84116STKRP2080N,0
BENZO(G H I)PERYLENE,STAKER & PARSON COS BECK NORTH READY MIX & ASPHALT,0,0,0,0,0,.0196,.0196,84116STKRP2080N,0
XYLENE (MIXED ISOMERS),THATCHER CO,0,0,0,0,0,255,255,84127THTCH1905F,0
AMMONIA,THATCHER CO,0,1346,0,1346,0,1500,1500,84127THTCH1905F,0
COBALT COMPOUNDS,AUTOLIV ASP INC PROMONTORY,0,12349,0,0,12349,12350,1,84302MRTNT9160A,0
STYRENE,STORM PRODUCTS INC.,0,0,0,0,0,9211.97,9211.97,84302STRMP165S8,0
NITRATE COMPOUNDS,WESTERN ZIRCONIUM,430000,0,0,0,0,430000,430000,84404WSTRN10000,0
LEAD COMPOUNDS,DTE UTAH II LLC,0,0,0,0,0,.183577,.183577,84501DTTHL4722S,0
SODIUM NITRITE,CLEAN HARBORS ARAGONITE LLC,0,0,0,0,0,136,136,84029SFTYK11600,0
DIBUTYL PHTHALATE,CLEAN HARBORS ARAGONITE LLC,0,613,0,0,613,643,30,84029SFTYK11600,0
BENZENE,CLEAN HARBORS ARAGONITE LLC,0,26,0,0,25,68,43,84029SFTYK11600,0
ALUMINUM (FUME OR DUST),CLEAN HARBORS ARAGONITE LLC,0,38309,0,0,38309,38313,4,84029SFTYK11600,0
2-ETHOXYETHANOL,CLEAN HARBORS ARAGONITE LLC,0,47,0,0,47,52,5,84029SFTYK11600,0
1 3-PHENYLENEDIAMINE,CLEAN HARBORS ARAGONITE LLC,0,5,0,0,5,6,1,84029SFTYK11600,0
TRICHLOROETHYLENE,CLEAN HARBORS ARAGONITE LLC,0,7,0,0,3,20,17,84029SFTYK11600,0
TOXAPHENE,CLEAN HARBORS ARAGONITE LLC,0,1,0,0,1,4,3,84029SFTYK11600,0
BROMOMETHANE,CLEAN HARBORS ARAGONITE LLC,0,0,0,0,0,2,2,84029SFTYK11600,0
ZINC COMPOUNDS,USA INDUSTRIES,0,46087,0,17,0,157,157,84104SNDST1291S,157
NICKEL,ATWOOD MOBILE COMPONENTS,0,12891,0,0,0,0,0,84104TWDMB1847S,0
AMMONIA,CHROMALOX INC,0,0,,0,0,0,0,84404CHRML2150N,
CHROMIUM,PETERSEN INC.,0,11616,0,0,0,250,250,84404PTRSN1527N,0
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),FLOWSERVE/SPRINGVILLE,0,0,,0,0,0,0,84663VLTKN1MOUN,
DICHLOROMETHANE,HEXCEL CORP,0,121730,0,0,0,2450,2450,84044HRCLS6800W,0
ETHYLENE GLYCOL,IM FLASH TECHNOLOGIES LLC,0,27033,0,5,28,33,5,84043MCRNT1550E,0
POLYCYCLIC AROMATIC COMPOUNDS,STAKER & PARSON COMPANIES POINT NORTH,0,0,0,0,0,.2067,.2067,84043STKRP1262N,0
COPPER,CLEAN HARBORS GRASSY MOUNTAIN LLC,288205,1,0,0,1,288219,288218,84074PPMNCI80,0
ZINC COMPOUNDS,CLEAN HARBORS GRASSY MOUNTAIN LLC,55611,0,0,0,0,55613,55613,84074PPMNCI80,0
XYLENE (MIXED ISOMERS),CLEAN HARBORS GRASSY MOUNTAIN LLC,17594,0,0,0,0,17595,17595,84074PPMNCI80,0
SODIUM NITRITE,CLEAN HARBORS GRASSY MOUNTAIN LLC,26914,0,0,0,0,26915,26915,84074PPMNCI80,0
SODIUM DIMETHYLDITHIOCARBAMATE,CLEAN HARBORS GRASSY MOUNTAIN LLC,18400,0,0,0,0,18401,18401,84074PPMNCI80,0
HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY),HOLCIM (US) INC DEVIL'S SLIDE PLANT,0,0,0,0,0,34056,34056,84050HLNMN6055E,0
NITRATE COMPOUNDS,MEADOW GOLD DAIRY,0,44191,0,44191,0,0,0,84104MDWGL3730W,0
SILVER,ACADEMY PIONEER LLC,0,9109.7,0,1.7,0,255,255,84104PNRRF1520P,0
POLYCYCLIC AROMATIC COMPOUNDS,CHEVRON PRODUCTS CO SALT LAKE REFINERY,0,0,0,0,0,69.27,69.27,84116CHVRN2351N,60
NAPHTHALENE,CHEVRON PRODUCTS CO SALT LAKE REFINERY,0,10,0,0,5,510,505,84116CHVRN2351N,5
N-HEXANE,CHEVRON PRODUCTS CO SALT LAKE REFINERY,0,5,0,0,0,5555,5555,84116CHVRN2351N,5
HYDROGEN FLUORIDE,CHEVRON PRODUCTS CO SALT LAKE REFINERY,0,5,0,0,5,3910,3905,84116CHVRN2351N,0
AMMONIA,CHEVRON PRODUCTS CO SALT LAKE REFINERY,0,250,0,250,0,16000,16000,84116CHVRN2351N,750
XYLENE (MIXED ISOMERS),RUBBER ENGINEERING,0,330,0,0,20,10820,10800,84119RBBRN3459S,0
NITRIC ACID,SCHREIBER FOODS INC,0,0,0,0,0,0,0,84321SCHRB885N6,0
COPPER COMPOUNDS,NUCOR CORP NUCOR STEEL DIV,74,80849,0,0,80845,81321,476,84330NCRST7285W,2
NICKEL COMPOUNDS,NUCOR CORP NUCOR STEEL DIV,26,12512,0,0,12512,12879,367,84330NCRST7285W,0
NITRATE COMPOUNDS,KROGER CORP SMITHS FOOD & DRUG DAIRY DIV,0,39041,0,39041,0,0,0,84041SMTHS500NS,0
NITRIC ACID,DANNON CO,0,0,0,0,0,0,0,84088DNNNC6165A,0
ZINC COMPOUNDS,HAYCOCK PETROLEUM SAINT GEORGE BULK PLANT,0,0,,0,0,0,0,84770HYCCK845NI,
XYLENE (MIXED ISOMERS),HAYCOCK PETROLEUM SAINT GEORGE BULK PLANT,0,0,,0,0,0,0,84770HYCCK845NI,
DIOXIN AND DIOXIN-LIKE COMPOUNDS,KENNECOTT UTAH COPPER SMELTER & REFINERY,0,0,0,0,0,.0021,.0021,84006KNNCT8362W,0
COPPER COMPOUNDS,KENNECOTT UTAH COPPER SMELTER & REFINERY,5990000,360005.2,0,0,360005,6440095,6080090,84006KNNCT8362W,390
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),KENNECOTT UTAH COPPER SMELTER & REFINERY,264400,110,0,0,110,265082.8,264972.8,84006KNNCT8362W,250
SELENIUM COMPOUNDS,KENNECOTT UTAH COPPER SMELTER & REFINERY,79470,580,0,0,580,81790,81210,84006KNNCT8362W,1300
COPPER,SHAW NAPTECH INC.,0,9096.78,0,0,0,4.02,4.02,84015NPTCH851SF,0
LEAD,SHAW NAPTECH INC.,0,661.58,0,0,0,151.01,151.01,84015NPTCH851SF,0
XYLENE (MIXED ISOMERS),JARDINE PETROLEUM-NORTH SALT LAKE,0,0,,0,0,0,0,84054JRDNP1117N,
HEXACHLOROBENZENE,US MAGNESIUM LLC,1026.6,46.07,0,0,3,1029.627,1026.627,84074MXMGNROWLE,0
ZINC (FUME OR DUST),U.S. ARMY TOOELE ARMY DEPOT MUNITION TREATMENT,1070,79,1070,0,0,1087,1087,84074TLRMYSDSTE,0
DIISOCYANATES,FIRESTONE BUILDING PRODUCTS CO,0,0,0,0,0,10.58,10.58,84120THRML3790W,0
LEAD COMPOUNDS,PACIFICORP CARBON PLANT,3938.2,19.1,0,0,16,4015.3,3999.3,84526PCFCRINTER,0
HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY),SUNNYSIDE COGENERATION ASSOCIA TES,0,0,0,0,0,64041,64041,84539SNNYSONEPO,0
LEAD,POINT WEST READY-MIX CONCRETE,112.73,0,0,0,0,112.7464,112.7464,84043STKRP11700,0
LEAD COMPOUNDS,SILVER EAGLE REFINING WOODS CROSS,0,0,,0,0,0,0,84087CRYSN2355S,
POLYCYCLIC AROMATIC COMPOUNDS,SILVER EAGLE REFINING WOODS CROSS,0,0,,0,0,0,0,84087CRYSN2355S,
XYLENE (MIXED ISOMERS),SILVER EAGLE REFINING WOODS CROSS,0,82.32,0,47.52,35,784.43,749.43,84087CRYSN2355S,0
DIOXIN AND DIOXIN-LIKE COMPOUNDS,HOLLY REFINING & MARKETING CO WOODS CROSS REFINERY,0,0,0,0,0,.00003,.00003,84087PHLLP393SO,0
POLYCYCLIC AROMATIC COMPOUNDS,HOLLY REFINING & MARKETING CO WOODS CROSS REFINERY,0,0,0,0,0,21.8,21.8,84087PHLLP393SO,0
ETHYLBENZENE,HOLLY REFINING & MARKETING CO WOODS CROSS REFINERY,0,105,0,81,0,810,810,84087PHLLP393SO,0
ZINC COMPOUNDS,JORDAN RIVER GALVANIZING,0,926805,0,0,0,2424,2424,84088JRDNR5447W,0
NITRIC ACID,CREAM O'WEBER DAIRY LLC,0,659,0,659,0,0,0,84104CNTNN1658S,0
HYDROGEN FLUORIDE,BARNES AEROSPACE OGDEN DIV,0,5545,0,0,0,200,200,84402FLMCB1483W,0
TOLUENE,BRENNTAG PACIFIC INC,0,0,,0,0,0,0,84402HCDYC450EX,
SODIUM NITRITE,PACIFICORP HUNTINGTON PLANT,0,0,0,0,0,0,0,84528PCFCR10MIL,0
SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY),PACIFICORP HUNTINGTON PLANT,0,0,0,0,0,32600,32600,84528PCFCR10MIL,0
ZINC COMPOUNDS,PACIFICORP HUNTINGTON PLANT,60600,0,0,0,0,61590,61590,84528PCFCR10MIL,0
NICKEL COMPOUNDS,PACIFICORP HUNTINGTON PLANT,47600,0,0,0,0,47984,47984,84528PCFCR10MIL,0
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),PACIFICORP HUNTINGTON PLANT,89500,0,0,0,0,90036,90036,84528PCFCR10MIL,0
BERYLLIUM COMPOUNDS,BRUSH RESOURCES INC MILL,6910,0,0,0,0,6997.5,6997.5,84624BRSHW10MIL,0
MERCURY COMPOUNDS,ASH GROVE CEMENT- LEAMINGTON UTAH,0,0,0,0,0,152.603,152.603,84648STHWSHIWAY,0
DIOXIN AND DIOXIN-LIKE COMPOUNDS,ASH GROVE CEMENT- LEAMINGTON UTAH,0,0,0,0,0,.1331,.1331,84648STHWSHIWAY,0
LEAD,SPANISH FORK READY-MIX CONCRETE,232.2,0,0,0,0,232.2347,232.2347,84660SPNSH7434D,0
NICKEL COMPOUNDS,KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT,616250,0,86000,0,0,619100,619100,84006KNNCT12300,2600
LEAD COMPOUNDS,KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT,46246092,1.3,45989811,0,1,46247254.5,46247253.5,84006KNNCT12300,33.7
ARSENIC COMPOUNDS,KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT,172250,0,130000,0,0,172505,172505,84006KNNCT12300,250
1 1-DICHLORO-1-FLUOROETHANE,BD MEDICAL,0,3159,0,0,0,86143,86143,84070DSRTM9450S,0
