Dataset:              Fish Species Abundance Data
File Name:            CB93_4_2.txt
Date Created:         12/17/96
# Variables:          4
# Header Records:     14
# Data Records:       462
Missing Value Symbol: .

Variables:    SITE         Station name
              MONTH        Month (JUN,AUG,SEP) of data collection
              SPECIES      Common name of species collected
              ABUN         No. of individuals collected of the species

SITE    MONTH   SPECIES                         ABUN
STN_24  SEP     Mummichog                          3
STN_24  SEP     Northern kingfish                  6
STN_24  AUG     Northern pipefish                  1
STN_24  SEP     Silver perch                       1
STN_24  JUL     Spot                               5
STN_24  AUG     Striped bass                      15
STN_24  AUG     Striped killifish                 19
STN_24  JUL     Striped killifish                120
STN_24  SEP     Striped killifish                 34
STN_24  AUG     Winter flounder                    2
STN_25  JUL     Atlantic silverside                1
STN_25  AUG     Black drum                         3
STN_25  SEP     Black drum                         1
STN_25  AUG     Bluefish                           1
STN_25  JUL     Crevalle jack                      4
STN_25  AUG     Mullet sp.                        21
STN_25  AUG     Mummichog                         30
STN_25  JUL     Mummichog                          1
STN_25  SEP     Mummichog                          6
STN_25  AUG     Naked goby                         1
STN_25  SEP     Naked goby                        42
STN_25  JUL     Oyster toadfish                    1
STN_25  SEP     Oyster toadfish                    1
STN_25  AUG     Permit                             7
STN_25  SEP     Silver perch                       1
STN_25  AUG     Spot                               7
STN_25  AUG     Striped bass                       2
STN_25  SEP     Striped bass                       1
STN_25  AUG     Striped killifish                167
STN_25  JUL     Striped killifish                 21
STN_25  SEP     Striped killifish                  3
STN_26  AUG     Atlantic silverside                1
STN_26  SEP     Atlantic silverside               19
STN_26  JUL     Crevalle jack                      1
STN_26  AUG     Mullet sp.                         7
STN_26  SEP     Mullet white                      53
STN_26  AUG     Mummichog                         28
STN_26  JUL     Mummichog                         45
STN_26  SEP     Mummichog                          5
STN_26  AUG     Naked goby                         1
STN_26  SEP     Naked goby                         1
STN_26  AUG     Northern pipefish                  1
STN_26  SEP     Oyster toadfish                    2
STN_26  SEP     Rainwater killifish                4
STN_26  SEP     Silver perch                       4
STN_26  AUG     Spot                               1
STN_26  AUG     Striped bass                       1
STN_26  JUL     Striped bass                       1
STN_26  SEP     Striped bass                      12
STN_26  SEP     Striped blenny                     1
STN_26  AUG     Striped killifish                 10
