# StationID,Lat(deg.NAD27),Lon(deg.NAD27),Elev(m.NGVD29),Obs_grav(mGal),Free_air_anom(mGal),Inner_terr_corr(mGal),Total_terr_corr(mGal),Complete_Bouguer_anom(mGal),Isostatic_anom(mGal) -- see USGS OFR2006-1396 for more info
33046dhv,36.4383,-114.4067,417.3,979661.50,-65.84,0.05,0.17,-112.91,-7.57
33046eiw,36.4400,-114.3883,440.4,979650.28,-70.07,0.16,0.23,-119.69,-13.92
33046gjx,36.4817,-114.4700,503.5,979631.75,-72.74,0.35,0.37,-129.35,-23.88
33046hky,36.5067,-114.4300,383.4,979658.99,-84.71,0.10,0.29,-127.83,-21.41
33046ilz,36.5317,-114.4400,381.0,979657.76,-88.85,0.06,0.29,-131.69,-24.80
33047ama,36.5467,-114.4550,390.4,979657.47,-87.54,0.04,0.29,-131.45,-24.31
33047bpd,36.7183,-114.2350,445.0,979665.28,-77.73,0.15,1.30,-126.80,-8.56
33047cqe,36.6400,-114.2450,652.3,979645.67,-26.60,0.44,1.55,-98.85,16.62
33047drf,36.6200,-114.5000,440.4,979662.35,-73.57,0.06,0.19,-123.23,-14.02
33047esg,36.6000,-114.4900,420.3,979659.85,-80.54,0.15,0.37,-127.75,-19.20
33047gui,36.6950,-114.2567,441.4,979665.28,-76.82,0.28,1.47,-125.31,-8.59
33048avj,36.3783,-114.0367,634.3,979593.07,-62.14,0.09,0.86,-133.03,-12.32
33048bwk,36.3933,-114.0617,680.9,979589.39,-52.73,0.03,0.63,-129.12,-9.56
33048dxl,36.4083,-114.1150,747.7,979599.04,-23.77,0.06,0.62,-107.70,9.14
33048eym,36.4383,-114.1800,649.2,979618.90,-36.89,0.19,0.85,-109.48,4.53
33049azn,36.3400,-114.2333,920.5,979578.90,15.30,0.52,1.70,-87.04,22.70
33049cao,36.3633,-114.2383,851.6,979593.11,6.24,0.61,1.74,-88.30,21.50
33049dbp,36.3783,-114.2383,791.0,979604.92,-1.94,1.47,2.47,-88.92,21.12
33049ecq,36.3933,-114.2283,734.0,979617.29,-8.45,0.77,1.67,-89.80,21.00
33049gdr,36.4283,-114.2200,616.3,979639.97,-25.10,0.26,1.03,-93.80,17.99
33049jes,36.4600,-114.2583,477.9,979661.40,-49.11,0.65,1.41,-101.79,8.80
33050bgu,36.2500,-114.2567,982.1,979563.97,27.13,0.32,1.71,-82.14,25.47
33050chv,36.2667,-114.2317,1060.4,979552.04,37.92,0.18,1.66,-80.22,28.62
33050ejx,36.3067,-114.2333,947.0,979575.60,23.05,0.46,1.67,-82.30,26.97
33050fky,36.3167,-114.2350,945.2,979576.21,22.24,0.90,2.09,-82.50,26.82
33071ift,36.2650,-114.3850,363.0,979662.54,-66.60,0.03,0.69,-107.00,-3.83
33072agu,36.2933,-114.3800,363.6,979664.57,-66.82,0.02,0.63,-107.36,-3.63
33072bhv,36.3600,-114.3633,363.0,979660.40,-76.93,0.18,0.73,-117.30,-12.21
33072ciw,36.3833,-114.3500,363.0,979657.22,-82.13,0.03,0.57,-122.65,-16.83
33072djx,36.4117,-114.3750,363.6,979650.79,-90.82,0.07,0.40,-131.58,-25.99
33072flz,36.4617,-114.3733,363.0,979665.71,-80.40,0.03,0.28,-121.22,-14.68
33072gma,36.4783,-114.3917,363.3,979669.78,-77.68,0.15,0.38,-118.43,-11.98
33073fnb,36.3567,-114.4150,363.3,979655.39,-81.56,0.03,0.46,-122.24,-18.41
33073goc,36.3767,-114.3983,363.0,979654.10,-84.67,0.06,0.44,-125.32,-20.84
33086apd,36.8300,-114.0067,562.7,979603.36,-113.03,0.06,1.21,-175.48,-44.86
33086bqe,36.8200,-114.0367,522.1,979615.11,-112.93,0.04,1.09,-170.93,-41.92
33087arf,36.6917,-114.0217,942.4,979568.07,-19.18,0.46,3.40,-122.30,5.51
33087bsg,36.7133,-114.0283,819.0,979579.53,-47.67,0.17,2.27,-138.00,-10.30
33089awk,36.5083,-114.3733,576.7,979618.57,-65.63,2.80,3.24,-127.65,-20.08
33089bxl,36.5233,-114.3800,572.1,979620.32,-66.60,0.41,0.70,-130.63,-22.91
33089cym,36.5483,-114.3867,567.2,979618.85,-71.74,0.12,0.23,-135.69,-27.46
33089ezn,36.5667,-114.3950,567.5,979616.39,-75.70,0.15,0.21,-139.70,-31.14
33089fao,36.5800,-114.4150,472.4,979636.39,-86.19,0.14,0.15,-139.51,-30.92
33090bcq,36.5950,-114.7900,705.3,979622.32,-29.70,0.11,0.49,-108.99,5.19
33090eft,36.5650,-114.7167,588.0,979626.61,-59.01,0.02,0.09,-125.45,-14.79
33090fgu,36.5750,-114.7400,632.5,979623.29,-49.47,0.03,0.14,-120.88,-9.19
3N/304cs,36.3225,-114.3038,613.4,979641.41,-15.43,1.19,2.20,-82.62,23.94
3N/314qm,36.3255,-114.2942,646.3,979638.10,-8.83,1.27,2.44,-79.51,27.47
3e/024sq,36.2983,-114.3275,579.0,979639.21,-26.15,0.21,0.94,-90.72,14.68
3e/034bt,36.2982,-114.3218,610.2,979634.58,-21.14,0.28,1.05,-89.12,16.48
3e/215dg,36.2983,-114.3112,718.4,979615.85,-6.49,1.16,2.08,-85.66,20.33
3n/208tr,36.3023,-114.3257,590.3,979637.36,-24.87,0.22,0.96,-90.70,14.82
41_004qo,36.5845,-114.4050,572.7,979615.03,-77.00,0.60,0.63,-141.17,-32.28
41_012tr,36.2623,-114.4850,611.4,979625.14,-27.12,0.60,0.79,-95.50,5.76
41_013us,36.4662,-114.4582,523.0,979631.97,-65.16,0.15,0.15,-124.19,-18.99
41_016xv,36.4692,-114.5215,567.8,979627.46,-56.10,0.32,0.48,-119.87,-14.81
41_018yw,36.4517,-114.5162,638.5,979616.72,-43.52,0.75,0.82,-114.94,-10.22
41_019zx,36.3742,-114.4417,464.8,979644.47,-62.67,0.28,0.81,-114.47,-10.78
41_020ay,36.3617,-114.4812,549.8,979627.15,-52.69,2.74,3.71,-111.19,-8.15
41_022bz,36.2733,-114.5572,562.3,979640.18,-28.18,0.07,0.20,-91.60,9.50
41_041ge,36.6422,-114.3833,577.2,979622.49,-73.14,0.02,-0.02,-138.48,-27.19
41_042hf,36.6750,-114.3953,596.8,979621.46,-70.97,0.02,-0.04,-138.54,-26.21
41_043ig,36.6745,-114.4213,614.1,979618.21,-68.83,0.02,-0.04,-138.35,-26.45
41_045jh,36.6900,-114.4533,607.4,979633.60,-56.85,0.02,-0.03,-125.61,-13.32
41_053ki,36.7367,-114.2920,569.3,979636.32,-69.93,0.13,0.34,-134.01,-16.87
41_055lj,36.6933,-114.3350,455.3,979654.61,-83.06,0.47,0.92,-133.68,-19.34
41_057mk,36.7762,-114.2753,649.2,979626.46,-58.57,0.01,0.18,-131.83,-12.58
41_061nl,36.8428,-114.3317,847.0,979617.61,-12.17,0.04,0.54,-107.39,14.36
41_062om,36.8300,-114.3463,826.0,979621.89,-13.26,0.05,0.51,-106.14,14.67
41_069sq,36.2747,-114.4092,360.8,979666.92,-63.73,1.06,1.86,-102.72,0.01
41_070tr,36.2930,-114.3998,360.8,979664.57,-67.66,0.46,1.04,-107.46,-4.25
41_072us,36.3227,-114.4100,360.8,979659.86,-74.93,0.04,0.44,-115.34,-11.96
41_078vt,36.7617,-114.4240,637.0,979643.69,-43.84,0.02,0.28,-115.63,0.55
41_080wu,36.8052,-114.4697,783.9,979632.04,-13.94,0.61,1.47,-101.12,17.37
41_083xv,36.5497,-114.5500,582.1,979639.57,-46.54,0.81,0.97,-111.43,-4.29
41_085yw,36.6022,-114.5190,515.7,979648.29,-62.86,0.21,0.23,-120.98,-12.36
41_096db,36.3878,-114.7887,748.2,979596.04,-24.85,0.02,0.20,-109.26,-2.07
41_100ec,36.3053,-114.7752,947.6,979553.25,1.00,0.19,0.92,-105.18,-1.20
41_101fd,36.3197,-114.7932,868.3,979568.61,-9.33,0.04,0.44,-107.05,-2.20
41_108ge,36.4355,-114.8113,683.6,979611.14,-33.79,0.02,0.20,-110.91,-1.37
41_196ig,36.9037,-114.8943,758.9,979606.47,-55.78,0.06,1.13,-140.46,-10.29
41_208jh,36.7627,-114.2940,633.9,979624.32,-64.26,0.02,0.17,-135.80,-17.59
41_212ki,36.8435,-114.9072,684.5,979631.49,-48.49,0.02,1.04,-124.88,3.26
41_599nl,36.4610,-114.4363,487.3,979641.94,-65.75,0.05,0.07,-120.84,-15.53
41_613om,36.4478,-114.4310,491.6,979649.07,-56.16,0.07,0.09,-111.71,-6.56
41_G01up,36.4250,-114.4147,437.3,979659.58,-60.44,0.04,0.15,-109.79,-4.84
41_G07vq,36.4325,-114.3558,361.7,979653.49,-90.50,0.34,0.67,-130.78,-24.32
41_G12wr,36.3933,-114.3758,361.7,979652.53,-88.08,0.05,0.40,-128.62,-23.33
41_G17xs,36.4388,-114.3283,361.7,979652.92,-91.61,0.07,0.54,-132.03,-24.56
41_G30yt,36.4910,-114.3755,362.1,979671.46,-77.46,0.10,0.38,-118.08,-10.96
41_G34zu,36.4767,-114.3032,438.9,979640.35,-83.63,0.05,0.43,-132.88,-23.82
41_G35av,36.4975,-114.3108,401.7,979650.65,-86.62,0.46,0.98,-131.11,-21.87
41_G36bw,36.5070,-114.2982,439.8,979646.86,-79.47,0.35,0.90,-128.36,-18.43
41_G38cx,36.5292,-114.2740,524.2,979642.47,-59.74,0.11,0.78,-118.28,-6.85
41_G40dy,36.5480,-114.2605,582.7,979640.39,-45.40,0.13,0.92,-110.40,2.06
441155qe,36.2845,-114.5137,504.4,979649.46,-37.72,0.18,0.43,-94.37,7.09
441156rf,36.3293,-114.4838,517.2,979638.10,-49.00,0.05,0.52,-107.01,-4.53
