Greenville, SC 	United Kingdom 	-2 	463789877 	295941202
Hartford-West Hartford-East Hartford, CT 	Canada 	464018640 	539637695 	295581351
Hartford-West Hartford-East Hartford, CT 	Federal Republic of Germany 	716581772 	990708901 	541861860
Hartford-West Hartford-East Hartford, CT 	France 	-1 	-1 	-1
Hartford-West Hartford-East Hartford, CT 	Japan 	-2 	463382146 	-2
Hartford-West Hartford-East Hartford, CT 	Mexico 	-2 	-2 	182018514
Hartford-West Hartford-East Hartford, CT 	Residual 	2658501924 	3201251488 	-1
Hartford-West Hartford-East Hartford, CT 	Singapore 	-1 	-1 	187479088
Hartford-West Hartford-East Hartford, CT 	United Kingdom 	410112890 	-2 	-2
Houston-Sugar Land-Baytown, TX 	Brazil 	-2 	2100276430 	1330619791
Houston-Sugar Land-Baytown, TX 	Canada 	5752534846 	6171902698 	3572117808
Houston-Sugar Land-Baytown, TX 	China 	2390851828 	3081216314 	1885861382
Houston-Sugar Land-Baytown, TX 	Korea, South 	1551374546 	-2 	-2
Houston-Sugar Land-Baytown, TX 	Mexico 	6550592871 	7532901153 	3685575961
Houston-Sugar Land-Baytown, TX 	Netherlands 	-2 	2962517695 	1775329703
Houston-Sugar Land-Baytown, TX 	Residual 	23955222230 	31432176396 	17644287488
Houston-Sugar Land-Baytown, TX 	Singapore 	1547343903 	-2 	-2
Indianapolis-Carmel, IN 	Brazil 	366444302 	-2 	-2
Indianapolis-Carmel, IN 	Canada 	1967472448 	2023004114 	1021717625
Indianapolis-Carmel, IN 	Federal Republic of Germany 	-2 	439115570 	340577453
Indianapolis-Carmel, IN 	France 	-1 	1060737622 	663868435
Indianapolis-Carmel, IN 	Mexico 	857485893 	702988891 	296134032
Indianapolis-Carmel, IN 	Residual 	-1 	2432383226 	1277941337
Indianapolis-Carmel, IN 	United Kingdom 	491862455 	682093966 	326466859
Kansas City, MO-KS 	Canada 	1597558845 	1795647041 	998961432
Kansas City, MO-KS 	China 	220127474 	274632994 	140861479
Kansas City, MO-KS 	Italy 	144229362 	-2 	-2
Kansas City, MO-KS 	Japan 	668124017 	751250001 	494881624
Kansas City, MO-KS 	Mexico 	814334191 	852779924 	538216854
Kansas City, MO-KS 	Netherlands 	-2 	-2 	109548642
Kansas City, MO-KS 	Residual 	1471023965 	1793883309 	896959677
Kansas City, MO-KS 	Taiwan 	-2 	213358624 	-2
Laredo, TX 	Australia 	-1 	-1 	-1
Laredo, TX 	Brazil 	-2 	19312231 	19295330
Laredo, TX 	Canada 	416196884 	512302875 	312162328
Laredo, TX 	Chile 	-1 	-2 	-2
Laredo, TX 	China 	-2 	-2 	8884705
Laredo, TX 	Ireland 	-2 	-1 	-2
Laredo, TX 	Japan 	19666554 	-2 	-2
Laredo, TX 	Mexico 	2932845398 	3679219891 	1755999537
Laredo, TX 	Residual 	121331097 	150959300 	-1
Los Angeles-Long Beach-Santa Ana, CA 	Canada 	6397107178 	6894866095 	3916451969
Los Angeles-Long Beach-Santa Ana, CA 	China 	3649197796 	5068143669 	2780280267
Los Angeles-Long Beach-Santa Ana, CA 	Japan 	5777219918 	5791435421 	3012241008
Los Angeles-Long Beach-Santa Ana, CA 	Korea, South 	2412448932 	2577359832 	1583097992
Los Angeles-Long Beach-Santa Ana, CA 	Mexico 	6115259254 	7847119388 	3257129556
Los Angeles-Long Beach-Santa Ana, CA 	Residual 	19462940012 	20539175639 	11436004886
Louisville-Jefferson County, KY-IN 	Canada 	1907331708 	2148690086 	1202837674
Louisville-Jefferson County, KY-IN 	China 	-2 	-2 	114778235
Louisville-Jefferson County, KY-IN 	Federal Republic of Germany 	139927991 	260163863 	129011288
Louisville-Jefferson County, KY-IN 	Japan 	171606175 	233074881 	-2
Louisville-Jefferson County, KY-IN 	Mexico 	232930659 	289681239 	148092541
Louisville-Jefferson County, KY-IN 	Residual 	1150061649 	1595093784 	943044257
Louisville-Jefferson County, KY-IN 	Taiwan 	122394507 	218449810 	167147801
McAllen-Edinburg-Mission, TX 	Belgium 	-1 	-2 	-2
McAllen-Edinburg-Mission, TX 	Canada 	300812581 	-2 	-2
McAllen-Edinburg-Mission, TX 	Mexico 	2043511188 	-2 	-2
McAllen-Edinburg-Mission, TX 	Netherlands 	114826503 	-2 	-2
McAllen-Edinburg-Mission, TX 	Residual 	-1 	-2 	-2
McAllen-Edinburg-Mission, TX 	United Kingdom 	125454882 	-2 	-2
Memphis, TN-MS-AR 	Canada 	1085231382 	1462411107 	729069042
Memphis, TN-MS-AR 	China 	764824762 	591073007 	245906490
Memphis, TN-MS-AR 	Mexico 	728797503 	857361452 	457857657
Memphis, TN-MS-AR 	Netherlands 	345335210 	413011661 	-2
Memphis, TN-MS-AR 	Residual 	3022890032 	3317535239 	1909028233
Memphis, TN-MS-AR 	Singapore 	-2 	-2 	294633430
Memphis, TN-MS-AR 	United Kingdom 	334157422 	442761813 	226961528
