JD,Date,Time,Lat,Long,"xCO2,w","xCO2,a",EqTemp,Pressure,SST(TSG),Sal(TSG),"fCO2w,eq","fCO2w,in situ",fCO2a,dfCO2
308.282188,11/04/01,06:46:21,34.98505049,-134.9110111,354.0661064,373.9772854,16.377815,1022.344971,16.30860053,32.11534247,349.6365598,348.6422636,369.4877142,-20.84545058
308.285301,11/04/01,06:50:50,34.97885955,-134.9171839,352.7751099,373.9772854,16.333593,1022.930908,16.26437853,32.11684932,348.5819997,347.5902725,369.4877142,-21.89744163
308.288426,11/04/01,06:55:20,34.97264474,-134.9233805,352.9393157,373.9772854,16.44268,1022.473145,16.37346553,32.11835616,348.543329,347.5524378,369.4877142,-21.93527642
308.291551,11/04/01,06:59:50,34.96642993,-134.9295772,353.6199164,373.9772854,16.410246,1022.381592,16.34103153,32.11986301,349.1961738,348.2032919,369.4877142,-21.28442232
308.323854,11/04/01,07:46:21,34.90218773,-134.9936316,355.5655649,372.4021961,15.552893,1022.30835,15.48367853,32.13643836,351.4168883,350.4121835,368.004953,-17.59276945
308.326956,11/04/01,07:50:49,34.89601866,-134.9997826,355.6127431,372.4021961,15.173147,1022.445679,15.10393253,32.13794521,351.6502352,350.642326,368.004953,-17.36262697
308.330081,11/04/01,07:55:19,34.88980386,-135.0059793,357.3127315,372.4021961,16.021197,1022.189331,15.95198253,32.13945205,352.9255658,351.9199165,368.004953,-16.08503651
308.333218,11/04/01,07:59:50,34.88356518,-135.0121997,358.9210862,372.4021961,15.738411,1022.344971,15.66919653,32.1409589,354.6766412,353.6642972,368.004953,-14.34065581
308.365521,11/04/01,08:46:21,34.81932298,-135.0762541,359.245384,371.8570613,16.90879,1022.381592,16.5,31.97,354.6879875,348.7969478,367.1810203,-18.38407247
308.368623,11/04/01,08:50:49,34.81315391,-135.0824052,363.1955406,371.8570613,17.192247,1022.354126,16.98,31.88,358.38265,355.2870628,367.1810203,-11.89395753
308.371759,11/04/01,08:55:20,34.80691723,-135.0886236,365.4155537,371.8570613,17.168618,1022.134399,17.1,32,360.444743,359.4353444,367.1810203,-7.745675861
308.374884,11/04/01,08:59:50,34.80070242,-135.0948202,366.4437044,371.8570613,17.266098,1022.253418,17.16,31.98,361.4765269,359.9137498,367.1810203,-7.267270507
308.407188,11/04/01,09:46:21,34.73645823,-135.1588766,367.1353514,372.1867301,17.292688,1021.960449,17.18,32.15,362.045229,360.3834143,367.1121594,-6.728745089
308.410301,11/04/01,09:50:50,34.73026729,-135.1650495,367.3033181,372.1867301,17.384291,1021.97876,17.21,32.18,362.2049198,359.6383878,367.1121594,-7.473771629
308.413426,11/04/01,09:55:20,34.72405248,-135.1712461,368.5279317,372.1867301,17.520262,1021.749878,17.34,32.09,363.273863,360.6147087,367.1121594,-6.497450741
308.416551,11/04/01,09:59:50,34.71783768,-135.1774428,368.8162948,372.1867301,17.402024,1021.713257,17.38,32.21,363.528158,363.2017387,367.1121594,-3.910420779
308.448854,11/04/01,10:46:21,34.65359547,-135.2414972,369.4409447,371.304038,17.493655,1021.237183,17.39,32,363.9657681,362.4312398,365.8894785,-3.458238772
308.451956,11/04/01,10:50:49,34.64742641,-135.2476482,369.5131563,371.304038,17.428624,1021.182251,17.35,32,364.034128,362.8688442,365.8894785,-3.02063434
308.455081,11/04/01,10:55:19,34.6412116,-135.2538448,369.6094464,371.304038,17.328145,1021.328735,17.35,31.96,364.1820825,364.5070078,365.8894785,-1.382470765
308.458218,11/04/01,10:59:50,34.63497293,-135.2600653,369.8020539,371.304038,17.37247,1021.347046,17.33,31.94,364.3870262,363.7562909,365.8894785,-2.133187604
308.490521,11/04/01,11:46:21,34.57073072,-135.3241197,371.615631,372.39962,17.520262,1021.127319,17.49,32.34,366.0260296,365.5750119,366.8108612,-1.235849217
308.493623,11/04/01,11:50:49,34.56456166,-135.3302707,371.6879703,372.39962,17.511393,1021.237183,17.53,32.34,366.1200192,366.3976947,366.8108612,-0.413166513
308.496759,11/04/01,11:55:20,34.55832497,-135.3364892,371.1576018,372.39962,17.594182,1021.31958,17.49,32.47,365.6455779,364.0975293,366.8108612,-2.713331839
308.499884,11/04/01,11:59:50,34.55211017,-135.3426858,371.4950769,372.39962,17.523219,1021.081543,17.5,32.4,365.8864501,365.540483,366.8108612,-1.27037812
308.532188,11/04/01,12:46:21,34.48786597,-135.4067422,374.1399759,373.906601,17.69474,1021.008301,17.71,32.38,368.3718069,368.6005688,368.2096128,0.390956076
308.535289,11/04/01,12:50:49,34.4816989,-135.4128913,373.174139,373.906601,17.588268,1020.806885,17.6,32.52,367.3960063,367.5715506,368.2096128,-0.638062159
308.538426,11/04/01,12:55:20,34.47546023,-135.4191117,372.3297858,373.906601,17.552785,1020.953369,17.52,32.43,366.6530152,366.16373,368.2096128,-2.045882722
308.541551,11/04/01,12:59:50,34.46924542,-135.4253083,371.8958211,373.906601,17.502524,1020.724487,17.5,32.44,366.1507083,366.1130532,368.2096128,-2.096559608
308.573854,11/04/01,13:46:21,34.40500321,-135.4893627,370.8265977,372.3197562,17.555742,1021.237183,17.49,32.25,365.2885797,364.3116047,366.7578281,-2.446223484
308.576956,11/04/01,13:50:49,34.39883415,-135.4955138,370.70628,372.3197562,17.514349,1021.218872,17.48,32.24,365.1676818,364.6569207,366.7578281,-2.100907415
308.580081,11/04/01,13:55:19,34.39261934,-135.5017104,370.3454148,372.3197562,17.50548,1020.97168,17.47,32.22,364.7264281,364.1994384,366.7578281,-2.558389751
308.583218,11/04/01,13:59:50,34.38638067,-135.5079308,370.3935226,372.3197562,17.6444865,1020.944214,17.46,32.27,364.7683249,367.134662,366.7578281,0.376833838
308.615521,11/04/01,14:46:21,34.32213847,-135.5719853,372.4156262,371.8699029,17.783493,1021.109009,17.64,32.2,366.7410589,364.607253,366.2960945,-1.688841464
308.618623,11/04/01,14:50:49,34.3159694,-135.5781363,374.6579424,371.8699029,18.017332,1021.337891,17.84,32.19,368.9444973,366.2984153,366.2960945,0.002320801
308.621759,11/04/01,14:55:20,34.30973272,-135.5843547,376.0831127,371.8699029,18.058791,1021.401978,17.99,32.31,370.3044294,369.2723672,366.2960945,2.976272771
308.624884,11/04/01,14:59:50,34.30351791,-135.5905514,377.6071551,371.8699029,18.159501,1021.64917,18.05,32.36,371.8697058,370.2227453,366.2960945,3.926650887
308.657188,11/04/01,15:46:21,34.23927372,-135.6546078,380.951906,372.0432582,18.304704,1022.207642,18.26,32.38,375.2756074,374.5971411,366.3660757,8.231065335
308.660289,11/04/01,15:50:49,34.23310664,-135.6607568,381.1460868,372.0432582,18.295812,1022.079468,18.27,32.39,375.4142219,375.0221649,366.3660757,8.656089169
308.663426,11/04/01,15:55:20,34.22686797,-135.6669773,381.243191,372.0432582,18.358063,1022.189331,18.27,32.36,375.5509327,374.2151393,366.3660757,7.84906359
308.666551,11/04/01,15:59:50,34.22065316,-135.6731739,381.2189141,372.0432582,18.289884,1022.161865,18.27,32.35,375.5166782,375.2145341,366.3660757,8.848458315
308.698854,11/04/01,16:46:21,34.15641096,-135.7372283,382.3768676,373.0016549,18.417364,1022.857666,18.37,32.29,376.8717439,376.1505867,367.5129448,8.637641915
308.701956,11/04/01,16:50:49,34.15024189,-135.7433793,382.2553087,373.0016549,18.251355,1022.4823,18.31,32.24,376.6388175,377.5341494,367.5129448,10.02120453
308.705081,11/04/01,16:55:19,34.14402709,-135.749576,382.1337638,373.0016549,18.369922,1022.683716,18.3,32.22,376.5993633,375.5356139,367.5129448,8.022669029
308.708218,11/04/01,16:59:50,34.13778841,-135.7557964,382.3768676,373.0016549,18.381782,1022.546387,18.32,32.2,376.7778246,375.8374088,367.5129448,8.324463986
308.740521,11/04/01,17:46:21,34.07354621,-135.8198508,381.0786272,372.5012988,18.358063,1022.518921,18.27,32.08,375.5111724,374.1755141,367.0271996,7.148314459
308.743634,11/04/01,17:50:50,34.06735527,-135.8260237,381.1029106,372.5012988,18.363993,1022.637939,18.26,32.06,375.5842948,374.0073039,367.0271996,6.980104257
308.746759,11/04/01,17:55:20,34.06114046,-135.8322203,382.001788,372.5012988,18.387712,1022.509766,18.34,32.03,376.3843633,375.6586614,367.0271996,8.631461744
308.749884,11/04/01,17:59:50,34.05492565,-135.838417,382.0260926,372.5012988,18.390677,1022.518921,18.33,32.04,376.4164914,375.4937768,367.0271996,8.466577125
308.782188,11/04/01,18:46:21,33.99068146,-135.9024733,382.5142226,372.6221191,18.444053,1023.178101,18.38,32.24,377.1227427,376.1473695,367.3244934,8.822876129
308.785289,11/04/01,18:50:49,33.98451438,-135.9086224,382.8788519,372.6221191,18.42626,1023.196411,18.38,32.21,377.4889995,376.7835779,367.3244934,9.459084539
308.788426,11/04/01,18:55:20,33.97827571,-135.9148428,382.8788519,372.6221191,18.42626,1023.022461,18.37,32.19,377.4281305,376.5705237,367.3244934,9.246030347
308.791551,11/04/01,18:59:50,33.97206091,-135.9210395,383.0247399,372.6221191,18.444053,1023.214722,18.39,32.16,377.6347938,376.8104632,367.3244934,9.485969861
308.823854,11/04/01,19:46:21,33.9078187,-135.9850939,383.613407,371.7137484,18.696253,1022.912598,18.55,32.39,378.0261011,375.8014911,366.3950281,9.406462935
308.826956,11/04/01,19:50:49,33.90164964,-135.9912449,384.2708746,371.7137484,18.669538,1022.610474,18.52,32.39,378.5741515,376.2961588,366.3950281,9.901130653
308.830081,11/04/01,19:55:19,33.89543483,-135.9974416,384.3195924,371.7137484,18.598311,1022.894287,18.54,32.36,378.7197341,377.8290519,366.3950281,11.43402376
308.833218,11/04/01,19:59:50,33.88919616,-136.003662,384.3439522,371.7137484,18.521171,1022.711182,18.53,32.47,378.6797812,378.8148826,366.3950281,12.41985447
308.865521,11/04/01,20:46:21,33.82495395,-136.0677164,386.4368229,371.7557801,18.812052,1022.32666,18.74,32.35,380.4935883,379.3900306,366.0058516,13.384179
308.868623,11/04/01,20:50:49,33.81878489,-136.0738674,386.0705056,371.7557801,18.642825,1022.125244,18.66,32.32,380.0950912,380.3586636,366.0058516,14.35281201
308.871759,11/04/01,20:55:20,33.8125482,-136.0800859,385.0942867,371.7557801,18.610181,1022.32666,18.51,32.28,379.2821729,377.7511897,366.0058516,11.74533813
308.874884,11/04/01,20:59:50,33.8063334,-136.0862825,384.5577552,371.7557801,18.536003,1022.32666,18.48,32.49,378.7689657,377.9130242,366.0058516,11.9071726
308.907188,11/04/01,21:46:21,33.7420892,-136.1503389,384.5847532,371.8219171,18.63689,1021.640015,18.5,32.9,378.5280649,376.441988,366.0484337,10.39355429
308.910289,11/04/01,21:50:49,33.73592213,-136.156488,385.6825447,371.8219171,18.898194,1021.914673,18.7,32.92,379.6165344,376.5971239,366.0484337,10.54869019
308.913426,11/04/01,21:55:20,33.72968346,-136.1627084,386.3173476,371.8219171,18.803142,1022.097778,18.79,32.97,380.2673699,380.0659482,366.0484337,14.01751455
308.916551,11/04/01,21:59:50,33.72346865,-136.168905,387.074729,371.8219171,18.918991,1021.759033,18.84,32.96,380.8594204,379.6495363,366.0484337,13.60110259
308.948854,11/04/01,22:46:21,33.65922644,-136.2329595,385.6307888,372.5863593,18.844723,1022.180176,18.75,32.86,379.6417795,378.1950769,366.7664383,11.42863862
308.951956,11/04/01,22:50:49,33.65305738,-136.2391105,386.4126123,372.5863593,18.862545,1022.061157,18.84,32.86,380.3223136,379.9769358,366.7664383,13.21049754
308.955081,11/04/01,22:55:19,33.64684257,-136.2453071,386.2659778,372.5863593,18.812052,1021.896362,18.82,33.07,380.1260884,380.247905,366.7664383,13.48146676
308.958218,11/04/01,22:59:50,33.6406039,-136.2515276,386.4370533,372.5863593,18.921962,1022.143555,18.81,33.07,380.3932803,378.6815629,366.7664383,11.91512463
308.990521,11/04/01,23:46:21,33.5763617,-136.315582,384.5936241,372.6564741,19.073543,1022.180176,18.88,32.83,378.5573829,375.6199569,366.7219677,8.897989187
308.993623,11/04/01,23:50:49,33.57019263,-136.321733,387.2324699,372.6564741,19.576559,1022.180176,19.16,32.89,381.0163703,374.7052971,366.7219677,7.983329412
308.996759,11/04/01,23:55:20,33.56395595,-136.3279515,389.2159696,372.6564741,19.448464,1022.198486,19.43,33.06,382.8392323,382.5557163,366.7219677,15.83374863
308.999884,11/04/01,23:59:50,33.55774114,-136.3341481,390.4912995,372.6564741,19.576559,1022.106934,19.44,33.06,384.0533893,381.9570062,366.7219677,15.23503852
309.032188,11/05/01,00:46:21,33.49349695,-136.3982045,389.9439895,371.2519647,19.499097,1022.665405,19.47,32.96,383.7134833,383.2659762,365.1344205,18.13155571
309.035301,11/05/01,00:50:50,33.48730601,-136.4043773,390.70515,371.2519647,19.65703,1022.216797,19.48,32.95,384.2849134,381.5693932,365.1344205,16.43497277
309.038426,11/05/01,00:55:20,33.4810912,-136.410574,391.1719358,371.2519647,19.56762,1022.299194,19.47,32.94,384.7808206,383.2782363,365.1344205,18.14381579
309.041551,11/05/01,00:59:50,33.47487639,-136.4167706,390.7788395,371.2519647,19.40082,1022.033691,19.45,32.88,384.3020764,385.0612721,365.1344205,19.92685166
309.073854,11/05/01,01:46:21,33.41063419,-136.480825,386.8099841,370.8823533,18.800172,1022.143555,18.79,32.45,380.7674064,380.6112964,364.9602473,15.65104911
309.076956,11/05/01,01:50:49,33.40446512,-136.4869761,386.5407009,370.8823533,18.895223,1022.399902,18.77,32.43,380.6094533,378.6941163,364.9602473,13.73386897
309.080081,11/05/01,01:55:19,33.39825032,-136.4931727,385.8066275,370.8823533,18.832842,1022.280884,18.78,32.42,379.836571,379.0283732,364.9602473,14.06812591
309.083218,11/05/01,01:59:50,33.39201164,-136.4993931,385.8066275,370.8823533,18.832842,1022.4823,18.73,32.36,379.9370426,378.365301,364.9602473,13.40505372
309.115521,11/05/01,02:46:21,33.32776944,-136.5634475,385.5675085,371.1595844,19.121118,1023.251343,19.07,32.22,379.825975,379.0456944,365.4741718,13.5715226
309.118623,11/05/01,02:50:49,33.32160037,-136.5695986,386.0078114,371.1595844,19.076516,1022.894287,19.04,32.2,380.138924,379.5807585,365.4741718,14.1065867
309.121759,11/05/01,02:55:20,33.31536369,-136.575817,385.9099512,371.1595844,18.981394,1022.885132,18.98,32.18,380.0686028,380.0472694,365.4741718,14.57309766
309.124884,11/05/01,02:59:50,33.30914888,-136.5820137,385.6164224,371.1595844,19.01706,1022.8302,18.92,32.15,379.7880402,378.3069317,365.4741718,12.83275995
309.157188,11/05/01,03:46:21,33.24490469,-136.6460701,387.0692657,371.2893031,18.91602,1023.013306,18.9,32.42,381.2996799,381.0537184,365.6111107,15.44260775
309.160301,11/05/01,03:50:50,33.23871375,-136.6522429,387.4860343,371.2893031,18.871457,1023.187256,18.88,32.35,381.7860593,381.9174885,365.6111107,16.30637784
309.163426,11/05/01,03:55:20,33.23249894,-136.6584395,387.4124757,371.2893031,18.88631,1023.260498,18.85,32.33,381.7561408,381.1981354,365.6111107,15.58702478
309.166551,11/05/01,03:59:50,33.22628414,-136.6646362,387.6576894,371.2893031,18.809082,1023.452759,18.82,32.3,382.085668,382.2538416,365.6111107,16.64273095
309.198854,11/05/01,04:46:21,33.16204193,-136.7286906,386.8054469,372.788389,18.99031,1023.64502,18.87,32.11,381.2934739,379.4511535,367.5152705,11.93588301
309.201956,11/05/01,04:50:49,33.15587287,-136.7348416,387.5400005,372.788389,19.008143,1023.64502,18.88,32.09,382.0125527,380.0473044,367.5152705,12.53203393
309.205081,11/05/01,04:55:19,33.14965806,-136.7410383,387.2706076,372.788389,18.960591,1023.635864,18.89,32.07,381.7385079,380.6550307,367.5152705,13.13976023
309.208218,11/05/01,04:59:50,33.14341939,-136.7472587,387.1726628,372.788389,19.240098,1023.974609,19.06,32.09,381.6870277,378.9345147,367.5152705,11.41924425
309.240521,11/05/01,05:46:21,33.07917718,-136.8113131,385.9839227,372.2874298,19.243073,1024.093628,19.18,32.08,380.5006465,379.5372941,366.8587994,12.67849463
309.243623,11/05/01,05:50:49,33.07300812,-136.8174641,385.9595213,372.2874298,19.329374,1023.983765,19.17,32.06,380.4397806,378.0120859,366.8587994,11.15328645
309.246759,11/05/01,05:55:20,33.06677143,-136.8236826,385.9351205,372.2874298,19.25795,1023.965454,19.19,32.03,380.398672,379.3613041,366.8587994,12.50250467
309.249884,11/05/01,05:59:50,33.06055663,-136.8298792,386.0327271,372.2874298,19.409753,1024.240112,19.36,32.04,380.513969,379.7547094,366.8587994,12.89591001
309.282188,11/05/01,06:46:21,32.99631243,-136.8939356,387.1690468,372.3260079,19.56166,1023.937988,19.47,32.15,381.4637385,380.0642745,366.8762568,13.18801768
309.285301,11/05/01,06:50:50,32.99012149,-136.9001085,388.0239793,372.3260079,19.621261,1023.99292,19.48,32.16,382.3219856,380.1636218,366.8762568,13.28736493
309.288426,11/05/01,06:55:20,32.98390669,-136.9063051,389.2954683,372.3260079,19.594439,1023.956299,19.61,32.24,383.4943837,383.7336347,366.8762568,16.85737781
309.291551,11/05/01,06:59:50,32.97769188,-136.9125018,388.5617268,372.3260079,19.579539,1023.947144,19.49,32.15,382.8291822,381.4575444,366.8762568,14.58128753
309.323854,11/05/01,07:46:21,32.91344967,-136.9765562,391.3801952,371.9269919,19.665973,1023.828125,19.66,33.1,385.4768213,385.384619,366.2542695,19.13034944
309.326956,11/05/01,07:50:49,32.90728061,-136.9827072,390.8401703,371.9269919,19.531866,1023.608398,19.6,33.04,384.8912631,385.9440328,366.2542695,19.68976327
309.330081,11/05/01,07:55:19,32.9010658,-136.9889038,389.2217381,371.9269919,19.466333,1023.782349,19.48,32.99,383.4253891,383.6356628,366.2542695,17.38139332
309.333218,11/05/01,07:59:50,32.89482713,-136.9951243,388.3155131,371.9269919,19.549742,1023.736572,19.46,32.94,382.5251406,381.1511566,366.2542695,14.89688707
