                                                           NATIONAL LIST OF VASCULAR PLANT SPECIES THAT OCCUR IN WETLANDS:  1996 SYNONYMY

   SYNONYM                                                                                     ACCEPTED SCIENTIFIC NAME                                                                   SOURCE
   Actinomeris alternifolia (L.) DC.                                                           Verbesina alternifolia (L.) Britt. ex Kearney                                              KAR94    
   Actinomeris heterophylla Chapman                                                            Verbesina heterophylla (Chapman) Gray                                                      KAR94    
   Actinomeris pauciflora Nutt.                                                                Verbesina heterophylla (Chapman) Gray                                                      KAR94    
*  Actinostachys germanii Fée                                                                  Actinostachys pennula (Sw.) Hook.                                                          KAR94    
   Acuan illinoense (Michx.) Kuntze                                                            Desmanthus illinoensis (Michx.) MacM. ex B.L. Robins. & Fern.                              KAR94    
*  Adenostemma viscosum J.R. & G. Forst.                                                       Adenostemma lavenia (L.) Kuntze                                                            KAR94    
   Adiantum capillus-veneris var. modestum (Underwood) Fern.                                   Adiantum capillus-veneris L.                                                               KAR94    
   Adiantum capillus-veneris var. protrusum Fern.                                              Adiantum capillus-veneris L.                                                               KAR94    
   Adiantum modestum Underwood                                                                 Adiantum capillus-veneris L.                                                               KAR94    
   Adiantum pedatum ssp. aleuticum (Rupr.) Calder & Taylor                                     Adiantum aleuticum (Rupr.) Paris                                                           KAR94    
   Adiantum pedatum ssp. calderi Cody                                                          Adiantum aleuticum (Rupr.) Paris                                                           KAR94    
   Adiantum pedatum ssp. subpumilum (W.H. Wagner) Lellinger                                    Adiantum aleuticum (Rupr.) Paris                                                           KAR94    
   Adiantum pedatum var. aleuticum Rupr.                                                       Adiantum aleuticum (Rupr.) Paris                                                           KAR94    
   Adiantum pedatum var. subpumilum W.H. Wagner                                                Adiantum aleuticum (Rupr.) Paris                                                           KAR94    
   Adicea fontana Lunell                                                                       Pilea fontana (Lunell) Rydb.                                                               KAR94    
   Adike pumila (L.)RAF.                                                                       Pilea pumila (L.) Gray                                                                     NLSPN    
   Adipera bicapsularis (L.) Britt. & Rose ex Britt. & Wilson                                  Senna bicapsularis (L.) Roxb.                                                              KAR94    
   Adipera stahlii (Urban) Britt. & Rose ex Britt. & Wilson                                    Senna pendula var. stahlii (Urban) Irwin & Barneby                                         KAR94    
   Aegilops exaltata L.                                                                        Rottboellia cochinchinensis (Lour.) Clayton                                                KAR94    
   Aegilops incurva L.                                                                         Parapholis incurva (L.) C.E. Hubbard                                                       KAR94    
   Aegopodium podagraria var. variegatum Bailey                                                Aegopodium podagraria L.                                                                   KAR94    
   Aeschynomene americana var. glandulosa (Poir.) Rudd                                         Aeschynomene americana L.                                                                  KAR94    
   Aeschynomene emerus Aubl.                                                                   Sesbania emerus (Aubl.) Urban                                                              KAR94    
   Aeschynomene portoricensis Urban                                                            Aeschynomene gracilis Vogel                                                                KAR94    
   Aesculus arguta Buckl.                                                                      Aesculus glabra var. arguta (Buckl.) B.L. Robins.                                          KAR94    
   Aesculus georgiana Sarg.                                                                    Aesculus sylvatica Bartr.                                                                  KAR94    
   Aesculus glabra var. buckleyi Sarg.                                                         Aesculus glabra var. arguta (Buckl.) B.L. Robins.                                          KAR94    
   Aesculus octandra Marsh.                                                                    Aesculus flava Ait.                                                                        KAR94    
   Aesculus octandra var. vestita Sarg.                                                        Aesculus flava Ait.                                                                        KAR94    
   Aesculus octandra var. virginica Sarg.                                                      Aesculus flava Ait.                                                                        KAR94    
   Aesculus sylvatica var. lanceolata (Sarg.) Bartr.                                           Aesculus sylvatica Bartr.                                                                  KAR94    
   Afzelia cassioides J.F. Gmel.                                                               Seymeria cassioides (J.F. Gmel.) Blake                                                     KAR94    
   Afzelia macrophylla (Nutt.) Kuntze                                                          Dasistoma macrophylla (Nutt.) Raf.                                                         KAR94    
   Agalinis decemloba (Greene) Pennell                                                         Agalinis obtusifolia Raf.                                                                  KAR94    
   Agalinis delicatula Pennell                                                                 Agalinis pinetorum Pennell                                                                 KAR94    
   Agalinis fasciculata var. peninsularis Pennell                                              Agalinis fasciculata (Ell.) Raf.                                                           KAR94    
   Agalinis georgiana (C.L. Boynt.) Pennell                                                    Agalinis fasciculata (Ell.) Raf.                                                           KAR94    
*  Agalinis harperi Pennell                                                                    Agalinis pinetorum Pennell                                                                 KAR94    
   Agalinis keyensis Pennell                                                                   Agalinis oligophylla Pennell                                                               KAR94    
   Agalinis oligophylla var. pseudophylla Pennell                                              Agalinis oligophylla Pennell                                                               KAR94    
   Agalinis parvifolia (Benth.) Small ex Britt.                                                Agalinis obtusifolia Raf.                                                                  KAR94    
   Agalinis pinetorum var. delicatula (Pennell) Pennell                                        Agalinis pinetorum Pennell                                                                 KAR94    
   Agalinis pseudophylla (Pennell) Shinners                                                    Agalinis oligophylla Pennell                                                               KAR94    
   Agalinis purpurea var. carteri Pennell                                                      Agalinis purpurea (L.) Pennell                                                             KAR94    
   Agalinis purpurea var. racemulosa (Pennell) Boivin                                          Agalinis fasciculata (Ell.) Raf.                                                           KAR94    
   Agalinis tenella Pennell                                                                    Agalinis obtusifolia Raf.                                                                  KAR94    
*  Agalinis virgata Raf.                                                                       Agalinis fasciculata (Ell.) Raf.                                                           KAR94    
   Agaloma marginata (Pursh) A.& D. Löve                                                       Euphorbia marginata Pursh                                                                  KAR94    
   X Agrohordeum macounii (Vasey) Lepage                                                       X Elyhordeum macounii (Vasey) Barkworth & Dewey                                            KAR94    
   X Agrohordeum macounii var. valencianum Bowden                                              X Elyhordeum macounii (Vasey) Barkworth & Dewey                                            KAR94    
