                                                           NATIONAL LIST OF VASCULAR PLANT SPECIES THAT OCCUR IN WETLANDS:  1996 SYNONYMY

   SYNONYM                                                                                     ACCEPTED SCIENTIFIC NAME                                                                   SOURCE
*  Genipa clusiifolia Jacq.                                                                    Casasia clusiifolia (Jacq.) Urban                                                          KAR94    
   Gentiana affinis var. bigelovii (Gray) Kusnez.                                              Gentiana affinis Griseb.                                                                   KAR94    
   Gentiana affinis var. forwoodii (Gray) Kusnez.                                              Gentiana affinis Griseb.                                                                   KAR94    
   Gentiana affinis var. major A. Nels. & Kennedy                                              Gentiana affinis Griseb.                                                                   KAR94    
   Gentiana affinis var. ovata Gray                                                            Gentiana affinis Griseb.                                                                   KAR94    
   Gentiana affinis var. parvidentata Kusnez.                                                  Gentiana affinis Griseb.                                                                   KAR94    
   Gentiana amarella L.                                                                        Gentianella amarella (L.) Boerner                                                          NLSPN    
   Gentiana aphylla Jacq.                                                                      Voyria aphylla (Jacq.) Pers.                                                               KAR94    
*  Gentiana aquatica auct. non L.                                                              Gentiana fremontii Torr.                                                                   KAR94    
   Gentiana barbellata Engelm.                                                                 Gentianopsis barbellata (Engelm.) Iltis                                                    KAR94    
   Gentiana bigelovii Gray                                                                     Gentiana affinis Griseb.                                                                   KAR94    
*  Gentiana bisetaea T.J. Howell                                                               Gentiana setigera Gray                                                                     KAR94    
   Gentiana calycosa var. asepala (Maguire) C.L. Hitchc.                                       Gentiana parryi Engelm.                                                                    KAR94    
   Gentiana calycosa var. obtusiloba (Rydb.) C.L. Hitchc.                                      Gentiana calycosa Griseb.                                                                  KAR94    
   Gentiana calycosa var. xantha A. Nels.                                                      Gentiana calycosa Griseb.                                                                  KAR94    
   Gentiana catesbaei var. nummulariifolia Fern.                                               Gentiana catesbaei Walt.                                                                   KAR94    
   Gentiana cherokeensis (W.P. Lemmon) Fern.                                                   Gentiana saponaria L.                                                                      KAR94    
   Gentiana crinita Froel.                                                                     Gentianopsis crinita (Froel.) Ma                                                           KAR94    
   Gentiana crinita var. browniana (Hook.) Boivin                                              Gentianopsis procera (Holm) Ma                                                             KAR94    
   Gentiana detonsa var. unicaulis (A. Nels.) C.L. Hitchc.                                     Gentianopsis thermalis (Kuntze) Iltis                                                      KAR94    
   Gentiana elegans A. Nels.                                                                   Gentianopsis thermalis (Kuntze) Iltis                                                      KAR94    
   Gentiana elliottii Chapman                                                                  Gentiana catesbaei Walt.                                                                   KAR94    
   Gentiana elliottii var. latifolia Chapman                                                   Gentiana catesbaei Walt.                                                                   KAR94    
   Gentiana flavida Gray                                                                       Gentiana alba Muhl. ex Nutt.                                                               KAR94    
   Gentiana forwoodii Gray                                                                     Gentiana affinis Griseb.                                                                   KAR94    
   Gentiana holopetala (Gray) Holm                                                             Gentianopsis holopetala (Gray) Iltis                                                       KAR94    
   Gentiana interrupta Greene                                                                  Gentiana affinis Griseb.                                                                   KAR94    
   Gentiana linearis ssp. rubricaulis (Schwein.) J. Gillett                                    Gentiana rubricaulis Schwein.                                                              KAR94    
   Gentiana linearis var. lanceolata Gray                                                      Gentiana rubricaulis Schwein.                                                              KAR94    
   Gentiana linearis var. latifolia Gray                                                       Gentiana rubricaulis Schwein.                                                              KAR94    
   Gentiana menziesii Griseb.                                                                  Gentiana sceptrum Griseb.                                                                  KAR94    
   Gentiana oregana Engelm. ex Gray                                                            Gentiana affinis Griseb.                                                                   KAR94    
   Gentiana porphyrio J.F. Gmel.                                                               Gentiana autumnalis L.                                                                     KAR94    
   Gentiana procera Holm                                                                       Gentianopsis procera (Holm) Ma                                                             KAR94    
   Gentiana prostrata var. americana Engelm.                                                   Gentiana prostrata Haenke                                                                  KAR94    
   Gentiana puberula Michx. as to type, non Small                                              Gentiana saponaria L.                                                                      KAR94    
   Gentiana romanzovii Ledeb. ex Bunge                                                         Gentiana algida Pallas                                                                     KAR94    
   Gentiana rusbyi Greene                                                                      Gentiana affinis Griseb.                                                                   KAR94    
   Gentiana saponaria var. linearis (Froel.) Griseb.                                           Gentiana linearis Froel.                                                                   KAR94    
   Gentiana sceptrum var. cascadensis M.E. Peck                                                Gentiana sceptrum Griseb.                                                                  KAR94    
   Gentiana sceptrum var. humilis Engelm. ex Gray                                              Gentiana sceptrum Griseb.                                                                  KAR94    
   Gentiana simplex Gray                                                                       Gentianopsis simplex (Gray) Iltis                                                          KAR94    
   Gentiana thermalis Kuntze                                                                   Gentianopsis thermalis (Kuntze) Iltis                                                      KAR94    
   Gentiana ventricosa Griseb.                                                                 Gentianopsis crinita (Froel.) Ma                                                           KAR94    
   Gentianella barbellata (Engelm.) J. Gillett                                                 Gentianopsis barbellata (Engelm.) Iltis                                                    KAR94    
   Gentianella crinita (Froel.) G. Don                                                         Gentianopsis crinita (Froel.) Ma                                                           KAR94    
   Gentianella crinita ssp. nevadensis (Gilg) Weaver & Rudenberg                               Gentianopsis crinita (Froel.) Ma                                                           KAR94    
   Gentianella crinita ssp. procera (Holm) J. Gillett                                          Gentianopsis procera (Holm) Ma                                                             KAR94    
   Gentianella detonsa ssp. elegans (A. Nels.) J. Gillett                                      Gentianopsis thermalis (Kuntze) Iltis                                                      KAR94    
   Gentianella detonsa ssp. holopetala (Gray) J. Gillett                                       Gentianopsis holopetala (Gray) Iltis                                                       KAR94    
   Gentianella detonsa var. elegans (A. Nels.) Dorn                                            Gentianopsis thermalis (Kuntze) Iltis                                                      KAR94    
   Gentianella simplex (Gray) J. Gillett                                                       Gentianopsis simplex (Gray) Iltis                                                          KAR94    
   Gentianodes algida (Pallas) A.& D. Löve                                                     Gentiana algida Pallas                                                                     KAR94    
   Gentianodes glauca (Pallas) A.& D. Löve                                                     Gentiana glauca Pallas                                                                     KAR94    
   Gentianopsis detonsa var. elegans (A. Nels.) N. Holmgren                                    Gentianopsis thermalis (Kuntze) Iltis                                                      KAR94    
   Gentianopsis elegans (A. Nels.) Ma                                                          Gentianopsis thermalis (Kuntze) Iltis                                                      KAR94    
*  Gentianopsis virgata (Raf.) Holub                                                           Gentianopsis procera (Holm) Ma                                                             KAR94    
   Geoffrea inermis W. Wright                                                                  Andira inermis (W. Wright) Kunth ex DC.                                                    KAR94    
   Geoffroea inermis W.WRIGHT                                                                  Andira inermis (W. Wright) Kunth ex DC.                                                    NLSPN    
*  Geophila herbacea (Jacq.) K. Schum.                                                         Geophila repens (L.) I.M. Johnston                                                         KAR94    
   Geranium concinnum G.N. & F.F. Jones                                                        Geranium californicum G.N. & F.F. Jones                                                    KAR94    
*  Geranium eremophilum Woot. & Standl.                                                        Geranium caespitosum var. eremophilum (Woot. & Standl.) W.C. Martin & C.R. Hutchins        KAR94    
   Geranium humile ssp. kauaiense (Rock) Carlq. & Bissing                                      Geranium kauaiense (Rock) St. John                                                         KAR94    
*  Geranium humile var. kauaiense Rock                                                         Geranium kauaiense (Rock) St. John                                                         KAR94    
   Geranium multiflorum ssp. ovatifolium (Gray) Carlq. & Bissing                               Geranium multiflorum Gray                                                                  KAR94    
   Geranium multiflorum var. canum Hbd.                                                        Geranium multiflorum Gray                                                                  KAR94    
   Geranium multiflorum var. forbesii (O.& I. Deg.) St. John                                   Geranium multiflorum Gray                                                                  KAR94    
   Geranium multiflorum var. ovatifolium (Gray) Fosberg                                        Geranium multiflorum Gray                                                                  KAR94    
   Geranium multiflorum var. superbum (O.& I. Deg. & Greenw.) St. John                         Geranium multiflorum Gray                                                                  KAR94    
   Geranium ovatifolium Gray                                                                   Geranium multiflorum Gray                                                                  KAR94    
   Gerardia aphyla var. grandiflora Benth.                                                     Agalinis oligophylla Pennell                                                               KAR94    
   Gerardia aphylla Nutt.                                                                      Agalinis aphylla (Nutt.) Raf.                                                              KAR94    
   Gerardia aspera Dougl. ex Benth.                                                            Agalinis aspera (Dougl. ex Benth.) Britt.                                                  KAR94    
   Gerardia decemloba Greene                                                                   Agalinis obtusifolia Raf.                                                                  KAR94    
   Gerardia divaricata Chapman                                                                 Agalinis divaricata (Chapman) Pennell                                                      KAR94    
   Gerardia dulcis (Cav.) Nees                                                                 Stenandrium dulce (Cav.) Nees                                                              KAR94    
   Gerardia dulcis var. floridana (Gray) Blake                                                 Stenandrium dulce (Cav.) Nees                                                              KAR94    
   Gerardia fasciculata Ell.                                                                   Agalinis fasciculata (Ell.) Raf.                                                           KAR94    
   Gerardia fasciculata ssp. peninsularis (Pennell) Pennell                                    Agalinis fasciculata (Ell.) Raf.                                                           KAR94    
   Gerardia filicaulis (Benth.) Chapman                                                        Agalinis filicaulis (Benth.) Pennell                                                       KAR94    
   Gerardia filifolia Nutt.                                                                    Agalinis filifolia (Nutt.) Raf.                                                            KAR94    
   Gerardia floridana (Gray) Small                                                             Stenandrium dulce (Cav.) Nees                                                              KAR94    
   Gerardia georgiana C.L. Boynt.                                                              Agalinis fasciculata (Ell.) Raf.                                                           KAR94    
   Gerardia harperi (PENNELL)PENNELL                                                           Agalinis pinetorum Pennell                                                                 NLSPN    
   Gerardia heterophylla Nutt.                                                                 Agalinis heterophylla (Nutt.) Small ex Britt.                                              KAR94    
   Gerardia keyensis (Pennell) Pennell                                                         Agalinis oligophylla Pennell                                                               KAR94    
   Gerardia linifolia Nutt.                                                                    Agalinis linifolia (Nutt.) Britt.                                                          KAR94    
   Gerardia microphylla (Gray) Small                                                           Agalinis oligophylla Pennell                                                               KAR94    
   Gerardia obtusifolia (Raf.) Pennell                                                         Agalinis obtusifolia Raf.                                                                  KAR94    
   Gerardia parvifolia (Benth.) Chapman                                                        Agalinis obtusifolia Raf.                                                                  KAR94    
   Gerardia plukenetii var. microphylla Gray                                                   Agalinis oligophylla Pennell                                                               KAR94    
   Gerardia portoricensis Britt. & Wilson                                                      Stenandrium tuberosum (L.) Urban                                                           KAR94    
   Gerardia pseudophylla (Pennell) Pennell                                                     Agalinis oligophylla Pennell                                                               KAR94    
   Gerardia pulchella Pennell                                                                  Agalinis pinetorum Pennell                                                                 KAR94    
   Gerardia pulchella var. delicatula (Pennell) Pennell                                        Agalinis pinetorum Pennell                                                                 KAR94    
   Gerardia pulcherrima Pennell                                                                Agalinis pulchella Pennell                                                                 KAR94    
   Gerardia purpurea L.                                                                        Agalinis purpurea (L.) Pennell                                                             KAR94    
   Gerardia purpurea ssp. parvula Pennell                                                      Agalinis purpurea (L.) Pennell                                                             KAR94    
   Gerardia purpurea var. carteri (Pennell) Pennell                                            Agalinis purpurea (L.) Pennell                                                             KAR94    
   Gerardia purpurea var. grandiflora Benth.                                                   Agalinis purpurea (L.) Pennell                                                             KAR94    
   Gerardia purpurea var. racemulosa (Pennell) Gleason                                         Agalinis fasciculata (Ell.) Raf.                                                           KAR94    
   Gerardia racemulosa Pennell                                                                 Agalinis fasciculata (Ell.) Raf.                                                           KAR94    
   Gerardia setacea var. parvifolia Benth.                                                     Agalinis obtusifolia Raf.                                                                  KAR94    
   Gerardia tenella (Pennell) Pennell                                                          Agalinis obtusifolia Raf.                                                                  KAR94    
   Gerardia tuberosa L.                                                                        Stenandrium tuberosum (L.) Urban                                                           KAR94    
   Gesneria sintenisii Urban                                                                   Gesneria viridiflora ssp. sintenisii (Urban) L. Skog                                       KAR94    
   Geum aleppicum ssp. strictum (Ait.) Clausen                                                 Geum aleppicum Jacq.                                                                       KAR94    
   Geum aleppicum var. strictum (Ait.) Fern.                                                   Geum aleppicum Jacq.                                                                       KAR94    
   Geum flavum (Porter) Bickn.                                                                 Geum virginianum L.                                                                        KAR94    
   Geum hirsutum Muhl. ex Link                                                                 Geum virginianum L.                                                                        KAR94    
   Geum strictum Ait.                                                                          Geum aleppicum Jacq.                                                                       KAR94    
   Geum strictum var. decurrens (Rydb.) Kearney & Peebles                                      Geum aleppicum Jacq.                                                                       KAR94    
   Gilia calcarea M.E. Jones                                                                   Gilia mcvickerae M.E. Jones                                                                KAR94    
   Gilia gracilis Hook.                                                                        Phlox gracilis ssp. gracilis (Hook.) Greene                                                KAR94    
   Gilia parvula Rydb., non Greene                                                             Gymnosteris parvula Heller                                                                 KAR94    
   Gilia pinnatifida var. calcarea (M.E. Jones) Brand                                          Gilia mcvickerae M.E. Jones                                                                KAR94    
   Gilia propinqua (Suksdorf) St. John                                                         Navarretia intertexta ssp. propinqua (Suksdorf) Day                                        KAR94    
   Gilia squarrosa (Eschsch.) Hook. & Arn.                                                     Navarretia squarrosa (Eschsch.) Hook. & Arn.                                               KAR94    
   Githopsis calycina Benth.                                                                   Githopsis specularioides Nutt.                                                             KAR94    
   Githopsis calycina var. hirsuta Benth.                                                      Githopsis specularioides Nutt.                                                             KAR94    
   Githopsis specularioides var. hirsuta Nutt.                                                 Githopsis specularioides Nutt.                                                             KAR94    
   Glabraria geniculata (Marsh.) Britt.                                                        Litsea aestivalis (L.) Fern.                                                               KAR94    
   Gleditsia triacanthos var. inermis (L.) Schneid.                                            Gleditsia triacanthos L.                                                                   KAR94    
   Glehnia leiocarpa Mathias                                                                   Glehnia littoralis ssp. leiocarpa (Mathias) Hultén                                         KAR94    
   Glehnia littoralis var. leiocarpa (Mathias) Boivin                                          Glehnia littoralis ssp. leiocarpa (Mathias) Hultén                                         KAR94    
*  Gleichenia bifida (Willd.) Spreng.                                                          Sticherus bifidus (Willd.) Ching                                                           KAR94    
   Gleichenia brevipubis Christ                                                                Sticherus brevipubis (Christ) A.R. Sm.                                                     KAR94    
   Gleichenia emarginata (BRACKENR.)T.MOORE                                                    Dicranopteris emarginata (T. Moore) W.J. Robins.                                           NLSPN    
   Gleichenia flexuosa (Schrad.) Mett.                                                         Dicranopteris flexuosa (Schrad.) Underwood                                                 KAR94    
   Gleichenia linearis (N.L.BURM.)C.B.CLARKE                                                   Dicranopteris linearis (Burm.) Underwood                                                   NLSPN    
   Gleichenia pectinata (Willd.) K. Presl                                                      Dicranopteris pectinata (Willd.) Underwood                                                 KAR94    
   Gleichenia rubiginosa Mett.                                                                 Dicranopteris rubiginosa (Mett.) Maxon                                                     KAR94    
   Globifera umbrosa J.F. Gmel.                                                                Micranthemum umbrosum (J.F. Gmel.) Blake                                                   KAR94    
   Glossostylis aspera Cham. & Schlecht.                                                       Alectra fluminensis (Vell.) Stearn                                                         KAR94    
   Glyceria borreri (Bab.) Bab.                                                                Puccinellia fasciculata (Torr.) Bickn.                                                     KAR94    
   Glyceria californica Beetle                                                                 Torreyochloa californica (Beetle) Church                                                   KAR94    
   Glyceria erecta A.S. Hitchc.                                                                Torreyochloa erecta (A.S. Hitchc.) Church                                                  KAR94    
   Glyceria fernaldii (A.S. Hitchc.) St. John                                                  Torreyochloa pallida var. fernaldii (A.S. Hitchc.) Dore ex Koyama & Kawano                 KAR94    
   Glyceria maritima (Huds.) Wahlenb.                                                          Puccinellia maritima (Huds.) Parl.                                                         KAR94    
   Glyceria pallida (Torr.) Trin.                                                              Torreyochloa pallida var. pallida (Torr.) Church                                           KAR94    
   Glyceria pallida var. fernaldii A.S. Hitchc.                                                Torreyochloa pallida var. fernaldii (A.S. Hitchc.) Dore ex Koyama & Kawano                 KAR94    
   Glyceria pauciflora J. Presl                                                                Torreyochloa pallida var. pauciflora (J. Presl) J.I. Davis                                 KAR94    
   Glyceria spectabilis Mert. & Koch                                                           Glyceria maxima (Hartman) Holmb.                                                           KAR94    
   Glycine apios L.                                                                            Apios americana Medik.                                                                     KAR94    
   Glycine comosa L.                                                                           Amphicarpaea bracteata (L.) Fern.                                                          KAR94    
   Glycine phaseoloides Sw.                                                                    Rhynchosia phaseoloides (Sw.) DC.                                                          KAR94    
   Glycyrrhiza glutinosa Nutt.                                                                 Glycyrrhiza lepidota Pursh                                                                 KAR94    
   Glycyrrhiza lepidota var. glutinosa (Nutt.) S. Wats.                                        Glycyrrhiza lepidota Pursh                                                                 KAR94    
   Gnaphalium alpinum L.                                                                       Antennaria alpina (L.) Gaertn.                                                             KAR94    
*  Gnaphalium chilense Spreng.                                                                 Gnaphalium stramineum Kunth                                                                KAR94    
   Gnaphalium chilense var. confertifolium Greene                                              Gnaphalium stramineum Kunth                                                                KAR94    
   Gnaphalium exilifolium A. Nels.                                                             Gnaphalium grayi A. Nels. & J.F. Macbr.                                                    KAR94    
*  Gnaphalium indicum auct. non L.                                                             Gnaphalium polycaulon Pers.                                                                KAR94    
   Gnaphalium pensylvanicum Willd.                                                             Gamochaeta pensylvanica (Willd.) Cabrera                                                   KAR94    
   Gnaphalium peregrinum Fern.                                                                 Gamochaeta pensylvanica (Willd.) Cabrera                                                   KAR94    
   Gnaphalium purpureum L.                                                                     Gamochaeta purpurea (L.) Cabrera                                                           KAR94    
   Gnaphalium purpureum var. spathulatum (Lam.) Baker                                          Gamochaeta pensylvanica (Willd.) Cabrera                                                   KAR94    
   Gnaphalium spathulatum Lam.                                                                 Gamochaeta pensylvanica (Willd.) Cabrera                                                   KAR94    
   Gnaphalium virgatum L.                                                                      Pterocaulon virgatum (L.) DC.                                                              KAR94    
*  Gnaphalium wrightii Gray                                                                    Gnaphalium canescens DC.                                                                   KAR94    
   Gomozia granadensis L. f.                                                                   Nertera granadensis (L. f.) Druce                                                          KAR94    
   Gomphrena sessilis L.                                                                       Alternanthera sessilis (L.) R. Br. ex DC.                                                  KAR94    
   Goniopteris sclerophylla (Poepp. ex Spreng.) Wherry                                         Thelypteris sclerophylla (Poepp. ex Spreng.) Morton                                        KAR94    
   Gonolobus gonocarpos (Walt.) Perry                                                          Matelea gonocarpos (Walt.) Shinners                                                        KAR94    
   Gonolobus laevis Michx.                                                                     Cynanchum laeve (Michx.) Pers.                                                             KAR94    
   Gonolobus sintenisii Schlechter                                                             Matelea sintenisii (Schlechter) Woods.                                                     KAR94    
   Gonolobus suberosus auct. non (L.) R. Br.                                                   Matelea gonocarpos (Walt.) Shinners                                                        KAR94    
   Gonolobus variifolius Schlechter                                                            Matelea variifolia (Schlechter) Woods.                                                     KAR94    
*  Gonzalagunia spicata (Lam.) G. Maza                                                         Gonzalagunia hirsuta (Jacq.) K. Schum.                                                     KAR94    
   Goodyera decipiens (Hook.) F.T. Hubbard                                                     Goodyera oblongifolia Raf.                                                                 KAR94    
   Goodyera oblongifolia var. reticulata Boivin                                                Goodyera oblongifolia Raf.                                                                 KAR94    
   Goodyera ophioides (Fern.) Rydb.                                                            Goodyera repens (L.) R. Br. ex Ait. f.                                                     KAR94    
   Goodyera repens ssp. ophioides (Fern.) A. Löve & Simon                                      Goodyera repens (L.) R. Br. ex Ait. f.                                                     KAR94    
   Goodyera repens var. ophioides Fern.                                                        Goodyera repens (L.) R. Br. ex Ait. f.                                                     KAR94    
   Gossypium barbadense var. acuminatum (Roxb. ex G. Don) Triana & Planch.                     Gossypium barbadense L.                                                                    KAR94    
   Gossypium brasiliense Macfad.                                                               Gossypium barbadense L.                                                                    KAR94    
   Gossypium peruvianum Cav.                                                                   Gossypium barbadense L.                                                                    KAR94    
   Gouldia hirtella (Gray) Hbd.                                                                Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia st.-johnii Fosberg                                                                  Hedyotis fosbergii W.L. Wagner & Herbst                                                    KAR94    
   Gouldia st.-johnii var. munroi Fosberg                                                      Hedyotis fosbergii W.L. Wagner & Herbst                                                    KAR94    
   Gouldia terminalis (Hook. & Arn.) Hbd.                                                      Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. angustifolia Fosberg                                                Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. antiqua Fosberg                                                     Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. arborescens (Wawra) Fosberg                                         Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. aspera Fosberg                                                      Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. bobeoides Fosberg                                                   Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. congesta Fosberg                                                    Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. cordata (Wawra) Fosberg                                             Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. coriacea (Hook. & Arn.) Fosberg                                     Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. crassicaulis Fosberg                                                Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. degeneri Fosberg                                                    Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. elongata (Heller) Fosberg                                           Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. forbesii Fosberg                                                    Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. glabra Fosberg                                                      Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. hathewayi Fosberg                                                   Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. hosakae Fosberg                                                     Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. kaala Fosberg                                                       Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. kapuaensis Fosberg                                                  Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. konaensis Fosberg                                                   Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. lanai Fosberg                                                       Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. macrocarpa (Hbd.) Fosberg                                           Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. macrothyrsa Fosberg                                                 Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. myrsinoidea Fosberg                                                 Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. osteocarpa Fosberg                                                  Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. ovata (Wawra) Fosberg                                               Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. parvifolia (Wawra) Fosberg                                          Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. pedunculata Fosberg                                                 Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. pseudodichotoma Fosberg                                             Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. pubescens Fosberg                                                   Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. pubistipula Fosberg                                                 Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. purpurea Fosberg                                                    Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. quadrangularis Fosberg                                              Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. rotundifolia Fosberg                                                Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. sclerotica Fosberg                                                  Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. skottsbergii Fosberg                                                Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. stipulacea (Wawra) Fosberg                                          Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. subcordata Fosberg                                                  Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. tenuicaulis Fosberg                                                 Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Gouldia terminalis var. wawrana Fosberg                                                     Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & Herbst                                    KAR94    
   Govenia liliacea Lindl.                                                                     Govenia utriculata (Sw.) Lindl.                                                            KAR94    
*  Grammadenia sintenisii (Urban) Mez                                                          Cybianthus sintenisii (Urban) Forero                                                       KAR94    
   Grammitis jungens (Bishop) Proctor                                                          Cochlidium jungens Bishop                                                                  KAR94    
*  Grammitis serrulata (Sw.) Sw.                                                               Cochlidium serrulatum (Sw.) Bishop                                                         KAR94    
*  Grammitis trifurcata (L.) Copeland                                                          Enterosora trifurcata (L.) Bishop                                                          KAR94    
   Graphephorum melicoides (Michx.) Desv.                                                      Trisetum melicoides (Michx.) Vasey ex Scribn.                                              KAR94    
   Gratiola aurea var. obtusa Pennell                                                          Gratiola aurea Pursh                                                                       KAR94    
   Gratiola dubia L.                                                                           Lindernia dubia var. dubia (L.) Pennell                                                    KAR94    
   Gratiola lutea Raf.                                                                         Gratiola aurea Pursh                                                                       KAR94    
   Gratiola neglecta var. glaberrima Fern.                                                     Gratiola neglecta Torr.                                                                    KAR94    
