output/r000485_001_out.datSun Sep 17 13:48:44 2000

cops number to output is    134528094
#Event:  1
Sun Sep 17 13:50:54 2000

dcopsId 13 ccd1 718.824 173.404 -0.625337
dcopsId 13 ccd2 764.508 200.852 2.34094
dcopsId 13 ccd3 156.385 215.578 -132.897
dcopsId 13 ccd4 137.246 269.042 -8.81642
#0007--
dcopsId 12 ccd1 1026.13 180.017 2.67444
dcopsId 12 ccd2 444.405 176.638 -0.931008
dcopsId 12 ccd3 1053.86 182.752 -0.256654
dcopsId 12 ccd4 1892.74 400.436 218.097
#0006--
dcopsId 11 ccd1 985.473 146.373 0.509379
dcopsId 11 ccd2 850.073 142.428 -1.91223
dcopsId 11 ccd3 997.079 150.734 -0.411555
dcopsId 11 ccd4 1824.49 371.52 52.4571
#0005--
dcopsId 10 ccd1 780.185 130.218 1.07239
dcopsId 10 ccd2 1057.41 132.475 2.03452
dcopsId 10 ccd3 781.619 132.703 0.0612063
dcopsId 10 ccd4 1029.91 138.537 3.29131
#0004--
dcopsId 9 ccd1 909.295 110.061 0.408785
dcopsId 9 ccd2 1340.11 125.887 0.620631
dcopsId 9 ccd3 911.799 116.64 1.13387
dcopsId 9 ccd4 1378.3 132.983 0.879421
#0003--
dcopsId 8 ccd1 734.168 101.299 0.947966
dcopsId 8 ccd2 1437.62 118.514 -1.53124
dcopsId 8 ccd3 729.445 110.426 2.14797
dcopsId 8 ccd4 1425.2 107.691 -0.711667
#0002--
dcopsId 7 ccd1 591.845 133.27 5.49186
dcopsId 7 ccd2 1655.18 99.5802 -1.51206
dcopsId 7 ccd3 546.315 105.942 -3.01726
dcopsId 7 ccd4 1630.9 133.606 -8.39525
#0001--
dcopsId 6 ccd1 484.8 103.092 1.25642
dcopsId 6 ccd2 1435.77 158.912 -2.39021
dcopsId 6 ccd3 404.467 145.165 -12.1819
dcopsId 6 ccd4 1442.62 165.501 4.68898
#0005--
dcopsId 5 ccd1 1879.48 148.906 -41.7006
dcopsId 5 ccd2 3334.21 1135.76 1491.34
dcopsId 5 ccd3 793.486 220.687 -10.6411
dcopsId 5 ccd4 1366.46 167.865 -16.8457
#0004--
dcopsId 4 ccd1 1837.8 287.987 110.111
dcopsId 4 ccd2 1055.66 151.095 -13.2162
dcopsId 4 ccd3 1181.61 187.351 -10.1103
dcopsId 4 ccd4 1159.78 160.582 -14.6489
#0003--
dcopsId 3 ccd1 1469.56 67.5972 0.285155
dcopsId 3 ccd2 1404.64 68.3031 0.6252
dcopsId 3 ccd3 1483.43 60.176 0.132152
dcopsId 3 ccd4 -1374.17 651.828 -1421.83
#0002--
dcopsId 2 ccd1 1205.71 90.0772 1.27365
dcopsId 2 ccd2 470.371 90.9261 1.72811
dcopsId 2 ccd3 1146.11 93.0186 -1.34817
dcopsId 2 ccd4 467.922 86.9257 0.521064
#0001--
dcopsId 1 ccd1 247.6 -125.382 2.42112
dcopsId 1 ccd2 1585.3 113.043 -2.21913
dcopsId 1 ccd3 204.557 97.3819 4.67604
dcopsId 1 ccd4 1538.08 116.172 -1.96901
#Event:  6
Sun Sep 17 13:57:33 2000

969217053 6 0 1
#0008--
dcopsId 13 ccd1 718.161 172.853 -0.314175
dcopsId 13 ccd2 759.262 200.737 2.30978
dcopsId 13 ccd3 1610.86 506.571 205.287
dcopsId 13 ccd4 199.589 250.426 83.6756
#0007--
dcopsId 12 ccd1 1023.56 179.807 3.55145
dcopsId 12 ccd2 440.964 176.913 -0.399736
dcopsId 12 ccd3 1050.01 182.558 -0.271269
dcopsId 12 ccd4 -1070.54 697.858 -1234.8
#0006--
dcopsId 11 ccd1 985.502 146.164 0.448183
dcopsId 11 ccd2 847.455 143.042 -1.74973
dcopsId 11 ccd3 995.311 151.087 -0.90779
dcopsId 11 ccd4 250.603 314.334 -1318.71
#0005--
dcopsId 10 ccd1 779.929 130.015 1.09995
dcopsId 10 ccd2 1055.33 132.452 2.41177
dcopsId 10 ccd3 780.414 132.818 0.161231
dcopsId 10 ccd4 1028.09 138.786 1.83975
