NASA Ames Airborne Tracking 14-Channel Sunphotometer, AATS-14
SAFARI-2000  8/29/2000
Date processed: 28-Jan-2002 by Beat Schmid, Version 1.6
NO2 [molec/cm2]: 2e+015
O3 [DU]: 291
Relative Std Dev Filter Aerosol[%]: 3.0
Relative Std Dev Filter H2O [%]: 6.0
Max m_aero: Inf
Max tau_aero: 5.0
Max tau_aero error: Inf
Min Alpha Angstrom: 0.00
H2O coeff.  a: 0.005994 b: 0.6356
aerosol wavelengths [10^-6 m] 0.3535 0.3800 0.4490 0.4994 0.5246 0.6057 0.6751 0.7784 0.8645 1.0191 1.2413 1.5574
UT[h] Lat[deg] Long[deg] GPS_Alt[km] p_Alt[km] p[hPa] H2O[cm] H2O_Err[cm] AOD_flag AOD0354 AOD0380 AOD0449 AOD0499 AOD0525 AOD0606 AOD0675 AOD0778 AOD0865 AOD1019 AOD1241 AOD1557  Err0354 Err0380 Err0449 Err0499 Err0525 Err0606 Err0675 Err0778 Err0865 Err1019 Err1241 Err1557  a2_fit a1_fit a0_fit
08.74444 -23.17760  29.00903   3.852   3.867  646.13  0.1036  0.1025             1  0.0878  0.0842  0.0612  0.0509  0.0508  0.0384  0.0273  0.0210  0.0146  0.0139  0.0080  0.0043  0.0097  0.0197  0.0226  0.0274  0.0474  0.0305  0.0042  0.0024  0.0032  0.0024  0.0033  0.0098 -0.2917 -2.2001 -4.3591
08.74556 -23.17205  29.00634   3.861   3.861  646.60  0.1035  0.1025             1  0.0876  0.0839  0.0613  0.0510  0.0509  0.0383  0.0273  0.0211  0.0146  0.0138  0.0079  0.0041  0.0098  0.0198  0.0228  0.0275  0.0475  0.0305  0.0043  0.0025  0.0033  0.0025  0.0034  0.0098 -0.3289 -2.2439 -4.3690
08.74639 -23.17205  29.00634   3.861   3.873  645.66  0.1004  0.1025             1  0.0852  0.0818  0.0596  0.0495  0.0497  0.0373  0.0264  0.0205  0.0142  0.0134  0.0077  0.0040  0.0097  0.0198  0.0227  0.0274  0.0474  0.0305  0.0042  0.0024  0.0032  0.0024  0.0033  0.0098 -0.3300 -2.2459 -4.3971
08.74778 -23.16752  29.00412   3.865   3.873  645.66  0.0987  0.1024             1  0.0847  0.0807  0.0597  0.0486  0.0511  0.0358  0.0256  0.0202  0.0137  0.0132  0.0073  0.0026  0.0098  0.0198  0.0227  0.0275  0.0475  0.0305  0.0043  0.0025  0.0033  0.0025  0.0034  0.0098 -0.6465 -2.6083 -4.4784
08.74861 -23.16093  29.00085   3.876   3.870  645.93  0.0976  0.1024             1  0.0828  0.0797  0.0575  0.0481  0.0470  0.0370  0.0259  0.0199  0.0139  0.0130  0.0076  0.0048  0.0096  0.0198  0.0226  0.0274  0.0474  0.0305  0.0042  0.0023  0.0032  0.0024  0.0033  0.0098 -0.1535 -2.0472 -4.3899
08.74972 -23.16093  29.00085   3.863   3.860  646.67  0.0976  0.1024             1  0.0819  0.0794  0.0571  0.0482  0.0462  0.0369  0.0260  0.0199  0.0139  0.0130  0.0077  0.0051  0.0097  0.0198  0.0227  0.0275  0.0475  0.0305  0.0043  0.0024  0.0032  0.0025  0.0033  0.0098 -0.1127 -1.9952 -4.3823
08.75083 -23.15276  28.99673   3.866   3.868  646.06  0.0977  0.1024             1  0.0838  0.0804  0.0590  0.0484  0.0498  0.0361  0.0257  0.0202  0.0140  0.0132  0.0076  0.0034  0.0097  0.0198  0.0227  0.0275  0.0475  0.0305  0.0043  0.0024  0.0033  0.0025  0.0033  0.0098 -0.4467 -2.3729 -4.4348
08.75222 -23.14816  28.99440   3.879   3.877  645.32  0.0976  0.1024             1  0.0857  0.0811  0.0601  0.0490  0.0515  0.0363  0.0255  0.0202  0.0142  0.0131  0.0073  0.0025  0.0097  0.0198  0.0227  0.0275  0.0475  0.0305  0.0043  0.0024  0.0032  0.0025  0.0033  0.0098 -0.6723 -2.6403 -4.4781
08.75306 -23.14612  28.99335   3.878   3.862  646.53  0.0983  0.1024             1  0.0842  0.0810  0.0583  0.0493  0.0469  0.0383  0.0267  0.0203  0.0148  0.0132  0.0080  0.0057  0.0097  0.0198  0.0227  0.0275  0.0475  0.0305  0.0042  0.0024  0.0032  0.0024  0.0033  0.0098 -0.0555 -1.9228 -4.3400
08.75444 -23.14148  28.99099   3.864   3.860  646.67  0.0966  0.1024             1  0.0820  0.0796  0.0573  0.0484  0.0460  0.0370  0.0261  0.0199  0.0141  0.0128  0.0078  0.0052  0.0096  0.0198  0.0226  0.0275  0.0475  0.0305  0.0042  0.0023  0.0032  0.0024  0.0033  0.0098 -0.0962 -1.9767 -4.3772
08.75528 -23.14148  28.99099   3.864   3.880  645.12  0.0952  0.1024             1  0.0830  0.0795  0.0586  0.0478  0.0496  0.0355  0.0252  0.0198  0.0139  0.0128  0.0074  0.0029  0.0097  0.0198  0.0227  0.0275  0.0475  0.0305  0.0043  0.0024  0.0032  0.0025  0.0033  0.0098 -0.5506 -2.4954 -4.4720
08.75667 -23.13471  28.98753   3.877   3.877  645.39  0.0981  0.1025             1  0.0887  0.0835  0.0626  0.0509  0.0541  0.0370  0.0261  0.0209  0.0150  0.0133  0.0075  0.0020  0.0107  0.0199  0.0237  0.0279  0.0480  0.0306  0.0048  0.0033  0.0039  0.0033  0.0040  0.0101 -0.8799 -2.8654 -4.4805
08.75778 -23.13006  28.98512   3.879   3.860  646.74  0.1029  0.1025             1  0.0910  0.0866  0.0637  0.0528  0.0517  0.0402  0.0283  0.0218  0.0165  0.0140  0.0086  0.0055  0.0097  0.0198  0.0227  0.0275  0.0475  0.0305  0.0042  0.0023  0.0032  0.0024  0.0033  0.0098 -0.1375 -2.0118 -4.2796
08.75889 -23.12536  28.98269   3.836   3.851  647.41  0.1013  0.1025             1  0.0865  0.0844  0.0594  0.0542  0.0432  0.0405  0.0283  0.0208  0.0152  0.0119  0.0077  0.0077  0.0101  0.0198  0.0231  0.0276  0.0477  0.0306  0.0045  0.0027  0.0035  0.0028  0.0036  0.0099  0.1790 -1.7141 -4.3049
08.76000 -23.11898  28.97943   3.832   3.848  647.68  0.1030  0.1025             1  0.0908  0.0878  0.0633  0.0543  0.0492  0.0415  0.0293  0.0222  0.0165  0.0139  0.0090  0.0069  0.0100  0.0198  0.0230  0.0276  0.0476  0.0306  0.0044  0.0026  0.0034  0.0027  0.0035  0.0099  0.0277 -1.8211 -4.2369
