table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,
"Table 2: Annual Estimates of the Population by Age and Sex for Utah: April 1, 2000 to July 1, 2006",,,,,,,,,
Sex and Age,Population Estimates,,,,,,,"April 1, 2000",
,"July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
.Under 18 years,"384,913","377,177","367,572","358,124","355,766","353,437","350,005","348,903","348,902"
.Under 5 years,"120,990","119,886","116,175","111,500","108,530","105,729","101,995","101,715","101,715"
.5 to 13 years,"184,618","179,086","174,545","170,830","170,534","169,769","168,533","168,112","168,111"
.14 to 17 years,"79,305","78,205","76,852","75,794","76,702","77,939","79,477","79,076","79,076"
.18 to 64 years,"757,756","740,765","721,522","701,684","691,748","677,814","661,496","658,253","658,242"
.18 to 24 years,"155,279","159,504","162,726","164,869","167,263","165,371","162,200","161,056","161,053"
.25 to 44 years,"353,658","342,444","330,710","319,380","314,054","310,108","305,771","305,446","305,439"
.45 to 64 years,"248,819","238,817","228,086","217,435","210,431","202,335","193,525","191,751","191,750"
.65 years and over,"124,993","121,307","116,782","113,526","111,522","109,706","107,563","106,995","106,994"
,,,,,,,,,
.16 years and over,"922,965","901,269","876,721","853,615","842,658","827,585","809,925","805,981","805,969"
.18 years and over,"882,749","862,072","838,304","815,210","803,270","787,520","769,059","765,248","765,236"
.15 to 44 years,"568,784","560,762","550,927","541,199","539,388","534,682","528,353","526,512","526,502"
,,,,,,,,,
.Median age (years),29.0,28.7,28.4,28.2,28.0,27.9,27.7,27.7,27.7
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Median age is calculated based on single year of age.",,,,,,,,,
Suggested Citation:,,,,,,,,,
"Table 2: Annual Estimates of the Population by Age and Sex for Utah: April 1, 2000 to July 1, 2006 (SC-EST2006-02-49)",,,,,,,,,
"Source: Population Division, U.S. Census Bureau",,,,,,,,,
"Release Date: May 17, 2007",,,,,,,,,
