"Table 27.  PAD District 3— Imports of Crude Oil and Petroleum Products by Country of Origin, 2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of Origin,,,Crude Oila,,Liquefied Petroleum Gases,Unfinished Oilsa,Finished Motor Gasoline,,,Motor Gasoline Blend. Comp.,,,Oxygenates,,,Distillate Fuel Oil,,,,,Kerosene,Finished Aviation Gasoline,Aviation Gasoline Blend. Comp.,Kerosene-Type Jet Fuel,Special Naphthas,Residual Fuel Oil,,,,Petrochemical Feedstocks,,Waxes,"Petrol-
eum
 Coke",Asphalt and Road Oil,"Lubri-
cants",Misc. Products,Total Products,Total Crude Oil and Products,Daily Average,,
,,,,Pentanes Plus,,,Reformulated,Conventional,Total,Reform-ulated ,Conven-tional,Total,Fuel Ethanol (FE),Methyl Tertiary Butyl Ether (MTBE),Other Oxygen-ates,15 ppm sulfur and under,Greater than 15 ppm to 500 ppm sulfur,501 to 2000 ppm,Greater than 2000 ppm,Total,,,,,,Less than  0.31 % sulfur,0.31 to 1.00 % sulfur,Greater than 1.00 % sulfur,Total,Naphtha,Other Oils,,,,,,,,Crude Oil,Products,Total
,United Kingdom,,"38,145",0,27,"3,839",0,"1,728","1,728",0,900,900,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,348,0,0,135,0,11,0,"7,066","45,211",105,19,124
,Vietnam,,"2,043",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,043",6,0,6
,"Virgin Islands, U.S.",,0,0,0,"3,912",0,0,0,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,482,0,0,813,813,499,0,0,0,0,0,0,"5,743","5,743",0,16,16
,Yemen,,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,242,0,1,1
,Other,,"6,982",0,645,"6,469",0,855,855,95,"3,032","3,127",411,0,0,"1,366",137,0,0,"1,503",0,0,0,300,81,155,780,473,"1,408","6,037",24,111,22,0,603,0,"21,623","28,605",233,721,954
Total,,,"2,064,463","9,591","49,989","175,457",0,"13,106","13,106","1,207","26,346","27,553","1,762",686,0,"3,636","1,013","2,023",0,"6,672",91,0,0,"2,523","3,172","2,183","5,002","13,267","20,452","44,227","62,761",446,"4,571",560,"3,436",34,"428,527","2,492,990","5,656","1,174","6,830"
Persian Gulfb,,,"483,949",0,"2,831","2,150",0,64,64,0,0,0,0,430,0,0,0,0,0,0,0,0,0,339,690,0,0,347,347,"2,667",0,0,"1,650",0,0,0,"11,168","495,117","1,326",31,"1,356"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
