stcty,reg,div,stname,ctyname,time,popestimate,popest_male,popest_fem,under5_tot,under5_male,under5_fem,age513_tot,age513_male,age513_fem,age1417_tot,age1417_male,age1417_fem,age1824_tot,age1824_male,age1824_fem,age16plus_tot,age16plus_male,age16plus_fem,age18plus_tot,age18plus_male,age18plus_fem,age1544_tot,age1544_male,age1544_fem,age65plus_tot,age65plus_male,age65plus_fem,age85plus_tot,age85plus_male,age85plus_fem
24011,3,5,Maryland,Caroline County,4,30023,14712,15311,1836,929,907,4172,2158,2014,1882,992,890,2500,1307,1193,23077,11130,11947,22133,10633,11500,12434,6243,6191,4020,1693,2327,523,154,369
24013,3,5,Maryland,Carroll County,4,154669,76366,78303,9829,5035,4794,22212,11486,10726,9697,5039,4658,12130,6320,5810,117700,57329,60371,112931,54806,58125,65556,32714,32842,16735,6879,9856,2151,574,1577
24015,3,5,Maryland,Cecil County,4,88358,43770,44588,5830,2924,2906,12720,6564,6156,5370,2775,2595,7031,3509,3522,67077,32872,34205,64438,31507,32931,38055,18777,19278,9299,4103,5196,884,267,617
24017,3,5,Maryland,Charles County,4,125173,61247,63926,8818,4566,4252,18452,9355,9097,8234,4179,4055,10431,5311,5120,93712,45205,48507,89669,43147,46522,57070,27872,29198,9785,4095,5690,999,252,747
24019,3,5,Maryland,Dorchester County,4,30609,14470,16139,1665,834,831,3624,1802,1822,1755,895,860,2212,1085,1127,24467,11418,13049,23565,10939,12626,11519,5604,5915,5386,2236,3150,670,200,470
24021,3,5,Maryland,Frederick County,4,202527,99674,102853,14248,7227,7021,28672,14698,13974,12247,6348,5899,16240,7958,8282,153372,74585,78787,147360,71401,75959,90019,44584,45435,19520,7983,11537,2244,658,1586
24023,3,5,Maryland,Garrett County,4,29803,14704,15099,1698,881,817,3749,1936,1813,1772,924,848,2515,1299,1216,23482,11436,12046,22584,10963,11621,12022,6069,5953,4545,1948,2597,581,170,411
24025,3,5,Maryland,Harford County,4,222674,109175,113499,15467,7936,7531,31918,16471,15447,13688,6962,6726,16403,8355,8048,168294,81214,87080,161601,77806,83795,94616,46444,48172,23138,9839,13299,2009,586,1423
24027,3,5,Maryland,Howard County,4,255529,125555,129974,18284,9377,8907,37432,19325,18107,15279,7879,7400,16999,8833,8166,191984,92816,99168,184534,88974,95560,113486,55693,57793,19559,8296,11263,2255,632,1623
24029,3,5,Maryland,Kent County,4,19423,9331,10092,882,488,394,2046,1032,1014,1008,524,484,2252,1045,1207,15969,7535,8434,15487,7287,8200,7551,3638,3913,3728,1605,2123,500,160,340
24031,3,5,Maryland,Montgomery County,4,894449,429498,464951,61709,31414,30295,115832,59358,56474,48565,24973,23592,62505,31944,30561,692277,326192,366085,668343,313753,354590,380251,185281,194970,100971,41345,59626,13835,4229,9606
24033,3,5,Maryland,Prince George's County,4,818119,391585,426534,59006,30085,28921,113155,57921,55234,45253,23114,22139,84945,43295,41650,622847,291782,331065,600705,280465,320240,382509,185096,197413,64701,26782,37919,6140,1679,4461
24035,3,5,Maryland,Queen Anne's County,4,41456,20609,20847,2570,1297,1273,5458,2796,2662,2316,1212,1104,2718,1428,1290,32253,15887,16366,31112,15304,15808,16583,8323,8260,5346,2458,2888,540,188,352
24037,3,5,Maryland,St. Mary's County,4,87593,44135,43458,6203,3110,3093,12590,6467,6123,5288,2705,2583,8386,4232,4154,66119,33168,32951,63512,31853,31659,39950,20306,19644,8027,3598,4429,830,293,537
24039,3,5,Maryland,Somerset County,4,25248,13431,11817,1194,579,615,2318,1136,1182,1063,545,518,4351,2224,2127,21219,11453,9766,20673,11171,9502,12433,7247,5186,3484,1460,2024,410,114,296
24041,3,5,Maryland,Talbot County,4,34084,16262,17822,1708,879,829,3807,1900,1907,1736,922,814,2141,1126,1015,27690,13005,14685,26833,12561,14272,11831,5856,5975,7065,3008,4057,881,292,589
24043,3,5,Maryland,Washington County,4,132947,67910,65037,8095,4196,3899,15687,8155,7532,7091,3597,3494,11256,6312,4944,105586,53762,51824,102074,51962,50112,57342,31285,26057,18821,7670,11151,2350,675,1675
24045,3,5,Maryland,Wicomico County,4,85356,40710,44646,5447,2711,2736,10543,5442,5101,4876,2505,2371,10408,4982,5426,66921,31278,35643,64490,30052,34438,37433,18045,19388,10889,4401,6488,1244,316,928
24047,3,5,Maryland,Worcester County,4,47823,23293,24530,2397,1207,1190,5003,2537,2466,2317,1220,1097,3184,1654,1530,39272,18936,20336,38106,18329,19777,17444,8771,8673,9647,4338,5309,887,257,630
24510,3,5,Maryland,Baltimore city,4,645305,300740,344565,42291,21402,20889,82199,41786,40413,34852,17520,17332,69949,33155,36794,503096,228524,274572,485963,220032,265931,286080,136589,149491,84140,31733,52407,10280,2869,7411
24001,3,5,Maryland,Allegany County,5,74041,36863,37178,3633,1890,1743,7360,3807,3553,3763,1983,1780,8862,4382,4480,61186,30199,30987,59285,29183,30102,31105,16659,14446,13227,5225,8002,1880,484,1396
24003,3,5,Maryland,Anne Arundel County,5,503038,250770,252268,33661,17271,16390,63489,32450,31039,28227,14444,13783,43805,24255,19550,391641,193799,197842,377661,186605,191056,221686,113427,108259,50770,21761,29009,4983,1516,3467
24005,3,5,Maryland,Baltimore County,5,769832,365114,404718,45409,23203,22206,91397,46570,44827,41924,21429,20495,69265,33784,35481,611894,284565,327329,591102,273912,317190,322815,155857,166958,111964,45312,66652,14365,4385,9980
24009,3,5,Maryland,Calvert County,5,80953,39911,41042,5062,2527,2535,11825,6069,5756,5624,2923,2701,6823,3521,3302,61207,29830,31377,58442,28392,30050,35653,17485,18168,7181,3023,4158,818,242,576
24011,3,5,Maryland,Caroline County,5,30316,14845,15471,1804,915,889,4122,2123,1999,1907,1000,907,2678,1425,1253,23437,11307,12130,22483,10807,11676,12602,6341,6261,4043,1704,2339,549,164,385
24013,3,5,Maryland,Carroll County,5,159279,78611,80668,9733,4956,4777,22074,11376,10698,10087,5235,4852,13966,7269,6697,122365,59629,62736,117385,57044,60341,68097,34040,34057,17206,7108,10098,2256,616,1640
24015,3,5,Maryland,Cecil County,5,90319,44721,45598,5856,2945,2911,12505,6442,6063,5626,2884,2742,7592,3841,3751,69019,33826,35193,66332,32450,33882,39049,19305,19744,9531,4209,5322,958,286,672
24017,3,5,Maryland,Charles County,5,128854,63066,65788,8979,4643,4336,18611,9439,9172,8409,4284,4125,11542,5880,5662,97093,46841,50252,92855,44700,48155,58715,28678,30037,10105,4273,5832,1061,279,782
24019,3,5,Maryland,Dorchester County,5,30596,14440,16156,1665,812,853,3544,1766,1778,1765,898,867,2308,1149,1159,24536,11433,13103,23622,10964,12658,11510,5606,5904,5346,2204,3142,699,208,491
24021,3,5,Maryland,Frederick County,5,209263,103021,106242,14426,7309,7117,28923,14818,14105,12741,6561,6180,18051,8927,9124,159468,77562,81906,153173,74333,78840,93132,46240,46892,20081,8291,11790,2359,726,1633
24023,3,5,Maryland,Garrett County,5,29934,14765,15169,1669,868,801,3678,1895,1783,1742,905,837,2698,1391,1307,23755,11572,12183,22845,11097,11748,12069,6103,5966,4576,1969,2607,603,192,411
24025,3,5,Maryland,Harford County,5,227325,111463,115862,15162,7784,7378,32001,16477,15524,14082,7184,6898,18160,9282,8878,172999,83541,89458,166080,80018,86062,96504,47398,49106,23832,10196,13636,2147,652,1495
24027,3,5,Maryland,Howard County,5,260206,127928,132278,18150,9256,8894,37539,19404,18135,15712,8072,7640,18260,9616,8644,196447,95102,101345,188805,91196,97609,114433,56289,58144,20318,8724,11594,2260,654,1606
24029,3,5,Maryland,Kent County,5,19596,9413,10183,869,485,384,1976,1010,966,1017,520,497,2464,1153,1311,16239,7672,8567,15734,7398,8336,7693,3734,3959,3768,1627,2141,537,179,358
24031,3,5,Maryland,Montgomery County,5,908831,436939,471892,63150,32199,30951,115805,59343,56462,50122,25629,24493,64494,33477,31017,704463,332431,372032,679754,319768,359986,380581,186017,194564,102913,42225,60688,14350,4461,9889
24033,3,5,Maryland,Prince George's County,5,829372,397607,431765,60185,30617,29568,113490,58088,55402,46112,23520,22592,85549,43998,41551,632249,296912,335337,609585,285382,324203,382484,185858,196626,66456,27615,38841,6364,1773,4591
24035,3,5,Maryland,Queen Anne's County,5,42817,21256,21561,2537,1262,1275,5495,2813,2682,2448,1294,1154,3163,1651,1512,33553,16528,17025,32337,15887,16450,17238,8662,8576,5454,2490,2964,574,200,374
24037,3,5,Maryland,St. Mary's County,5,90144,45309,44835,6299,3163,3136,12626,6407,6219,5509,2864,2645,9076,4577,4499,68390,34230,34160,65710,32875,32835,41093,20871,20222,8232,3703,4529,893,307,586
24039,3,5,Maryland,Somerset County,5,25475,13552,11923,1219,585,634,2324,1150,1174,1044,537,507,4382,2245,2137,21416,11545,9871,20888,11280,9608,12588,7354,5234,3468,1453,2015,425,119,306
24041,3,5,Maryland,Talbot County,5,34331,16395,17936,1690,895,795,3746,1858,1888,1749,924,825,2338,1225,1113,28028,13178,14850,27146,12718,14428,11926,5940,5986,7244,3087,4157,928,308,620
