2005 Colorado River interpolated elevation		
easting (m)	northing (m)	elev (ft)
623752.251	4273881.688	3951.137235
623754.251	4273881.688	3951.357051
623756.251	4273881.688	3951.603114
623758.251	4273881.688	3951.553901
623760.251	4273881.688	3951.560463
623762.251	4273881.688	3951.639203
623764.251	4273881.688	3951.691696
623766.251	4273881.688	3951.78684
623768.251	4273881.688	3951.776998
623770.251	4273881.688	3951.724504
623772.251	4273881.688	3951.58999
623774.251	4273881.688	3951.685134
623776.251	4273881.688	3951.501408
623778.251	4273881.688	3951.206133
623780.251	4273881.688	3950.320308
623782.251	4273881.688	3950.572932
623784.251	4273881.688	3950.740254
623786.251	4273881.688	3950.720569
623788.251	4273881.688	3950.717289
623790.251	4273881.688	3950.681199
623792.251	4273881.688	3950.323589
623794.251	4273881.688	3950.264534
623796.251	4273881.688	3950.336712
623798.251	4273881.688	3950.107054
623800.251	4273881.688	3949.782251
623802.251	4273881.688	3949.611648
623804.251	4273881.688	3949.280284
623806.251	4273881.688	3948.788159
623906.251	4273881.688	3948.328842
623908.251	4273881.688	3948.607713
623910.251	4273881.688	3948.387897
623912.251	4273881.688	3948.463356
623914.251	4273881.688	3948.387897
623916.251	4273881.688	3948.223855
623918.251	4273881.688	3948.197609
623920.251	4273881.688	3948.197609
623922.251	4273881.688	3948.266506
623924.251	4273881.688	3948.28291
623926.251	4273881.688	3948.574904
623928.251	4273881.688	3948.686453
623930.251	4273881.688	3948.483041
623932.251	4273881.688	3948.689734
623934.251	4273881.688	3948.633959
623936.251	4273881.688	3948.509288
623938.251	4273881.688	3948.200889
623940.251	4273881.688	3947.695641
623942.251	4273881.688	3947.039474
623944.251	4273881.688	3946.324253
623946.251	4273881.688	3945.874778
623948.251	4273881.688	3945.152995
623950.251	4273881.688	3944.831473
623952.251	4273881.688	3944.887248
623954.251	4273881.688	3945.507325
623956.251	4273881.688	3946.032258
623958.251	4273881.688	3946.291444
623960.251	4273881.688	3946.619528
623962.251	4273881.688	3947.347873
623964.251	4273881.688	3948.981728
623966.251	4273881.688	3949.788813
623968.251	4273881.688	3950.116896
623970.251	4273881.688	3950.500754
623972.251	4273881.688	3950.572932
623974.251	4273881.688	3950.871488
623976.251	4273881.688	3950.976474
623978.251	4273881.688	3950.733693
623980.251	4273881.688	3950.549966
623982.251	4273881.688	3949.217948
623984.251	4273881.688	3948.588028
623986.251	4273881.688	3947.321626
623988.251	4273881.688	3946.462048
623990.251	4273881.688	3946.065067
623992.251	4273881.688	3946.163492
623994.251	4273881.688	3946.819658
623996.251	4273881.688	3946.258636
623998.251	4273881.688	3946.042101
624000.251	4273881.688	3945.861655
624002.251	4273881.688	3946.140526
624004.251	4273881.688	3946.350499
624006.251	4273881.688	3946.140526
624008.251	4273881.688	3944.742891
624010.251	4273881.688	3944.411527
624012.251	4273881.688	3943.994861
624014.251	4273881.688	3943.591318
624016.251	4273881.688	3942.794076
624018.251	4273881.688	3942.715336
624020.251	4273881.688	3943.112317
624022.251	4273881.688	3943.433838
624024.251	4273881.688	3943.545387
624026.251	4273881.688	3943.476489
624028.251	4273881.688	3943.722552
624030.251	4273881.688	3943.771764
624032.251	4273881.688	3944.158903
624034.251	4273881.688	3943.945648
624036.251	4273881.688	3944.122813
624038.251	4273881.688	3944.250766
624040.251	4273881.688	3944.129375
624042.251	4273881.688	3944.122813
624044.251	4273881.688	3944.231081
624046.251	4273881.688	3944.477143
624048.251	4273881.688	3944.007984
624050.251	4273881.688	3943.814415
624052.251	4273881.688	3943.423996
624054.251	4273881.688	3943.492893
624056.251	4273881.688	3943.335413
624058.251	4273881.688	3943.036858
624060.251	4273881.688	3942.531609
624062.251	4273881.688	3942.164156
624064.251	4273881.688	3941.8656
624066.251	4273881.688	3942.111663
624080.251	4273881.688	3950.595898
624082.251	4273881.688	3951.494846
624084.251	4273881.688	3952.154294
624086.251	4273881.688	3951.048653
624088.251	4273881.688	3950.041437
624090.251	4273881.688	3947.06244
624092.251	4273881.688	3944.693678
624094.251	4273881.688	3943.840662
624096.251	4273881.688	3944.221238
624098.251	4273881.688	3944.017827
624100.251	4273881.688	3943.653654
624102.251	4273881.688	3943.958772
624104.251	4273881.688	3943.71599
624106.251	4273881.688	3943.355098
624108.251	4273881.688	3943.958772
624110.251	4273881.688	3944.296698
624112.251	4273881.688	3944.759295
624114.251	4273881.688	3944.943022
624116.251	4273881.688	3945.904306
624118.251	4273881.688	3946.458767
624120.251	4273881.688	3946.31441
624122.251	4273881.688	3945.799319
624124.251	4273881.688	3946.288163
624126.251	4273881.688	3946.176615
624128.251	4273881.688	3945.99945
624130.251	4273881.688	3946.74748
624132.251	4273881.688	3947.695641
624134.251	4273881.688	3947.269133
624136.251	4273881.688	3947.111653
624138.251	4273881.688	3947.413489
624140.251	4273881.688	3947.3774
624142.251	4273881.688	3948.617555
624144.251	4273881.688	3948.276349
624146.251	4273881.688	3948.318999
624148.251	4273881.688	3948.44039
624150.251	4273881.688	3948.670049
624152.251	4273881.688	3949.165454
624154.251	4273881.688	3949.145769
624156.251	4273881.688	3949.631333
624158.251	4273881.688	3949.97582
624160.251	4273881.688	3950.395767
624162.251	4273881.688	3950.891173
624164.251	4273881.688	3951.07818
624166.251	4273881.688	3950.727131
624168.251	4273881.688	3950.504034
624170.251	4273881.688	3950.169389
624172.251	4273881.688	3950.064403
624174.251	4273881.688	3949.568997
624176.251	4273881.688	3948.712699
624178.251	4273881.688	3948.102464
624180.251	4273881.688	3947.400366
624182.251	4273881.688	3947.049317
624184.251	4273881.688	3946.993543
624186.251	4273881.688	3946.66874
624188.251	4273881.688	3946.662178
624190.251	4273881.688	3946.258636
623626.251	4273879.688	3952.14117
623628.251	4273879.688	3952.039464
623630.251	4273879.688	3951.996814
623632.251	4273879.688	3951.970567
623634.251	4273879.688	3952.170698
623636.251	4273879.688	3952.252719
623638.251	4273879.688	3952.328178
623640.251	4273879.688	3952.275684
623642.251	4273879.688	3952.177259
623644.251	4273879.688	3951.839334
623646.251	4273879.688	3952.196944
623648.251	4273879.688	3952.108362
623650.251	4273879.688	3952.308493
623652.251	4273879.688	3952.508624
623654.251	4273879.688	3952.603768
623656.251	4273879.688	3952.364267
623658.251	4273879.688	3952.370829
623660.251	4273879.688	3952.275684
623662.251	4273879.688	3952.33802
623664.251	4273879.688	3952.351144
623666.251	4273879.688	3952.505343
623668.251	4273879.688	3952.580802
623670.251	4273879.688	3952.705474
623672.251	4273879.688	3952.859673
623674.251	4273879.688	3953.017153
623676.251	4273879.688	3953.08277
623678.251	4273879.688	3952.958098
623680.251	4273879.688	3953.20088
623682.251	4273879.688	3953.069646
623684.251	4273879.688	3952.879358
623686.251	4273879.688	3952.702193
623688.251	4273879.688	3952.659542
623690.251	4273879.688	3952.521747
623692.251	4273879.688	3952.144451
623694.251	4273879.688	3951.901669
623696.251	4273879.688	3951.727785
623698.251	4273879.688	3952.075554
623700.251	4273879.688	3951.901669
623702.251	4273879.688	3951.950882
623704.251	4273879.688	3951.760594
623706.251	4273879.688	3951.455476
623708.251	4273879.688	3951.829491
623710.251	4273879.688	3951.43251
623712.251	4273879.688	3951.567024
623714.251	4273879.688	3951.547339
623716.251	4273879.688	3951.284873
623718.251	4273879.688	3951.383298
623720.251	4273879.688	3951.603114
623722.251	4273879.688	3951.698258
623724.251	4273879.688	3951.809806
623726.251	4273879.688	3951.658888
623728.251	4273879.688	3951.596552
623730.251	4273879.688	3951.619518
623732.251	4273879.688	3951.475161
623734.251	4273879.688	3951.429229
623736.251	4273879.688	3951.399702
623738.251	4273879.688	3951.088023
623740.251	4273879.688	3951.425949
623742.251	4273879.688	3951.124112
623744.251	4273879.688	3951.051934
623746.251	4273879.688	3950.740254
623748.251	4273879.688	3950.602459
623750.251	4273879.688	3950.471226
623752.251	4273879.688	3950.635268
623754.251	4273879.688	3951.521093
623756.251	4273879.688	3951.281592
623758.251	4273879.688	3951.219256
623760.251	4273879.688	3950.917419
623762.251	4273879.688	3951.124112
623764.251	4273879.688	3951.101146
623766.251	4273879.688	3951.055214
623768.251	4273879.688	3950.838679
623770.251	4273879.688	3950.572932
623772.251	4273879.688	3950.156266
623774.251	4273879.688	3949.841306
623776.251	4273879.688	3950.261253
623778.251	4273879.688	3949.460729
623780.251	4273879.688	3949.145769
623782.251	4273879.688	3949.723196
623784.251	4273879.688	3949.77897
623786.251	4273879.688	3949.811779
623788.251	4273879.688	3949.165454
623790.251	4273879.688	3949.359024
623792.251	4273879.688	3949.286845
623794.251	4273879.688	3948.765193
623796.251	4273879.688	3948.988289
623798.251	4273879.688	3948.824248
623800.251	4273879.688	3948.738946
623802.251	4273879.688	3948.607713
623804.251	4273879.688	3948.325561
623806.251	4273879.688	3948.095903
623808.251	4273879.688	3947.931861
623810.251	4273879.688	3947.764539
623812.251	4273879.688	3947.577531
623814.251	4273879.688	3947.944984
623816.251	4273879.688	3947.833436
623818.251	4273879.688	3948.049971
623820.251	4273879.688	3948.273068
623822.251	4273879.688	3948.302595
623824.251	4273879.688	3948.929234
623826.251	4273879.688	3949.378709
623828.251	4273879.688	3949.605086
623830.251	4273879.688	3949.454168
623832.251	4273879.688	3949.18842
623834.251	4273879.688	3949.355743
623836.251	4273879.688	3949.562435
623838.251	4273879.688	3949.58212
623840.251	4273879.688	3949.339339
623876.251	4273879.688	3945.687771
623878.251	4273879.688	3945.835408
623880.251	4273879.688	3946.176615
623882.251	4273879.688	3946.298006
623884.251	4273879.688	3947.111653
623886.251	4273879.688	3948.056533
623888.251	4273879.688	3948.1648
623890.251	4273879.688	3948.191047
623892.251	4273879.688	3948.227136
623894.251	4273879.688	3947.859683
623896.251	4273879.688	3947.777662
623898.251	4273879.688	3947.570969
623900.251	4273879.688	3947.797347
623902.251	4273879.688	3947.695641
623904.251	4273879.688	3947.233044
623906.251	4273879.688	3947.587374
623908.251	4273879.688	3947.639867
623910.251	4273879.688	3947.669394
623912.251	4273879.688	3947.649709
623914.251	4273879.688	3947.669394
623916.251	4273879.688	3947.488949
623918.251	4273879.688	3947.679237
623920.251	4273879.688	3947.331469
623922.251	4273879.688	3947.636586
623924.251	4273879.688	3947.823594
623926.251	4273879.688	3947.84984
623928.251	4273879.688	3948.12543
623930.251	4273879.688	3947.826874
623932.251	4273879.688	3947.315064
623934.251	4273879.688	3947.528319
623936.251	4273879.688	3947.095249
623938.251	4273879.688	3946.681863
623940.251	4273879.688	3946.31441
623942.251	4273879.688	3946.002731
623944.251	4273879.688	3945.382653
623946.251	4273879.688	3944.962707
623948.251	4273879.688	3944.473863
623950.251	4273879.688	3944.083443
623952.251	4273879.688	3943.784888
623954.251	4273879.688	3943.981738
623956.251	4273879.688	3945.156276
623958.251	4273879.688	3944.647747
623960.251	4273879.688	3944.801946
623962.251	4273879.688	3945.379373
623964.251	4273879.688	3946.859028
623966.251	4273879.688	3948.263225
623968.251	4273879.688	3949.057187
623970.251	4273879.688	3949.401674
623972.251	4273879.688	3949.470572
623974.251	4273879.688	3949.349181
623976.251	4273879.688	3949.631333
623978.251	4273879.688	3949.870834
623980.251	4273879.688	3948.67661
623982.251	4273879.688	3947.866244
623984.251	4273879.688	3947.082125
623986.251	4273879.688	3945.579503
623988.251	4273879.688	3945.287509
623990.251	4273879.688	3945.041447
623992.251	4273879.688	3944.470582
623994.251	4273879.688	3944.588692
623996.251	4273879.688	3944.946303
623998.251	4273879.688	3944.053916
624000.251	4273879.688	3944.257328
624002.251	4273879.688	3944.270451
624004.251	4273879.688	3945.070974
624006.251	4273879.688	3944.73961
624008.251	4273879.688	3943.804573
624010.251	4273879.688	3943.420715
624012.251	4273879.688	3943.017173
624014.251	4273879.688	3942.862973
624016.251	4273879.688	3942.525048
624018.251	4273879.688	3942.485678
624020.251	4273879.688	3942.400376
624022.251	4273879.688	3942.610349
624024.251	4273879.688	3942.695651
624026.251	4273879.688	3942.941713
624028.251	4273879.688	3943.132002
624030.251	4273879.688	3943.417434
624032.251	4273879.688	3943.341975
624034.251	4273879.688	3943.414153
624036.251	4273879.688	3943.427277
624038.251	4273879.688	3943.489613
624040.251	4273879.688	3943.374783
624042.251	4273879.688	3943.407592
624044.251	4273879.688	3943.581476
624046.251	4273879.688	3943.384626
624048.251	4273879.688	3943.177933
624050.251	4273879.688	3943.132002
624052.251	4273879.688	3942.800638
624054.251	4273879.688	3942.787514
624056.251	4273879.688	3942.741583
624058.251	4273879.688	3942.679247
624060.251	4273879.688	3942.196964
624062.251	4273879.688	3941.649065
624064.251	4273879.688	3941.189748
624066.251	4273879.688	3941.357071
624068.251	4273879.688	3942.026361
624070.251	4273879.688	3942.971241
624072.251	4273879.688	3944.880686
624074.251	4273879.688	3946.101156
624076.251	4273879.688	3948.601151
624078.251	4273879.688	3949.795374
624080.251	4273879.688	3951.07818
624082.251	4273879.688	3952.128047
624084.251	4273879.688	3952.45285
624086.251	4273879.688	3952.272404
624088.251	4273879.688	3951.03881
624090.251	4273879.688	3944.815069
624092.251	4273879.688	3943.076228
624094.251	4273879.688	3941.649065
624096.251	4273879.688	3941.855758
624098.251	4273879.688	3941.717962
624100.251	4273879.688	3941.993553
624102.251	4273879.688	3941.878723
624104.251	4273879.688	3941.763894
624106.251	4273879.688	3941.931217
624108.251	4273879.688	3942.301951
624110.251	4273879.688	3942.721898
624112.251	4273879.688	3943.355098
624114.251	4273879.688	3943.584757
624116.251	4273879.688	3943.906278
624118.251	4273879.688	3944.2278
624120.251	4273879.688	3944.378718
624122.251	4273879.688	3944.421369
624124.251	4273879.688	3944.529637
624126.251	4273879.688	3944.644466
624128.251	4273879.688	3944.175307
624130.251	4273879.688	3944.569007
624132.251	4273879.688	3944.654308
624134.251	4273879.688	3945.422023
624136.251	4273879.688	3945.031604
624138.251	4273879.688	3945.162838
624140.251	4273879.688	3945.307194
624142.251	4273879.688	3945.231735
624144.251	4273879.688	3945.766511
624146.251	4273879.688	3946.284883
624148.251	4273879.688	3945.697613
624150.251	4273879.688	3945.832128
624152.251	4273879.688	3946.07819
624154.251	4273879.688	3946.799973
624156.251	4273879.688	3947.380681
624158.251	4273879.688	3947.761258
624160.251	4273879.688	3948.561781
624162.251	4273879.688	3949.080153
624164.251	4273879.688	3949.165454
624166.251	4273879.688	3949.355743
624168.251	4273879.688	3949.135927
624170.251	4273879.688	3949.231071
624172.251	4273879.688	3948.752069
624174.251	4273879.688	3948.939077
624176.251	4273879.688	3947.971231
624178.251	4273879.688	3947.475825
624180.251	4273879.688	3946.485013
624182.251	4273879.688	3946.402993
624184.251	4273879.688	3946.15693
624186.251	4273879.688	3946.284883
624188.251	4273879.688	3946.209423
624190.251	4273879.688	3946.179896
623612.251	4273877.688	3954.273712
623614.251	4273877.688	3954.726467
623616.251	4273877.688	3954.250746
623618.251	4273877.688	3953.653635
623620.251	4273877.688	3952.616891
623622.251	4273877.688	3952.072273
623624.251	4273877.688	3951.829491
623626.251	4273877.688	3951.757313
623628.251	4273877.688	3951.78684
623630.251	4273877.688	3951.675292
623632.251	4273877.688	3951.557182
623634.251	4273877.688	3951.639203
623636.251	4273877.688	3951.931197
623638.251	4273877.688	3952.085396
623640.251	4273877.688	3952.003375
623642.251	4273877.688	3951.209414
623644.251	4273877.688	3951.320962
623646.251	4273877.688	3951.363613
623648.251	4273877.688	3951.042091
623650.251	4273877.688	3951.360332
623652.251	4273877.688	3951.530935
623654.251	4273877.688	3951.714662
623656.251	4273877.688	3951.885265
623658.251	4273877.688	3951.767155
623660.251	4273877.688	3951.189729
623662.251	4273877.688	3951.622799
623664.251	4273877.688	3951.530935
623666.251	4273877.688	3951.672011
623668.251	4273877.688	3951.691696
623670.251	4273877.688	3951.757313
623672.251	4273877.688	3952.032903
623674.251	4273877.688	3951.396421
623676.251	4273877.688	3951.573586
623678.251	4273877.688	3951.881984
623680.251	4273877.688	3951.462038
