    1
41.688660 -87.499123  41.689045 -87.499733  41.689259 -87.500069
41.689289 -87.500084  41.690987 -87.501404  41.692261 -87.504036
41.693100 -87.503639  41.694195 -87.504524  41.694363 -87.507088
41.694725 -87.508652  41.696762 -87.510048  41.699886 -87.513969
41.701763 -87.516853  41.702324 -87.517342  41.703762 -87.515198
41.704350 -87.514450  41.704987 -87.514381  41.707611 -87.517342
41.710171 -87.519936  41.710602 -87.520584  41.709518 -87.522598
41.708881 -87.524010  41.709518 -87.525429  41.710892 -87.526627
41.711292 -87.527122  41.712322 -87.525108  41.713272 -87.525764
41.714405 -87.527237  41.716412 -87.526939  41.717083 -87.524910
41.721046 -87.524620  41.726006 -87.524620  41.727722 -87.526405
41.730217 -87.528259  41.731674 -87.529236  41.731449 -87.533249
41.729366 -87.536514  41.727379 -87.540306  41.726669 -87.541786
41.727501 -87.542061  41.729591 -87.537720  41.731609 -87.534309
41.733868 -87.530296  41.734207 -87.529144  41.734364 -87.528923
41.737755 -87.528984  41.740993 -87.529610  41.744431 -87.530327
41.746605 -87.530594  41.747791 -87.530693  41.748184 -87.530792
41.748634 -87.532425  41.751434 -87.538475  41.752338 -87.541039
41.752571 -87.541779  41.752525 -87.543343  41.753525 -87.543793
41.755478 -87.543434  41.756214 -87.541786  41.757046 -87.540588
41.759808 -87.542549  41.760239 -87.543083  41.759342 -87.545319
41.759922 -87.549377  41.761665 -87.553619  41.762348 -87.554726
41.761898 -87.555817  41.762974 -87.557098  41.765354 -87.558891
41.766930 -87.558846  41.768295 -87.559715  41.768852 -87.559952
41.768787 -87.560799  41.770020 -87.563034  41.772579 -87.564415
41.774872 -87.567421  41.776291 -87.569504  41.777691 -87.570602
41.778580 -87.572182  41.777824 -87.572906  41.777020 -87.572792
41.776180 -87.573181  41.776508 -87.574577  41.777683 -87.575485
41.778503 -87.575348  41.779335 -87.574005  41.780304 -87.571495
41.780807 -87.569351  41.781723 -87.569389  41.782032 -87.571297
41.783012 -87.573280  41.784122 -87.574974  41.786167 -87.575279
41.789200 -87.576820  41.791092 -87.577782  41.793564 -87.578583
41.794827 -87.577957  41.795441 -87.575912  41.796196 -87.575249
41.797428 -87.576134  41.798241 -87.579338  41.799320 -87.580002
41.800545 -87.580254  41.803268 -87.580238  41.805553 -87.581520
41.807110 -87.583344  41.807961 -87.584267  41.809349 -87.585289
41.811195 -87.586655  41.812511 -87.588890  41.813854 -87.589798
41.816624 -87.591919  41.819450 -87.594025  41.821671 -87.596123
41.823742 -87.597633  41.825970 -87.598801  41.827862 -87.599846
41.829235 -87.600945  41.832005 -87.602715  41.833347 -87.603813
41.833889 -87.604683  41.835239 -87.604897  41.836582 -87.605698
41.838299 -87.606331  41.839687 -87.606728  41.841328 -87.607513
41.843369 -87.608963  41.846054 -87.608276  41.848450 -87.609222
41.851128 -87.609764  41.852402 -87.609833  41.853428 -87.610535
41.854137 -87.611320  41.856430 -87.613190  41.858780 -87.613113
41.861835 -87.613037  41.863235 -87.612816  41.865154 -87.612602
41.865799 -87.611465  41.865444 -87.610344  41.863895 -87.610001
41.860363 -87.610069  41.856403 -87.610359  41.854862 -87.610260
41.853188 -87.607780  41.854641 -87.606071  41.856758 -87.605743
41.859497 -87.605209  41.861649 -87.605400  41.864063 -87.605896
41.866013 -87.605682  41.866783 -87.605843  41.867279 -87.608215
41.867222 -87.612419  41.867428 -87.613113  41.869507 -87.616394
41.870243 -87.616295  41.872684 -87.615509  41.878109 -87.615150
41.881489 -87.614807  41.883175 -87.613541  41.884460 -87.611832
41.885235 -87.612144  41.887444 -87.612213  41.887806 -87.612320
41.888153 -87.615646  41.888329 -87.619247  41.888477 -87.619621
41.889103 -87.619446  41.889156 -87.616470  41.889286 -87.613663
41.890854 -87.611694  41.890907 -87.611694  41.891003 -87.610947
41.891308 -87.610023  41.892509 -87.609100  41.892612 -87.608978
41.893127 -87.608376  41.893684 -87.604752  41.893639 -87.602318
41.895164 -87.601418  41.896023 -87.601685  41.895931 -87.603867
41.896172 -87.609261  41.896191 -87.610039  41.894699 -87.611382
41.893730 -87.612404  41.893684 -87.612816  41.895706 -87.614845
41.900002 -87.618484  41.902359 -87.620506  41.903046 -87.622139
41.904125 -87.623764  41.906521 -87.624832  41.909920 -87.625343
41.912891 -87.623840  41.913040 -87.622841  41.913235 -87.620186
41.913998 -87.620125  41.914799 -87.621529  41.915649 -87.625145
41.917091 -87.625946  41.920380 -87.627449  41.923927 -87.628441
41.925854 -87.628677  41.928341 -87.630020  41.930740 -87.630455
41.935070 -87.630356  41.938515 -87.632080  41.939938 -87.632835
41.940552 -87.633263  41.941586 -87.634033  41.940517 -87.635620
41.940319 -87.636780  41.942379 -87.637741  41.944061 -87.639183
41.946529 -87.640282  41.946373 -87.639069  41.944778 -87.636726
41.942566 -87.634819  41.941902 -87.633209  41.942554 -87.632828
41.944229 -87.633987  41.947453 -87.636681  41.950001 -87.638626
41.953175 -87.640465  41.956032 -87.641083  41.958824 -87.641678
41.961895 -87.642204  41.963207 -87.640129  41.963692 -87.637016
41.963512 -87.636177  41.962463 -87.635880  41.961086 -87.637665
41.960907 -87.639694  41.960091 -87.640091  41.960091 -87.638832
41.960938 -87.635460  41.962051 -87.633652  41.963615 -87.631927
41.965366 -87.631218  41.966667 -87.631538  41.966583 -87.632751
41.966549 -87.634972  41.967106 -87.636978  41.968994 -87.641815
41.970306 -87.643906  41.971256 -87.644768  41.972874 -87.645607
41.976254 -87.646477  41.978104 -87.648109  41.979340 -87.649330
41.981583 -87.649696  41.983795 -87.650253  41.985722 -87.650368
41.986031 -87.650352  41.987286 -87.652786  41.988541 -87.654953
41.989990 -87.654282  41.992920 -87.654594  41.995998 -87.654457
41.998577 -87.655220  41.999275 -87.655418  42.000389 -87.656006
42.000668 -87.656067  42.001030 -87.656204  42.002419 -87.656715
42.004082 -87.657288  42.006054 -87.658295  42.006889 -87.658707
42.007122 -87.657700  42.007244 -87.656929  42.008274 -87.657562
