Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	86
Date	2004MAR26
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	18.99984	[UTC]
Stop_time	19.28262	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.36310	[p_s^-1]
ForeOptic_temperature	32.97	[ns]
Front_temperature	32.97	[ns]
Back_temperature	24.90	[ns]
Inside_temperature	24.30	[ns]
Shelter_temperature	22.33	[ns]
PSUnit_temperature	25.36	[ns]
AirCond_temperature	18.97	[ns]
Outside_temperature	26.49	[ns]
Comments	none
Formatted_file	2004086f12.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
320.762	377.98737	0.0002	0.0000
320.862	298.79608	0.0002	0.0000
320.962	303.08279	0.0002	0.0000
321.062	251.68246	0.0002	0.0000
321.162	240.32716	0.0002	0.0000
321.262	262.03177	0.0002	0.0000
321.362	222.00722	0.0003	0.0000
321.462	238.24411	0.0003	0.0000
321.562	316.11459	0.0002	0.0000
321.662	265.27417	0.0002	0.0000
321.762	329.64487	0.0002	0.0000
321.862	389.74826	0.0002	0.0000
321.962	309.37967	0.0002	0.0000
322.062	362.15759	0.0002	0.0000
322.162	293.41858	0.0002	0.0000
322.262	243.46732	0.0002	0.0000
322.361	297.74838	0.0002	0.0000
322.461	349.59152	0.0002	0.0000
322.561	233.07884	0.0003	0.0000
322.661	246.45441	0.0002	0.0000
322.761	238.47272	0.0003	0.0000
322.861	218.50728	0.0003	0.0000
322.961	212.20099	0.0003	0.0000
323.061	285.05875	0.0002	0.0000
323.161	332.97171	0.0002	0.0000
323.261	341.46902	0.0002	0.0000
323.361	310.79974	0.0002	0.0000
323.461	222.33159	0.0003	0.0000
323.561	341.11276	0.0002	0.0000
323.661	245.01958	0.0002	0.0000
323.761	353.13583	0.0002	0.0000
323.861	366.49258	0.0002	0.0000
323.961	269.25854	0.0002	0.0000
324.061	423.45386	0.0002	0.0000
324.161	344.08472	0.0002	0.0000
324.261	381.64346	0.0002	0.0000
324.361	321.06592	0.0002	0.0000
324.461	367.89935	0.0002	0.0000
324.561	398.48309	0.0002	0.0000
324.661	425.40878	0.0002	0.0000
324.761	276.34180	0.0002	0.0000
324.861	290.48993	0.0002	0.0000
324.960	330.62506	0.0002	0.0000
325.060	315.95114	0.0002	0.0000
325.160	355.97778	0.0002	0.0000
325.260	365.19138	0.0002	0.0000
325.360	371.99216	0.0002	0.0000
325.460	414.12384	0.0002	0.0000
325.560	481.09525	0.0002	0.0000
325.660	465.17661	0.0002	0.0000
325.760	420.20941	0.0002	0.0000
325.860	487.66113	0.0002	0.0000
325.960	528.17346	0.0002	0.0000
326.060	502.43509	0.0002	0.0000
326.160	448.16821	0.0002	0.0000
326.260	522.69019	0.0002	0.0000
326.360	481.34027	0.0002	0.0000
326.460	397.92371	0.0002	0.0000
326.560	415.86047	0.0002	0.0000
326.660	543.52667	0.0002	0.0000
326.760	506.13159	0.0002	0.0000
326.860	532.05646	0.0002	0.0000
326.960	484.03522	0.0002	0.0000
