                   ,        YTD         , ,        YTD         , ,        YTD         , ,     September      , ,       August       , ,        July        , ,        June        , ,        May         , ,       April        , ,       March        , ,      February      , ,      January       , ,       Total        , ,      December      , ,      November      , ,      October       , ,     September      , ,       August       , ,        July        , ,        June        , ,        May         , ,       April        , ,       March        , ,      February      , 
South Carolina                          ,0,NA,131297,  ,136382,  ,0,NA,22610,,14538,R,12819,R,11321,R,11607,R,12266,R,19594,R,18397,R,172506,R,14246,R,14061,R,12902,R,10930,R,19755,R,18401,R,13578,R,11535,R,12013,R,14881,R,15594,R
South Dakota                            ,0,NA,24294,  ,26337,  ,0,NA,3197,,3204,R,2906,R,2722,R,3899,R,3856,R,5690,R,5239,R,34809,R,4503,R,3428,R,2584,R,1584,R,1955,R,2525,R,1716,R,1775,R,2535,R,3843,R,4348,R
Tennessee                               ,0,NA,156526,  ,166016,  ,0,NA,14004,,10352,R,10500,R,12870,R,16129,R,24207,R,32556,R,28000,R,211641,R,24667,R,18367,R,12080,R,10759,R,12341,R,12430,R,11358,R,12057,R,16623,R,24451,R,27754,R
Texas                                   ,0,NA,2367283,  ,2436091,  ,0,NA,344523,,0,NA,264553,R,245582,R,234464,R,258010,R,265816,R,293842,R,3067674,R,249106,R,215133,R,236152,R,247807,R,316132,R,297993,R,280716,R,261315,R,247277,R,247488,R,231539,R
Utah                                    ,0,NA,109502,  ,97836,  ,0,NA,9739,,9592,R,10807,R,12045,R,13266,R,16777,R,22073,R,23863,R,152097,R,19710,R,13464,R,9422,R,8599,R,8180,R,8734,R,8516,R,8309,R,13496,R,16428,R,17533,R
Vermont                                 ,0,NA,6008,  ,6331,  ,0,NA,332,,340,  ,382,  ,536,  ,916,  ,1251,  ,1376,  ,1105,  ,8041,R,893,R,658,R,481,R,347,R,318,R,318,R,415,R,501,R,745,R,1190,R,1063,R
Virginia                                ,0,NA,199248,  ,218336,  ,0,NA,0,NA,23008,R,0,NA,14851,R,20416,R,27485,R,39463,R,33833,R,264662,R,26888,R,21585,R,16941,R,13244,R,27750,R,26870,R,18071,R,13134,R,15279,R,26903,R,30986,R
Washington                              ,0,NA,177609,  ,183412,  ,0,NA,17905,,16213,R,13021,R,15390,R,19161,R,23056,R,28684,R,33574,R,256340,R,31558,R,24231,R,22942,R,19953,R,18487,R,15757,R,12401,R,14131,R,18361,R,24614,R,27834,R
West Virginia                           ,0,NA,62561,  ,67711,  ,0,NA,5144,,3997,R,3780,R,4501,R,7336,R,12070,R,13510,R,11299,R,85499,R,9202,R,7860,R,5877,R,4122,R,4899,R,4982,R,4220,R,5534,R,6693,R,10154,R,10984,R
Wisconsin                               ,0,NA,257006,  ,292790,  ,0,NA,21751,,18199,R,17280,R,19391,R,32451,R,40914,R,61138,R,53288,R,369283,R,44483,R,36227,R,31566,R,18038,R,19919,R,20221,R,17607,R,20527,R,24331,R,42628,R,49036,R
Wyoming                                 ,0,NA,46591,  ,47274,  ,0,NA,3865,,3770,R,4119,R,4792,R,5314,R,6697,R,7155,R,7794,R,64289,R,6852,R,5793,R,5054,R,3847,R,3968,R,4014,R,4020,R,4670,R,5300,R,6852,R,6724,R
Total                                  ,15825568,E ,14863035,  ,15313813,  ,1406115,E ,1781098,R,1517445,R,1408968,R,1412374,R,1653353,R,1955416,R,2398701,R,2292098,R,19944731,R,1962735,R,1619476,R,1499486,R,1325987,R,1605589,R,1613214,R,1413217,R,1388506,R,1541400,R,1969353,R,1997127,R
