NASA Ames Airborne Tracking 14-Channel Sunphotometer, AATS-14
SAFARI-2000  9/ 1/2000
Date processed: 29-Jan-2002 by Beat Schmid, Version 1.6
NO2 [molec/cm2]: 2e+015
O3 [DU]: 295
Relative Std Dev Filter Aerosol[%]: 5.0
Relative Std Dev Filter H2O [%]: 10.0
Max m_aero: Inf
Max tau_aero: 5.0
Max tau_aero error: Inf
Min Alpha Angstrom: 0.00
AOD smoothing parameter 0.99
aerosol wavelengths [10^-6 m]  0.353  0.380  0.449  0.499  0.525  0.606  0.675  0.778  0.865  1.019  1.241  1.557
UT[h]     Lat[deg]  Lon[deg]  GPS_Alt p_Alt[km] p[hPa]  AOD0354 AOD0380 AOD0449 AOD0499 AOD0525 AOD0606 AOD0675 AOD0778 AOD0865 AOD1019 AOD1241 AOD1557 Err0354 Err0380 Err0449 Err0499 Err0525 Err0606 Err0675 Err0778 Err0865 Err1019 Err1241 Err1557 a2_fit  a1_fit  a0_fit  Ext0354 Ext0380 Ext0449 Ext0499 Ext0525 Ext0606 Ext0675 Ext0778 Ext0865 Ext1019 Ext1241 Ext1557 a2_fit  a1_fit  a0_fit
10.94444 -17.55590  25.11886  2.572   2.540     757.57  0.3126  0.2910  0.2141  0.1767  0.1592  0.1273  0.0984  0.0748  0.0704  0.0654  0.0363  0.0273  0.0115  0.0223  0.0259  0.0310  0.0536  0.0343  0.0050  0.0031  0.0039  0.0031  0.0040  0.0111  0.0964 -1.5870 -2.8932  0.1863  0.1670  0.1262  0.0998  0.0950  0.0703  0.0547  0.0409  0.0330  0.0253  0.0183  0.0135  0.1617 -1.7453 -3.6129
10.94333 -17.54951  25.11762  2.572   2.550     756.69  0.2937  0.2750  0.2007  0.1662  0.1477  0.1208  0.0938  0.0702  0.0678  0.0615  0.0349  0.0274  0.0110  0.0223  0.0255  0.0309  0.0534  0.0343  0.0047  0.0026  0.0036  0.0027  0.0037  0.0110  0.1410 -1.5272 -2.9371  0.1843  0.1654  0.1246  0.0990  0.0934  0.0699  0.0543  0.0405  0.0327  0.0248  0.0182  0.0137  0.1826 -1.7235 -3.6202
10.94222 -17.54951  25.11762  2.624   2.580     754.00  0.2921  0.2726  0.2008  0.1651  0.1498  0.1190  0.0927  0.0702  0.0672  0.0626  0.0345  0.0256  0.0111  0.0223  0.0256  0.0309  0.0534  0.0343  0.0048  0.0027  0.0037  0.0028  0.0038  0.0110  0.0837 -1.5854 -2.9483  0.1766  0.1593  0.1189  0.0961  0.0877  0.0679  0.0527  0.0388  0.0316  0.0228  0.0176  0.0142  0.2484 -1.6569 -3.6533
10.94111 -17.54729  25.11691  2.638   2.608     751.51  0.2826  0.2674  0.1913  0.1669  0.1350  0.1192  0.0923  0.0681  0.0663  0.0565  0.0342  0.0302  0.0149  0.0228  0.0296  0.0325  0.0554  0.0346  0.0069  0.0057  0.0062  0.0057  0.0062  0.0121  0.2466 -1.4147 -2.9544  0.1680  0.1523  0.1127  0.0927  0.0817  0.0654  0.0507  0.0369  0.0303  0.0208  0.0169  0.0144  0.3091 -1.5985 -3.6969
10.94000 -17.54301  25.11511  2.671   2.642     748.48  0.2900  0.2686  0.2008  0.1606  0.1540  0.1159  0.0902  0.0698  0.0658  0.0651  0.0336  0.0224  0.0130  0.0225  0.0275  0.0316  0.0544  0.0344  0.0058  0.0043  0.0050  0.0044  0.0051  0.0115 -0.0216 -1.6956 -2.9731  0.1568  0.1427  0.1048  0.0879  0.0747  0.0616  0.0478  0.0344  0.0284  0.0185  0.0159  0.0143  0.3618 -1.5520 -3.7638
10.93778 -17.53636  25.11183  2.711   2.688     744.44  0.2823  0.2602  0.1978  0.1572  0.1547  0.1105  0.0870  0.0682  0.0636  0.0649  0.0318  0.0189  0.0112  0.0223  0.0257  0.0310  0.0535  0.0343  0.0048  0.0029  0.0038  0.0029  0.0039  0.0111 -0.1452 -1.8322 -3.0212  0.1414  0.1291  0.0946  0.0804  0.0669  0.0556  0.0433  0.0310  0.0256  0.0160  0.0142  0.0130  0.3767 -1.5496 -3.8733
10.93611 -17.53221  25.10981  2.730   2.716     741.92  0.2693  0.2522  0.1847  0.1526  0.1374  0.1110  0.0860  0.0653  0.0631  0.0597  0.0325  0.0246  0.0118  0.0224  0.0263  0.0312  0.0538  0.0343  0.0052  0.0034  0.0042  0.0034  0.0043  0.0112  0.0989 -1.5484 -3.0088  0.1317  0.1202  0.0882  0.0753  0.0624  0.0515  0.0403  0.0288  0.0237  0.0147  0.0131  0.0119  0.3684 -1.5668 -3.9521
10.93444 -17.52768  25.10759  2.764   2.749     739.06  0.2727  0.2537  0.1885  0.1531  0.1427  0.1099  0.0854  0.0658  0.0627  0.0612  0.0318  0.0217  0.0119  0.0224  0.0264  0.0312  0.0538  0.0344  0.0053  0.0035  0.0043  0.0036  0.0044  0.0112 -0.0035 -1.6711 -3.0256  0.1211  0.1104  0.0812  0.0694  0.0575  0.0471  0.0369  0.0264  0.0216  0.0134  0.0119  0.0107  0.3547 -1.5901 -4.0455
10.93333 -17.51950  25.10355  2.764   2.771     737.11  0.2745  0.2553  0.1896  0.1523  0.1446  0.1111  0.0862  0.0665  0.0635  0.0628  0.0327  0.0226  0.0122  0.0224  0.0268  0.0314  0.0540  0.0344  0.0054  0.0038  0.0045  0.0038  0.0046  0.0113  0.0156 -1.6379 -3.0057  0.1144  0.1042  0.0768  0.0656  0.0545  0.0443  0.0347  0.0248  0.0203  0.0127  0.0112  0.0098  0.3405 -1.6099 -4.1088
10.93222 -17.51950  25.10355  2.844   2.802     734.35  0.2637  0.2463  0.1813  0.1483  0.1362  0.1085  0.0837  0.0642  0.0618  0.0601  0.0317  0.0232  0.0128  0.0225  0.0274  0.0316  0.0543  0.0344  0.0058  0.0043  0.0049  0.0043  0.0050  0.0115  0.0609 -1.5821 -3.0307  0.1059  0.0961  0.0711  0.0604  0.0507  0.0407  0.0318  0.0229  0.0186  0.0118  0.0103  0.0088  0.3222 -1.6336 -4.1946
