table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,
"Table 2: Annual Estimates of the Population by Sex and Age for New Mexico: April 1, 2000 to July 1, 2005",,,,,,,,
Sex and Age,Population estimates,,,,,,"April 1, 2000",
,"July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates base,Census
.45 to 64 years,"254,436","243,939","234,849","225,279","217,071","209,952","208,453","208,453"
.65 years and over,"131,707","128,768","126,352","123,747","121,449","119,618","119,026","119,026"
,,,,,,,,
.16 years and over,"767,807","752,511","739,363","725,072","714,526","706,210","704,305","704,305"
.18 years and over,"739,042","723,814","710,428","695,907","685,684","677,363","675,405","675,405"
.15 to 44 years,"396,151","394,071","392,312","390,409","390,386","391,234","391,364","391,364"
,,,,,,,,
.Median age (years),37.4,37.0,36.7,36.3,36.1,35.7,35.6,35.6
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.",,,,,,,,
Suggested Citation:,,,,,,,,
"Table 2: Annual Estimates of the Population by Sex and Age for New Mexico: April 1, 2000 to July 1, 2005 (SC-EST2005-02-35)",,,,,,,,
"Source: Population Division, U.S. Census Bureau",,,,,,,,
"Release Date: August 4, 2006",,,,,,,,
