   yr mo da hr mn sc                S_40                T_28
 2004  2 13  0 57 30           32.720974            2.143925
 2004  2 13  1 57 30           32.704880            2.127158
 2004  2 13  2 57 30           32.730000            2.151992
 2004  2 13  3 57 30           32.724926            2.131367
 2004  2 13  4 57 30           32.714748            2.106608
 2004  2 13  5 57 30           32.719658            2.091100
 2004  2 13  6 57 30           32.732246            2.105642
 2004  2 13  7 57 30           32.742275            2.115933
 2004  2 13  8 57 30           32.754829            2.127083
 2004  2 13  9 57 30           32.747158            2.116317
 2004  2 13 10 57 30           32.736668            2.104125
 2004  2 13 11 57 30           32.710823            2.069500
 2004  2 13 12 57 30           32.700661            2.079558
 2004  2 13 13 57 30           32.704868            2.100742
 2004  2 13 14 57 30           32.703701            2.069792
 2004  2 13 15 57 30           32.678268            1.984658
 2004  2 13 16 57 30           32.680378            1.971617
 2004  2 13 17 57 30           32.667255            1.984750
 2004  2 13 18 57 30           32.673286            2.023425
 2004  2 13 19 57 30           32.678711            2.032792
 2004  2 13 20 57 30           32.675251            2.035717
 2004  2 13 21 57 30           32.674801            2.028792
 2004  2 13 22 57 30           32.688038            2.019058
 2004  2 13 23 57 30           32.668056            1.979700
 2004  2 14  0 57 30           32.673538            1.963708
 2004  2 14  1 57 30           32.675896            1.945525
 2004  2 14  2 57 30           32.673355            1.942208
 2004  2 14  3 57 30           32.677628            1.950258
 2004  2 14  4 57 30           32.703690            2.015958
 2004  2 14  5 57 30           32.698139            2.002775
 2004  2 14  6 57 30           32.716492            2.053358
 2004  2 14  7 57 30           32.734051            2.084400
 2004  2 14  8 57 30           32.738464            2.101325
 2004  2 14  9 57 30           32.747814            2.118342
 2004  2 14 10 57 30           32.759331            2.121667
 2004  2 14 11 57 30           32.736137            2.088667
 2004  2 14 12 57 30           32.723057            2.040933
 2004  2 14 13 57 30           32.728725            2.026067
 2004  2 14 14 57 30           32.708027            1.906017
 2004  2 14 15 57 30           32.710266            1.977283
 2004  2 14 16 57 30           32.723526            1.988358
 2004  2 14 17 57 30           32.722073            2.018008
 2004  2 14 18 57 30           32.731556            1.997858
 2004  2 14 19 57 30           32.709053            1.900975
 2004  2 14 20 57 30           32.699905            1.862283
 2004  2 14 21 57 30           32.695782            1.852908
 2004  2 14 22 57 30           32.696526            1.961975
 2004  2 14 23 57 30           32.742828            2.042583
 2004  2 15  0 57 30           32.726704            1.973442
 2004  2 15  1 57 30           32.723396            1.969492
 2004  2 15  2 57 30           32.726429            1.959850
 2004  2 15  3 57 30           32.728935            1.993883
 2004  2 15  4 57 30           32.723049            1.978783
 2004  2 15  5 57 30           32.736004            2.002933
 2004  2 15  6 57 30           32.760509            2.113617
 2004  2 15  7 57 30           32.781288            2.162608
 2004  2 15  8 57 30           32.784443            2.175592
 2004  2 15  9 57 30           32.786903            2.182983
 2004  2 15 10 57 30           32.781563            2.170942
 2004  2 15 11 57 30           32.784931            2.156633
 2004  2 15 12 57 30           32.708565            2.056450
 2004  2 15 13 57 30           32.757729            2.080017
 2004  2 15 14 57 30           32.736870            2.035558
 2004  2 15 15 57 30           32.650135            1.900867
 2004  2 15 16 57 30           32.707630            1.989425
 2004  2 15 17 57 30           32.690002            1.889692
 2004  2 15 18 57 30           32.664055            1.895958
 2004  2 15 19 57 30           32.700481            1.996883
 2004  2 15 20 57 30           32.715992            2.001925
 2004  2 15 21 57 30           32.718777            2.000192
 2004  2 15 22 57 30           32.718178            2.064300
 2004  2 15 23 57 30           32.720749            2.063833
 2004  2 16  0 57 30           32.721436            2.053567
 2004  2 16  1 57 30           32.719791            2.038125
 2004  2 16  2 57 30           32.703884            1.928067
 2004  2 16  3 57 30           32.717567            1.933200
 2004  2 16  4 57 30           32.726551            1.928683
 2004  2 16  5 57 30           32.728523            1.923475
 2004  2 16  6 57 30           32.722153            1.933142
 2004  2 16  7 57 30           32.729118            1.961192
 2004  2 16  8 57 30           32.740891            2.066817
 2004  2 16  9 57 30           32.755718            2.109842
 2004  2 16 10 57 30           32.757416            2.108725
 2004  2 16 11 57 30           32.762714            2.086575
 2004  2 16 12 57 30           32.743870            2.053500
 2004  2 16 13 57 30           32.724251            1.994792
 2004  2 16 14 57 30           32.700253            1.952817
 2004  2 16 15 57 30           32.703979            1.977708
 2004  2 16 16 57 30           32.717808            1.961350
 2004  2 16 17 57 30           32.734024            2.001650
