SUMLEV,STATE,COUNTY,STNAME,CTYNAME,Sex,Origin,Race,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005
050,17,009,Illinois,Brown County,1,2,3,0,0,0,0,0,0,0,0
050,17,009,Illinois,Brown County,1,2,4,0,0,0,0,0,0,0,0
050,17,009,Illinois,Brown County,1,2,5,0,0,0,0,0,0,0,0
050,17,009,Illinois,Brown County,1,2,6,0,0,0,0,0,0,0,0
050,17,009,Illinois,Brown County,2,0,1,2503,2503,2513,2483,2431,2449,2435,2412
050,17,009,Illinois,Brown County,2,0,2,5,5,5,5,5,5,5,5
050,17,009,Illinois,Brown County,2,0,3,1,1,0,0,0,0,0,0
050,17,009,Illinois,Brown County,2,0,4,7,7,6,8,8,9,10,8
050,17,009,Illinois,Brown County,2,0,5,3,3,4,4,4,5,4,6
050,17,009,Illinois,Brown County,2,0,6,11,11,4,4,5,4,4,4
050,17,009,Illinois,Brown County,2,1,1,2488,2488,2498,2468,2415,2433,2419,2396
050,17,009,Illinois,Brown County,2,1,2,5,5,5,5,5,5,5,5
050,17,009,Illinois,Brown County,2,1,3,1,1,0,0,0,0,0,0
050,17,009,Illinois,Brown County,2,1,4,6,6,6,8,8,9,10,8
050,17,009,Illinois,Brown County,2,1,5,3,3,1,1,1,1,1,1
050,17,009,Illinois,Brown County,2,1,6,11,11,4,4,5,4,4,4
050,17,009,Illinois,Brown County,2,2,1,15,15,15,15,16,16,16,16
050,17,009,Illinois,Brown County,2,2,2,0,0,0,0,0,0,0,0
050,17,009,Illinois,Brown County,2,2,3,0,0,0,0,0,0,0,0
050,17,009,Illinois,Brown County,2,2,4,1,1,0,0,0,0,0,0
050,17,009,Illinois,Brown County,2,2,5,0,0,3,3,3,4,3,5
050,17,009,Illinois,Brown County,2,2,6,0,0,0,0,0,0,0,0
050,17,011,Illinois,Bureau County,0,0,1,34914,34914,34941,34726,34691,34727,34570,34674
050,17,011,Illinois,Bureau County,0,0,2,125,125,132,159,157,162,185,199
050,17,011,Illinois,Bureau County,0,0,3,68,68,58,49,51,53,54,65
050,17,011,Illinois,Bureau County,0,0,4,194,194,206,181,189,192,188,195
050,17,011,Illinois,Bureau County,0,0,5,14,14,7,7,7,7,7,7
050,17,011,Illinois,Bureau County,0,0,6,188,188,154,161,162,168,179,190
050,17,011,Illinois,Bureau County,0,1,1,33226,33226,33243,32938,32828,32740,32528,32571
050,17,011,Illinois,Bureau County,0,1,2,110,110,118,144,144,148,171,184
050,17,011,Illinois,Bureau County,0,1,3,54,54,45,36,38,40,41,52
050,17,011,Illinois,Bureau County,0,1,4,191,191,200,175,185,188,184,191
050,17,011,Illinois,Bureau County,0,1,5,10,10,0,0,0,0,0,0
050,17,011,Illinois,Bureau County,0,1,6,180,180,145,153,152,160,170,182
050,17,011,Illinois,Bureau County,0,2,1,1688,1688,1698,1788,1863,1987,2042,2103
050,17,011,Illinois,Bureau County,0,2,2,15,15,14,15,13,14,14,15
050,17,011,Illinois,Bureau County,0,2,3,14,14,13,13,13,13,13,13
050,17,011,Illinois,Bureau County,0,2,4,3,3,6,6,4,4,4,4
050,17,011,Illinois,Bureau County,0,2,5,4,4,7,7,7,7,7,7
050,17,011,Illinois,Bureau County,0,2,6,8,8,9,8,10,8,9,8
050,17,011,Illinois,Bureau County,1,0,1,16967,16967,16983,16882,16868,16914,16850,16911
050,17,011,Illinois,Bureau County,1,0,2,68,68,72,100,101,103,113,123
050,17,011,Illinois,Bureau County,1,0,3,30,30,25,19,18,18,20,27
050,17,011,Illinois,Bureau County,1,0,4,80,80,89,75,78,79,78,84
050,17,011,Illinois,Bureau County,1,0,5,6,6,2,2,2,2,2,2
050,17,011,Illinois,Bureau County,1,0,6,93,93,74,76,78,78,83,90
050,17,011,Illinois,Bureau County,1,1,1,16053,16053,16064,15908,15851,15836,15750,15781
050,17,011,Illinois,Bureau County,1,1,2,58,58,63,90,92,93,103,113
050,17,011,Illinois,Bureau County,1,1,3,22,22,18,12,11,11,13,20
050,17,011,Illinois,Bureau County,1,1,4,79,79,87,73,78,78,76,82
050,17,011,Illinois,Bureau County,1,1,5,5,5,0,0,0,0,0,0
050,17,011,Illinois,Bureau County,1,1,6,90,90,69,70,70,73,78,85
050,17,011,Illinois,Bureau County,1,2,1,914,914,919,974,1017,1078,1100,1130
050,17,011,Illinois,Bureau County,1,2,2,10,10,9,10,9,10,10,10
050,17,011,Illinois,Bureau County,1,2,3,8,8,7,7,7,7,7,7
050,17,011,Illinois,Bureau County,1,2,4,1,1,2,2,0,1,2,2
050,17,011,Illinois,Bureau County,1,2,5,1,1,2,2,2,2,2,2
050,17,011,Illinois,Bureau County,1,2,6,3,3,5,6,8,5,5,5
050,17,011,Illinois,Bureau County,2,0,1,17947,17947,17958,17844,17823,17813,17720,17763
050,17,011,Illinois,Bureau County,2,0,2,57,57,60,59,56,59,72,76
050,17,011,Illinois,Bureau County,2,0,3,38,38,33,30,33,35,34,38
050,17,011,Illinois,Bureau County,2,0,4,114,114,117,106,111,113,110,111
050,17,011,Illinois,Bureau County,2,0,5,8,8,5,5,5,5,5,5
050,17,011,Illinois,Bureau County,2,0,6,95,95,80,85,84,90,96,100
050,17,011,Illinois,Bureau County,2,1,1,17173,17173,17179,17030,16977,16904,16778,16790
050,17,011,Illinois,Bureau County,2,1,2,52,52,55,54,52,55,68,71
050,17,011,Illinois,Bureau County,2,1,3,32,32,27,24,27,29,28,32
050,17,011,Illinois,Bureau County,2,1,4,112,112,113,102,107,110,108,109
050,17,011,Illinois,Bureau County,2,1,5,5,5,0,0,0,0,0,0
050,17,011,Illinois,Bureau County,2,1,6,90,90,76,83,82,87,92,97
050,17,011,Illinois,Bureau County,2,2,1,774,774,779,814,846,909,942,973
050,17,011,Illinois,Bureau County,2,2,2,5,5,5,5,4,4,4,5
050,17,011,Illinois,Bureau County,2,2,3,6,6,6,6,6,6,6,6
050,17,011,Illinois,Bureau County,2,2,4,2,2,4,4,4,3,2,2
050,17,011,Illinois,Bureau County,2,2,5,3,3,5,5,5,5,5,5
050,17,011,Illinois,Bureau County,2,2,6,5,5,4,2,2,3,4,3
050,17,013,Illinois,Calhoun County,0,0,1,5030,5030,5050,5015,4960,5079,5105,5111
050,17,013,Illinois,Calhoun County,0,0,2,4,4,4,5,5,5,5,5
050,17,013,Illinois,Calhoun County,0,0,3,16,16,9,13,16,14,16,17
050,17,013,Illinois,Calhoun County,0,0,4,9,9,13,13,13,14,14,13
050,17,013,Illinois,Calhoun County,0,0,5,0,0,0,0,0,0,0,0
050,17,013,Illinois,Calhoun County,0,0,6,25,25,16,16,16,17,16,17
050,17,013,Illinois,Calhoun County,0,1,1,5007,5007,5020,4984,4929,5047,5072,5078
050,17,013,Illinois,Calhoun County,0,1,2,0,0,0,1,1,1,1,1
050,17,013,Illinois,Calhoun County,0,1,3,14,14,7,11,14,12,14,15
050,17,013,Illinois,Calhoun County,0,1,4,9,9,13,13,13,14,14,13
050,17,013,Illinois,Calhoun County,0,1,5,0,0,0,0,0,0,0,0
050,17,013,Illinois,Calhoun County,0,1,6,22,22,15,15,15,15,15,15
050,17,013,Illinois,Calhoun County,0,2,1,23,23,30,31,31,32,33,33
050,17,013,Illinois,Calhoun County,0,2,2,4,4,4,4,4,4,4,4
050,17,013,Illinois,Calhoun County,0,2,3,2,2,2,2,2,2,2,2
050,17,013,Illinois,Calhoun County,0,2,4,0,0,0,0,0,0,0,0
050,17,013,Illinois,Calhoun County,0,2,5,0,0,0,0,0,0,0,0
