! Converted to time format with year at start.
!
! 03/20/86 CAROLYN DRS$DATA:[CAROLYN.JON]MELV70BS.200;
! DUA0:[DATA.][CAROLYN.JON]FMTA.EXE;
! (dy,hr,min,sec,tenths,mst_obs)
! (i3.3,3i2.2,i1.1,t12,f7.1)
!  
!*REDUCED MAGNETICS  BERING SEA  MELVILLE-70-BS               LINES M1 - M4  
! DATA: ID,LINE,JD,IH,AM,OBS,REG,RES,LAT,LONG,CSE,SPD  
! FORMAT(A2,2X,I1,I3,I2,I2,T15,I5,T25,F6.0,T32,F6.0,T39,F8.4,T49,F9.4,T60,F5.1,T66,F4.1)  
!      
19702061807000 49409.0
19702061812000 49665.0
19702061817000 49510.0
19702061822000 49456.0
19702061827000 49497.0
19702061832000 49579.0
19702061837000 49736.0
19702061842000 49747.0
19702061847000 49590.0
19702061852000 49382.0
19702061857000 49333.0
19702061902000 49323.0
19702061907000 49308.0
19702061912000 49311.0
19702061917000 49321.0
19702061922000 49333.0
19702061927000 49352.0
19702061932000 49377.0
19702061937000 49394.0
19702061942000 49399.0
19702061947000 49392.0
19702061952000 49382.0
19702061957000 49377.0
19702062002000 49372.0
19702062007000 49376.0
19702062012000 49380.0
19702062017000 49384.0
19702062027000 49390.0
19702062032000 49384.0
19702062037000 49375.0
19702062042000 49368.0
19702062047000 49358.0
19702062052000 49347.0
19702062057000 49338.0
19702062102000 49333.0
19702062107000 49322.0
19702062112000 49317.0
19702062117000 49308.0
19702062122000 49301.0
19702062127000 49298.0
19702062132000 49296.0
19702062137000 49296.0
19702062142000 49296.0
19702062147000 49295.0
19702062152000 49297.0
19702062157000 49303.0
19702062202000 49305.0
19702062207000 49312.0
19702062212000 49328.0
19702062217000 49344.0
19702062222000 49356.0
19702062227000 49362.0
19702062232000 49372.0
19702062237000 49380.0
19702062242000 49385.0
19702062247000 49388.0
19702062252000 49400.0
19702062257000 49411.0
19702062302000 49428.0
19702062307000 49437.0
19702062312000 49442.0
19702062317000 49444.0
19702062322000 49451.0
19702062327000 49456.0
19702062331000 49467.0
19702062336000 49478.0
19702062341000 49496.0
19702062346000 49508.0
19702062351000 49512.0
19702062356000 49514.0
19702070005000 49533.0
19702070010000 49543.0
19702070015000 49550.0
19702070020000 49555.0
19702070025000 49563.0
19702070030000 49563.0
19702070035000 49563.0
19702070040000 49562.0
19702070045000 49566.0
19702070050000 49574.0
19702070055000 49584.0
19702070100000 49595.0
19702070105000 49598.0
19702070110000 49587.0
19702070115000 49571.0
19702070120000 49556.0
19702070125000 49550.0
19702070130000 49546.0
19702070135000 49553.0
19702070140000 49555.0
19702070145000 49560.0
19702070150000 49569.0
19702070155000 49580.0
19702070200000 49589.0
19702070205000 49595.0
19702070210000 49605.0
19702070215000 49616.0
19702070221000 49625.0
19702070226000 49631.0
19702070231000 49629.0
19702070236000 49628.0
19702070241000 49617.0
19702070246000 49608.0
19702070251000 49599.0
