SEQ='MG'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  85997457.5   NPRNTI= 3   NPRNTF= 5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2P6 3S1             (2)0( 0.5)        0.0 
     2          2P6 3P1             (2)1( 0.5)   106188.1 
     3          2P6 3P1             (2)1( 1.5)   107487.4 
     4          2P6 3D1             (2)2( 1.5)   248208.2*
     5          2P6 3D1             (2)2( 2.5)   248376.5*

   IC RESOLVED LEVEL INDEXING           BWNR=  86578705.4   NLVL= 411
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
   208     3    2P6 3P1 5F1         (3)3( 3.0)   576991.7 
   209     2    2P6 3P1 5G1         (1)4( 4.0)   577030.0 
   210     2    2P6 3P1 5G1         (3)4( 3.0)   577053.8 
   211     2    2P6 3P1 5G1         (3)4( 4.0)   577147.4 
   212     2    2P6 3P1 5G1         (3)4( 5.0)   577187.0 
   213     3    2P6 3P1 5F1         (3)3( 4.0)   577253.1 
   214     3    2P6 3P1 5F1         (3)4( 5.0)   577352.7 
   215     3    2P6 3P1 6S1         (3)1( 2.0)   577756.9 
   216     3    2P6 3P1 6S1         (1)1( 1.0)   578463.8 
   217     3    2P6 3P1 5G1         (3)5( 4.0)   578586.4 
   218     3    2P6 3P1 5G1         (3)5( 5.0)   578672.9 
   219     3    2P6 3P1 5F1         (3)2( 3.0)   578698.0 
   220     3    2P6 3P1 5F1         (3)2( 2.0)   579006.0 
   221     3    2P6 3P1 5G1         (3)3( 4.0)   579182.7 
   222     3    2P6 3P1 5F1         (3)2( 1.0)   579242.6 
   223     3    2P6 3P1 5G1         (3)5( 6.0)   579256.8 
   224     3    2P6 3P1 5G1         (3)3( 3.0)   579266.5 
   225     3    2P6 3P1 5G1         (1)5( 5.0)   579423.1 
   226     3    2P6 3P1 5G1         (3)3( 2.0)   579725.5 
   227     3    2P6 3P1 5G1         (1)3( 3.0)   579829.1 
   228     3    2P6 3P1 5F1         (1)2( 2.0)   582688.5*     0.00E+00  0.00E+00
   229     3    2P6 3P1 5F1         (1)4( 4.0)   583301.0*     0.00E+00  0.00E+00
   230     2    2P6 3P1 6P1         (1)1( 1.0)   594102.2*     0.00E+00
   231     2    2P6 3P1 6P1         (3)2( 1.0)   594795.5*     0.00E+00
   232     2    2P6 3P1 6P1         (3)2( 2.0)   594901.9*     0.00E+00
   233     3    2P6 3P1 6P1         (3)2( 3.0)   595766.9*     0.00E+00  0.00E+00
   234     2    2P6 3P1 6P1         (3)1( 0.0)   595853.3*     0.00E+00
   235     3    2P6 3P1 6P1         (3)1( 1.0)   596052.5*     0.00E+00  0.00E+00
   236     3    2P6 3P1 6P1         (3)1( 2.0)   596672.7*     0.00E+00  0.00E+00
   237     3    2P6 3P1 6P1         (3)0( 1.0)   596845.7*     0.00E+00  0.00E+00
   238     3    2P6 3P1 6P1         (1)2( 2.0)   598145.3*     0.00E+00  0.00E+00
   239     3    2P6 3P1 6P1         (1)0( 0.0)   600978.1*     0.00E+00  0.00E+00
   240     2    2P6 3P1 6D1         (1)2( 2.0)   606619.1*     0.00E+00
   241     2    2P6 3P1 6D1         (3)2( 2.0)   606845.5*     0.00E+00
   242     2    2P6 3P1 6D1         (3)2( 1.0)   606956.6*     0.00E+00
   243     2    2P6 3P1 6D1         (3)2( 3.0)   607011.5*     0.00E+00
   244     3    2P6 3P1 6D1         (3)3( 2.0)   607809.0*     0.00E+00  0.00E+00
   245     3    2P6 3P1 6D1         (3)3( 3.0)   607984.2*     0.00E+00  0.00E+00
   246     3    2P6 3P1 6D1         (3)3( 4.0)   608227.1*     0.00E+00  0.00E+00
   247     3    2P6 3P1 6D1         (3)1( 2.0)   608663.4*     0.00E+00  0.00E+00
   248     3    2P6 3P1 6D1         (3)1( 1.0)   608874.1*     0.00E+00  0.00E+00
   249     3    2P6 3P1 6D1         (3)1( 0.0)   609041.1*     0.00E+00  0.00E+00
   250     3    2P6 3P1 6D1         (1)3( 3.0)   609337.1*     0.00E+00  0.00E+00
   251     3    2P6 3P1 6D1         (1)1( 1.0)   609947.3*     0.00E+00  0.00E+00
   252     2    2P6 3P1 6F1         (1)3( 3.0)   609984.8*     0.00E+00
   253     2    2P6 3P1 6F1         (3)3( 3.0)   610365.0*     0.00E+00
   254     2    2P6 3P1 7S1         (3)1( 0.0)   610496.2*     0.00E+00
   255     2    2P6 3P1 6F1         (3)4( 4.0)   610509.2*     0.00E+00
   256     2    2P6 3P1 7S1         (3)1( 1.0)   610625.3*     0.00E+00
   257     2    2P6 3P1 6F1         (3)3( 2.0)   610625.6*     0.00E+00
   258     2    2P6 3P1 6G1         (1)4( 4.0)   610940.9*     0.00E+00
   259     2    2P6 3P1 6G1         (3)4( 3.0)   610972.4*     0.00E+00
   260     2    2P6 3P1 6G1         (3)4( 4.0)   610989.7*     0.00E+00
   261     2    2P6 3P1 6G1         (3)4( 5.0)   611039.7*     0.00E+00
   262     2    2P6 3P1 6H1         (3)5( 4.0)   611150.8*     0.00E+00
   263     2    2P6 3P1 6H1         (3)5( 5.0)   611150.9*     0.00E+00
   264     2    2P6 3P1 6H1         (3)6( 5.0)   611175.5*     0.00E+00
   265     2    2P6 3P1 6H1         (3)6( 6.0)   611178.8*     0.00E+00
   266     3    2P6 3P1 6F1         (3)4( 3.0)   611257.9*     0.00E+00  0.00E+00
   267     3    2P6 3P1 6F1         (3)3( 4.0)   611453.5*     0.00E+00  0.00E+00
   268     3    2P6 3P1 6F1         (3)4( 5.0)   611520.2*     0.00E+00  0.00E+00
   269     3    2P6 3P1 7S1         (3)1( 2.0)   611795.5*     0.00E+00  0.00E+00
   270     3    2P6 3P1 6F1         (3)2( 3.0)   612114.7*     0.00E+00  0.00E+00
   271     3    2P6 3P1 6G1         (3)5( 4.0)   612152.4*     0.00E+00  0.00E+00
   272     3    2P6 3P1 7S1         (1)1( 1.0)   612163.3*     0.00E+00  0.00E+00
   273     3    2P6 3P1 6G1         (3)5( 5.0)   612210.2*     0.00E+00  0.00E+00
   274     3    2P6 3P1 6H1         (1)5( 5.0)   612340.7*     0.00E+00  0.00E+00
   275     3    2P6 3P1 6F1         (3)2( 2.0)   612343.2*     0.00E+00  0.00E+00
   276     3    2P6 3P1 6H1         (3)5( 6.0)   612343.9*     0.00E+00  0.00E+00
   277     3    2P6 3P1 6H1         (3)4( 5.0)   612476.2*     0.00E+00  0.00E+00
   278     3    2P6 3P1 6H1         (1)4( 4.0)   612476.9*     0.00E+00  0.00E+00
   279     3    2P6 3P1 6G1         (3)3( 4.0)   612489.7*     0.00E+00  0.00E+00
   280     3    2P6 3P1 6F1         (3)2( 1.0)   612546.5*     0.00E+00  0.00E+00
   281     3    2P6 3P1 6G1         (3)3( 3.0)   612553.6*     0.00E+00  0.00E+00
   282     3    2P6 3P1 6G1         (3)5( 6.0)   612621.3*     0.00E+00  0.00E+00
   283     3    2P6 3P1 6H1         (3)6( 7.0)   612669.4*     0.00E+00  0.00E+00
   284     3    2P6 3P1 6H1         (1)6( 6.0)   612672.2*     0.00E+00  0.00E+00
   285     3    2P6 3P1 6G1         (1)5( 5.0)   612767.4*     0.00E+00  0.00E+00
   286     3    2P6 3P1 6H1         (3)4( 3.0)   612776.3*     0.00E+00  0.00E+00
   287     3    2P6 3P1 6H1         (3)4( 4.0)   612779.9*     0.00E+00  0.00E+00
   288     3    2P6 3P1 6G1         (3)3( 2.0)   612905.2*     0.00E+00  0.00E+00
   289     3    2P6 3P1 6G1         (1)3( 3.0)   612993.4*     0.00E+00  0.00E+00
   290     3    2P6 3P1 6F1         (1)2( 2.0)   614158.3*     0.00E+00  0.00E+00
   291     3    2P6 3P1 6F1         (1)4( 4.0)   614271.2*     0.00E+00  0.00E+00
   292     2    2P6 3P1 7P1         (3)2( 1.0)   621045.9*     0.00E+00
   293     2    2P6 3P1 7P1         (1)1( 1.0)   621516.7*     0.00E+00
   294     2    2P6 3P1 7P1         (3)2( 2.0)   621561.5*     0.00E+00
   295     2    2P6 3P1 7P1         (3)1( 0.0)   622067.8*     0.00E+00
   296     3    2P6 3P1 7P1         (3)1( 1.0)   622508.0*     0.00E+00  0.00E+00
   297     3    2P6 3P1 7P1         (3)2( 3.0)   622519.7*     0.00E+00  0.00E+00
   298     3    2P6 3P1 7P1         (3)1( 2.0)   622964.2*     0.00E+00  0.00E+00
   299     3    2P6 3P1 7P1         (3)0( 1.0)   623124.2*     0.00E+00  0.00E+00
   300     3    2P6 3P1 7P1         (1)2( 2.0)   623762.2*     0.00E+00  0.00E+00
   301     3    2P6 3P1 7P1         (1)0( 0.0)   625213.1*     0.00E+00  0.00E+00
   302     2    2P6 3P1 7D1         (1)2( 2.0)   628609.3*     0.00E+00
   303     2    2P6 3P1 7D1         (3)2( 2.0)   628726.0*     0.00E+00
   304     2    2P6 3P1 7D1         (3)2( 1.0)   628832.1*     0.00E+00
   305     2    2P6 3P1 7D1         (3)3( 3.0)   628839.5*     0.00E+00
   306     3    2P6 3P1 7D1         (3)3( 2.0)   629772.8*     0.00E+00  0.00E+00
   307     3    2P6 3P1 7D1         (3)2( 3.0)   629883.1*     0.00E+00  0.00E+00
   308     3    2P6 3P1 7D1         (3)3( 4.0)   630056.1*     0.00E+00  0.00E+00
   309     3    2P6 3P1 7D1         (3)1( 2.0)   630241.9*     0.00E+00  0.00E+00
   310     3    2P6 3P1 7D1         (3)1( 1.0)   630383.2*     0.00E+00  0.00E+00
   311     3    2P6 3P1 7D1         (3)1( 0.0)   630525.0*     0.00E+00  0.00E+00
