Phase,PC_Date,PC_Time,YearDay,Lat,Lon,Pressure,SBE_Temp,SBE_Cond,SBE_Sal,IR_mVolts,IR_Conc,NewXCO2,dCO2,Avg_mV,GasFlow,WaterFlow,Eq_volts,Eq_Temp,SCS_Temp,SCS_Sal,pH2O,fCO2_weq,fCO2_a,fCO2_wInSitu,dfCO2,AirFlag,IR_Temp,Wind_Dir_Rel,Wind_Speed_Rel,Wind_Dir_Abs,Wind_Speed_Abs,QCFlag,Fluoro,SeaLevelPressure,COG,SOG,AirTemp
WATER,9/7/05,10:22:22,250.4321991,38.913982,-72.526415,1024.483042,24.8899,5.17407,34.0981,-9,411.0721,-9,-9,,1.362741,10.901629,298.031,24.881,24.8,34.09,,-999.99,,-999.99,,,30.26555,293.9,9.32,69.42,12.85,4,3.81,1024.03,208.6,13.7,22.62
WATER,9/7/05,10:26:43,250.4352199,38.899348,-72.536155,1024.558241,24.8697,5.17402,34.113,-9,411.1448,-9,-9,,1.371324,11.035406,298.018,24.868,24.76,34.1,,-999.99,,-999.99,,,30.26974,300.9,9.12,65.78,11.75,4,3.786,1024.04,208.7,13.6,22.77
WATER,9/7/05,10:31:04,250.4382407,38.88466,-72.545868,1024.363324,24.8391,5.17021,34.1079,-9,411.2594,-9,-9,,1.375258,10.848417,297.987,24.837,24.77,34.09,,-999.99,,-999.99,,,30.27266,298.8,8.35,61.91,12.21,4,3.782,1024.03,206.3,13.6,22.65
AIR,9/7/05,10:35:45,250.4414931,38.868918,-72.556423,1024.331898,24.8442,5.17264,34.1221,0.3316,371.1568,371.1527284,0.00407161,,558.519287,11.030622,297.992,24.842,24.72,34.11,30.56154907,,362.8523238,,,2,30.27532,289.8,7.38,58.13,13.09,,3.791,1024.06,207.6,13.7,22.72
AIR,9/7/05,10:39:47,250.444294,38.85553,-72.565638,1024.414345,24.8249,5.16453,34.0766,0.3319,371.2186,371.2186704,-7.03858E-05,,556.805603,10.829297,297.974,24.824,24.66,33.98,30.45432438,,362.9852059,,,2,30.28062,270.3,7.38,55.33,15.35,,3.793,1024.04,210.1,13.6,22.75
AIR,9/7/05,10:43:48,250.4470833,38.84212,-72.574928,1024.258202,24.6398,5.12109,33.8938,0.3315,371.1401,371.1307489,0.009351093,,559.240356,11.109632,297.795,24.645,24.51,33.89,30.18382977,,362.938852,,,2,30.29628,258.8,7.57,52.63,16.8,,3.761,1024,206.8,13.5,22.7
WATER,9/7/05,10:47:49,250.4498727,38.828653,-72.584068,1024.520684,24.6896,5.13911,33.9901,-9,371.145,-9,-9,,1.369447,11.089544,297.795,24.645,24.79,34.01,,-999.99,,-999.99,,,30.31691,277,7.96,59.78,14.48,4,3.746,1023.97,207.4,13.5,22.87
WATER,9/7/05,10:52:10,250.4528935,38.813987,-72.593837,1024.402471,24.8739,5.16432,34.038,-9,371.1053,-9,-9,,1.369178,11.04181,298.004,24.854,24.84,34.04,,-999.99,,-999.99,,,30.32924,280.2,7.76,57.57,14.76,4,3.747,1024.04,206.3,13.9,22.8
WATER,9/7/05,10:56:31,250.4559144,38.799213,-72.603658,1024.685608,24.9146,5.1819,34.1374,-9,371.175,-9,-9,,1.368195,10.850718,298.04,24.89,24.82,34.12,,-999.99,,-999.99,,,30.32479,255.3,8.15,55.9,18.37,4,3.748,1024.08,211.7,14.1,22.8
WATER,9/7/05,11:01:12,250.4591667,38.783315,-72.614293,1024.639399,24.9073,5.17902,34.1217,-9,371.2697,-9,-9,,1.36739,10.943828,298.048,24.898,24.85,34.1,,-999.99,,-999.99,,,30.29725,268.7,8.74,58.84,16.33,4,3.733,1024.05,208.2,14.1,22.87
STD1,9/7/05,11:05:34,250.4621991,38.768497,-72.624095,1024.416594,24.8983,5.17573,34.1041,0.0085,303.25,0.0085,,0.0085,56.375114,10.978711,298.058,24.908,24.8,34.08,30.70842101,,,,,,30.2794,272.8,8.15,59.46,15.51,,3.755,1024.05,205.1,13.7,22.92
STD2,9/7/05,11:09:35,250.4649884,38.754847,-72.633107,1024.490834,24.8201,5.1584,34.0348,0.3305,370.9,0.3299,,0.3299,49.092655,10.969918,297.984,24.834,24.68,33.98,30.4907484,,,,,,30.28178,269.3,7.18,55.95,15.37,,3.762,1024.06,206.4,13.9,22.97
STD3,9/7/05,11:13:36,250.4677778,38.74114,-72.642068,1024.410693,24.7218,5.13468,33.933,0.5107,411.42,0.50985,,0.50985,57.06337,10.800472,297.867,24.717,24.63,33.92,30.40075179,,,,,,30.29721,290.5,6.99,53.38,14.08,,3.734,1023.94,205.3,13.6,22.97
WATER,9/7/05,11:17:37,250.4705671,38.72728,-72.651008,1024.323404,24.7948,5.15314,34.0149,-9,411.1823,-9,-9,,1.364082,10.773948,297.864,24.714,24.77,34.01,,-999.99,,-999.99,,,30.32153,267.9,9.71,58.71,17.58,4,3.726,1023.88,205.8,13.9,23.05
WATER,9/7/05,11:22:18,250.4738194,38.711412,-72.66201,1024.304497,24.9683,5.19786,34.2149,-9,410.9914,-9,-9,,1.368463,10.958481,298.091,24.941,24.98,34.26,,-999.99,,-999.99,,,30.33784,268.2,6.41,54.28,15.58,4,3.725,1023.92,210.5,13.8,23.1
WATER,9/7/05,11:26:40,250.4768519,38.696758,-72.672325,1024.226776,25.1004,5.22861,34.3419,-9,410.9442,-9,-9,,1.366049,10.636305,298.249,25.099,25.04,34.33,,-999.99,,-999.99,,,30.34622,260.3,8.74,59.19,17.45,4,3.711,1023.91,207.7,13.8,23.25
WATER,9/7/05,11:31:01,250.4798727,38.682292,-72.682645,1024.210017,25.0789,5.22092,34.3015,-9,410.9899,-9,-9,,1.369447,10.73185,298.224,25.074,24.99,34.28,,-999.99,,-999.99,,,30.35186,258.1,9.32,60.58,18.09,4,3.719,1023.91,206.3,14.1,23.22
AIR,9/7/05,11:35:42,250.483125,38.666653,-72.693648,1024.204317,25.0283,5.20333,34.2099,0.3318,371.1734,371.3179188,-0.144518768,,558.320435,10.896261,298.187,25.037,24.94,34.17,30.96452977,,362.823126,,,2,30.36088,253.2,9.51,58.21,18.71,,3.704,1023.76,209.6,13.9,23.25
AIR,9/7/05,11:39:43,250.4859144,38.65314,-72.703098,1024.1605,25.0634,5.20284,34.1798,0.3328,371.3875,371.537961,-0.150460976,,559.713745,10.770584,298.214,25.064,24.97,34.14,31.02048322,,363.0020913,,,2,30.37859,251.4,10.29,59.86,19.41,,3.701,1023.68,210,13.8,23.12
AIR,9/7/05,11:43:44,250.4887037,38.639488,-72.712487,1024.002352,24.9533,5.18116,34.1028,0.3324,371.3165,371.4499371,-0.133437062,,557.945801,10.620041,298.117,24.967,24.85,34.14,30.79920914,,362.9374601,,,2,30.40141,278.9,8.54,64.15,16.08,,3.717,1023.66,212.7,14.2,23.35
WATER,9/7/05,11:47:46,250.4915046,38.625687,-72.721715,1024.010417,25.0426,5.21743,34.3032,-9,371.2975,-9,-9,,1.368106,10.923023,298.168,25.018,24.92,34.29,,-999.99,,-999.99,,,30.42552,260.3,9.71,58.54,18.25,4,3.702,1023.61,210.6,14.1,23.4
WATER,9/7/05,11:52:07,250.4945255,38.610775,-72.731522,1024.087335,24.9285,5.19995,34.2606,-9,371.2303,-9,-9,,1.369983,10.625672,298.104,24.954,24.73,34.24,,-999.99,,-999.99,,,30.44426,246.8,10.09,56.13,19.61,4,3.703,1023.74,204.5,13.6,23.45
WATER,9/7/05,11:56:48,250.4977778,38.594653,-72.741952,1024.097863,24.9462,5.20264,34.267,0.4054,387.5118,387.6695722,-0.157772223,,392.321991,10.971449,298.064,24.914,24.89,34.23,30.8713022,378.7949136,,378.4439736,15.50651348,,30.45753,275.6,11.26,67.56,17.16,2,3.689,1023.6,204.8,14.4,23.37
WATER,9/7/05,12:01:09,250.5007986,38.579967,-72.751938,1023.951002,25.0591,5.22125,34.319,0.4022,386.7911,386.9520306,-0.160930636,,371.593079,10.990995,298.163,25.013,25.03,34.35,31.12808298,377.9422034,,378.1902721,15.252812,,30.47139,250.8,10.09,56.86,19.68,2,3.69,1023.7,210.6,13.9,23.37
STD1,9/7/05,12:05:31,250.503831,38.565393,-72.762335,1024.111284,25.0519,5.22482,34.3508,0.0085,303.25,0.0079,,0.0079,56.121559,10.835097,298.211,25.061,24.94,34.34,30.96166631,,,,,,30.49233,274,10.29,67.95,16.47,,3.693,1023.68,212.5,14,23.42
STD2,9/7/05,12:09:32,250.5066204,38.551843,-72.771705,1024.095012,25.0055,5.21969,34.3481,0.3293,370.9,0.32875,,0.32875,46.449245,10.998934,298.163,25.013,24.97,34.37,31.01660218,,,,,,30.51246,259.4,7.96,50.47,17.87,,3.672,1023.71,206.3,14.5,23.45
STD3,9/7/05,12:13:33,250.5094097,38.538213,-72.780797,1024.088739,25.2629,5.26745,34.505,0.509,411.42,0.5083,,0.5083,55.766792,11.141767,298.388,25.238,25.3,34.5,31.62995627,,,,,,30.54266,284.6,6.99,51.01,15.99,,3.671,1023.76,214.3,14.1,23.65
WATER,9/7/05,12:17:34,250.5121991,38.524648,-72.789927,1024.148454,25.3884,5.28196,34.5163,0.3851,383.2873,383.4110709,-0.123770857,,377.535248,11.026039,298.54,25.39,25.4,34.5,31.81857658,374.3030915,,374.4472632,11.99291676,,30.58029,275,9.32,61.67,15.88,2,3.651,1023.65,209,13.5,23.7
WATER,9/7/05,12:22:15,250.5154514,38.508982,-72.800512,1024.143613,25.5137,5.29872,34.5441,0.3707,380.066,380.1960189,-0.130018925,,353.220306,10.926947,298.659,25.509,25.47,34.53,31.95067219,371.1141985,,370.5574965,8.103150079,,30.61018,275.2,7.76,58.04,15.21,2,3.645,1023.64,209.8,13.8,23.42
WATER,9/7/05,12:26:36,250.5184722,38.494362,-72.810415,1024.341452,25.5664,5.30594,34.557,0.3651,378.8151,378.94904,-0.133940016,,344.571777,11.140942,298.701,25.551,25.54,34.54,32.08359416,369.9222075,,369.7656325,7.311286077,,30.63133,257.2,9.71,58.64,18.21,2,3.638,1023.68,206.3,13.7,23.62
WATER,9/7/05,12:31:18,250.5217361,38.478705,-72.821045,1024.001178,25.6581,5.32103,34.5979,0.3636,378.4909,378.6153434,-0.124443416,,335.176086,10.983942,298.797,25.647,25.63,34.59,32.25455004,369.4073184,,369.1658553,6.711508826,,30.64497,260,7.38,54.24,16.38,2,3.625,1023.65,201.3,13.5,23.52
AIR,9/7/05,12:35:39,250.5247569,38.46411,-72.830737,1024.015831,25.6992,5.32832,34.62,0.3311,371.3051,371.4179966,-0.11289655,,556.090637,10.982332,298.847,25.697,25.66,34.62,32.3114769,,362.3699847,,,2,30.66007,269.1,7.57,53.83,16.11,,3.62,1023.69,210,13.4,23.6
AIR,9/7/05,12:39:40,250.5275463,38.45067,-72.839667,1024.12429,25.7292,5.33358,34.6357,0.3312,371.3307,371.4400462,-0.109346217,,557.390991,10.976504,298.858,25.708,25.68,34.63,32.34965262,,362.4174594,,,2,30.68977,254.8,12.04,58.48,19.43,,3.614,1023.73,204.9,13.8,23.72
AIR,9/7/05,12:43:41,250.5303356,38.437263,-72.84856,1023.989576,25.7392,5.33549,34.6421,0.3316,371.3987,371.5282508,-0.129550811,,554.190613,10.735431,298.898,25.748,25.68,34.64,32.34947664,,362.4543464,,,2,30.73062,268.4,8.15,60.69,14.27,,3.604,1023.72,210.9,13.5,23.7
WATER,9/7/05,12:47:42,250.533125,38.423905,-72.857433,1024.365129,25.7531,5.33852,34.6536,0.368,379.4711,379.5945649,-0.123464913,,338.164459,10.89836,298.889,25.739,25.7,34.65,32.38769141,370.449918,,369.895089,7.440742599,,30.78595,268.4,7.76,57.57,15.67,2,3.6,1023.71,207.7,13.7,23.65
WATER,9/7/05,12:52:04,250.5361574,38.409467,-72.867438,1023.936506,25.7775,5.34464,34.6797,0.3665,379.1443,379.2606105,-0.116310493,,335.314575,10.930548,298.91,25.76,25.71,34.68,32.4063728,369.9572541,,369.2470937,6.79274728,,30.8379,234,8.54,47.66,19.86,2,3.621,1023.68,211.6,14,23.7
WATER,9/7/05,12:56:45,250.5394097,38.393955,-72.87802,1024.060478,25.7814,5.34774,34.6994,0.3664,379.1236,379.2383516,-0.114751606,,330.625824,10.964875,298.914,25.764,25.71,34.7,32.40602022,369.9819262,,369.2149854,6.760638973,,30.88235,247.4,10.29,55.92,19.96,2,3.599,1023.69,209.1,13.5,23.85
WATER,9/7/05,13:01:06,250.5424306,38.37944,-72.887783,1024.067139,25.7697,5.3396,34.6489,0.3658,378.9823,379.1048107,-0.122510734,,326.419037,10.967575,298.935,25.785,25.7,34.63,32.38804379,369.8606913,,368.654748,6.20040157,,30.92444,238.4,8.54,49.01,19.58,2,3.599,1023.78,206.5,13.4,23.75
STD1_Drain,9/7/05,13:05:47,250.5456829,38.363895,-72.898337,1024.177517,25.7482,5.32583,34.5647,0.0073,303.25,0.0069,,0.0069,54.85627,10.977031,298.905,25.755,25.67,34.53,32.33223074,,,,,,30.96775,263.4,8.54,57.59,16.87,,3.598,1023.79,205.3,13.4,23.75
STD2,9/7/05,13:09:49,250.5484838,38.350553,-72.907495,1024.255997,25.7532,5.31827,34.5057,0.3282,370.9,0.3279,,0.3279,47.019844,10.807619,298.906,25.756,25.68,34.49,32.35211646,,,,,,31.00434,248.8,7.96,52.88,17.71,,3.591,1023.8,206.6,13.5,23.72
STD3,9/7/05,13:13:50,250.5512731,38.33707,-72.916655,1024.291548,25.7567,5.31802,34.5012,0.5076,411.42,0.50725,,0.50725,55.862991,10.924287,298.905,25.755,25.69,34.46,32.37183685,,,,,,31.034,247,8.15,52.81,18.34,,3.587,1023.86,211.6,14.2,23.87
WATER,9/7/05,13:17:51,250.5540625,38.323535,-72.925943,1024.494816,25.7781,5.31623,34.472,0.3623,378.4454,378.5206168,-0.075216831,,326.711487,11.164042,298.893,25.743,25.7,34.43,32.3915678,369.4486925,,368.8385969,6.085538992,,31.06776,236,7.18,43,19.16,2,3.58,1023.97,206,13.8,23.97
WATER,9/7/05,13:22:12,250.5570833,38.308712,-72.935848,1024.386242,25.7867,5.31314,34.443,0.3611,378.1784,378.2535727,-0.07517272,,323.798523,11.07157,298.923,25.773,25.71,34.42,32.41095668,369.1405722,,368.247958,5.494900124,,31.0881,257.1,10.29,59.43,18.97,2,3.566,1023.79,205.2,14,23.92
WATER,9/7/05,13:26:33,250.5601042,38.293918,-72.946005,1024.181599,25.7904,5.31288,34.4383,0.361,378.171,378.231323,-0.060322988,,321.784607,10.946353,298.938,25.788,25.72,34.42,32.43017929,369.035699,,368.0727001,5.319642216,,31.11275,261.5,8.15,56.97,15.62,2,3.583,1023.8,210.8,14.2,24.02
WATER,9/7/05,13:31:14,250.5633565,38.27795,-72.956683,1024.215761,25.7752,5.30611,34.4004,0.362,378.389,378.4538476,-0.064847612,,319.46524,10.835254,298.917,25.767,25.68,34.37,32.35422848,369.2932428,,368.0606145,5.307556538,,31.13751,251.1,9.12,50.54,19.11,2,3.563,1023.78,201.2,13.3,24.1
AIR,9/7/05,13:35:36,250.5663889,38.2631,-72.966552,1024.111929,25.7874,5.30147,34.3574,0.3313,371.5837,371.6500029,-0.066302944,,555.740234,10.961269,298.934,25.784,25.72,34.34,32.43159068,,362.5883956,,,2,31.15742,245,9.9,51.84,20.37,,3.567,1023.82,208.1,14.4,24.1
AIR,9/7/05,13:39:37,250.5691782,38.249365,-72.97576,1024.112845,25.8036,5.30326,34.3582,0.3317,371.6649,371.7382847,-0.073384697,,555.215515,11.012247,298.96,25.81,25.71,34.35,32.41219092,,362.6818152,,,2,31.18506,270.1,9.51,65.62,17.97,,3.559,1023.7,210,13.8,24.05
AIR,9/7/05,13:43:38,250.5719676,38.235772,-72.984812,1024.175684,25.7665,5.30343,34.3874,0.3317,371.6681,371.7382847,-0.070184697,,556.628845,10.797588,298.925,25.775,25.64,34.37,32.27755428,,362.7530579,,,2,31.22122,254.4,8.54,48.41,19.37,,3.546,1023.78,211.5,13.7,24.17
WATER,9/7/05,13:47:39,250.5747569,38.22226,-72.99369,1024.066809,25.7251,5.30251,34.4119,0.3559,377.0405,377.0973912,-0.0568912,,321.548401,10.876659,298.877,25.727,25.64,34.4,32.27702751,367.9424344,,366.7137443,3.960686395,,31.26431,263.6,8.15,54.24,16.79,2,3.556,1023.73,207.3,13.4,24.15
WATER,9/7/05,13:52:20,250.5780093,38.20656,-73.003852,1024.259706,25.8133,5.2993,34.3221,0.3556,376.9703,377.0307385,-0.060438476,,319.029541,10.797108,298.956,25.806,25.77,34.3,32.52856484,367.8574887,,367.3489696,4.595911661,,31.29992,253.2,8.74,55.32,18.17,2,3.517,1023.81,205.2,13.3,24.2
WATER,9/7/05,13:56:42,250.5810417,38.191922,-73.013807,1024.116441,25.8375,5.30593,34.3522,0.3582,377.5437,377.6085768,-0.06487683,,315.709076,10.907462,298.994,25.844,25.74,34.36,32.4697141,368.3894839,,366.9207293,4.167671411,,31.32599,237.6,7.38,46.26,18.75,2,3.54,1023.76,202.6,13.8,24.07
WATER,9/7/05,14:01:03,250.5840625,38.177302,-73.023633,1024.19767,25.7838,5.324,34.5244,0.3604,378.0228,378.0978373,-0.075037337,,314.247986,11.055819,298.906,25.756,25.68,34.52,32.35158848,368.9401025,,367.8639913,5.110933376,,31.35271,264.4,9.71,59.91,17.55,2,3.545,1023.79,213.1,14.5,24.15
STD1,9/7/05,14:05:44,250.5873148,38.161595,-73.034067,1024.092864,25.7607,5.32199,34.5272,0.0065,303.25,0.00625,,0.00625,54.420235,11.316135,298.903,25.753,25.67,34.5,32.33275841,,,,,,31.38016,261,7.57,53.57,16.66,,3.541,1023.79,208.4,13.8,24.17
STD2,9/7/05,14:09:45,250.5901042,38.148268,-73.043398,1024.219471,25.7723,5.31854,34.4932,0.3276,370.9,0.32725,,0.32725,47.917309,10.929396,298.921,25.771,25.7,34.46,32.39103918,,,,,,31.40497,249.4,6.79,48.9,17.58,,3.525,1023.8,210.2,13.6,24.2
STD3,9/7/05,14:13:46,250.5928935,38.134775,-73.052752,1024.247832,25.7906,5.31659,34.4652,0.5069,411.42,0.50645,,0.50645,55.618912,10.937911,298.933,25.783,25.68,34.47,32.35246846,,,,,,31.44107,250.9,9.12,54.02,18.78,,3.523,1023.8,213.5,14.4,24.07
WATER,9/7/05,14:17:48,250.5956944,38.121268,-73.06201,1024.246013,25.7396,5.31601,34.4995,0.362,378.53,378.6033075,-0.0733075,,313.80426,10.927164,298.902,25.752,25.62,34.51,32.23682136,369.4932299,,367.6234841,4.5707002,,31.48129,245.1,6.02,44.28,17.41,2,3.522,1023.85,208.2,13.6,24.2
WATER,9/7/05,14:22:09,250.5987153,38.10643,-73.071762,1024.243048,25.5999,5.30875,34.5521,0.3587,377.7868,377.8685816,-0.08178164,,311.386505,10.992009,298.796,25.646,25.41,34.55,31.83662648,368.9208622,,365.5870245,2.534240613,,31.51452,240.8,6.99,45.32,18.26,2,3.517,1023.87,210.9,13.4,24.15
WATER,9/7/05,14:26:50,250.6019676,38.090757,-73.082163,1024.067196,25.4202,5.28142,34.4881,0.3624,378.6258,378.6924107,-0.066610652,,314.099579,11.081695,298.587,25.437,25.3,34.45,31.63081662,369.7347707,,367.7887591,4.735975193,,31.54235,264,6.79,47.53,17.28,2,3.52,1023.7,207.7,13.4,24.15
WATER,9/7/05,14:31:11,250.6049884,38.07601,-73.09169,1023.885098,25.4432,5.28129,34.4698,0.3628,378.7096,378.7815236,-0.071923636,,309.818329,10.871667,298.595,25.445,25.36,34.46,31.74370184,369.7127118,,368.5042619,5.451477971,,31.56208,239.8,8.35,48.46,19.3,2,3.514,1023.65,206.9,13.8,24.25
AIR,9/7/05,14:35:32,250.6080093,38.06142,-73.101327,1024.105326,25.4685,5.28645,34.4884,0.3308,371.6163,371.6835535,-0.067253545,,556.531738,10.784445,298.613,25.463,25.38,34.46,31.78146582,,362.851682,,,2,31.58202,251.1,9.12,53.89,18.76,,3.504,1023.68,205.2,13.4,24.35
AIR,9/7/05,14:39:34,250.6108102,38.04794,-73.110538,1024.054777,25.4697,5.28529,34.479,0.3314,371.7523,371.8160616,-0.063761634,,556.951355,10.944069,298.631,25.481,25.37,34.46,31.76257893,,362.9693194,,,2,31.60616,247.1,8.93,53.69,19.04,,3.5,1023.67,202.7,12.9,24.3
AIR,9/7/05,14:43:35,250.6135995,38.034492,-73.119802,1024.278499,25.4891,5.29474,34.5336,0.3315,371.7772,371.8381485,-0.060948466,,555.789307,11.021654,298.632,25.482,25.4,34.52,31.8182304,,363.0527839,,,2,31.63694,266,6.99,57.6,15.36,,3.499,1023.7,205.4,13.8,24.2
WATER,9/7/05,14:47:36,250.6163889,38.02109,-73.129042,1024.005575,25.4933,5.29531,34.5346,0.3505,375.9681,376.0457965,-0.077696522,,312.510345,11.065964,298.619,25.469,25.4,34.52,31.8182304,367.0600501,,366.0856459,3.032861987,,31.66375,255.1,6.6,52.4,16.39,2,3.492,1023.7,208.8,13.5,24.15
WATER,9/7/05,14:52:17,250.6196412,38.005505,-73.139877,1024.057728,25.533,5.29751,34.5206,0.3467,375.1264,375.2024923,-0.076092263,,310.981598,11.009525,298.681,25.531,25.47,34.49,31.95136744,366.2079946,,365.3487216,2.295937705,,31.69462,269.7,9.32,63.43,16.53,2,3.5,1023.65,212.6,14.1,24.15
WATER,9/7/05,14:56:38,250.622662,37.991035,-73.150203,1024.064933,25.6156,5.29973,34.4743,0.3472,375.2366,375.3134027,-0.076802654,,310.364136,11.162362,298.765,25.615,25.54,34.44,32.08533956,366.2704295,,365.2147003,2.161916382,,31.71454,264.5,6.99,46.61,15.69,2,3.493,1023.68,203.9,13.7,24.2
WATER,9/7/05,15:01:20,250.6259259,37.975473,-73.161407,1024.121483,25.5867,5.28506,34.3888,0.3481,375.4359,375.5130801,-0.077180071,,311.815735,10.898831,298.753,25.603,25.45,34.36,31.91568457,366.5475888,,364.3953929,1.342609049,,31.73452,263.9,10.68,61.03,18.41,2,3.499,1023.64,209.1,13.5,24.2
STD1,9/7/05,15:05:41,250.6289468,37.960833,-73.171073,1023.894667,25.5727,5.28169,34.3747,0.006,303.25,0.00605,,0.00605,54.320992,10.969106,298.719,25.569,25.45,34.37,31.91551094,,,,,,31.75394,269.7,8.54,56.87,16.69,,3.501,1023.58,204.8,13.2,24.27
STD2,9/7/05,15:09:42,250.6317361,37.947082,-73.180005,1024.034538,25.4297,5.26245,34.3417,0.3269,370.9,0.32665,,0.32665,48.477356,11.014472,298.607,25.457,25.23,34.34,31.50124459,,,,,,31.77206,245.7,9.12,45.7,18.18,,3.494,1023.58,207.3,14,24.15
STD3,9/7/05,15:13:43,250.6345255,37.93315,-73.188847,1023.807536,25.3262,5.25208,34.3438,0.506,411.42,0.50595,,0.50595,56.303768,11.085173,298.493,25.343,25.18,34.34,31.40763304,,,,,,31.79867,261.1,7.76,52.91,17.11,,3.479,1023.57,210.9,14,24.07
WATER,9/7/05,15:17:44,250.6373148,37.91912,-73.19769,1023.787497,25.2422,5.24228,34.3353,0.349,375.8005,375.8457645,-0.045264463,,311.549683,10.868702,298.416,25.266,25.01,34.32,31.09150408,367.0473203,,363.4399827,0.005356545,,31.83431,278.4,8.74,58.68,15.63,2,3.461,1023.44,203.9,13.9,24.2
WATER,9/7/05,15:22:05,250.6403356,37.904067,-73.207318,1023.916296,25.0884,5.22408,34.3176,0.3509,376.2251,376.2675904,-0.042490388,,309.775482,10.901506,298.246,25.096,24.9,34.33,30.88804604,367.580686,,364.8084119,1.373785743,,31.85692,262.7,8.35,56,16.93,2,3.495,1023.43,206.3,14,24.27
WATER,9/7/05,15:26:47,250.6435995,37.888063,-73.217702,1023.767515,24.9505,5.21053,34.3222,0.3538,376.8525,376.9118471,-0.059347066,,311.049072,10.914393,298.098,24.948,24.8,34.32,30.70441198,368.2215557,,366.1205536,2.685927358,,31.87881,242,8.93,50,19.63,2,3.5,1023.48,209.4,13.7,24.12
WATER,9/7/05,15:31:08,250.6466204,37.873378,-73.227435,1023.991996,24.933,5.21134,34.3415,0.3527,376.6073,376.6674145,-0.060114513,,315.988037,10.961403,298.091,24.941,24.79,34.32,30.68608435,368.0725887,,365.9298412,2.495215024,,31.89695,256.2,7.38,52.03,17.13,2,3.478,1023.34,204.6,13.5,24.12
AIR,9/7/05,15:35:49,250.6498727,37.857702,-73.237833,1023.632314,24.8965,5.20375,34.313,0.331,371.8025,371.8602522,-0.057752216,,556.501526,10.901486,298.038,24.888,24.72,34.29,30.55855663,,363.2891955,,,2,31.90012,237,9.51,48.58,20.77,,3.463,1023.3,206.9,13.7,24.12
AIR,9/7/05,15:39:30,250.6524306,37.845458,-73.246228,1023.875745,24.8611,5.19728,34.292,0.3317,371.961,372.0148815,-0.053881486,,556.10199,10.733069,298.016,24.866,24.69,34.26,30.50432788,,363.5487703,,,2,31.90031,244.2,10.68,56.89,20.63,,3.486,1023.24,207.3,13.6,24.07
AIR,9/7/05,15:43:31,250.6552199,37.831957,-73.255498,1023.629162,24.794,5.18113,34.2232,0.3315,371.9214,371.9706987,-0.049298698,,554.085876,10.776823,297.957,24.807,24.66,34.21,30.45051417,,363.4346262,,,2,31.89967,260.1,8.35,58.64,17.05,,3.479,1023.25,211.3,13.5,24.1
WATER,9/7/05,15:47:33,250.6580208,37.818412,-73.264705,1023.625653,24.8497,5.19347,34.2723,0.3503,376.0755,376.1343588,-0.058858828,,325.203766,10.825716,297.974,24.824,24.75,34.27,30.6137019,367.4423484,,366.3915288,2.956902584,,31.91803,249.2,7.38,49.99,17.81,2,3.477,1023.26,207.4,13.6,24.2
WATER,9/7/05,15:52:14,250.6612731,37.802565,-73.275252,1023.598166,24.9322,5.21121,34.3412,0.3517,376.3929,376.445266,-0.052366027,,324.147491,10.670789,298.062,24.912,24.82,34.32,30.74109589,367.6897183,,366.3837372,2.949111052,,31.94392,257.3,8.15,56.87,17.24,2,3.461,1023.17,209.2,14,24.17
WATER,9/7/05,15:56:35,250.664294,37.787875,-73.28504,1023.578385,24.97,5.21445,34.3364,0.3551,377.143,377.2008154,-0.057815391,,323.557312,10.926472,298.113,24.963,24.87,34.33,30.83280522,368.3870417,,367.0649908,3.630364644,,31.96744,270.1,8.93,66.88,13.57,2,3.448,1023.09,203.8,13.8,24.15
WATER,9/7/05,16:01:16,250.6675463,37.772482,-73.295413,1023.567227,25.0381,5.22583,34.3687,0.3586,377.9313,377.9793104,-0.048010442,,322.303558,10.844019,298.146,24.996,24.96,34.37,30.99811218,369.083023,,368.5698976,5.135271373,,31.99113,255.1,8.74,54.81,17.87,2,3.45,1023.22,204.1,13,24.17
STD1,9/7/05,16:05:38,250.6705787,37.758275,-73.304665,1023.43605,25.1062,5.23726,34.4015,0.0061,303.25,0.01555,,0.01555,55.562855,10.753543,298.262,25.112,25,34.39,31.07179184,,,,,,32.00356,264.7,10.29,63.39,17.23,,3.444,1023.15,209.1,13.8,24.15
STD2,9/7/05,16:09:39,250.6733681,37.74513,-73.313198,1023.455502,25.0952,5.2351,34.3939,0.3264,370.9,0.33525,,0.33525,48.188122,10.995162,298.251,25.101,24.96,34.39,30.99777492,,,,,,31.98399,248.5,11.26,58.71,20.09,,3.438,1023.15,209.2,13.1,24.2
STD3,9/7/05,16:13:40,250.6761574,37.732147,-73.321953,1023.58834,25.0826,5.23854,34.4289,0.5059,411.42,0.51445,,0.51445,54.358898,10.783828,298.213,25.063,25.01,34.42,31.08981275,,,,,,31.94062,270.4,8.93,62.41,15.8,,3.444,1023.14,205.4,13.7,24.25
WATER,9/7/05,16:17:41,250.6789468,37.718965,-73.330757,1023.814096,25.1809,5.25476,34.4738,0.3653,379.515,377.5644218,1.950578192,,324.381653,10.918529,298.309,25.159,25.11,34.47,31.27477261,368.6689844,,367.9723037,4.313550584,,31.86758,252.2,10.09,57.53,19.08,2,3.425,1023.17,207.2,13.6,24.27
