Dataset:              EMAP Lake Watershed Characteristics
File Name:            watchar
Date Created:         10/16/98
# Variables:          41
# Header Records:     51
# Data Records:       365
Missing Value Symbol: .

Variables:    AG_TOT           % watershed agricultural/range
              AREA_WS          Area of watershed (ha) excluding sampled lake
              AV_DEP           Est. Mean depth (m) 
              BAR_TOT          % watershed barren land
              COM_STRS         Comments on data peculiarities          
              DISTOT           % watershed human disturbed land
              DOMECO           Dominant ecoregion in watershed(level 3)
              DOMLAB           Name of dominant ecoregion(level 3)
              ECOREG4          Level 4 ecoregion classification
              ELEV             Lake elevation (m) from map
              FOR_TOT          % watershed - forest
              H2O_TOT2         % watershed in H2O excluding sample lake
              HI_PT            High point of watershed (m)            
              HOUDENKM         Housing unit density (housing/sq km)
              HOUSINGU         Est. # housing units in watershed
              HYDSHRDV         Hydrologic shoreline development
              KM_SEA           Distance from ocean (km) 
              LAKENAME         Lake Name
              LAKE_ID          Lake Identification Code
              LAT_DD           Lake Latitude (decimal degrees)
              LKVOL2M3         Est. lake volume (m**3) 
              LK_HA            Lake surface area (ha) 
              LON_DD           Lake Longitude (decimal degrees)
              LTROFF_M         Long term average annual runoff (m) 
              MAPSCDIG         Denominator of map scale used to digitize 
              MINE_TOT         %watershed-strip mine/quarrie/gravel pit
              NONRES           % watershed non-res. urban land
              POPDENKM         Population density (persons/sq km
              POPEST           Est. Human population in watershed
              PRECIP_M         Long term precipitation average (m)
              RD_DEN           Road density (m/ha) (TOT_RD / AREA_WS)
              RETENT           Est. water retention time for lakes (yrs) 
              SAMPLED          Field sampled (Yes/No)
              SAMPLK           % watershed occupied by sampled lake
              SHR_LTH          Length of shoreline including islands 
              SLOPE            Est. slope of the watershed (%/100)
                                (HI_PT/watershed length) 
              STUDY            EMAP/REMAP/TIME
              TOT_RD           Meters of road in watershed
              URB_TOT          %wshed urban (including mines/quarries)
              WETL_TOT         % watershed wetlands
              YEAR             Sample Year

"AG_TOT","AREA_WS","AV_DEP","BAR_TOT","COM_STRS","DISTOT","DOMECO","DOMLAB","ECOREG4","ELEV","FOR_TOT","H2O_TOT2","HI_PT","HOUDENKM","HOUSINGU","HYDSHRDV","KM_SEA","LAKENAME","LAKE_ID","LAT_DD","LKVOL2M3","LK_HA","LON_DD","LTROFF_M","MAPSCDIG","MINE_TOT","NONRES","POPDENKM","POPEST","PRECIP_M","RD_DEN","RETENT","SAMPLED","SAMPLK","SHR_LTH","SLOPE","STUDY","TOT_RD","URB_TOT","WETL_TOT","YEAR" 
0,2492.16,4.13,0,"XXXXX",0,58,"Northeastern Highlands"," ",130,79.39,0.01,291,0.02,0.55,4.01,93,"EAST BRANCH LAKE","ME756L",45.5188,18768206.08,454.48,-68.734,0.74,24000,0,0,0,0,1.07,1.44,0.87,"Yes",15.42,30326.08,0.02," ",3587.37,0,5.18,1994 
0,590.69,4.41,0,"XXXXX",0.83,58,"Northeastern Highlands"," ",69,89.82,1.25,259,3.41,19.97,1.7,8,"THURSTON POND","ME757L",44.6632,2296568,52.1,-68.7237,0.71,24000,0,0,6.66,39.02,1.13,13.27,0.5,"Yes",8.11,4340.87,0.06," ",7840.31,0.83,0,1994 
0,106.12,0.51,0,"XXXXX",0,58,"Northeastern Highlands"," ",424,99.99,0,479,0.16,0.16,1.27,87,"WITHEE POND","ME759L",45.0866,36748.8,7.2,-69.7745,0.73,24000,0,0,0.12,0.12,1.08,8.57,0.05,"Yes",6.35,1211.26,0.03," ",909.27,0,0,1994 
0,3057.14,5.01,0,"1991_IEL_23023 AKA ME023L",0,.," "," ",419,80.93,2.53,887,0.013,0.38,2.01,148,"NESOWADNEHUNK LAKE","ME761L",46.0379,27727971.84,553.32,-69.0981,0.63,24000,0,0,0.005,0.137,1.07,11,1.23,"Yes",15.32,16758.92,0.06," ",33569.31,0,1.22,1994 
0.31,142375.4,6.26,0,"NESTED_IN_1992_ME262L/ME261L_NESTED",0.47,58,"Northeastern Highlands"," ",352,88.35,2.93,1133,0.67,918.11,2.78,139,"LONG POND","ME762L",45.6268,73834394.4,1178.71,-70.0834,0.6,100000,0,0.04,0.91,1256.26,0.98,5.25,0.09,"Yes",0.81,33839.96,0.01," ",747928.82,0.16,7.44,1994 
13.7,12608.45,5.48,0,"XXXXX",14.23,59,"Northeastern Coastal Zone"," ",53,66.59,0.21,205,7.6,946.7,1.7,36,"UNITY POND","ME763L",44.6493,56783846.72,1037.11,-69.3305,0.64,100000,0.08,0.25,12.87,1603.62,1.1,11.46,0.66,"Yes",7.6,19357.26,0.01," ",144539.55,0.45,11.37,1994 
4.39,19276.87,3.76,0,"XXXXX",4.82,58,"Northeastern Highlands"," ",35,72.86,5.4,184,1.45,264.26,4.26,21,"CRAWFORD LAKE","ME764L",45.0494,26907888.96,715.94,-67.5747,0.71,100000,0,0.44,2.47,449.54,1.18,6.17,0.19,"Yes",3.54,40379.43,0.01," ",119017.42,0.44,13.38,1994 
1.54,916.98,1.35,0,"XXXXX",1.54,58,"Northeastern Highlands"," ",359,98.46,0,647,0.715,6.547,2.311,110,"LARY POND","NH001L",43.70778,348106.72,25.87,-72.0025,0.5127,25000,0,0,0.767,7.026,1.024,3.63,0.072,"Yes",2.74,4166.193,0.06,"TIME",3329.75,0,0,1991 
4.1,32245.73,0.74,0.01,"XXXXX",6.95,58,"Northeastern Highlands"," ",215,86.23,4.44,965,18.52,5689.493,5.555,84,"NO NAME","NH002L",42.89889,89681.92,12.08,-71.945,0.5746,62500,0.08,0.75,40.966,12585.002,1.137,17.44,0,"Yes",0.04,6844.449,0.04,"TIME",562387.37,2.77,2.33,1991 
5.28,51436.6,6.64,0.12,"XXXXX",7.12,58,"Northeastern Highlands"," ",83,90.45,1.3,622,13.316,6707.468,2.607,52,"GLEN LAKE","NH003L",43.01639,2796073.28,42.14,-71.57694,0.5387,62500,0.08,0.64,33.754,17002.547,1.116,151.26,0.01,"Yes",0.08,5998.587,0.02,"TIME",822351.43,1.76,0.92,1991 
0,1222.21,5.57,0,"XXXXX",1.15,58,"Northeastern Highlands"," ",263,91.69,4.15,564,3.878,45.135,1.519,85,"CONTENTION POND","NH004L",43.16583,2113056,37.95,-71.96556,0.508,24000,0,0,4.964,57.777,1.125,5.58,0.33,"Yes",3.01,3317.981,0.07,"EMAP",6814.01,1.15,0,1991 
27.55,378.6,0.79,0,"XXXXX",33.43,59,"Northeastern Coastal Zone"," ",75,48.73,1.35,158,23.415,85.793,3.29,56,"DUNKLEE POND","NH005L",42.76972,83928.32,10.64,-71.58444,0.5959,24000,0,0,62.471,228.889,1.125,15.55,0.036,"Yes",2.73,3804.865,0.03,"EMAP",5885.79,5.88,13.75,1991 
20,469.27,1.3,0,"1992_REPEAT",23.54,59,"Northeastern Coastal Zone"," ",60,72.79,0,136,32.212,150.529,1.277,54,"FLINTS POND","NH006L",42.7475,227879.68,17.54,-71.55056,0.5978,24000,0,0,96.3,449.965,1.122,22.82,0.078,"Yes",3.61,1895.554,0.03,"EMAP",10708.11,3.54,0.58,1991 
0,20,1.48,0,"1992_REPEAT",0,58,"Northeastern Highlands"," ",585,99.95,0,796,0.385,0.077,1.3,150,"TWO TOWN POND","NH007L",44.8725,16629.76,1.12,-71.32028,0.762,62500,0,0,1.161,0.232,1.152,10.89,0.103,"Yes",5.3,487.76,0.28,"EMAP",217.84,0,0,1991 
0,116.49,2.78,0,"XXXXX",35.59,58,"Northeastern Highlands"," ",183,44.21,0.83,247,90.749,107.81,1.677,46,"IVANHOE POND","NH008L",43.60028,778963.2,27.98,-70.99222,0.6225,24000,0,0,29.647,35.233,1.31,41.93,0.866,"Yes",19.37,3144.159,0.04,"EMAP",4884.94,35.59,0,1991 
0,139.59,10.9,0,"XXXXX AKA NH503L",0,58,"Northeastern Highlands"," ",504,89.39,0.35,750,0.053,0.074,1.168,116,"RUSSELL","NH009L",44.00694,1791527.2,16.43,-71.65417,0.762,24000,0,0,0,0,1.264,28.37,1.507,"Yes",10.26,1678.86,0.16,"INDIC",3959.74,0,0,1991 
3.97,707.48,6.91,0,"XXXXX AKA NH502L",3.97,58,"Northeastern Highlands"," ",282,94.23,0,539,6.033,42.992,1.294,102,"TEWKSBURY","NH010L",43.60833,1323263.04,19.14,-71.96944,0.508,24000,0,0,8.467,60.332,1.035,13.48,0.358,"Yes",2.52,2007.625,0.08,"INDIC",9535.85,0,0,1991 
0,1276.68,10.35,0,"XXXXX",0,58,"Northeastern Highlands"," ",419,75.83,5.43,657,4.532,54.143,2.727,94,"NUBANUSIT","NH011L",42.98333,30301775.2,292.85,-72.05833,0.5473,25000,0,0,4.193,50.096,1.13,8.71,3.528,"Yes",18.67,16546.188,0.05,"INDIC",11114.31,0,0.08,1991 
23.54,121.34,5.29,0,"XXXXX",23.54,58,"Northeastern Highlands"," ",167,66.51,0,241,22.314,27.045,1.171,70,"FRENCH","NH012L",43.19167,835756.8,15.8,-71.775,0.508,24000,0,0,50.462,61.147,1.115,19.03,1.2,"Yes",11.62,1649.847,0.03,"INDIC",2309.68,0,0,1991 
0,31.21,2.78,0,"NESTED_IN_NH251",0,58,"Northeastern Highlands"," ",216,84.19,0,338,3.44,1.1,1.34,70,"TROUT POND","NH250L",43.84056,233299.2,8.38,-71.12778,0.61,24000,0,0,1.85,0.59,1.18,0,0.97,"Yes",21.17,1374.35,0.24," ",0,0,0,1992 
1.95,4559.45,6.73,0," ",5.29,58,"Northeastern Highlands"," ",125,91.7,1.65,533,6.76,302.82,1.86,68,"DANFORTH PONDS","NH251L",43.82389,2382384.8,35.41,-71.10472,0.58,24000,0,2,6.02,269.92,1.21,10.51,0.09,"Yes",0.77,3922.03,0.04," ",47932.06,3.34,0.6,1992 
0,28.24,2.55,0," ",0,58,"Northeastern Highlands"," ",204,88.98,0,308,1.23,0.34,1.27,57,"CLOUGH POND","NH252L",43.41583,136532,5.35,-71.47361,0.53,24000,0,0,3.55,0.99,1.02,0,0.76,"Yes",15.93,1039.74,0.17," ",0,0,0,1992 
3.71,855.41,2.09,0," ",18.64,58,"Northeastern Highlands"," ",255,75.69,0,448,34.27,295.96,1.8,52,"SHELLCAMP POND","NH253L",43.40833,1226491.2,58.74,-71.42028,0.53,24000,0,1.04,41.52,358.62,1.04,24.84,0.25,"Yes",6.43,4891.58,0.05," ",21248.12,14.93,0,1992 
5.84,59.17,0.56,0," ",12.66,58,"Northeastern Highlands"," ",235,87.34,0,283,18.84,11.08,1.19,56,"POND NR HILLS CORNER","NH254L",43.39083,3452.16,0.62,-71.49083,0.53,24000,0,0,24.18,14.21,1.02,37.2,0.01,"Yes",1.04,331.54,0.06," ",2201.33,6.82,0,1992 
10.32,1482.59,2.13,0," ",10.32,58,"Northeastern Highlands"," ",194,84.48,0.12,397,6.27,93.07,1.42,68,"HAUNTED LAKE","NH255L",42.98389,1199959.68,56.22,-71.765,0.6,24000,0,0,13.32,197.71,1.13,14.35,0.13,"Yes",3.65,3763.11,0.04," ",21272.65,0,1.42,1992 
0,277.89,0.93,0,"NESTED_IN_NH257",0,58,"Northeastern Highlands"," ",441,100,0,627,9.9,27.54,1.13,95,"HIDDEN POND","NH256L",43.10583,59113.6,6.37,-72.10306,0.64,25000,0,0,15.03,41.81,1.12,21.8,0.03,"Yes",2.24,1012.9,0.06," ",6059.25,0,0,1992 
0,7313.3,4.22,0," ",0,58,"Northeastern Highlands"," ",395,95.1,1.16,754,11.86,853.62,4.8,94,"HIGHLAND LAKE","NH257L",43.10806,12045240.48,285.27,-72.08889,0.66,62500,0,0,7.49,538.98,1.14,13.59,0.24,"Yes",3.74,28709.16,0.02," ",99376.11,0,0,1992 
0,261.19,1.95,0," ",0,58,"Northeastern Highlands"," ",323,73.22,0,399,4.9,11.8,2.42,95,"HODGE POND","NH259L",42.7975,399309.12,20.49,-72.0675,0.6,62500,0,0,13.83,33.29,1.13,10.65,0.24,"Yes",7.27,3889.98,0.02," ",2782.32,0,26.78,1992 
0,217.78,2.37,0," ",0.12,58,"Northeastern Highlands"," ",141,93.77,0,241,3.32,7.17,2.5,71,"GRASSY POND","NH260L",43.21611,481089.12,20.33,-71.7775,0.57,62500,0,0,6.65,14.34,1.11,7.31,0.35,"Yes",8.53,3994.46,0.06," ",1591.88,0.12,0,1992 
7.15,59.75,7.42,0,"NESTED_IN_NH501",52.87,59,"Northeastern Coastal Zone"," ",40,33.31,3.7,64,42.42,25.83,1.35,34,"BARBADOES POND","NH500L",43.1901,498892.8,6.72,-70.933,0.55,24000,35.55,35.55,108.37,66.04,1.09,16.3,1.38,"Yes",10.09,1243.68,0.02," ",974.09,10.17,0,1993 
6.82,5443.56,3.57,0.08,"ROAD_DIVIDES_BASINS",15.28,59,"Northeastern Coastal Zone"," ",40,76.42,2.63,154,24.85,1309.08,5.93,35,"BELLAMY RESERVOIR","NH501L",43.1926,5255231.52,147.09,-70.9538,0.53,24000,0.74,1.25,60.37,3180.59,1.08,17.84,0.18,"Yes",2.63,25488.57,0.01," ",97087.71,7.72,2.96,1993 
3.97,725.21,7.24,0,"AKA_33010_(1991)_I.E.L. AKA NH010L",3.97,.," "," ",282,94.23,0,539,6.033,42.992,1.3,124,"TEWKSBURY POND","NH502L",43.6092,1399906.56,19.34,-71.9701,0.51,24000,0,0,8.467,60.332,1.04,13.48,0.37,"Yes",2.52,2023,0.08," ",9535.85,0,0,1993 
0,136.06,11.14,0,"AKA_33009_(1991)_I.E.L AKA NH009L",0,.," "," ",504,89.39,0.35,750,0.053,0.074,1.21,129,"RUSSELL POND","NH503L",44.0091,1839667.2,16.52,-71.6538,0.76,24000,0,0,0,0,1.26,28.37,1.58,"Yes",10.26,1737.84,0.16," ",3959.74,0,0,1993 
4.4,7483.86,2.74,0,"LITTLE_TURKEY_POND_ALSO",9.45,59,"Northeastern Coastal Zone"," ",99,88.44,0.18,279,18.42,1373.33,4.13,55,"TURKEY POND","NH504L",43.1813,3682345.76,134.51,-71.5926,0.51,24000,0,1.67,53.62,3998.21,1.09,17.52,0.1,"Yes",1.76,16988.98,0.01," ",131148.86,5.05,0.17,1993 
4.57,617.89,5.94,0.86," ",10.93,58,"Northeastern Highlands"," ",155,71.89,0,290,28.86,179.3,1.57,82,"MIRROR LAKE","NH505L",43.6224,8038113.28,135.34,-71.2659,0.57,24000,1.46,1.46,45.14,280.44,1.02,19.67,1.86,"Yes",17.97,6462.25,0.01," ",12156.56,4.9,0,1993 
14.94,397.2,6.73,0," ",52.71,59,"Northeastern Coastal Zone"," ",67,22.28,0,113,120.23,478.74,2.07,30,"CANOBIE LAKE","NH506L",42.7959,10246744,152.3,-71.2585,0.54,24000,0,20.68,310.25,1235.52,1.11,54.62,3.43,"Yes",27.72,9073.64,0.01," ",21696.77,37.77,0,1993 
0,158.07,0.93,0," ",0,58,"Northeastern Highlands"," ",377,88.31,3.46,575,42.91,68.74,1.57,83,"PRATT POND","NH507L",42.7394,131683.2,14.19,-71.9074,0.6,25000,0,0,45.62,73.11,1.17,16.26,0.13,"Yes",8.24,2101.72,0.5," ",2569.89,0,0,1993 
2.95,529.65,1.58,0," ",2.95,58,"Northeastern Highlands"," ",372,90.9,3.8,575,5.64,29.53,2.57,85,"ISLAND POND","NH508L",42.7395,202090.56,12.81,-71.9345,0.6,25000,0,0,17.63,92.32,1.16,6.28,0.06,"Yes",2.36,3266.59,0.22," ",3325.27,0,0,1993 
5.61,447.8,5.57,0," ",9.4,58,"Northeastern Highlands"," ",250,76.08,1.87,369,29.41,128.46,1.74,105,"BLAISDELL LAKE","NH511L",43.2883,3609177.6,64.82,-71.9381,0.51,24000,0,0,31.56,137.86,1.09,26.32,1.39,"Yes",12.65,4953.99,0.03," ",11786.86,3.79,0,1993 
0.61,4956.38,1.25,0," ",2.58,58,"Northeastern Highlands"," ",206,95.3,0.77,825,8.95,438.64,2.58,108,"TODD LAKE","NH512L",43.2787,847143.36,67.62,-71.9717,0.51,25000,0.37,0.43,16.14,790.92,1.13,12.5,0.03,"Yes",1.35,7529.56,0.06," ",61943.79,1.6,0,1993 
0,1077.23,3.99,0," ",1.64,58,"Northeastern Highlands"," ",321,90.92,0,585,5.33,57.49,2.04,94,"GREGG LAKE","NH513L",43.0347,3240603.84,81.21,-71.9849,0.54,25000,0,0,7.21,77.72,1.15,10.44,0.52,"Yes",7.01,6514.83,0.06," ",11246.77,1.64,1.79,1993 
6.56,672.98,2.97,5.69," ",21.97,59,"Northeastern Coastal Zone"," ",71,52.3,0,190,78.29,524.25,2.26,55,"BABOOSIC LAKE","NH514L",42.8844,2753413.12,92.72,-71.5793,0.57,24000,0,2.02,186.01,1245.5,1.1,33.63,0.63,"Yes",12.11,7716.95,0.03," ",22629.6,15.41,8.43,1993 
2.77,367.16,1.86,0," ",18.31,58,"Northeastern Highlands"," ",145,74.92,0,318,101.48,369.09,1.81,115,"WILSON POND","NH515L",42.9012,562182.4,30.29,-72.2626,0.52,24000,0,0.67,200.94,730.86,1.07,33.43,0.27,"Yes",7.62,3533.99,0.06," ",12275,15.54,0,1993 
0,37.98,4.22,0,"XXXXX",0,58,"Northeastern Highlands"," ",204,67.49,0,235,5.05,1.99,1.99,88,"KUSUMPE POND","NH751L",43.787,948773.28,22.47,-71.4939,0.61,24000,0,0,2.29,0.9,1.01,18.39,2.56,"Yes",37.19,3341.52,0.03," ",698.62,0,0,1994 
0.18,3481.59,2.46,0,"XXXXX",2.66,58,"Northeastern Highlands"," ",366,77.91,12.54,681,9.96,301.9,1.52,93,"SKATUTAKEE LAKE","NH752L",42.9375,1835546.88,74.64,-72.077,0.55,25000,0,0,15.36,465.47,1.14,13.54,0.09,"Yes",2.08,4656,0.04," ",47124.46,2.48,4.8,1994 
3.17,132.19,1.76,0,"NESTED_IN_NH752L",3.17,58,"Northeastern Highlands"," ",441,84.96,1.31,603,12.53,16.51,1.23,96,"TOLMAN POND","NH753L",42.9749,279290.88,15.84,-72.1048,0.55,25000,0,0,11.06,14.57,1.13,25.35,0.35,"Yes",10.56,1731.66,0.11," ",3351.54,0,0,1994 
10.29,1940.47,2.97,0,"XXXXX",10.29,58,"Northeastern Highlands"," ",311,88.31,0.13,806,2.11,40.92,1.41,141,"PEARL LAKE","NH754L",44.1997,737351.68,24.83,-71.8671,0.51,24000,0,0,3.12,60.52,1.01,7.69,0.07,"Yes",1.26,2484.95,0.07," ",14929.35,0,0,1994 
4.42,2164.33,1.35,0,"XXXXX",4.89,58,"Northeastern Highlands"," ",351,83.12,9.04,543,10.98,213.69,1.71,99,"CHESHAM POND","NH755L",42.9388,498006.56,37.01,-72.1352,0.54,25000,0,0,14.16,275.64,1.14,19.88,0.04,"Yes",1.69,3678.6,0.04," ",43021.39,0.48,1.25,1994 
3.95,1128.5,2.97,0,"NESTED_IN_NH755L/NH757L_NESTED_WITHIN",4.03,58,"Northeastern Highlands"," ",369,78.71,15.85,543,13.28,124.26,1.83,98,"SEAVERS RESERVOIR","NH756L",42.9436,478402.56,16.11,-72.1281,0.54,25000,0,0,9.99,93.44,1.13,17.85,0.08,"Yes",1.41,2599.54,0.04," ",20141.55,0.08,0,1994 
3.32,360.49,2.41,0,"DOUBLE_NESTED_IN_NH756L/NH755L",3.32,58,"Northeastern Highlands"," ",417,86.46,0,543,5.05,18.1,1.57,98,"CHILDS BOG","NH757L",42.9572,1136670.08,47.11,-72.1227,0.55,25000,0,0,11.41,40.92,1.13,21.49,0.51,"Yes",11.56,3819.57,0.04," ",7748.19,0,0,1994 
1.56,11044.56,7.52,0,"XXXXX",6.16,59,"Northeastern Coastal Zone"," ",77,83.45,1.78,287,25.33,2753.28,5.13,39,"MASSABESIC LAKE","NH758L",42.9937,78116088.96,1039.22,-71.3549,0.52,24000,0,1.12,68.84,7481.06,1.03,24.22,1.24,"Yes",8.6,58591.51,0.01," ",267537.5,4.61,0,1994 
0,11415.75,8.91,0,"XXXXX",0,58,"Northeastern Highlands"," ",569,93.44,1.69,1091,0.35,39.24,3.2,162,"SECOND CONNECTICUT LAKE","NH759L",45.1551,39908751.36,447.97,-71.1715,0.76,24000,0,0,0.14,15.6,1.14,5.6,0.44,"Yes",3.78,24031.65,0.04," ",63925.74,0,1.09,1994 
0,391.58,0.93,0,"XXXXX",0,58,"Northeastern Highlands"," ",441,89.98,6.28,603,2.72,10.4,1.69,113,"MILLER POND","NH760L",43.5402,141241.6,15.22,-72.1687,0.51,25000,0,0,3.45,13.18,0.98,3.15,0.07,"Yes",3.74,2334.16,0.04," ",1232.97,0,0,1994 
0,1946.44,5.24,0,"XXXXX",9.27,58,"Northeastern Highlands"," ",339,85.98,0,645,31.94,611.59,2.65,108,"EASTMAN POND","NH761L",43.5261,6936229.28,132.29,-72.1188,0.51,25000,0,9.27,20.92,400.64,0.98,25.56,0.66,"Yes",6.36,10819.61,0.04," ",49749.68,9.27,0,1994 
0,833.36,2.09,0,"NESTED_IN_NH763L",0,58,"Northeastern Highlands"," ",502,98.12,0,771,1.42,11.81,1.7,97,"NORTH POND","NH762L",43.2414,689248.8,33.01,-72.0999,0.51,25000,0,0,2.64,22.05,1.23,2.79,0.16,"Yes",3.83,3471.59,0.06," ",2321.74,0,0,1994 
0,1754.26,1.35,0,"XXXXX",0,58,"Northeastern Highlands"," ",486,94.29,2.18,771,1.38,23.54,2.52,98,"MAY POND","NH763L",43.2299,862260.48,64.08,-72.112,0.51,25000,0,0,2.09,35.64,1.22,4.05,0.09,"Yes",3.54,7140.43,0.04," ",7110.74,0,0,1994 
0,93.83,2.41,0,"XXXXX",0,58,"Northeastern Highlands"," ",188,99,0,283,7.04,6.65,1.36,71,"NEW WILTON RESERVOIR","NH765L",42.8406,212808.96,8.82,-71.7737,0.58,24000,0,0,13.59,12.83,1.15,21.21,0.36,"Yes",8.59,1435.3,0.07," ",1989.96,0,0,1994 
0,603.17,2.97,0,"XXXXX",0,58,"Northeastern Highlands"," ",271,92.34,0.09,405,0.1,0.57,4.74,124,"PISGAH RESERVOIR","NH766L",42.8201,1466685.44,49.39,-72.4508,0.51,25000,0,0,0.26,1.57,1.03,0,0.44,"Yes",7.57,11820.6,0.03," ",0,0,0,1994 
0,628.46,1.86,0,"NESTED_IN_NJ003L",9.38,58,"Northeastern Highlands"," ",235,78.54,0,372,66.846,419.458,4.573,57,"CRANBERRY LAKE","NJ002L",40.9461,1443225.6,77.76,-74.7467,0.5635,24000,0,0,116.551,731.301,1.274,18.44,0.363,"Yes",11.01,14294.846,0.04,"EMAP",11588.45,9.38,2.29,1991 
0.57,15647.61,1.25,3.24,"XXXXX",15.76,58,"Northeastern Highlands"," ",192,70.19,9.47,424,135.262,19255.358,3.291,56,"WATERLOO LAKES","NJ003L",40.91806,159105.6,12.7,-74.74722,0.5839,24000,0,2.33,336.348,47881.302,1.279,32.86,0.002,"Yes",0.08,4158.35,0.01,"EMAP",514170.66,15.19,1.26,1991 
29.42,3279.37,0.46,2.66,"XXXXX",67.71,63,"Middle Atlantic Coastal Plain"," ",1,27.97,0.96,64,175.276,5670.889,2.054,0,"WRECK POND (LARGEST)","NJ005L",40.14,109828.8,23.67,-74.03389,0.4825,24000,0.08,18.76,371.5,12019.61,1.15,54.96,0.007,"Yes",0.7,3542.885,0.01,"EMAP",180219.59,38.21,0,1991 
44.3,942.03,2.32,0," ",52.86,58,"Northeastern Highlands"," ",113,45.96,0.64,259,32.46,304.13,1.58,38,"PLEASANT VALLEY LAKE","NJ250L",40.75111,118088,5.09,-74.62361,0.61,24000,0,4.57,102.31,958.68,1.22,22.4,0.02,"Yes",0.54,1264.06,0.04," ",21101.88,8.56,0,1992 
0,354.68,0.65,0," ",17.74,63,"Middle Atlantic Coastal Plain"," ",7,81.63,0,26,78.85,278.8,2.65,17,"HARDING LAKES","NJ252L",39.45083,28062.72,4.32,-74.75528,0.51,24000,4.18,4.18,229.53,811.6,1.1,36.76,0.02,"Yes",1.2,1949.67,0.01," ",13037.73,13.57,0.43,1992 
0.09,1056.76,4.04,1.04," ",0.65,58,"Northeastern Highlands"," ",253,77.63,2.41,357,9.64,98.85,3.67,0,"SPLITROCK RESERVOIR","NJ500L",40.9824,8876115.84,219.88,-74.4402,0.64,24000,0,0,27.04,277.36,1.25,12.21,1.1,"Yes",17.22,19270.42,0.02," ",12902.24,0.56,1.05,1993 
14.89,17938.93,1.76,0," ",15.92,63,"Middle Atlantic Coastal Plain"," ",3,53.52,1.17,62,10.66,1907.29,3.9,27,"BATSTO RIVER RESERVOIR","NJ503L",39.6534,445384.32,25.26,-74.6534,0.56,24000,0.1,0.1,34.05,6092.19,1.13,19,0,"Yes",0.14,6939.66,0," ",340834.41,0.93,29.25,1993 
90.11,473.56,1.39,0," ",91.75,63,"Middle Atlantic Coastal Plain"," ",29,5.44,0.82,50,10.12,48.12,1.99,25,"DARETOWN LAKE","NJ504L",39.6117,120268.8,8.64,-75.2538,0.5,24000,0,0,27.83,132.26,1.08,23.58,0.05,"Yes",1.79,2072.03,0," ",11166.87,1.63,0.2,1993 
8.83,2068.04,1.11,1.82," ",10.64,63,"Middle Atlantic Coastal Plain"," ",3,71.64,0.6,16,12.25,252.29,2.04,12,"EAST CREEK POND","NJ505L",39.2262,255682.56,22.96,-74.8846,0.51,24000,0.35,0.35,32.96,678.76,1.06,27.52,0.02,"Yes",1.1,3472.13,0," ",56918.81,1.45,14.19,1993 
59.96,3370.41,0.97,0.66,"XXXXX",71.07,63,"Middle Atlantic Coastal Plain"," ",21,28.13,0.03,67,130,4377.33,1.8,24,"FARMERS POND","NJ751L",40.3121,37611.84,3.86,-74.5449,0.52,24000,0,5.65,228.59,7697.37,1.18,33.17,0,"Yes",0.11,1255.6,0," ",111806.15,11.11,0,1994 
4.53,1455.52,1.25,0,"NESTED_IN_NJ753L",21.71,63,"Middle Atlantic Coastal Plain"," ",17,62.14,0.18,47,107.18,1556.98,5.71,47,"MEDFORD LAKES","NJ752L",39.8537,401647.68,32.06,-74.7928,0.56,24000,2.33,3.76,332.66,4832.61,1.14,51.48,0.05,"Yes",2.16,11461.46,0.01," ",74927.88,14.85,13.81,1994 
1.76,6410.48,1.25,2.39,"XXXXX",26.7,63,"Middle Atlantic Coastal Plain"," ",12,61.83,2.01,67,110.92,6924.42,4.18,50,"OAKWOOD LAKES","NJ753L",39.873,144948.96,11.57,-74.8341,0.56,24000,0.98,3.43,341.14,21296.47,1.14,47.32,0,"Yes",0.18,5045.37,0," ",303320.72,23.96,6.89,1994 
39.61,36852.39,21.9,0.31,"XXXXX",49.69,58,"Northeastern Highlands"," ",55,45.15,1.98,390,58.91,21290.64,1.56,42,"ROUND VALLEY RESERVOIR","NJ755L",40.6162,201130376.96,918.37,-74.8291,0.64,100000,0.1,2.83,167.5,60537.94,1.2,27.34,0.84,"Yes",2.43,16711.44,0.01," ",1007426.82,9.99,0.42,1994 
3.96,18928.55,2.64,0.18,"XXXXX",4.23,58,"Northeastern Highlands"," ",225,81.87,0.84,428,2.323,435.56,2.59,379,"NARROW LAKE","NY001L",44.13917,441946.08,16.71,-75.46722,0.6789,24000,0.07,0.2,5.378,1008.584,1.024,7.34,0.003,"Yes",0.09,3753.58,0.01,"TIME",138938.06,0.2,12.8,1991 
3.97,18797.9,5.01,0.18,"NESTED_IN_NY001L",4.24,58,"Northeastern Highlands"," ",225,81.9,0.46,428,2.33,435.56,1.974,379,"INDIAN LAKE","NY002L",44.14139,3583008,71.5,-75.45111,0.679,24000,0.07,0.2,5.396,1008.584,1.024,7.31,0.028,"Yes",0.38,5918.267,0.01,"TIME",137371.61,0.2,12.83,1991 
0,90.76,1.62,0,"XXXXX",0,58,"Northeastern Highlands"," ",387,81.14,0,466,2.557,2.281,2.222,347,"BARNEY POND","NY004L",44.47139,253019.2,15.58,-74.805,0.6154,24000,0,0,0,0,1.026,0.47,0.387,"Yes",14.65,3109.774,0.05,"TIME",42.64,0,18.88,1991 
