_LRT_EF_COVERAGE_SRC_EZ.PGM_SYS_ACRNM,V_LRT_EF_COVERAGE_SRC_EZ.PGM_SYS_ID,V_LRT_EF_COVERAGE_SRC_EZ.REGISTRY_ID,V_LRT_EF_COVERAGE_SRC_EZ.COUNTY_NAME,V_LRT_EF_COVERAGE_SRC_EZ.STATE_CODE
NPDES,WI0070394,110010883954,LAFAYETTE,WI
WI-ESR,8967,110002121980,OUTAGAMIE,WI
PCS,WI0044521,110001921797,DUNN,WI
NPDES,WI0003565,110000594198,WOOD,WI
PCS,WI0003611,110000850945,PORTAGE,WI
PCS,WI0021679,110010889501,SHEBOYGAN,WI
PCS,WI0021695,110010848100,KENOSHA,WI
WI-ESR,455612,110010888879,ROCK,WI
PCS,WI0021440,110010889397,FOND DU LAC,WI
WI-ESR,457664,110010889397,FOND DU LAC,WI
WI-ESR,403491,110010847156,MARATHON,WI
WI-ESR,171342,110010848477,ONEIDA,WI
PCS,WI0021920,110010889020,VERNON,WI
PCS,WI0021580,110010889468,IOWA,WI
NPDES,WI0021636,110010889486,PORTAGE,WI
WI-ESR,456262,110010886693,MARATHON,WI
WI-ESR,457693,110010889057,JACKSON,WI
PCS,WI0022021,110010889075,KENOSHA,WI
NPDES,WI0023400,110010894577,GRANT,WI
PCS,WI0023400,110010894577,GRANT,WI
NPDES,WI0036188,110010885970,SHAWANO,WI
NPDES,WI0036251,110010885989,WAUPACA,WI
WI-ESR,454769,110010891516,GREEN LAKE,WI
WI-ESR,456482,110010886005,SAUK,WI
PCS,WI0036447,110010886005,SAUK,WI
WI-ESR,454770,110010891543,JUNEAU,WI
TRIS,54612GLDNPN2911,110037144569,TREMPEALEAU,WI
WI-ESR,156169,110009513721,WASHINGTON,WI
RCRAINFO,WID006078737,110009514310,WASHINGTON,WI
RCRAINFO,WID981797343,110009517601,WASHINGTON,WI
AIRS/AFS,5577700039,110009515006,WAUKESHA,WI
WI-ESR,156755,110006141512,BURNETT,WI
RCRAINFO,WID040829244,110006142030,BURNETT,WI
