"State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"CA","CLRCB","92.11693","78.94741","82.04379","49.85591","93.56496","146.73741","181.42457","169.34791","124.46861","1263.80136","1343.02786","33.96433","35.96597","0.00000","9.29474","0.00000","0.00000","0.00000","20.16932","16.72901","19.41181","8.28937","7.91740","7.39072","149.49970","274.65505","0.00000","3.20402","31.96012","51.68105","116.34195","184.64419","0.80173","592.72198","579.16778","402.34568","494.67126","275.90950","299.88408","78.52442","61.82878","0.06216","0.13307","0.69039","18.66999","35.67776","2.65454"
"CA","CLRCP","4.00283","3.43342","3.56912","2.17067","4.07694","6.40988","7.95570","7.45710","5.48388","56.08532","60.74133","1.54844","1.64443","0.00000","0.43135","0.00000","0.00000","0.00000","0.90920","0.74748","0.84000","0.35995","0.34000","0.32000","6.46005","11.66006","0.00000","0.14122","1.37368","2.31000","5.01820","7.97940","0.03474","25.54704","24.92100","17.27102","21.24694","11.94385","12.69248","3.30768","2.59894","0.00264","0.00528","0.02809","0.83350","1.57238","0.11274"
"CA","CLTCB","35903.06676","59106.44867","39681.01509","46127.33651","53722.75475","63692.80664","51515.03837","53948.98003","57010.63322","60030.64937","61811.50474","51014.75909","47451.94713","66956.00654","60670.16720","56405.23000","66629.89346","75109.05148","67891.91030","68564.94334","66169.61680","78400.54828","69414.68153","32021.77139","37242.74012","45264.37754","42518.76090","44951.38533","50824.28608","66426.63687","84159.70697","89519.12363","91515.05006","84669.28642","84615.77611","84323.12291","80324.43099","82651.06498","66156.57709","69547.22128","70011.69418","67839.48592","70009.96196","69469.16922","68909.30697","67422.33819","67015.73757"
"CA","CLTCP","1341.99310","2207.94112","1482.88122","1722.98665","2006.88054","2379.45953","1926.17672","2016.28994","2129.74363","2257.09351","2326.89853","1905.95370","1772.55753","2500.05727","2268.31371","2151.22337","2611.60130","2984.03754","2731.64544","2734.23339","2668.97405","3231.27312","2863.81524","1455.56757","1668.61731","1942.17043","1864.53900","1933.51500","2209.12000","3052.06100","3809.49400","4002.22300","4062.42100","3816.04100","3703.45706","3675.44600","3443.61300","3627.62134","2902.94679","3004.65438","2954.10365","2833.74175","2943.02458","2865.90633","2846.89945","2848.57319","2770.67894"
"CA","COICB","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","114699.61100","110203.94400","104256.20060","85263.81060","60083.26720","70666.11540","48658.98400","42182.33860","38947.00000","27364.40000","21152.60000","18681.80000","14534.80000","13728.60000","4622.60000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"CA","COICP","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","19775.79500","19000.68000","17975.20700","14700.65700","10359.18400","12183.81300","8389.48000","7272.81700","6715.00000","4718.00000","3647.00000","3221.00000","2506.00000","2367.00000","797.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"CA","DFACB","89199.97454","92174.39738","107486.75586","117240.69838","121026.98304","122512.64777","129024.42978","134231.54995","155257.42562","169638.77872","171533.55558","208201.42019","190211.29564","208393.97442","185015.58664","177824.19093","191817.35357","212901.52427","243245.34802","241250.79917","243488.05143","261722.74705","243405.22138","255051.80519","273345.80468","290618.12392","309339.42368","270736.67907","348064.00620","342517.60477","323856.24712","325204.98812","313881.12760","286877.72273","324710.11307","337500.16617","343441.73898","364987.36350","364379.20315","377385.01996","410809.74458","414577.15082","421586.01410","634385.43497","452990.23023","473611.20579","487018.81041"
"CA","DFACP","15313.30035","15823.93088","18452.66195","20127.15852","20777.16447","21032.21421","22150.11670","23044.04291","26653.63530","29122.53712","29447.82070","35742.73308","32654.29968","35775.78960","31762.33247","30527.75810","32930.01778","36549.61790","41758.85803","41416.44621","41800.52385","44930.94370","41786.30410","43785.71763","46926.31840","49891.52342","53105.48046","46478.39984","59753.47746","58801.30554","55597.63899","55829.18251","53885.17212","49249.39446","55744.22542","57939.94269","58959.95519","62658.77485","62554.36964","64787.12789","70525.27804","71172.04306","72375.28139","108907.37081","77766.56313","81306.64477","83608.37947"
"CA","DFCCB","3709.55281","3402.45415","3054.63798","2907.61632","3499.39485","3263.95103","3460.39472","3549.05041","3389.92364","3559.13325","3825.16263","4515.65050","4924.03012","5850.39438","4161.91893","3768.02276","4809.84941","5641.95037","6016.34845","8241.41341","18784.76843","21745.33773","25613.04319","39898.81503","46776.25739","19899.46170","33412.35774","33966.54900","34232.24076","27197.73368","23845.85009","25792.82057","13246.77125","13748.38309","13561.81818","18428.42249","14908.72618","14488.15162","15478.87683","15991.29229","18082.03397","16532.42518","12757.37217","10154.92107","9687.82947","11464.98058","8626.16316"
"CA","DFCCP","636.83310","584.11230","524.40137","499.16160","600.75448","560.33494","594.05918","609.27904","581.96114","611.01000","656.68028","775.21897","845.32706","1004.35955","714.49252","646.87086","825.72522","968.57517","1032.84952","1414.83492","3224.85295","3733.10519","4397.08896","6849.58198","8030.25878","3416.21660","5736.02708","5831.16721","5876.77953","4669.13883","4093.70817","4427.95203","2274.12382","2360.23744","2328.20913","3163.67768","2559.43797","2487.23633","2657.31791","2745.28623","3104.21184","2838.18458","2190.10681","1743.33409","1663.14669","1968.23701","1480.88638"
