UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
N,8,2008,9,3900560,1994336,1906224,1526426,1449775,293794,285359,24125,23202,79530,79687,4518,4245,65943,63956,1586232,1507811,327689,318628,38501,37110,103679,102796,9970,9336,1580592,1509950,1150521,1090416,276158,268192,17325,16742,76349,76569,3209,3002,57030,55029,1202389,1140541,306003,297271,28642,27575,97522,96772,7572,7049,413744,396274,375905,359359,17636,17167,6800,6460,3181,3118,1309,1243,8913,8927,383843,367270,21686,21357,9859,9535,6157,6024,2398,2287
N,8,2008,10,3918681,2003271,1915410,1530625,1454453,299349,290451,24142,23155,81276,81468,4438,4196,63441,61687,1588116,1510332,331836,322506,38058,36541,104384,103705,9758,9237,1591632,1522666,1155985,1097770,281981,273521,17479,16810,78190,78469,3199,2979,54798,53117,1205759,1145997,310487,301608,28361,27267,98504,97935,7525,7023,411639,392744,374640,356683,17368,16930,6663,6345,3086,2999,1239,1217,8643,8570,382357,364335,21349,20898,9697,9274,5880,5770,2233,2214
N,8,2008,11,3930279,2008395,1921884,1536930,1462253,299679,290609,23834,23152,83220,82789,4433,4130,60299,58951,1591433,1515449,330096,320450,37449,36297,105368,104499,9518,9211,1598701,1531255,1163472,1106699,282475,274046,17287,16782,80180,79838,3190,2949,52097,50941,1210682,1152756,309176,300179,28010,27133,99676,98988,7284,7066,409694,390629,373458,355554,17204,16563,6547,6370,3040,2951,1243,1181,8202,8010,380751,362693,20920,20271,9439,9164,5692,5511,2234,2145
N,8,2008,12,4006991,2049006,1957985,1571480,1491863,304248,296817,24388,23428,85072,84117,4502,4304,59316,57456,1625018,1543562,333678,325673,38251,36777,106923,105223,9717,9271,1637074,1564752,1195638,1133177,287145,280372,17684,17119,82039,81289,3246,3112,51322,49683,1242058,1178015,312921,305776,28685,27740,101352,99745,7504,7119,411932,393233,375842,358686,17103,16445,6704,6309,3033,2828,1256,1192,7994,7773,382960,365547,20757,19897,9566,9037,5571,5478,2213,2152
N,8,2008,13,4077223,2086819,1990404,1597247,1515166,318074,309242,24488,23674,84518,82229,4613,4388,57879,55705,1649147,1564996,346284,336913,38415,37032,105959,102603,9891,9413,1673786,1596314,1220095,1155658,300813,292557,17845,17294,81615,79382,3322,3182,50096,48241,1265103,1198901,325513,316836,28982,28018,100597,97333,7613,7265,413033,394090,377152,359508,17261,16685,6643,6380,2903,2847,1291,1206,7783,7464,384044,366095,20771,20077,9433,9014,5362,5270,2278,2148
N,8,2008,14,4099896,2095844,2004052,1599968,1520743,325787,319937,25161,24555,85010,80345,4699,4526,55219,53946,1649362,1568909,352172,346316,39167,38214,105433,99896,9861,9443,1689438,1614695,1228688,1165808,308784,303053,18630,18157,82089,77546,3466,3353,47781,46778,1271472,1207626,331786,326164,29902,29229,100223,94844,7733,7389,406406,389357,371280,354935,17003,16884,6531,6398,2921,2799,1233,1173,7438,7168,377890,361283,20386,20152,9265,8985,5210,5052,2128,2054
N,8,2008,15,4172401,2131637,2040764,1627205,1547667,335550,330325,25884,25449,85103,80766,4602,4483,53293,52074,1674843,1594017,360293,354982,39842,39457,105125,99718,9596,9437,1727844,1653681,1258395,1194515,318494,313745,19156,18903,82240,78061,3384,3347,46175,45110,1299754,1234746,340114,335312,30445,30276,99967,94818,7510,7413,403793,387083,368810,353152,17056,16580,6728,6546,2863,2705,1218,1136,7118,6964,375089,359271,20179,19670,9397,9181,5158,4900,2086,2024
N,8,2008,16,4244650,2161738,2082912,1656606,1582858,335994,336540,26915,26738,85575,80801,4785,4506,51863,51469,1702803,1628483,359133,360173,41353,41179,105237,99722,9817,9515,1760709,1697036,1289764,1231058,319529,320008,20168,20130,82749,78027,3576,3349,44923,44464,1329790,1270506,339666,340553,31962,31873,100263,94761,7729,7523,401029,385876,366842,351800,16465,16532,6747,6608,2826,2774,1209,1157,6940,7005,373013,357977,19467,19620,9391,9306,4974,4961,2088,1992
N,8,2008,17,4297409,2185669,2111740,1679110,1607466,338197,341727,27154,27116,85255,80511,4785,4603,51168,50317,1724494,1651938,360293,363815,41872,41845,104973,99411,9929,9710,1790080,1732082,1317353,1261530,321749,325315,20447,20476,82522,77813,3595,3454,44414,43494,1356795,1299996,341005,344530,32525,32500,100077,94545,7868,7713,395589,379658,361757,345936,16448,16412,6707,6640,2733,2698,1190,1149,6754,6823,367699,351942,19288,19285,9347,9345,4896,4866,2061,1997
N,8,2008,18,4365415,2214039,2151376,1706332,1639964,338365,347984,27753,27590,86691,81852,4645,4643,50253,49343,1750877,1683484,359356,369095,42787,42712,106054,100439,9788,9650,1820451,1774349,1346179,1296127,322290,331784,20985,20958,83930,79259,3502,3517,43565,42704,1384831,1333829,340447,350094,33398,33393,101226,95737,7768,7687,393588,377027,360153,343837,16075,16200,6768,6632,2761,2593,1143,1126,6688,6639,366046,349655,18909,19001,9389,9319,4828,4702,2020,1963
N,8,2008,19,4184445,2106513,2077932,1631422,1588196,311481,330312,26562,26732,86156,81850,4488,4433,46404,46409,1672599,1628979,330229,349414,41019,41498,104133,99557,9279,9196,1735573,1724352,1291820,1265084,296715,315570,19829,20499,83579,79472,3371,3350,40259,40377,1327548,1300600,312908,332176,31775,32783,99659,95330,7385,7339,370940,353580,339602,323112,14766,14742,6733,6233,2577,2378,1117,1083,6145,6032,345051,328379,17321,17238,9244,8715,4474,4227,1894,1857
N,8,2008,20,4104424,2058319,2046105,1607275,1571014,291398,318027,26148,26331,85328,81989,4417,4346,43753,44398,1646019,1610081,308513,335885,40161,40903,102436,98912,8955,8964,1690029,1696748,1268850,1251570,277482,303680,19668,19982,82843,79612,3320,3342,37866,38562,1302380,1285555,292230,319098,31252,32062,98100,94739,7110,7248,368290,349357,338425,319444,13916,14347,6480,6349,2485,2377,1097,1004,5887,5836,343639,324526,16283,16787,8909,8841,4336,4173,1845,1716
N,8,2008,21,4055236,2029727,2025509,1595338,1561126,278224,309479,25648,25785,84127,81845,4357,4315,42033,42959,1632403,1598706,294333,326566,39713,40259,100307,98155,8855,8744,1663125,1680584,1257623,1245486,264776,295573,19208,19425,81809,79475,3250,3296,36459,37329,1289745,1278125,278605,310300,30958,31474,96292,94108,7060,7049,366602,344925,337715,315640,13448,13906,6440,6360,2318,2370,1107,1019,5574,5630,342658,320581,15728,16266,8755,8785,4015,4047,1795,1695
N,8,2008,22,4080688,2044763,2035925,1612130,1573633,274377,305773,25927,25659,86860,84798,4389,4364,41080,41698,1648226,1609908,289432,321798,40137,40329,102932,100713,8859,8865,1671128,1691792,1267357,1258208,260936,292100,19350,19457,84582,82489,3318,3345,35585,36193,1298558,1289644,273872,305831,31132,31788,99028,96729,7093,7179,373635,344133,344773,315425,13441,13673,6577,6202,2278,2309,1071,1019,5495,5505,349668,320264,15560,15967,9005,8541,3904,3984,1766,1686
N,8,2008,23,4124843,2074399,2050444,1640638,1586883,274302,304134,25912,25853,89183,88120,4500,4387,39864,41067,1675585,1622580,288385,319473,40104,40630,105103,104024,8868,8814,1688948,1702583,1283777,1267409,261196,290762,19168,19626,86872,85804,3376,3381,34559,35601,1314031,1298324,273224,303904,31019,32010,101194,100018,7065,7135,385451,347861,356861,319474,13106,13372,6744,6227,2311,2316,1124,1006,5305,5466,361554,324256,15161,15569,9085,8620,3909,4006,1803,1679
N,8,2008,24,4068446,2052997,2015449,1622854,1558079,268932,296096,25640,25427,92426,91717,4727,4428,38418,39702,1656373,1592431,282255,310440,39552,39895,107747,107268,9107,8982,1654153,1667258,1253283,1237854,255472,282835,18695,19307,90054,89442,3558,3405,33091,34415,1282090,1267555,266693,295113,30257,31408,103794,103407,7274,7258,398844,348191,369571,320225,13460,13261,6945,6120,2372,2275,1169,1023,5327,5287,374283,324876,15562,15327,9295,8487,3953,3861,1833,1724
N,8,2008,25,4143420,2099441,2043979,1662087,1580943,272142,297368,26485,25481,96074,96799,4716,4463,37937,38925,1695034,1614345,285082,311188,40496,39988,111144,112219,9135,8933,1673051,1683616,1265985,1248754,258352,283899,19068,19299,93646,94520,3442,3432,32558,33712,1294136,1277613,269130,295662,30732,31497,107181,108371,7209,7240,426390,360363,396102,332189,13790,13469,7417,6182,2428,2279,1274,1031,5379,5213,400898,336732,15952,15526,9764,8491,3963,3848,1926,1693
N,8,2008,26,4193302,2117646,2075656,1678089,1601725,269823,302101,25831,24577,102070,103446,4911,4730,36922,39077,1709783,1635022,282190,315997,39551,38867,116986,119128,9354,9529,1667999,1702939,1259683,1258000,255415,288078,18110,18462,99629,101008,3567,3675,31595,33716,1286697,1286638,265653,299722,29416,30426,113038,115114,7380,7798,449647,372717,418406,343725,14408,14023,7721,6115,2441,2438,1344,1055,5327,5361,423086,348384,16537,16275,10135,8441,3948,4014,1974,1731
N,8,2008,27,4237796,2119914,2117882,1681621,1631689,264919,307850,25096,24194,107644,111171,5128,4980,35506,37998,1711706,1663441,276394,321653,38059,37552,122623,126863,9944,10005,1662825,1739599,1256260,1283404,250057,292814,17336,18083,105098,108648,3703,3883,30371,32767,1281777,1310621,259351,304365,28119,29254,118703,122788,7923,8240,457089,378283,425361,348285,14862,15036,7760,6111,2546,2523,1425,1097,5135,5231,429929,352820,17043,17288,9940,8298,3920,4075,2021,1765
N,8,2008,28,4247848,2123932,2123916,1683142,1630486,265638,311698,24822,23621,111184,116293,5364,4991,33782,36827,1711473,1661183,276839,325077,37013,36537,125448,131635,10001,9892,1650376,1738180,1242092,1275027,250374,296447,16889,17500,108523,113708,3891,3909,28607,31589,1265873,1301171,259258,307488,26936,28245,121419,127548,7950,8158,473556,385736,441050,355459,15264,15251,7933,6121,2661,2585,1473,1082,5175,5238,445600,360012,17581,17589,10077,8292,4029,4087,2051,1734
N,8,2008,29,4044882,2021196,2023686,1605224,1550432,244486,294935,23219,21977,111830,117698,5209,4857,31228,33787,1631325,1578509,254970,307176,34556,33889,124995,131809,9425,9341,1565764,1651314,1180720,1207566,229899,279749,15748,16121,109250,115186,3790,3817,26357,28875,1202510,1231406,238189,289753,25041,25973,121157,127952,7455,7754,455432,372372,424504,342866,14587,15186,7471,5856,2580,2512,1419,1040,4871,4912,428815,347103,16781,17423,9515,7916,3838,3857,1970,1587
N,8,2008,30,3925825,1962071,1963754,1562743,1507969,230888,279495,22223,21162,111924,118865,5076,4690,29217,31573,1587267,1534118,240472,290836,32832,32194,124404,132346,8910,8833,1509126,1592540,1139991,1165314,216529,264620,14930,15592,109430,116327,3692,3674,24554,27013,1160389,1187489,223957,273819,23570,24792,120827,128576,6993,7276,452945,371214,422752,342655,14359,14875,7293,5570,2494,2538,1384,1016,4663,4560,426878,346629,16515,17017,9262,7402,3577,3770,1917,1557
N,8,2008,31,3880148,1936390,1943758,1541876,1489340,224288,275905,22154,21102,115348,122679,5053,4629,27671,30103,1564924,1514355,233257,286689,32263,31562,127350,135631,8765,8573,1489769,1569919,1124579,1143940,210653,261020,14890,15503,112863,120255,3674,3565,23110,25636,1143626,1165079,217526,269649,23091,24170,123699,131962,6902,6990,446621,373839,417297,345400,13635,14885,7264,5599,2485,2424,1379,1064,4561,4467,421298,349276,15731,17040,9172,7392,3651,3669,1863,1583
N,8,2008,32,3769647,1877644,1892003,1492955,1446393,212406,264964,21214,20139,120047,127370,4850,4521,26172,28616,1514730,1470016,220724,274960,30849,30287,131433,139741,8390,8275,1439209,1520609,1082670,1102731,199321,250476,14156,14780,117700,124942,3486,3459,21876,24221,1100656,1122574,205643,258440,22032,23153,128017,136107,6548,6672,438435,371394,410285,343662,13085,14488,7058,5359,2347,2428,1364,1062,4296,4395,414074,347442,15081,16520,8817,7134,3416,3634,1842,1603
N,8,2008,33,3863786,1921764,1942022,1528767,1484404,215683,270568,20539,19906,126539,134622,4745,4384,25491,28138,1549864,1507683,223757,280300,29922,29740,137656,146864,8126,8081,1487175,1571006,1121719,1140820,202778,255900,13767,14760,124231,132272,3432,3395,21248,23859,1139091,1160381,208854,263568,21413,22919,134319,143409,6391,6624,434589,371016,407048,343584,12905,14668,6772,5146,2308,2350,1313,989,4243,4279,410773,347302,14903,16732,8509,6821,3337,3455,1735,1457
N,8,2008,34,3767461,1866445,1901016,1483492,1452371,206730,263516,19920,19409,127380,134728,4437,4225,24486,26767,1503713,1474552,214286,272555,28945,29041,138382,146444,7733,7637,1452661,1541001,1095672,1118756,194522,249458,13499,14326,125083,132413,3259,3297,20626,22751,1112459,1137402,200232,256596,20964,22319,135121,143144,6154,6247,413784,360015,387820,333615,12208,14058,6421,5083,2297,2315,1178,928,3860,4016,391254,337150,14054,15959,7981,6722,3261,3300,1579,1390
N,8,2008,35,3827910,1889877,1938033,1497126,1478148,214268,272060,20051,19621,129698,137419,4405,4199,24329,26586,1517144,1500033,221670,281118,29264,29369,140462,149031,7673,7520,1484053,1580176,1117011,1146825,202062,257819,13702,14604,127460,135119,3273,3266,20545,22543,1133642,1165180,207693,264886,21356,22794,137350,145665,6157,6130,405824,357857,380115,331323,12206,14241,6349,5017,2238,2300,1132,933,3784,4043,383502,334853,13977,16232,7908,6575,3112,3366,1516,1390
N,8,2008,36,4006038,1977611,2028427,1574019,1556146,223724,282388,20054,20101,131024,138781,4263,4221,24527,26790,1594190,1578174,231012,291203,29512,30057,141873,150539,7564,7740,1576452,1672231,1198180,1226584,211618,268098,13957,15036,128791,136462,3149,3257,20757,22794,1214992,1245119,217122,275015,21884,23411,138769,147165,6081,6339,401159,356196,375839,329562,12106,14290,6097,5065,2233,2319,1114,964,3770,3996,379198,333055,13890,16188,7628,6646,3104,3374,1483,1401
N,8,2008,37,4229128,2082983,2146145,1671898,1662862,232746,295736,20744,20758,127961,135394,4376,4231,25258,27164,1692680,1685223,240250,304706,30828,31125,138921,146982,7763,7826,1690475,1792289,1304894,1335930,220569,281229,14666,15719,125706,133014,3291,3243,21349,23154,1322257,1354783,226246,288267,23094,24570,135734,143522,6253,6402,392508,353856,367004,326932,12177,14507,6078,5039,2255,2380,1085,988,3909,4010,370423,330440,14004,16439,7734,6555,3187,3460,1510,1424
N,8,2008,38,4337959,2148714,2189245,1730038,1702589,239475,298189,20644,20638,129174,136363,4435,4329,24948,27137,1750561,1724800,246875,307020,30554,31457,139843,147747,7910,7957,1751818,1838807,1359238,1378947,226795,283722,14477,15628,126869,134003,3354,3401,21085,23106,1376346,1397656,232335,290686,22861,24783,136616,144324,6428,6545,396896,350438,370800,323642,12680,14467,6167,5010,2305,2360,1081,928,3863,4031,374215,327144,14540,16334,7693,6674,3227,3423,1482,1412
N,8,2008,39,4116113,2033546,2082567,1645650,1628943,220546,276285,19843,19586,120551,128307,4041,4063,22915,25383,1664501,1649696,227047,284242,29388,30114,130242,138870,7306,7446,1666791,1753632,1302891,1324960,208969,263050,14059,14721,118508,126065,3088,3230,19276,21606,1318501,1342469,213740,269236,22133,23675,127315,135633,5985,6212,366755,328935,342759,303983,11577,13235,5784,4865,2043,2242,953,833,3639,3777,346000,307227,13307,15006,7255,6439,2927,3237,1321,1234
N,8,2008,40,4022460,1983667,2038793,1603030,1591970,220665,276459,19229,19335,115067,123578,3834,3895,21842,23556,1620948,1611115,226828,283811,28491,29294,124164,133177,6945,7161,1626837,1717992,1269708,1295462,209203,263406,13631,14670,113068,121381,2890,3071,18337,20002,1284488,1311519,213684,269037,21473,23221,121387,130089,5662,5948,356830,320801,333322,296508,11462,13053,5598,4665,1999,2197,944,824,3505,3554,336460,299596,13144,14774,7018,6073,2777,3088,1283,1213
N,8,2008,41,4034128,1985682,2048446,1613444,1610156,221232,276974,19124,19671,107043,114673,3844,3904,20995,23068,1630639,1628847,227043,284098,28380,29724,115678,123928,6762,7092,1644514,1738052,1294769,1323363,210234,264368,13691,15008,105190,112644,2934,3077,17696,19592,1309058,1339084,214471,269791,21584,23661,113060,121022,5504,5883,341168,310394,318675,286793,10998,12606,5433,4663,1853,2029,910,827,3299,3476,321581,289763,12572,14307,6796,6063,2618,2906,1258,1209
N,8,2008,42,4130336,2036356,2093980,1649777,1643808,234224,288275,19733,20218,107232,114071,3938,3879,21452,23729,1667240,1663000,240160,295538,29255,30788,115972,123407,7001,7200,1696142,1786040,1332260,1359622,223082,275608,14276,15494,105375,112100,3019,3065,18130,20151,1346795,1375726,227414,281128,22478,24629,113347,120513,5714,5992,340214,307940,317517,284186,11142,12667,5457,4724,1857,1971,919,814,3322,3578,320445,287274,12746,14410,6777,6159,2625,2894,1287,1208
N,8,2008,43,4415147,2179606,2235541,1769546,1761242,252398,307442,21027,21391,110392,116878,4007,4069,22236,24519,1787654,1781037,258291,314557,31278,32704,119266,126456,7171,7592,1837040,1923572,1449899,1473004,241259,294848,15399,16637,108499,114830,3080,3215,18904,21038,1465136,1489801,245605,300351,24174,26547,116629,123489,5907,6299,342566,311969,319647,288238,11139,12594,5628,4754,1893,2048,927,854,3332,3481,322518,291236,12686,14206,7104,6157,2637,2967,1264,1293
N,8,2008,44,4512633,2219274,2293359,1812513,1819020,250810,307169,21167,22219,108223,116182,4067,3992,22494,24777,1830954,1838908,256598,314301,31965,34035,116919,125661,7255,7450,1892179,1989626,1507563,1538398,239912,295078,15740,17413,106418,114153,3250,3222,19296,21362,1523183,1555320,244281,300658,25140,27761,114361,122769,6080,6286,327095,303733,304950,280622,10898,12091,5427,4806,1805,2029,817,770,3198,3415,307771,283588,12317,13643,6825,6274,2558,2892,1175,1164
N,8,2008,45,4497744,2206267,2291477,1805716,1825138,246855,301651,20896,21442,106844,114645,3805,3977,22151,24624,1823753,1844953,252398,308538,31835,33645,115386,123852,6893,7334,1897763,2000164,1518264,1556301,236437,289866,15817,16797,105102,112663,3031,3245,19112,21292,1533653,1573266,240592,295255,25422,27596,112933,121003,5802,6187,308504,291313,287452,268837,10418,11785,5079,4645,1742,1982,774,732,3039,3332,290100,271687,11806,13283,6413,6049,2453,2849,1091,1147
N,8,2008,46,4512950,2216791,2296159,1824064,1840367,246350,298952,20691,21348,99667,107414,3838,3778,22181,24300,1842129,1859985,251809,305545,31837,33685,108136,116425,6926,7123,1918803,2014928,1546148,1580434,236667,287805,15696,16945,97972,105534,3055,3058,19265,21152,1561664,1597336,240833,293010,25521,27887,105741,113724,5827,6017,297988,281231,277916,259933,9683,11147,4995,4403,1695,1880,783,720,2916,3148,280465,262649,10976,12535,6316,5798,2395,2701,1099,1106
N,8,2008,47,4551927,2230898,2321029,1844764,1867768,245651,298584,20164,21642,94726,105238,3675,3773,21918,24024,1862627,1887088,250918,305181,31428,34170,103023,113871,6685,6964,1948227,2050773,1581311,1618018,236417,287884,15395,17415,93014,103434,2933,3080,19157,20942,1596784,1634668,240490,293122,25382,28548,100643,111281,5632,5922,282671,270256,263453,249750,9234,10700,4769,4227,1712,1804,742,693,2761,3082,265843,252420,10428,12059,6046,5622,2380,2590,1053,1042
N,8,2008,48,4643226,2285320,2357906,1879063,1887756,259786,309643,20741,22112,99619,109959,3838,3861,22273,24575,1897153,1907408,265273,316350,32196,35033,108013,118800,6821,7106,1999152,2086129,1612259,1636814,250190,298707,16026,17803,97991,108106,3143,3180,19543,21519,1627944,1653857,254433,304070,26289,29380,105753,116125,5824,6066,286168,271777,266804,250942,9596,10936,4715,4309,1628,1853,695,681,2730,3056,269209,253551,10840,12280,5907,5653,2260,2675,997,1040
N,8,2008,49,4472545,2192283,2280262,1813214,1836709,243207,292811,19313,20904,91995,102888,3530,3434,21024,23516,1830270,1855666,248269,299102,30267,33741,99908,110936,6308,6486,1936163,2031688,1574913,1607241,234534,282865,14979,16877,90426,101189,2884,2853,18427,20663,1589701,1623751,238461,287883,24728,28404,97711,108511,5397,5542,256120,248574,238301,229468,8673,9946,4334,4027,1569,1699,646,581,2597,2853,240569,231915,9808,11219,5539,5337,2197,2425,911,944
N,8,2008,50,4439901,2175179,2264722,1802183,1831498,237494,284500,19215,20282,92057,102367,3345,3211,20885,22864,1819088,1849847,242448,290621,30337,32951,99769,110165,6157,6135,1934354,2028621,1578348,1613556,229240,274965,14986,16537,90627,100748,2742,2680,18411,20135,1593114,1629556,233111,279873,24983,27940,97734,107854,5278,5292,240825,236101,223835,217942,8254,9535,4229,3745,1430,1619,603,531,2474,2729,225974,220291,9337,10748,5354,5011,2035,2311,879,843
