Report Date/Time:   02-14-08 04:22:11


                             DAPS
                         DAY  -   45

                     PDTS THAT ARE DEACTIVE


 OWNER   ADDRESS  FIRST ACTIVE  LAST ACTIVE    LAST TIME
BCHYPW  434954AE       2005133      2005133        61727
BCHYPW  434A53A0       1999130      2007250       141940
BCHYPW  434A96BE       2003196      2007210       151618
BCHYPW  434AC6C2       2007106      2007107       202635
BCHYPW  434BA1DE       2007355      2008365       185254
BCHYPW  43500510       2008296      2008296            0
                     PDTS THAT ARE DEACTIVE


 OWNER   ADDRESS  FIRST ACTIVE  LAST ACTIVE    LAST TIME
--------------------------------------------------------------------------------
BCHYPW  4350308A       2008346      2009002        43333
BCHYPW  4350556C       2008296      2008296            0
BCHYPW  435060F6       2008296      2008296            0
BCHYPW  43507380       2008296      2008296            0
BCHYPW  43508304       2008296      2008296            0
BCHYPW  43509072       2008296      2008296            0
BCRFC1  434863CE       2008253      2008258       154338
BCRFC1  490001D4       2008063      2008063        95121
BCRFC1  49006432       2006018      2008253       190622
BCRFC1  49007744       2006018      2008208       130722
BCRFC1  490087C0       2007348      2008315       190836
BCRFC1  490094B6       2007205      2008208       160937
BCRFC1  490125C2       2006018      2008208       194722
BCRFC1  490136B4       2003177      2003210        74836
BCRFC1  490166C8       2002361      2003182       195151
BCRFC1  4901964C       2001348      2001348       110117
BCRFC1  4901E0DC       2008311      2008328       232313
BCRFC1  4902472A       2000105      2000105            0
BCRFC1  4902545C       2008215      2008215       160352
BCRFC1  490272B0       2008043      2008171       130552
BELIZE  502005DE       2001221      2004157       150104
BELIZE  502016A8       2006019      2006203       180251
BELIZE  50202332       2006018      2008323       153130
BELIZE  50203044       2008289      2008289        43126
BELIZE  502046D4       2007340      2007341       203453
BELIZE  502055A2       2008093      2008093       120015
BIAPRR  52105096       2008127      2008260       173545
BIAPRR  5211F294       2007337      2009007       142114
BIAPRR  52121668       2008115      2008317       153335
BIAPRR  521223F2       2008233      2008233       203614
BIAPRR  52123084       2008233      2008233       203624
BIAPRR  52124614       2006345      2006359        11514
BIAPRR  521260F8       1998233      1998233            0
BIAPRR  5212830A       1998233      1998239       123837
BIAPRR  5212907C       2000255      2000255            0
BIAPRR  521381F0       2008243      2008318       165653
BIAPRR  521416A6       2008325      2008325         1654
BIAPRR  521446DA       2008149      2008151       163025
BIAPRR  52147340       2008212      2008294       152915
BIASWR  3950007C       2008085      2008261       122907
BIASWR  3950130A       2005083      2005174       172906
BIASWR  395035E6       2008259      2008309       160406
BLM001  0101A3A0       2008274      2008309       142823
BLM001  010345A6       2002218      2003210        82033
BLM001  0103F628       2005263      2005264       145357
BLM001  010EF54E       1999120      2004345       122135
BLM001  010F0730       2008311      2008311       210223
BLM001  32332288       2009028      2009029        64344
BLM001  3236A35C       2003275      2003280       120338
BLM001  3237015E       2002310      2004344       164406
BLM001  323930AC       2003215      2002003       143538
BLM001  323C7466       1998051      1998051            0
BLM001  32406320       2008236      2008361       120424
BLM001  324342C2       2006029      2006079       204945
BLM001  324403FC       2003063      2003063       101747
                     PDTS THAT ARE DEACTIVE


 OWNER   ADDRESS  FIRST ACTIVE  LAST ACTIVE    LAST TIME
--------------------------------------------------------------------------------
BLM001  32443666       2009009      2009014       201124
