  DATE;LATVIAI;LATVIAR;
  20NOV2007; 2.040335; 2.040335;
  19NOV2007; 2.037956; 2.037956;
  18NOV2007; 2.035596; 2.035596;
  17NOV2007; 2.035596; 2.035596;
  16NOV2007; 2.035596; 2.035596;
  15NOV2007; 2.033152; 2.033152;
  14NOV2007; 2.030282; 2.030282;
  13NOV2007; 2.027662; 2.027662;
  12NOV2007; 2.070822; 2.070822;
  11NOV2007; 2.022418; 2.022418;
  10NOV2007; 2.022418; 2.022418;
  09NOV2007; 2.022418; 2.022418;
  08NOV2007; 2.019521; 2.019521;
  07NOV2007; 2.016871; 2.016871;
  06NOV2007; 2.014466; 2.014466;
  05NOV2007; 2.012291; 2.012291;
  04NOV2007; 2.009994; 2.009994;
  03NOV2007; 2.009994; 2.009994;
  02NOV2007; 2.009994; 2.009994;
  01NOV2007; 2.007617; 2.007617;
  31OCT2007; 2.004980; 2.004980;
  30OCT2007; 2.002370; 2.002370;
  29OCT2007; 1.999862; 1.999862;
  28OCT2007; 1.997503; 1.997503;
  27OCT2007; 1.997503; 1.997503;
  26OCT2007; 1.997503; 1.997503;
  25OCT2007; 2.035416; 2.035416;
  24OCT2007; 2.026342; 2.026342;
  23OCT2007; 2.029633; 2.029633;
  22OCT2007; 2.016129; 2.016129;
  21OCT2007; 2.030457; 2.030457;
  20OCT2007; 2.030457; 2.030457;
  19OCT2007; 2.030457; 2.030457;
  18OCT2007; 1.985836; 1.985836;
  17OCT2007; 2.019386; 2.019386;
  16OCT2007; 2.013693; 2.013693;
  15OCT2007; 1.979611; 1.979611;
  14OCT2007; 2.013288; 2.013288;
  13OCT2007; 2.013288; 2.013288;
  12OCT2007; 2.013288; 2.013288;
  11OCT2007; 1.975204; 1.975204;
  10OCT2007; 2.011263; 2.011263;
  09OCT2007; 1.998401; 1.998401;
  08OCT2007; 1.994416; 1.994416;
  07OCT2007; 2.007226; 2.007226;
  06OCT2007; 2.007226; 2.007226;
  05OCT2007; 2.007226; 2.007226;
  04OCT2007; 2.008032; 2.008032;
  03OCT2007; 1.967571; 1.967571;
  02OCT2007; 1.966696; 1.966696;
  01OCT2007; 1.965595; 1.965595;
  30SEP2007; 1.964509; 1.964509;
  29SEP2007; 1.964509; 1.964509;
  28SEP2007; 1.964509; 1.964509;
  27SEP2007; 1.963395; 1.963395;
  26SEP2007; 2.000800; 2.000800;
  25SEP2007; 2.001201; 2.001201;
  24SEP2007; 2.000400; 2.000400;
  23SEP2007; 1.996805; 1.996805;
  22SEP2007; 1.996805; 1.996805;
  21SEP2007; 1.996805; 1.996805;
  20SEP2007; 1.991635; 1.991635;
  19SEP2007; 1.979022; 1.979022;
  18SEP2007; 1.975504; 1.975504;
  17SEP2007; 1.976285; 1.976285;
  16SEP2007; 1.975504; 1.975504;
  15SEP2007; 1.975504; 1.975504;
  14SEP2007; 1.975504; 1.975504;
  13SEP2007; 1.977066; 1.977066;
  12SEP2007; 1.982554; 1.982554;
  11SEP2007; 1.975894; 1.975894;
  10SEP2007; 1.973165; 1.973165;
  09SEP2007; 1.970832; 1.970832;
  08SEP2007; 1.970832; 1.970832;
  07SEP2007; 1.970832; 1.970832;
  06SEP2007; 1.960400; 1.960400;
  05SEP2007; 1.954270; 1.954270;
  04SEP2007; 1.948558; 1.948558;
  03SEP2007; 1.949698; 1.949698;
  02SEP2007; 1.953125; 1.953125;
  01SEP2007; 1.953125; 1.953125;
  31AUG2007; 1.953125; 1.953125;
  30AUG2007; 1.955417; 1.955417;
  29AUG2007; 1.954652; 1.954652;
  28AUG2007; 1.945147; 1.945147;
  27AUG2007; 1.950078; 1.950078;
