SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004
050,34,029,New Jersey,Ocean County,0,0,06,3681,3681,3397,3655,3910,4109,4278
050,34,031,New Jersey,Passaic County,0,0,01,386558,387461,387459,389184,390038,390644,390791
050,34,031,New Jersey,Passaic County,0,0,02,74516,74847,74611,75501,76046,76487,76833
050,34,031,New Jersey,Passaic County,0,0,03,2901,2904,3183,3254,3275,3334,3360
050,34,031,New Jersey,Passaic County,0,0,04,19263,19321,19093,19687,20321,20888,21422
050,34,031,New Jersey,Passaic County,0,0,05,641,641,1039,1067,1107,1133,1169
050,34,031,New Jersey,Passaic County,0,0,06,5170,5203,5686,6005,6281,6551,6852
050,34,033,New Jersey,Salem County,0,0,01,53197,53197,53267,53273,53648,53727,54084
050,34,033,New Jersey,Salem County,0,0,02,9729,9729,9774,9783,9847,9823,9923
050,34,033,New Jersey,Salem County,0,0,03,237,237,213,229,223,226,235
050,34,033,New Jersey,Salem County,0,0,04,409,409,407,421,441,446,449
050,34,033,New Jersey,Salem County,0,0,05,27,27,29,29,28,28,31
050,34,033,New Jersey,Salem County,0,0,06,686,686,542,550,574,595,624
050,34,035,New Jersey,Somerset County,0,0,01,245303,245303,246345,247088,248274,249118,250450
050,34,035,New Jersey,Somerset County,0,0,02,23405,23405,23588,24552,25458,26427,27402
050,34,035,New Jersey,Somerset County,0,0,03,457,457,455,485,518,529,522
050,34,035,New Jersey,Somerset County,0,0,04,25418,25418,25876,28264,30625,32995,34964
050,34,035,New Jersey,Somerset County,0,0,05,152,152,73,88,95,109,117
050,34,035,New Jersey,Somerset County,0,0,06,2755,2755,2591,2783,2948,3152,3295
050,34,037,New Jersey,Sussex County,0,0,01,139535,139539,140187,141672,143517,145230,145982
050,34,037,New Jersey,Sussex County,0,0,02,1572,1572,1592,1750,1903,2069,2279
050,34,037,New Jersey,Sussex County,0,0,03,173,173,152,155,172,170,176
050,34,037,New Jersey,Sussex County,0,0,04,1788,1788,1814,2046,2202,2359,2537
050,34,037,New Jersey,Sussex County,0,0,05,33,33,2,6,5,11,13
050,34,037,New Jersey,Sussex County,0,0,06,1065,1065,942,996,1075,1147,1231
050,34,039,New Jersey,Union County,0,0,01,380563,380563,380817,380971,380982,380854,380931
050,34,039,New Jersey,Union County,0,0,02,114180,114180,114525,116547,117952,118633,119506
050,34,039,New Jersey,Union County,0,0,03,1556,1556,1632,1689,1750,1792,1853
050,34,039,New Jersey,Union County,0,0,04,20611,20611,20714,21879,22677,22909,23067
