table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,
"Annual Estimates of the Population by Sex, Race and Hispanic or Latino Origin for Colorado: April 1, 2000 to July 1, 2003",,,,,,,
"Sex, Race and Hispanic or Latino Origin",Population estimates,,,,"April 1, 2000",,
,"July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates base,Census,
...Black,"10,032","9,454","8,892","8,238","8,160","8,159"
...AIAN,"14,107","13,983","13,890","13,646","13,527","13,523"
...Asian,"3,850","3,616","3,389","3,126","3,090","3,090"
...NHPI,"1,318","1,258","1,185","1,096","1,092","1,092"
(1) 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander",,,,,,
Suggested Citation:,,,,,,
"Table 3: Annual Estimates of the Population by Sex, Race and Hispanic or Latino Origin for Colorado: April 1, 2000 to July 1, 2003 (SC-EST2003-03-08)",,,,,,
"Source: Population Division, U.S. Census Bureau",,,,,,
"Release Date:September 30, 2004",,,,,,
