       2      10       6      99       0      15       0     -999.000
      Alt            U            V       U_quality    V_quality
      245.000    -0.142130      4.17291   0.00981816   0.00648959
      255.000    -0.148186      4.16888   0.00857360   0.00585722
      265.000    -0.130645      4.19323    0.0104158   0.00684820
      275.000    -0.135201      4.15738   0.00803471   0.00553421
      285.000    -0.120765      4.17597    0.0100730   0.00666825
      295.000    -0.121233      4.14857   0.00815799   0.00559753
      305.000    -0.111362      4.15753   0.00831531   0.00564052
      315.000   -0.0997326      4.16221   0.00836982   0.00569660
      325.000   -0.0964624      4.14904   0.00802583   0.00558612
      335.000   -0.0914934      4.16964    0.0101084   0.00676044
      345.000   -0.0913484      4.14354   0.00782921   0.00548957
      355.000   -0.0828895      4.17088   0.00992592   0.00668785
      365.000   -0.0711699      4.14612   0.00789666   0.00554714
      375.000   -0.0789941      4.15685   0.00841617   0.00574725
      385.000   -0.0949768      4.14852   0.00784567   0.00540721
      395.000    -0.112130      4.14031   0.00768144   0.00534366
      405.000    -0.119163      4.14844   0.00969075   0.00652070
      415.000    -0.119951      4.11990   0.00758030   0.00534769
      425.000    -0.114827      4.15708    0.0100428   0.00676497
      435.000    -0.122423      4.11472   0.00734704   0.00523380
      445.000    -0.146902      4.10963   0.00818378   0.00561473
      455.000    -0.154902      4.08668   0.00739262   0.00525276
      465.000    -0.179094      4.07949   0.00752420   0.00531432
      475.000    -0.196966      4.08379   0.00812622   0.00563363
      485.000    -0.203882      4.05946   0.00716651   0.00517256
      495.000    -0.209702      4.09073   0.00962939   0.00662144
      505.000    -0.230749      4.05314   0.00720004   0.00524713
      515.000    -0.236611      4.06923   0.00958787   0.00667199
      525.000    -0.255465      4.03802   0.00743192   0.00540465
      535.000    -0.292846      4.02379   0.00803066   0.00569707
      545.000    -0.338057      4.01889   0.00837277   0.00593658
      555.000    -0.376327      4.00672   0.00765681   0.00555410
      565.000    -0.383075      4.01268    0.0100764   0.00702054
      575.000    -0.442190      3.98181   0.00773409   0.00574396
      585.000    -0.472077      3.98596    0.0106771   0.00746014
      595.000    -0.512123      3.97378   0.00806974   0.00598487
      605.000    -0.535008      3.94999   0.00896731   0.00639350
      615.000    -0.566694      3.93371   0.00861824   0.00623412
      625.000    -0.623464      3.90706   0.00845766   0.00621809
      635.000    -0.657183      3.89598   0.00961982   0.00675858
