Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	128
Date	2004MAY07
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	13.50000	[UTC]
Stop_time	13.78278	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.55457	[p_s^-1]
ForeOptic_temperature	25.30	[ns]
Front_temperature	25.30	[ns]
Back_temperature	31.32	[ns]
Inside_temperature	30.91	[ns]
Shelter_temperature	29.27	[ns]
PSUnit_temperature	33.44	[ns]
AirCond_temperature	14.12	[ns]
Outside_temperature	32.90	[ns]
Comments	none
Formatted_file	2004128f03.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
315.026	28.04485	0.0007	0.0000
315.126	30.92377	0.0007	0.0000
315.226	29.22548	0.0007	0.0000
315.326	29.96914	0.0007	0.0000
315.426	24.06783	0.0008	0.0000
315.526	25.19995	0.0008	0.0000
315.626	24.11373	0.0008	0.0000
315.726	16.56823	0.0009	0.0000
315.826	17.18192	0.0009	0.0000
315.926	21.20096	0.0008	0.0000
316.026	21.24136	0.0008	0.0000
316.126	22.97233	0.0008	0.0000
316.226	27.85897	0.0007	0.0000
316.326	36.19901	0.0006	0.0000
316.426	31.08498	0.0007	0.0000
316.526	34.85709	0.0007	0.0000
316.626	32.34727	0.0007	0.0000
316.726	45.99118	0.0006	0.0000
316.826	33.42529	0.0007	0.0000
316.926	35.46769	0.0006	0.0000
317.026	43.48700	0.0006	0.0000
317.126	46.70482	0.0006	0.0000
317.226	49.50112	0.0005	0.0000
317.326	45.09985	0.0006	0.0000
317.426	42.96253	0.0006	0.0000
317.526	37.56298	0.0006	0.0000
317.626	46.06923	0.0006	0.0000
317.726	43.26756	0.0006	0.0000
317.826	35.40522	0.0006	0.0000
317.926	26.02841	0.0008	0.0000
318.026	30.76055	0.0007	0.0000
318.126	28.78013	0.0007	0.0000
318.226	34.40602	0.0007	0.0000
318.326	37.92239	0.0006	0.0000
318.426	41.81467	0.0006	0.0000
318.526	51.55367	0.0005	0.0000
318.626	46.47689	0.0006	0.0000
318.726	51.11818	0.0005	0.0000
318.826	51.76310	0.0005	0.0000
318.926	73.66921	0.0004	0.0000
319.026	59.18440	0.0005	0.0000
319.126	47.25091	0.0006	0.0000
319.226	31.63154	0.0007	0.0000
319.326	35.06516	0.0007	0.0000
319.426	42.82174	0.0006	0.0000
319.526	44.81870	0.0006	0.0000
319.626	43.26341	0.0006	0.0000
319.726	50.15322	0.0005	0.0000
319.826	64.90456	0.0005	0.0000
319.926	47.82426	0.0006	0.0000
320.026	39.41301	0.0006	0.0000
320.126	58.20969	0.0005	0.0000
320.226	52.33291	0.0005	0.0000
320.326	61.80085	0.0005	0.0000
320.426	75.06446	0.0004	0.0000
320.526	62.26242	0.0005	0.0000
320.626	74.85703	0.0004	0.0000
320.726	74.54879	0.0004	0.0000
320.826	64.67039	0.0005	0.0000
320.926	64.96047	0.0005	0.0000
321.026	52.79447	0.0005	0.0000
321.126	48.41518	0.0006	0.0000
321.226	53.88735	0.0005	0.0000
321.326	50.62929	0.0005	0.0000
321.426	47.97697	0.0006	0.0000
321.526	64.93525	0.0005	0.0000
321.626	66.88977	0.0005	0.0000
321.726	56.49274	0.0005	0.0000
321.826	77.64289	0.0004	0.0000
321.926	64.40242	0.0005	0.0000
322.026	64.89282	0.0005	0.0000
322.126	55.02253	0.0005	0.0000
322.226	47.89524	0.0006	0.0000
322.326	66.80166	0.0005	0.0000
322.426	69.20856	0.0005	0.0000
322.526	49.68734	0.0005	0.0000
322.626	45.63079	0.0006	0.0000
322.726	48.32259	0.0006	0.0000
322.826	43.47493	0.0006	0.0000
322.926	41.72489	0.0006	0.0000
323.026	54.37057	0.0005	0.0000
323.126	66.07339	0.0005	0.0000
323.226	76.17363	0.0004	0.0000
323.326	69.25005	0.0005	0.0000
323.426	51.70338	0.0005	0.0000
323.526	76.65623	0.0004	0.0000
323.626	57.33440	0.0005	0.0000
323.726	77.12038	0.0004	0.0000
323.826	89.29132	0.0004	0.0000
323.926	60.44556	0.0005	0.0000
324.026	95.30504	0.0004	0.0000
324.126	87.21034	0.0004	0.0000
324.226	78.93579	0.0004	0.0000
324.326	79.56414	0.0004	0.0000
324.426	77.55645	0.0004	0.0000
324.526	90.07627	0.0004	0.0000
324.626	93.46299	0.0004	0.0000
324.726	57.26823	0.0005	0.0000
324.826	59.31804	0.0005	0.0000
324.926	70.14071	0.0005	0.0000
325.026	68.95287	0.0005	0.0000
325.126	71.47610	0.0005	0.0000
325.226	81.25064	0.0004	0.0000
325.326	85.26895	0.0004	0.0000
325.426	69.98414	0.0005	0.0000
325.526	107.68935	0.0004	0.0000
325.626	102.41098	0.0004	0.0000
325.726	94.70440	0.0004	0.0000
325.826	109.04647	0.0004	0.0000
325.926	120.94914	0.0004	0.0000
326.026	119.29358	0.0004	0.0000
326.126	103.76440	0.0004	0.0000
326.226	121.75539	0.0004	0.0000
326.326	118.56062	0.0004	0.0000
326.426	99.24195	0.0004	0.0000
326.526	97.21296	0.0004	0.0000
326.626	128.77737	0.0003	0.0000
326.726	126.21577	0.0003	0.0000
326.826	127.59062	0.0003	0.0000
326.926	119.57552	0.0004	0.0000
327.026	115.29910	0.0004	0.0000
327.126	88.94998	0.0004	0.0000
327.226	113.90159	0.0004	0.0000
327.326	110.18323	0.0004	0.0000
327.426	114.42910	0.0004	0.0000
327.526	126.44955	0.0003	0.0000
327.626	103.34962	0.0004	0.0000
327.726	97.70326	0.0004	0.0000
327.826	100.57177	0.0004	0.0000
327.926	86.79235	0.0004	0.0000
328.026	95.53082	0.0004	0.0000
328.126	103.63862	0.0004	0.0000
328.226	93.80722	0.0004	0.0000
328.326	104.24926	0.0004	0.0000
328.426	109.86714	0.0004	0.0000
328.526	110.30278	0.0004	0.0000
328.626	77.25117	0.0004	0.0000
328.726	92.92096	0.0004	0.0000
328.826	105.90755	0.0004	0.0000
328.926	127.44544	0.0003	0.0000
329.026	145.07275	0.0003	0.0000
329.126	133.24002	0.0003	0.0000
