CO2: JUL  VEGETATION   (KG C/M2/S) DIMENSION =  72 X  46    SCALE = 0.10E+14    
MISSING =  9999999  UNDEF =  -999999    MIN =  -613013      MAX =   216323      
NUMREC =  335 (NUMBER OF RECORDS IN DATA FILE)                                  
  -33772  -98062   -3935       0 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
   -1734   34437   26152    1114  -46322   -8081   46694   79113  -33306       0
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999   86519
   99729   87816   72390   56885       0 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999    5807
   11268       0     918       0    4553   -4407       0 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999  -20627   10992  -42871  -83956  -81148  -32256   20957   51170
    2760       0 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
   17200  150237  196192  105938   91424   53962       0 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999  -13887
   -3497   -3322       0       0 -999999   10934   39855   19045   -5239       0
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999   -9704    8228  -41992  -29239   -8201  -47261
  -72468  -16355   -4461 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999  155591  164253  216323  172154  128379   50073  -34594 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
   -1377  -41086  -38627  -37622   22219   12148    2982   -3346    7184       0
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999  -11643  -29880  -22186  -13333
    6431  -47108       0 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999   64110   52033   26473   -7647  -25239   52131
   10308   19065 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999   -2597  -52879  -32919  -19260    5065   42224   36804       0 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999  -14245 -115597
  -12634  -16614   -5682  -15186       0 -999999 -999999 -999999 -999999 -999999
 -999999    -242  -52785 -146502 -128555 -126742 -146235 -118212 -138527 -185566
  -60498   37166   58497  121774       0 -999999 -999999 -999999 -999999 -999999
    1537 -999999 -999999   -4403  -61763       0 -999999   -3656  -14227       0
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999  -28656
  -45854  -67392 -131151  -27107  -13478 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999  -44404 -124591 -105212 -124460 -121463  -90533 -138776
 -123600  -74328  -72516   -6886   53602   94033   65818 -999999 -999999 -999999
 -999999   33091    1076 -999999 -999999 -999999  -57468  -36797       0 -999999
   -3543    -713 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999   -1500
  -44143   27762 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999  -57989  -41056    8931   15465   12780
   50803   24355   34747   29643   51224   33508   89153   61504       0 -999999
 -999999 -999999 -999999  103971       0 -999999 -999999 -999999 -136341  -85695
       0 -999999  -17757       0 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999       0
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999  -40579
  -52184  -53805  -98455       0       0    -805       0       0 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999   59352    8056   11494
   28426   13303   15627   30269   17420    9186    8920   19281       0   12989
   17957       0       0 -999999 -999999  100777  -32064       0 -999999  -74053
 -134698 -133196  -19394 -999999  -14137 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
   -3285  -74334  -59483   -9836  -31518  -15019  -15408       0 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999       0
    4312    5432   11013   15654    5123    6338    6988    4780    4048    8078
    4281    2557    4087   10625       0 -999999   37642   -3560  -33000    4793
  -33839  -37355 -158425 -180737  -53369 -101375  -31580 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999    3782  -14361  -39363   -6980       0 -999999   -3049       0 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999       0   19971    4403    5213    4587    4230    4546    4362    4757
    2805    8125    4129    4290    9216       0   51340   58127   44974   81288
  110985    5351  -82319   37742 -202048 -352011 -292304 -280523 -137451 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999     421   11005  -16268   14286  -70434  -54254  -28277
       0 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999   15066    8244    2920    3772    6503   29885
   14242   21108   22726   16400    4367    4065   40010   46544   36271   59210
   53753   32595  -16294   27427    8606  -23137 -171483 -612102 -356158 -212345
 -149247 -999999   -9519 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999   -1056   21209   17120    3452    -592 -138665
 -110660  -63295 -132568       0 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999    8773   83312   45473   37438
   32915       0   18212       0    -681   66638  153463   33766   46770   64923
   83679   22981   36256   -1898   50007    8202    9979  -47840  -87634 -237751
 -308917 -227872 -133520  -16029  -35358  -23584       0 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999   -8033  -96980  -93201 -212858  -32316
   17298  -75093 -219221 -217895 -285870       0 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999    3273   29656
   28802   18207   11180  -24527  -17501   -7517    2261   14618  -16556  -48704
  -61906  126216   47196    6232  -72089   16214   30384   28919   48893    6571
  -21695   19723  -37137 -187351  -82318  -67305       0  -12172 -115371 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999  -97497 -203140 -112701
 -107005  -69821  -64265 -133881 -238555 -292185 -282370 -317147       0 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
  -37697  -83648 -110842    6000  -34155 -101944 -188439  -49897  -28595  -96668
 -130715 -121801       0   42419  101320    5237  -39058  -86801  -64565    -307
   26429   18083   75654   36125    8302 -122454 -209369 -196756 -143539       0
  -93482       0 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999  -83314
 -206915 -382288 -111144 -119727 -146694 -247485 -196783 -211943 -293620 -309327
 -263059 -233040       0  -52544 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999   -2643 -140769 -292179 -221918 -153485  -80696 -127876
   29056   13762   50215   53564   44097  129275   82762   79105   91921  -34399
 -145327   -7245    3424   49838   38985  128296   56771  -21891  -11416  -50162
 -168039 -290618  -65040       0 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
  -20362 -235736 -301181 -499046 -162132 -218500 -378015 -268545 -324459 -293501
 -274918 -289112 -336892 -300084 -109552  -90066 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999       0  -37060 -180943 -317855 -283483 -187076
 -227525 -201124  -98373   50614   85152  106734   61738   60670   89889   70353
   52835   79578 -123404 -281674  -96059 -149868 -161728 -144317 -196613  -50054
 -124888 -221568 -166412 -262719 -335312       0 -999999    -830       0 -999999
 -999999 -999999 -999999 -999999 -999999   -1551       0 -999999 -999999 -999999
 -999999  -18986 -241429 -382376 -350121 -459977 -372764 -258958 -234306 -339858
 -336171  -75978  -62896 -214288 -237325 -158184 -161888       0 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999  -79430  -97356 -102855  -49351
 -147514 -191416 -221617 -275959 -272024 -251305 -167328 -239167 -166711 -118846
 -259569 -166122  -62535  -52456 -119847 -201855 -298399 -360087 -379896 -324350
 -180732 -181603 -172376 -165481 -164066 -178554  -63223       0 -999999  -70023
 -204320 -999999 -999999 -999999 -999999 -999999 -999999 -999999  -34035   -7303
       0 -999999       0 -147058 -285386 -222794 -303236 -211239 -131738 -132078
 -190021 -109138  -19528 -999999   -3275  -80693  -95681  -99013       0 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -249740
       0  -97604 -251657 -495308  -71995 -304305 -420073 -466381 -512755 -613013
 -454404 -437263 -460287 -376084 -336882 -345558 -366055 -412778 -408225 -361021
 -282674 -337297 -234366 -169962 -205543 -147765 -126431 -106264  -46700  -40508
  -14799  -26979 -102432       0 -999999 -999999       0 -999999 -999999  -44887
