 14826 FLINT                  MI  -5  N42 58  W 83 44   233   988
 61-90
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
 10  2911 H4   864  3292 H4  2518  1407 H5   438  6094 15029  5.7  4.9  1.32  0.10  14.33   3.06   8.72  10.88  64   295  9999  5.3
 11  1529 H4   396   810 H4  1333  1230 H5   325  4286 13435  9.0  8.5  1.29  0.09   7.44  -0.22   3.61   4.68  76   437  9999  5.3
 12  1241 H4   387   989 H4  1722   941 H5   201  3391 12568  8.5  8.2  0.86  0.08   0.39  -7.56  -3.56  -2.22  76   675  9999  5.0
 13  3836 H4  2167  3321 H4  2996  1891 H5   790  7692 16407  6.6  5.9  1.40  0.12  12.83   2.22   7.56   9.46  69  4114 99999  4.5
 1967
  1  1606 H4   554  1477 H4  1893  1086 H5   240  3822 13043  8.0  7.4  0.77  0.08   1.06  -7.78  -3.33  -2.20  73   669  9999  5.9
  2  2991 H4   776  3142 H4  2367  1616 H5   409  5319 14491  6.4  5.5  0.51  0.10  -2.44 -12.83  -7.61  -6.22  68   723  9999  5.6
  3  3774 H4  1087  3214 H4  2816  2053 H5   545  7408 16226  7.3  5.9  0.92  0.11   4.00  -5.28  -0.61   1.10  68   584  9999  4.7
  4  4343 H4  1474  3172 H4  3200  2399 H5   618  9494 17928  7.4  6.5  1.37  0.13  13.56   3.39   8.50   9.66  66   292  9999  5.2
  5  5741 H4  1682  4566 H4  3129  2618 H5   568 11011 19319  6.3  5.4  1.24  0.16  16.00   4.72  10.39  12.31  58   247  9999  5.0
  6  5948 H4  1449  4313 H4  2660  2961 H5   498 11649 20012  6.9  5.5  2.60  0.18  25.89  14.67  20.28  22.17  70    15  9999  3.8
  7  5588 H4  1479  4006 H4  2958  2889 H5   657 11341 19622  6.5  5.8  2.42  0.17  24.78  14.39  19.61  21.18  72    27  9999  3.4
  8  5612 H4  1234  5077 H4  2620  2321 H5   556 10113 18358  5.0  4.5  2.14  0.16  24.72  11.67  18.22  20.50  69    39  9999  3.7
  9  4519 H4  1274  4512 H4  2616  1862 H5   410  8237 16747  5.3  4.2  1.79  0.14  21.22   7.61  14.44  17.27  67   120  9999  3.7
 10  2500 H4  1004  1992 H4  2321  1533 H5   332  6094 15029  7.8  6.9  1.53  0.12  14.28   4.89   9.61  11.21  69   270  9999  4.7
 11  1503 H4   447  1076 H4  1394  1102 H5   220  4286 13435  8.4  8.0  0.89  0.11   4.67  -1.61   1.56   2.74  72   501  9999  5.0
 12  1257 H4   391  1196 H4  1539   876 H5   153  3391 12568  8.0  7.4  0.95  0.09   2.83  -4.28  -0.72   0.51  74   588  9999  4.8
 13  3785 H4  2049  3144 H4  2833  1944 H5   824  7692 16407  6.9  6.1  1.43  0.13  12.56   2.44   7.56   9.27  69  4075 99999  4.6
 1968
  1  1627 H4   489  1717 H4  1952  1051 H5   246  3822 13043  7.4  6.8  0.82  0.08  -1.83 -10.28  -6.06  -4.76  68   752  9999  4.7
  2  2505 H4   819  2822 H4  2440  1326 H5   401  5353 14520  6.2  5.8  0.49  0.09  -1.50 -11.00  -6.22  -4.84  63   709  9999  5.5
  3  3845 H4  1248  3807 H4  3081  1785 H5   570  7480 16285  6.4  5.4  0.87  0.11   8.11  -3.28   2.44   4.35  60   489  9999  5.1
  4  5144 H4  1374  4708 H4  3201  2197 H5   721  9556 17980  6.0  4.7  1.06  0.14  15.33   3.39   9.39  11.28  58   267  9999  5.3
  5  5196 H4  1595  3337 H4  3132  2931 H5   663 11046 19356  7.3  6.5  1.49  0.16  16.89   6.33  11.61  13.18  69   208  9999  4.6
  6  5815 H4  1717  4012 H4  3218  2990 H5   686 11654 20017  6.8  5.6  2.40  0.18  23.94  13.06  18.50  20.27  75    43  9999  4.0
  7  6636 H4  1202  6005 H4  2670  2573 H5   692 11315 19592  4.8  3.6  2.36  0.17  26.17  14.50  20.33  22.37  73    20  9999  3.9
  8  5560 H4   995  4763 H4  2140  2415 H5   493 10060 18309  5.4  4.4  2.55  0.18  26.11  14.89  20.50  22.35  77    29  9999  3.7
  9  4091 H4  1160  3972 H4  2714  1827 H5   514  8169 16692  6.3  5.3  2.29  0.12  22.00  11.67  16.83  18.60  78    66  9999  3.7
 10  2854 H4   957  3189 H4  2535  1353 H5   359  6026 14973  6.1  5.5  1.52  0.10  15.61   5.39  10.50  12.32  73   248  9999  4.5
 11  1631 H4   594  1419 H4  1675  1094 H5   192  4238 13390  8.2  7.3  1.02  0.10   6.89  -0.28   3.33   4.87  75   447  9999  4.6
 12  1226 H4   296  1020 H4  1345   926 H5   141  3384 12561  8.4  8.0  0.74  0.08   0.22  -6.61  -3.17  -2.01  73   662  9999  5.6
 13  3848 H4  2090  3399 H4  2909  1874 H5   871  7680 16397  6.6  5.8  1.47  0.13  13.17   3.17   8.17   9.87  70  3940 99999  4.6
 1969
  1  1510 H4   369  1231 H4  1449  1109 H5   172  3822 13043  8.1  7.7  0.76  0.09  -1.61  -8.89  -5.22  -4.05  77   727     0  5.2
  2  2476 H4   859  2711 H4  2556  1319 H5   366  5319 14491  6.9  6.0  0.53  0.09   0.83  -7.39  -3.28  -1.73  68   603     0  4.5
  3  3954 H4  1117  4501 H4  3323  1645 H5   716  7408 16226  5.4  4.7  0.61  0.09   4.89  -5.89  -0.50   1.37  63   579     0  5.1
  4  4705 H4  1707  3910 H4  3708  2290 H5   707  9494 17928  6.5  5.6  1.21  0.14  14.39   2.39   8.39   9.97  68   294     0  4.7
  5  5742 H4  1710  4574 H4  3286  2671 H5   625 11011 19319  6.6  5.3  1.58  0.15  18.61   6.00  12.33  14.74  68   188     7  4.2
  6  5373 H4  1532  3167 H4  2805  3171 H5   536 11649 20012  7.5  6.6  2.13  0.18  20.83  10.39  15.61  17.50  72   104    27  4.4
  7  6000 H4  1463  4826 H4  2877  2757 H5   638 11341 19622  6.3  5.0  2.59  0.15  25.61  15.50  20.56  22.11  72     9    83  3.3
  8  6252 H4  1028  6632 H4  2381  2001 H5   603 10113 18358  3.1  2.5  2.30  0.15  27.56  14.72  21.17  23.36  71     6    96  3.3
  9  4078 H4  1182  3626 H4  2636  1993 H5   479  8237 16747  6.2  5.6  2.01  0.11  22.89  11.00  16.94  18.90  71    79    41  3.8
 10  2592 H4   916  2385 H4  2503  1486 H5   375  6094 15029  7.2  6.5  1.56  0.10  14.78   4.33   9.56  11.30  72   269     1  4.2
 11  1733 H4   457  1612 H4  1587  1129 H5   203  4286 13435  8.0  7.3  0.99  0.08   6.33  -0.89   2.72   4.00  80   464     0  4.1
 12  1254 H4   317   951 H4  1423   963 H5   159  3391 12568  8.6  8.2  0.64  0.06   0.11  -7.39  -3.61  -2.13  74   676     0  4.2
 13  3815 H4  2105  3352 H4  3062  1879 H5   855  7692 16407  6.7  5.9  1.41  0.12  12.94   2.83   7.89   9.67  71  3998   255  4.3
 1970
  1  1708 G4   472  1855 G4  1915  1074 G5   271  3822 13043  7.5  7.0  0.54  0.06  -4.72 -14.06  -9.39  -6.90  75   855     0  3.8
  2  2605 G4   923  3216 G4  2659  1237 G5   339  5319 14491  6.5  5.7  0.53  0.07  -0.06  -9.39  -4.72  -3.16  67   642     0  4.3
  3  3535 G4  1231  3076 G4  2670  1894 G5   498  7408 16226  7.2  6.2  0.71  0.11   3.17  -5.28  -1.06   0.45  68   597     0  4.7
  4  4807 G4  1582  4226 G4  3049  2191 G5   542  9494 17928  6.4  5.4  1.16  0.11  13.72   3.11   8.44  10.11  66   302     9  5.4
  5  5154 G4  1773  3727 G4  3520  2686 G5   719 11011 19319  7.1  6.2  2.04  0.15  20.11   9.11  14.61  16.37  70   132    20  5.0
  6  6134 G4  1472  4949 G4  2542  2754 G5   455 11649 20012  5.9  4.9  2.23  0.16  24.89  12.56  18.72  21.03  71    44    60  4.2
