Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	115
Date	2004APR24
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	18.99984	[UTC]
Stop_time	19.28262	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.43014	[p_s^-1]
ForeOptic_temperature	25.42	[ns]
Front_temperature	25.42	[ns]
Back_temperature	25.38	[ns]
Inside_temperature	24.98	[ns]
Shelter_temperature	23.98	[ns]
PSUnit_temperature	27.77	[ns]
AirCond_temperature	13.91	[ns]
Outside_temperature	26.98	[ns]
Comments	none
Formatted_file	2004115f14.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
318.114	227.56503	0.0003	0.0000
318.214	200.82867	0.0003	0.0000
318.314	253.04939	0.0002	0.0000
318.414	274.99384	0.0002	0.0000
318.514	275.38898	0.0002	0.0000
318.614	341.30893	0.0002	0.0000
318.714	302.52762	0.0002	0.0000
318.814	337.70880	0.0002	0.0000
318.914	372.23141	0.0002	0.0000
319.014	464.34763	0.0002	0.0000
319.114	319.41489	0.0002	0.0000
319.214	229.38010	0.0003	0.0000
319.314	212.80682	0.0003	0.0000
319.414	275.90637	0.0002	0.0000
319.514	296.20264	0.0002	0.0000
319.615	306.00772	0.0002	0.0000
319.715	284.14792	0.0002	0.0000
319.815	342.67099	0.0002	0.0000
319.915	442.46396	0.0002	0.0000
320.015	310.65549	0.0002	0.0000
320.115	307.49960	0.0002	0.0000
320.215	412.99765	0.0002	0.0000
320.315	333.62820	0.0002	0.0000
320.415	433.37296	0.0002	0.0000
320.515	400.92737	0.0002	0.0000
320.615	428.61172	0.0002	0.0000
320.715	456.95456	0.0002	0.0000
320.815	438.30579	0.0002	0.0000
320.915	341.47449	0.0002	0.0000
321.015	366.09769	0.0002	0.0000
321.115	293.74649	0.0002	0.0000
321.215	267.29364	0.0002	0.0000
321.315	325.83658	0.0002	0.0000
321.415	251.08299	0.0002	0.0000
321.516	309.68713	0.0002	0.0000
321.616	386.08350	0.0002	0.0000
321.716	302.74341	0.0002	0.0000
321.816	437.16461	0.0002	0.0000
321.916	452.95090	0.0002	0.0000
322.016	345.27286	0.0002	0.0000
322.116	449.44656	0.0002	0.0000
322.216	301.52216	0.0002	0.0000
322.316	288.64111	0.0002	0.0000
322.416	388.35880	0.0002	0.0000
322.516	379.74759	0.0002	0.0000
322.616	258.32623	0.0002	0.0000
322.716	302.65051	0.0002	0.0000
322.816	257.49548	0.0002	0.0000
322.916	262.44531	0.0002	0.0000
323.016	275.18323	0.0002	0.0000
323.116	348.99240	0.0002	0.0000
323.216	401.73077	0.0002	0.0000
323.316	388.33646	0.0002	0.0000
323.416	335.85510	0.0002	0.0000
323.517	283.40369	0.0002	0.0000
323.617	390.58008	0.0002	0.0000
323.717	290.23380	0.0002	0.0000
323.817	436.82635	0.0002	0.0000
323.917	378.76364	0.0002	0.0000
324.017	365.75284	0.0002	0.0000
324.117	491.12979	0.0002	0.0000
324.217	388.86475	0.0002	0.0000
324.317	421.52914	0.0002	0.0000
324.417	369.85892	0.0002	0.0000
324.517	447.05270	0.0002	0.0000
324.617	470.57236	0.0002	0.0000
324.717	445.50519	0.0002	0.0000
324.817	318.47562	0.0002	0.0000
324.917	333.16962	0.0002	0.0000
325.017	397.52502	0.0002	0.0000
325.117	355.73993	0.0002	0.0000
325.217	425.35312	0.0002	0.0000
325.317	420.48761	0.0002	0.0000
325.417	412.12146	0.0002	0.0000
325.517	556.53882	0.0002	0.0000
325.617	532.20703	0.0002	0.0000
325.717	533.80078	0.0002	0.0000
325.818	496.21051	0.0002	0.0000
325.918	575.60553	0.0002	0.0000
326.018	596.18964	0.0002	0.0000
326.118	586.45679	0.0002	0.0000
326.218	507.70538	0.0002	0.0000
326.318	615.06677	0.0002	0.0000
326.418	536.89520	0.0002	0.0000
326.518	443.49564	0.0002	0.0000
326.618	525.61102	0.0002	0.0000
326.718	618.33569	0.0002	0.0000
326.818	598.09021	0.0002	0.0000
326.918	603.88556	0.0002	0.0000
327.018	556.73163	0.0002	0.0000
327.118	516.47900	0.0002	0.0000
327.218	438.79346	0.0002	0.0000
327.318	566.27051	0.0002	0.0000
327.418	538.85846	0.0002	0.0000
327.518	578.28180	0.0002	0.0000
327.618	578.20471	0.0002	0.0000
327.718	473.18378	0.0002	0.0000
327.818	537.22443	0.0002	0.0000
327.918	476.51395	0.0002	0.0000
328.018	474.55679	0.0002	0.0000
328.118	533.91235	0.0002	0.0000
328.218	508.13666	0.0002	0.0000
328.318	448.14651	0.0002	0.0000
328.418	563.52917	0.0002	0.0000
328.518	521.84137	0.0002	0.0000
328.618	520.64636	0.0002	0.0000
328.719	356.49969	0.0002	0.0000
328.819	470.45642	0.0002	0.0000
328.919	490.31192	0.0002	0.0000
329.019	667.32825	0.0002	0.0000
329.119	614.85657	0.0002	0.0000
329.219	604.99585	0.0002	0.0000
329.319	655.71155	0.0002	0.0000
329.419	713.09241	0.0001	0.0000
329.519	640.83624	0.0002	0.0000
329.619	623.56262	0.0002	0.0000
329.719	664.83966	0.0002	0.0000
329.819	664.55609	0.0002	0.0000
329.919	600.01343	0.0002	0.0000
330.019	692.16968	0.0001	0.0000
330.119	802.99493	0.0001	0.0000
330.219	622.41162	0.0002	0.0000
330.319	500.45554	0.0002	0.0000
330.419	582.59686	0.0002	0.0000
330.519	558.74048	0.0002	0.0000
330.619	392.02811	0.0002	0.0000
330.719	433.95062	0.0002	0.0000
330.819	553.26251	0.0002	0.0000
330.919	588.59589	0.0002	0.0000
331.019	595.82690	0.0002	0.0000
331.119	556.66797	0.0002	0.0000
331.219	610.32629	0.0002	0.0000
331.319	521.63702	0.0002	0.0000
331.419	545.71149	0.0002	0.0000
331.519	471.26801	0.0002	0.0000
331.619	537.13647	0.0002	0.0000
331.719	602.79242	0.0002	0.0000
331.819	628.02673	0.0002	0.0000
331.919	623.06079	0.0002	0.0000
332.019	605.33667	0.0002	0.0000
332.119	573.38446	0.0002	0.0000
332.219	598.47162	0.0002	0.0000
332.319	431.29025	0.0002	0.0000
332.419	488.99689	0.0002	0.0000
332.520	572.62842	0.0002	0.0000
332.620	720.73596	0.0001	0.0000
332.720	560.42029	0.0002	0.0000
332.820	598.76984	0.0002	0.0000
332.920	548.97473	0.0002	0.0000
333.020	466.75745	0.0002	0.0000
333.120	675.37274	0.0002	0.0000
333.220	555.15155	0.0002	0.0000
333.320	629.20197	0.0002	0.0000
333.420	598.75848	0.0002	0.0000
333.520	540.79279	0.0002	0.0000
333.620	437.36865	0.0002	0.0000
333.720	376.48013	0.0002	0.0000
333.820	536.60217	0.0002	0.0000
333.920	576.97699	0.0002	0.0000
334.020	555.37231	0.0002	0.0000
334.120	581.27307	0.0002	0.0000
334.220	533.66992	0.0002	0.0000
334.320	623.71948	0.0002	0.0000
334.420	655.03253	0.0002	0.0000
334.520	636.43042	0.0002	0.0000
334.620	662.91711	0.0002	0.0000
334.720	621.95923	0.0002	0.0000
334.820	638.66321	0.0002	0.0000
334.920	497.59631	0.0002	0.0000
335.020	351.98584	0.0002	0.0000
335.120	640.51471	0.0002	0.0000
335.220	635.36951	0.0002	0.0000
335.320	692.58972	0.0001	0.0000
335.420	599.60986	0.0002	0.0000
335.520	664.53400	0.0002	0.0000
335.620	693.76965	0.0001	0.0000
335.720	673.99927	0.0002	0.0000
335.820	665.10291	0.0002	0.0000
335.920	440.56641	0.0002	0.0000
336.020	317.72577	0.0002	0.0000
336.120	287.93582	0.0002	0.0000
336.220	275.15332	0.0002	0.0000
336.320	531.99268	0.0002	0.0000
336.420	589.30756	0.0002	0.0000
336.520	672.65723	0.0002	0.0000
336.620	624.54987	0.0002	0.0000
336.720	547.37708	0.0002	0.0000
336.820	456.64896	0.0002	0.0000
336.920	392.30719	0.0002	0.0000
337.020	368.74661	0.0002	0.0000
337.120	451.67307	0.0002	0.0000
337.220	429.28220	0.0002	0.0000
337.320	352.43570	0.0002	0.0000
337.420	534.08368	0.0002	0.0000
337.520	513.02899	0.0002	0.0000
337.620	690.76056	0.0002	0.0000
337.720	685.10559	0.0002	0.0000
337.820	669.55560	0.0002	0.0000
337.920	513.27039	0.0002	0.0000
338.020	455.67831	0.0002	0.0000
338.120	415.97366	0.0002	0.0000
338.220	659.86157	0.0002	0.0000
338.320	589.80560	0.0002	0.0000
338.420	489.27802	0.0002	0.0000
338.520	644.91791	0.0002	0.0000
338.620	602.89490	0.0002	0.0000
338.720	747.98590	0.0001	0.0000
338.820	496.03223	0.0002	0.0000
338.920	560.42822	0.0002	0.0000
339.020	743.35162	0.0001	0.0000
339.120	606.02509	0.0002	0.0000
339.220	557.80573	0.0002	0.0000
339.320	370.00122	0.0002	0.0000
339.420	521.79681	0.0002	0.0000
339.520	563.74933	0.0002	0.0000
339.620	612.59534	0.0002	0.0000
339.720	654.34088	0.0002	0.0000
339.820	668.88959	0.0002	0.0000
339.920	679.07544	0.0002	0.0000
340.020	707.51666	0.0001	0.0000
340.120	807.15796	0.0001	0.0000
340.220	632.82916	0.0002	0.0000
340.320	641.86121	0.0002	0.0000
340.420	658.20105	0.0002	0.0000
340.520	550.47302	0.0002	0.0000
340.620	691.06750	0.0002	0.0000
340.720	534.35516	0.0002	0.0000
340.820	509.03589	0.0002	0.0000
340.920	617.61780	0.0002	0.0000
341.020	519.67139	0.0002	0.0000
341.120	646.83002	0.0002	0.0000
341.220	714.02405	0.0001	0.0000
341.320	580.66003	0.0002	0.0000
341.420	467.92621	0.0002	0.0000
341.520	372.54636	0.0002	0.0000
341.620	574.73041	0.0002	0.0000
341.720	633.69415	0.0002	0.0000
341.820	586.70300	0.0002	0.0000
341.920	704.58276	0.0001	0.0000
342.020	764.56787	0.0001	0.0000
342.120	692.77423	0.0002	0.0000
342.220	698.64844	0.0002	0.0000
342.320	529.13293	0.0002	0.0000
342.420	505.35748	0.0002	0.0000
342.520	589.59979	0.0002	0.0000
342.620	728.27429	0.0001	0.0000
342.720	511.51505	0.0002	0.0000
342.820	613.40167	0.0002	0.0000
342.920	616.58862	0.0002	0.0000
343.020	804.73492	0.0001	0.0000
343.120	734.55054	0.0001	0.0000
343.220	599.33557	0.0002	0.0000
343.320	615.59631	0.0002	0.0000
343.420	401.82480	0.0002	0.0000
343.520	758.59344	0.0001	0.0000
343.620	700.54785	0.0002	0.0000
343.720	639.35406	0.0002	0.0000
343.820	524.32465	0.0002	0.0000
343.920	607.63306	0.0002	0.0000
344.020	543.10669	0.0002	0.0000
344.120	218.18091	0.0003	0.0000
344.220	337.53122	0.0002	0.0000
344.320	429.19247	0.0002	0.0000
344.420	358.31277	0.0002	0.0000
344.520	549.57062	0.0002	0.0000
344.620	506.97449	0.0002	0.0000
344.720	449.59116	0.0002	0.0000
344.820	595.58276	0.0002	0.0000
344.920	610.29053	0.0002	0.0000
345.020	610.47601	0.0002	0.0000
345.120	770.34436	0.0001	0.0000
345.220	654.33765	0.0002	0.0000
345.320	503.17236	0.0002	0.0000
345.420	537.88971	0.0002	0.0000
345.520	782.84418	0.0001	0.0000
345.620	638.30145	0.0002	0.0000
345.720	629.64020	0.0002	0.0000
345.820	628.67688	0.0002	0.0000
345.920	457.68109	0.0002	0.0000
346.020	544.24353	0.0002	0.0000
346.120	493.91180	0.0002	0.0000
346.220	395.11151	0.0002	0.0000
346.320	596.65417	0.0002	0.0000
346.420	689.80731	0.0002	0.0000
346.520	727.75726	0.0001	0.0000
346.620	450.03464	0.0002	0.0000
346.720	561.38611	0.0002	0.0000
346.820	709.13177	0.0001	0.0000
346.920	595.80615	0.0002	0.0000
347.020	661.34241	0.0002	0.0000
347.120	797.47919	0.0001	0.0000
347.220	630.42828	0.0002	0.0000
347.320	526.61407	0.0002	0.0000
347.420	575.71643	0.0002	0.0000
347.520	533.79565	0.0002	0.0000
347.620	371.23929	0.0002	0.0000
347.720	394.45230	0.0002	0.0000
347.820	587.31213	0.0002	0.0000
347.920	633.61694	0.0002	0.0000
348.020	665.33966	0.0002	0.0000
348.120	633.85242	0.0002	0.0000
348.220	654.35217	0.0002	0.0000
348.320	593.02167	0.0002	0.0000
348.419	480.23517	0.0002	0.0000
348.519	590.12390	0.0002	0.0000
348.619	526.55487	0.0002	0.0000
348.719	712.02802	0.0001	0.0000
348.819	757.95239	0.0001	0.0000
348.919	572.24713	0.0002	0.0000
349.019	498.64658	0.0002	0.0000
349.119	363.61673	0.0002	0.0000
349.219	636.26721	0.0002	0.0000
349.319	434.40076	0.0002	0.0000
349.419	659.11340	0.0002	0.0000
349.519	685.79248	0.0002	0.0000
349.619	528.84290	0.0002	0.0000
349.719	478.68347	0.0002	0.0000
349.819	407.28284	0.0002	0.0000
349.919	661.87402	0.0002	0.0000
350.019	820.69189	0.0001	0.0000
350.119	657.95276	0.0002	0.0000
350.219	758.26825	0.0001	0.0000
350.319	652.66119	0.0002	0.0000
350.419	890.17474	0.0001	0.0000
350.519	695.87341	0.0002	0.0000
350.619	661.11877	0.0002	0.0000
350.719	654.91028	0.0002	0.0000
350.819	740.36639	0.0001	0.0000
350.919	750.72327	0.0001	0.0000
351.019	668.20068	0.0002	0.0000
351.119	492.80908	0.0002	0.0000
351.219	707.62292	0.0002	0.0000
351.319	597.92474	0.0002	0.0000
351.419	493.23505	0.0002	0.0000
351.519	479.62808	0.0002	0.0000
351.619	604.30865	0.0002	0.0000
351.719	700.08215	0.0002	0.0000
351.819	849.43585	0.0001	0.0000
351.919	750.65747	0.0001	0.0000
352.019	651.74731	0.0002	0.0000
352.118	651.36841	0.0002	0.0000
352.218	503.04318	0.0002	0.0000
352.318	671.80194	0.0002	0.0000
352.418	526.48822	0.0002	0.0000
352.518	352.11157	0.0002	0.0000
352.618	545.37628	0.0002	0.0000
352.718	327.75879	0.0002	0.0000
352.818	624.63159	0.0002	0.0000
352.918	783.24225	0.0001	0.0000
353.018	667.21149	0.0002	0.0000
353.118	753.10303	0.0001	0.0000
353.218	588.77570	0.0002	0.0000
353.318	534.07611	0.0002	0.0000
353.418	679.48505	0.0002	0.0000
353.518	803.20471	0.0001	0.0000
353.618	710.59479	0.0002	0.0000
353.718	683.58142	0.0002	0.0000
353.818	648.59949	0.0002	0.0000
353.918	727.19440	0.0001	0.0000
354.018	904.08960	0.0001	0.0000
354.118	684.07391	0.0002	0.0000
354.218	641.84375	0.0002	0.0000
354.318	672.97650	0.0002	0.0000
354.418	787.42548	0.0001	0.0000
