! Converted to time format with year at start.
!
! 01/17/86 KAYE DUA0:[DATA.S378SC.N]S378SC.620;
! DRB0:[DRS.REFMT]REFORMAT.EXE;5
! (dy,hr,min,sec,tenths,event,numpair(station,range))
! (i3.3,3i2.2,i1.1,t12,i3.3,<numpair>(1x,a2,1x,f8.1))
!  
19781451138570 000 02  95301.0 01 156801.0
19781451140080 000 02  95272.0 01 156832.0
19781451142060 000 01 156823.0 02  95255.0
19781451143430 000 01 156822.0 02  95225.0
19781451144530 000 01 156841.0 02  95202.0
19781451146190 000 01 156861.0 02  95173.0
19781451147430 000 02  95157.0 01 156872.0
19781451149470 000 01 156869.0 02  95101.0
19781451151140 000 01 156888.0 02  95073.0
19781451152180 000 01 156889.0 02  95050.0
19781451153300 000 01 156895.0 02  95031.0
19781451157140 000 02  94975.0 01 156916.0
19781451158460 000 02  94943.0 01 156929.0
19781451159340 000 01 156938.0 02  94944.0
19781451201000 000 01 156951.0 02  94903.0
19781451202050 000 01 156962.0 02  94874.0
19781451203180 000 02  94851.0 01 156958.0
19781451204000 000 01 156965.0 02  94843.0
19781451205530 000 02  94816.0 01 156991.0
19781451206390 000 01 156991.0 02  94781.0
19781451207460 000 01 156992.0 02  94785.0
19781451209030 000 02  94762.0 01 156988.0
19781451210270 000 01 156973.0 02  94764.0
19781451211310 000 02  94792.0 01 156934.0
19781451212150 000 01 156922.0 02  94825.0
19781451213580 000 01 156888.0 02  94846.0
19781451215200 000 02  94951.0 01 156910.0
19781451216300 000 02  95009.0 01 157010.0
19781451217400 000 01 157178.0 02  94982.0
19781451219140 000 01 157432.0 02  94931.0
19781451220140 000 01 157587.0 02  94880.0
19781451221350 000 01 157770.0 02  94803.0
19781451222370 000 01 157918.0 02  94746.0
19781451223350 000 02  94689.0 01 158064.0
19781451225110 000 02  94603.0 01 158257.0
19781451256320 000 01 162824.0 02  93913.0
19781451303270 000 01 163777.0 02  93834.0
19781451307130 000 02  93795.0 01 164303.0
19781451315300 000 01 165398.0 02  93760.0
19781451317080 000 01 165632.0 02  93760.0
19781451318060 000 02  93752.0 01 165791.0
19781451321510 000 01 166310.0 02  93767.0
19781451323030 000 02  93781.0 01 166483.0
19781451326000 000 02  93835.0 01 166904.0
19781451327180 000 01 167094.0 02  93877.0
19781451328470 000 01 167324.0 02  93932.0
19781451331170 000 02  94023.0 01 167735.0
19781451332490 000 01 167960.0 02  94071.0
19781451334090 000 02  94078.0 01 168137.0
19781451336100 000 01 168424.0 02  94067.0
19781451337040 000 02  94068.0 01 168532.0
19781451338340 000 02  94073.0 01 168753.0
19781451340470 000 01 169044.0 02  94073.0
19781451341570 000 01 169204.0 02  94078.0
19781451343280 000 02  94067.0 01 169398.0
19781451345450 000 02  94061.0 01 169684.0
19781451346060 000 02  94061.0 01 169736.0
