DIUREF	TITLE	AUTHOR	KEYWORDS	REFERENCE	PDATE
2917.00	Separation of current and sound speed in the effective refractive index for a turbulent environment using reciprocal acoustic transmission.	IORIO, D.D. AND FARMER, D.M.	\CURRENT VELOCITY\PACNE\REF\SOUND TRANSMISSION\TURBULENCE\COUNTRYCA\	Journal of the Acoustical Society of America, 103(1), 321-329.	1998.00
2918.00	Annual cycle and variability of the North Brazil Current.	JOHNS, W.E., LEE, T.N., BEARDSLEY, R.C., CANDELA, J., LIMEBURNER, R. AND CASTRO, B.	\ATLTW\CURRENT METER DATA\NORTH BRAZIL CURRENT\OCEAN CIRCULATION\REF\SEASONAL VARIABILITY\COUNTRYBR\COUNTRYUS\	Journal of Physical Oceanography, 28(1), 103-128.	1998.00
2919.00	Deep tracer and dynamical plumes in the tropical Pacific Ocean.	JOHNSON, G.C. AND TALLEY, L.D.	\AIMS\BUOYANCY\CTD\PACT\PLUMES\REF\SALINITY\TEMPERATURE\TRACERS\UPWELLING\COUNTRYUS\	Journal of Geophysical Research, 102(C11), 24953-24964.	1997.00
2920.00	On estimating the atmospheric longwave flux at the ocean surface from ship meteorological reports.	JOSEY, S.A., OAKLEY, D. AND PASCAL, R.W.	\AIMS\AIR SEA INTERACTION\ANT\ATLN\DISCOVERY\HEAT TRANSFER\OCEAN ATMOSPHERE SYSTEM\REF\COUNTRYGB\	Journal of Geophysical Research, 102(C13), 27961-27972.	1997.00
2921.00	Meso- to large-scale structure of subducting water in the subtropical gyre of the eastern North Atlantic Ocean.	JOYCE, T.M., LUYTEN, J.R., KUBRYAKOV, A., BAHR, F.B. AND PALLANT, J.S.	\AIMS\ATLNE\GYRES\REF\SEASOAR\SUBDUCTION\COUNTRYRU\COUNTRYUS\	Journal of Physical Oceanography, 28(1), 40-61.	1998.00
2922.00	Reduced space optimal analysis for historical data sets: 136 years of Atlantic sea surface temperatures.	KAPLAN, A., KUSHNIR, Y., CANE, M.A. AND BLUMENTHAL, M.B.	\ATL\CLIMATE CHANGES\CLIVAR\REF\SST\TEMPORAL VARIATIONS\COUNTRYUS\	Journal of Geophysical Research, 102(C13), 27835-27860.	1997.00
2923.00	Waves along the equator in the Atlantic.	KATZ, E.J.	\ATLT\ECHO SOUNDERS\EQUATORIAL DYNAMICS\REF\SATELLITE ALTIMETRY\TOGA\TOPEX-POSEIDON\COUNTRYUS\	Journal of Physical Oceanography, 27(12), 2536-2544.	1997.00
2924.00	Submarine cable voltage measurement between Okinawa and Taiwan for monitoring the Kuroshio volume transport.	KOGA, M., LIU, C.T. AND LARSEN, J.C.	\KUROSHIO\OCEAN CIRCULATION\REF\SUBMARINE CABLES\TRANSPORT\COUNTRYCN\COUNTRYJP\COUNTRYUS\	Acta Oceanographica Taiwanica, 36(1), 47-56.	1997.00
2925.00	Phase transition of the El Nino-Southern Oscillation: a stationary SST mode.	LI, T.	\EL NINO\ENSO\METEOROLOGY\OCEAN ATMOSPHERE SYSTEM\REF\SOUTHERN OSCILLATION\SST\THERMOCLINE\TOGA\COUNTRYUS\	Journal of the Atmospheric Sciences, 54(24), 2872-2887.	1997.00
2926.00	Thermobaric effect on buoyancy-driven convection in cold seawater.	LOYNING, T.B. AND WEBER, J.E.	\BUOYANCY\CONVECTION\DENSITY\PRESSURE\REF\ROTATING FLUIDS\SALINITY\TEMPERATURE\COUNTRYNO\	Journal of Geophysical Research, 102(C13), 27875-27885.	1997.00
2927.00	Meridional circulation cells and the source waters of the Pacific Equatorial Undercurrent.	LU, P., MCCREARY, J.P. AND KLINGER, B.A.	\EQUATORIAL UNDERCURRENT\MERIDIONAL CIRCULATION\OCEAN CIRCULATION\OCEAN MODEL\PAC\REF\TOGA\COUNTRYUS\	Journal of Physical Oceanography, 28(1), 62-84.	1998.00
2928.00	The Sub-Antarctic Flux and Dynamics Experiment (SAFDE).	LUTHER, D.S.	\ACC\ANT\CTD\CURRENT METER DATA\OCEAN CIRCULATION\UNPUBW\COUNTRYUS\	International WOCE Newsletter, No.29, 32-35. (Unpublished manuscript)	1997.00
2929.00	SAFDE to examine dynamics and fluxes of the ACC.	LUTHER, D.S.	\ACC\ANT\OCEAN CIRCULATION\UNPUBW\COUNTRYUS\	WOCE Notes, 9(2), 8-12.	1997.00
2930.00	Uncertainties on projections of human-caused climate warming.	MAHLMAN, J.D.	\CARBON DIOXIDE\CLIMATE CHANGES\CLIMATE MODEL\CLIVAR\GREENHOUSE EFFECT\METEOROLOGY\REF\COUNTRYUS\	Science, 278(5342), 1416-1417.	1997.00
2931.00	Spatial structure and dynamics of intermediate water in the northwest Pacific.	MAKSIMENKO, N.A., SHCHERBINA, A.Y., GUSKINA, R.I. AND KHARLAMOV, A.I.	\HYDROGRAPHIC DATA\NPIW\OCEAN CIRCULATION\PACNW\REF\COUNTRYRU\	Oceanology, 37(6), 725-730.	1997.00
2932.00	Gulf Stream system assimilation experiments: a sensitivity study.	MALANOTTE, P. AND YOUNG, R.E.	\ATLNW\DATA ASSIMILATION\GULF STREAM\OCEAN CIRCULATION\OCEAN MODEL\REF\COUNTRYUS\	Journal of Atmospheric and Oceanic Technology, 14(6), 1392-1408.	1997.00
2933.00	A method for correcting vertical velocities measured from a vessel-mounted acoustic doppler current profiler.	MARSDEN, R.F. AND GRATTON, Y.	\AIMS\ADCP\CURRENT PROFILES\CURRENT VELOCITY\REF\COUNTRYCA\	Journal of Atmospheric and Oceanic Technology, 14(6), 1533-1538.	1997.00
2934.00	CTD/O2 measurements collected on a climate and global change cruise (WOCE Sections P14S and P15S) during January-March, 1996.	MCTAGGART, K.E. AND JOHNSON, G.C.	\CTD\FIELDW\OXYGEN\WOCE SECTION P14S\WOCE SECTION P15S\COUNTRYUS\	NOAA Data Report, ERL PMEL-63, 485pp.	1997.00
2935.00	CTD measurements during 1996 and 1995 as part of the Global Ocean-Atmosphere-Land System (GOALS) Pan American Climate Studies (PACS).	MCTAGGART, K.E., O'HALECK, M.K., JOHNSON, G.C. AND MAGNUM, L.J.	\CLIVAR\CTD\OCEANOGRAPHIC DATA\TS PROFILE\UNPUB\COUNTRYUS\	NOAA Data Report, ERL PMEL-62, 637pp.	1997.00
2936.00	Linearization of an oceanic general circulation model for data assimilation and climate studies.	MENEMENLIS, D AND WUNSCH, C.	\AIMS\DATA ASSIMILATION\OCEAN CIRCULATION\OCEAN MODEL\PACN\REF\COUNTRYUS\	Journal of Atmospheric and Oceanic Technology, 14(6), 1420-1443.	1997.00
2937.00	Decadal climate variability in the North Pacific during the recent decades.	NAKAMURA, H., LIN, G. AND YAMAGATA, T.	\CLIMATE\CLIVAR\METEOROLOGY\PACN\REF\SST\TEMPORAL VARIATIONS\COUNTRYJP\	Bulletin of the American Meteorological Society, 78(10), 2215-2225.	1997.00
2938.00	Comparison of basin-scale acoustic transmission with rays and further evidence for a structured thermal field in the northeast Pacific.	NORRIS, D.E., SPIESBERGER, J.L. AND MERDES, D.W.	\CLIMATOLOGY\METEOROLOGY\PACNE\REF\SEASONAL VARIABILITY\SOUND TRANSMISSION\TEMPERATURE\COUNTRYUS\	Journal of the Acoustical Society of America, 103(1), 182-194.	1998.00
2939.00	Norwegian physical oceanographic activities in the Weddell Sea.	NOST, O.A.	\ANTATL\PROGRESS REPORT\UNPUBW\WEDDELL SEA\COUNTRYNO\	International WOCE Newsletter, No.29, 42-43.  (Unpublished manuscript)	1997.00
2940.00	Hydrography and baroclinic transport between Africa and Antarctica on WHP Section I6.	PARK, Y.-H., CHARRIAUD, E. AND POISSON, A.	\ANTATL\ANTIND\BAROCLINIC MOTION\HYDROGRAPHIC DATA\OCEAN CIRCULATION\UNPUBW\COUNTRYFR\	International WOCE Newsletter, No.29, 13-16.  (Unpublished manuscript)	1997.00
2941.00	Initial selection of a GCOS surface network.	PETERSON, T., DAAN, H. AND JONES, P.	\CLIMATE\CLIVAR\GCOS\METEOROLOGY\OBSERVING SYSTEMS\REF\COUNTRYGB\COUNTRYNL\COUNTRYUS\	Bulletin of the American Meteorological Society, 78(10), 2145-2152.	1997.00
2942.00	Two-year long current time series from the southwest Indian Ocean.	POLLARD, R. AND READ, J.	\AGULHAS\CURRENT METER DATA\INDSW\MOZAMBIQUE BASIN\SWINDEX\TIME SERIES\UNPUBW\COUNTRYGB\	International WOCE Newsletter, No.29, 3-7.  (Unpublished manuscript)	1997.00
2943.00	Estimates of diapycnal mixing using LADCP and CTD data from I8S.	POLZIN, K.L. AND FIRING, E.	\CTD\INDS\KERGUELEN PLATEAU\LADCP\MIXING\UNPUBW\COUNTRYUS\	International WOCE Newsletter, No.29, 39-42.  (Unpublished manuscript)	1997.00
2944.00	Large-scale estimation of transport from the Pacific to the Indian Ocean.	POTEMRA, J.T., LUKAS, R. AND MITCHUM, G.T.	\AIMS\IND\INDONESIAN THROUGHFLOW\PAC\REF\SEA LEVEL\TOPEX-POSEIDON\TRANSPORT\COUNTRYUS\	Journal of Geophysical Research, 102(C13), 27795-27812.	1997.00
2945.00	On the influence of Southern Hemisphere winds on North Atlantic Deep Water flow.	RAHMSTORF, S. AND ENGLAND, M.H.	\ANT\MODELW\NADW\OCEAN MODEL\REF\WINDS\COUNTRYAU\	Journal of Physical Oceanography, 27(9), 2040-2054.	1997.00
2946.00	Deep inflow into the Mozambique Basin.	READ, J.F. AND POLLARD, R.T.	\AGULHAS\BOTTOM WATER\CTD\INDSW\MOZAMBIQUE BASIN\OCEAN CIRCULATION\UNPUBW\COUNTRYGB\	International WOCE Newsletter, No.29, 7-10.  (Unpublished manuscript)	1997.00
2947.00	On the total geostrophic circulation of the Pacific Ocean: flow patterns, tracers, and transports.	REID, J.L.	\AIMS\GEOSTROPHY\GYRES\OCEAN CIRCULATION\PAC\REF\SALINITY\SST\TRACERS\COUNTRYUS\	Progress in Oceanography, 39(4), 263-352.	1997.00
2948.00	What drives mid-latitude convection and the formation of Subantarctic Mode Water?	RIBBE, J.	\ANT\CONVECTION\EKMAN TRANSPORT\OCEAN CIRCULATION\UNPUBW\COUNTRYUS\	International WOCE Newsletter, No.29, 20-26.  (Unpublished manuscript)	1997.00
2949.00	Circulation and dynamics of the western North Atlantic.  Part II: dynamics of meanders and rings.	ROBINSON, A.R. AND GANGOPADHYAY, A.	\ATLNW\CURRENT RINGS\GULF STREAM\OCEAN CIRCULATION\OCEAN MODEL\REF\COUNTRYUS\	Journal of Atmospheric and Oceanic Technology, 14(6), 1333-1351.	1997.00
2950.00	Variations in apparent mixing efficiency in the North Atlantic Central Water.	RUDDICK, B., WALSH, D. AND OAKEY, N.	\AIMS\ATLN\MATHEMATICAL MODELS\MIXING\NATRE\REF\COUNTRYCA\	Journal of Physical Oceanography, 27(12), 2589-2605.	1997.00
2951.00	Tracer studies in the southern South Atlantic within WOCE.	RUTH, C., SULTENFUSS, J., ROSE, H., PUTZKA, A. AND ROETHER, W.	\ANT\CFC\HELIUM ISOTOPES\TRACERS\TRITIUM\UNPUBW\COUNTRYDE\	International WOCE Newsletter, No.29, 11-13.  (Unpublished manuscript)	1997.00
2952.00	Detection of hydrothermal plumes along the Southeast Indian Ridge near the Amsterdam-St. Paul Plateau.	SCHEIRER, D.S., BAKER, E.T. AND JOHNSON, K.T.M.	\HYDROTHERMAL ACTIVITY\INDSW\PLUMES\REF\SOUTHEAST INDIAN RIDGE\COUNTRYUS\	Geophysical Research Letters, 25(1), 97-100.	1998.00
2953.00	A semi-diagnostic calculation of climate circulation in thewestern Indian Ocean.	SHAJI, C., BAHULAYAN, N., DUBE, S.K. AND RAO, A.D.	\CLIMATE\INDTW\METEOROLOGY\OCEAN CIRCULATION\OCEAN MODEL\REF\SSH\COUNTRYIN\	Indian Journal of Marine Sciences, 26(3), 241-249.	1997.00
2954.00	Numerical experimentation of a diagnostic model of 3-D circulation in the Arabian Sea.	SHAJI, C., BAHULAYAN, N., DUBE, S.K. AND RAO, A.D.	\ARABIAN SEA\CLIMATE\INDNW\INDTW\METEOROLOGY\OCEAN CIRCULATION\OCEAN MODEL\REF\COUNTRYIN\	Indian Journal of Marine Sciences, 26(3), 250-257.	1997.00
2955.00	Capture and release of Lagrangian floats by eddies in shear flow.	SHAPIRO, G.L., BARTON, E.D. AND MESCHANOV, S.L.	\DRIFTERS\EDDIES\OCEAN CIRCULATION\REF\SHEAR\COUNTRYGB\COUNTRYRU\	Journal of Geophysical Research, 102(C13), 27887-27902.	1997.00
2956.00	Local data assimilation in specfication of open boundary conditions.	SHULMAN, I.	\BOUNDARY CONDITIONS\DATA ASSIMILATION\MED\OCEAN CIRCULATION\OCEAN MODEL\REF\COUNTRYUS\	Journal of Atmospheric and Oceanic Technology, 14(6), 1409-1419.	1997.00
2957.00	Accuracy assessment of recent ocean tide models.	SHUM, C.K. et al	\AIMS\REF\SATELLITE ALTIMETRY\TIDAL MODELS\TOPEX-POSEIDON\COUNTRYBE\COUNTRYDK\COUNTRYFR\COUNTRYGB\COUNTRYUS\	Journal of Geophysical Research, 102(C11), 25173-25194.	1997.00
2958.00	Finite difference of adjoint or adjoint of finite difference?	SIRKES, Z. AND TZIPERMAN, E.	\AIMS\ATMOSPHERIC MODEL\DATA ASSIMILATION\OCEAN MODEL\REF\COUNTRYIL\COUNTRYUS\	Monthly Weather Review, 125(12), 3373-3378.	1997.00
2959.00	Subantarctic Mode Water formation by air-sea fluxes.	SPEER, K., RINTOUL, S. AND SLOYAN, B.	\AIR SEA INTERACTION\ANT\EDDIES\EKMAN TRANSPORT\OCEAN CIRCULATION\UNPUBW\COUNTRYAU\	International WOCE Newsletter, No.29, 29-31.  (Unpublished manuscript)	1997.00
2960.00	High resolution XBT/XCTD measurements across Drake Passage.	SPRINTALL, J., PETERSON, R. AND ROEMMICH, D.	\ANTATL\CTD\DRAKE PASSAGE\UNPUBW\XBT\XCTD\COUNTRYAR\COUNTRYUS\	International WOCE Newsletter, No.29, 18-19.  (Unpublished manuscript)	1997.00
2961.00	Temperature evolution of the upper ocean in the Greenland Sea January to March 1989.	SUTTON, P.J., MORAWITZ, W.M.L., WORCESTER, P.F. AND CORNUELLE, B.D.	\ACOUSTIC TOMOGRAPHY\ARCEUR\GREENLAND SEA\REF\SALINITY\TEMPERATURE\UPPER OCEAN\COUNTRYNZ\COUNTRYUS\	Journal of Geophysical Research, 102(C13), 27861-27874.	1997.00
2962.00	Surface Flux Climatology (Version 1.0) available at SOC	ANONYMOUS	\AIR SEA INTERACTION\CLIMATOLOGY\DATA COLLECTIONS\UNPUBW\WIND STRESS\COUNTRYGB\	International WOCE Newsletter, No.29, p.10.  (Unpublished manuscript)	1997.00
2963.00	The definition of El Nino.	TRENBERTH, K.E.	\CLIVAR\EL NINO\METEOROLOGY\REF\SST\TEMPERATURE ANOMALIES\COUNTRYUS\	Bulletin of the American Meteorological Society, 78(12), 2771-2777.	1997.00
2964.00	Atmosphere-ocean coupled variability in the South Atlantic.	VENEGAS, S.A., MYSAK, L.A. AND STRAUB, D.N.	\AIR SEA INTERACTION\ATLS\COADS\METEOROLOGY\REF\SEA LEVEL\SST\COUNTRYCA\	Journal of Climate, 10(11), 2904-2920.	1997.00
2965.00	Ice thickness in the Arctic Ocean: the statistical reliability of experimental data.	WADHAMS, P.	\ARC\ICE THICKNESS\REF\STATISTICS\COUNTRYGB\	Journal of Geophysical Research, 102(C13), 27951-27959.	1997.00
2966.00	Large-eddy simulation of the diurnal cycle of deep equatorial turbulence.	WANG, D., MCWILLIAMS, J.C. AND LARGE, W.G.	\AIMS\DIURNAL VARIATIONS\EDDIES\EQUATORIAL DYNAMICS\MATHEMATICAL MODELS\REF\TURBULENCE\COUNTRYUS\	Journal of Physical Oceanography, 28(1), 129-148.	1998.00
2967.00	Three-dimensional perspectives of the Florida Current: transport, potential vorticity, and related dynamical properties.	WANG, J. AND MOOERS, C.N.K.	\ATLTW\FLORIDA CURRENT\OCEAN CIRCULATION\OCEAN MODEL\REF\TRANSPORT\VORTICITY\COUNTRYUS\	Dynamics of Atmospheres and Oceans, 27(1/4), 135-149.	1998.00
2968.00	Large-scale Rossby wave in the mid-latitude South Pacific from altimetry data.	WANG, L., KOBLINSKY, C.J., HOWDEN, S. AND BECKLEY, B.	\AIMS\PACS\PLANETARY WAVES\REF\SATELLITE ALTIMETRY\TOPEX-POSEIDON\WAVE PROPAGATION\COUNTRYUS\	Geophysical Research Letters, 25(2), 179-182.	1998.00
2969.00	On the role of ocean-atmosphere interaction in midlatitude interdecadal variability.	WENG, W. AND NEELIN, J.D.	\AIR SEA INTERACTION\ATLN\COUPLED MODEL\OCEAN ATMOSPHERE SYSTEM\PACN\REF\SST\TEMPORAL VARIATIONS\COUNTRYUS\	Geophysical Research Letters, 25(2), 167-170.	1998.00
2970.00	Report of WOCE Southern Ocean Workshop, Antarctic Co-operative Research Centre, Hobart, Tasmania, Australia, 8-12 July 1997.	WOCE INTERNATIONAL PROJECT OFFICE	\ANT\CONFERENCE\PROGRESS REPORT\UNPUBW\COUNTRYGB\COUNTRYIPO\	WOCE International Project Office, WOCE Report 156/97, 28pp.	1997.00
2971.00	WOCE Analysis, Interpretation, Modelling and Synthesis (AIMS): strategy document.	WOCE INTERNATIONAL PROJECT OFFICE	\COMMITTEES\MANAGEMENT\UNPUBW\COUNTRYGB\COUNTRYIPO\	WOCE International Project Office, WOCE Report 153/97, 51pp.	1997.00
2972.00	Report of the sixteenth meeting of the WOCE Hydrographic Programme Planning Committee, WHP-16, Bundesamt fur Seechiffahrt und Hydrographie, Hamburg, Germany, 21-23 October 1997.	WOCE INTERNATIONAL PROJECT OFFICE	\COMMITTEES\MANAGEMENT\UNPUBW\WHP\COUNTRYGB\COUNTRYIPO\	WOCE International Project Office, WOCE Report 155/97, 16pp.	1997.00
2973.00	Annual review of the World Climate Research Programme and Report of Eighteenth Session of the Joint Scientific Committee (Toronto, Canada, 17-21 March 1997).	ANONYMOUS	\AIR SEA INTERACTION\COMMITTEES\MANAGEMENT\UNPUBW\WCRP\COUNTRYINT\	World Meteorological Organization, World Climate Research Programme, WMO/TD-No. 855, 82pp. & annexes.	1997.00
2974.00	Global precipitation: a 17-year monthly analysis based on gauge observations, satellite estimates, and numerical model outputs.	XIE, P. AND ARKIN, P.A.	\ATMOSPHERIC PRECIPITATIONS\DATA COLLECTIONS\MATHEMATICAL MODELS\METEOROLOGY\RAINFALL\REF\SATELLITE DATA\COUNTRYUS\	Bulletin of the American Meteorological Society, 78(11), 2539-2558.	1997.00
2975.00	A numerical investigation of the Gulf Stream and its meanders in response to cold air outbreaks.	XUE, H. AND BANE, J.M.	\ATLNW\GULF STREAM\HEAT TRANSFER\OCEAN MODEL\REF\SST\COUNTRYUS\	Journal of Physical Oceanography, 27(12), 2606-2629.	1997.00
2976.00	Relationship between anomalies in sea surface temperature and air-sea heat flux in a simple coupled ocean-atmosphere model.	ZHANG, S., AND GREATBATCH, R.J.	\AIR SEA INTERACTION\COUPLED MODEL\HEAT TRANSFER\REF\SST\TEMPERATURE ANOMALIES\COUNTRYCA\	Journal of Geophysical Research, 102(C11), 25195-25201.	1997.00
2977.00	Technology developments (don't take them for granted!)	GOULD, W.J.	\OCEAN CIRCULATION\TECHNOLOGY\UNPUBW\COUNTRYGB\COUNTRYIPO\	International WOCE Newsletter, No.30, p.2.  (Unpublished manuscript)	1998.00
2978.00	Autonomous floats in WOCE.	DAVIS, R.E.	\ALACE\CTD\FLOATS\OCEAN CIRCULATION\PACS\SALINITY\TEMPERATURE\UNPUBW\COUNTRYGB\	International WOCE Newsletter, No.30, 3-6.  (Unpublished manuscript)	1998.00
2979.00	Advances in drifting buoy technology.	KENNAN, S.C., NIILER, P.P. AND SYBRANDY, A.	\DRIFTERS\OCEAN CIRCULATION\SENSORS\UNPUBW\COUNTRYUS\	International WOCE Newsletter, No.30, 7-10.  (Unpublished manuscript)	1998.00
2980.00	Lowered ADCP development and use in WOCE.	FIRING, E.	\ADCP\CTD\LADCP\UNPUBW\COUNTRYUS\	International WOCE Newsletter, No.30, 10-14.  (Unpublished manuscript)	1998.00
2981.00	Bottom pressure measurements across the Drake Passage choke point.	VASSIE, J.M., SPENCER, R. AND FODEN, P.R.	\ACCLAIM\ANTATL\BOTTOM PRESSURE\DRAKE PASSAGE\MYRTLE\OCEAN CIRCULATION\SEA LEVEL\UNPUBW\COUNTRYGB\	International WOCE Newsletter, No.30, 14-16.  (Unpublished manuscript)	1998.00
2982.00	In-situ temperature calibration: remark on instruments and methods.	BUDEUS, G. AND SCHNEIDER, W.	\CALIBRATION\CTD\MEASUREMENT\TEMPERATURE\UNPUBW\COUNTRYDE\	International WOCE Newsletter, No.30, 16-18.  (Unpublished manuscript)	1998.00
2983.00	Technology revolutionises tracer oceanography during WOCE.	KEY, R.M. AND MCNICHOL, A.	\CARBON ISOTOPES\OCEAN CIRCULATION\RADIOACTIVITY\TRACERS\UNPUBW\COUNTRYUS\	International WOCE Newsletter, No.30, 19-20.  (Unpublished manuscript)	1998.00
2984.00	Advances in tracer measurement.	ROETHER, W., PUTZKA, A., BULSIEWICZ, K., FRAAS, G., KLATT, O., PLEP,W., RUTH, C. AND SCHLENKER, B.	\CFC\HELIUM\TRACERS\UNPUBW\COUNTRYDE\	International WOCE Newsletter, No.30, 21-22.  (Unpublished manuscript)	1998.00
2985.00	Advances in analysis and shipboard processing of tritium and helium samples.	LOTT, D.E. AND JENKINS, W.J.	\CHEMISTRY\HELIUM ISOTOPES\TRITIUM\UNPUBW\COUNTRYUS\	International WOCE Newsletter, No.30, 27-30.  (Unpublished manuscript)	1998.00
2986.00	Satellite datasets for ocean research.	ZLOTNICKI, V.	\DATA COLLECTIONS\OCEAN COLOUR\SATELLITE ALTIMETRY\SATELLITE SENSING\SEA LEVEL\SST\UNPUBW\WATER VAPOUR\WINDS\COUNTRYUS\	International WOCE Newsletter, No.30, 30-34.  (Unpublished manuscript)	1998.00
2987.00	Subsurface float tracking and processing using the ARTOA and ARPRO packages.	SPARROW, M., MENZEL, M., ZERVAKIS, V. AND CANTOS-FIGUEROLA, A.	\FLOATS\NAVIGATION\UNPUBW\COUNTRYES\COUNTRYFR\COUNTRYGR\	International WOCE Newsletter, No.30, 34-36.  (Unpublished manuscript)	1998.00
2988.00	An assimilation of historical observations of temperature profiles into an ocean model.	BELL, M.J. AND GREGORIOUS, L.S.	\ASSIMILATION\OCEAN CIRCULATION\OCEAN MODEL\TEMPERATURE PROFILES\UNPUBW\COUNTRYGB\	International WOCE Newsletter, No.30, 36-39.  (Unpublished manuscript)	1998.00
2989.00	WOCE floats in the South Atlantic.	ZENK, W., SCHMID, C. AND BOEBEL, O.	\ALACE\ATLS\MARVOR\RAFOS\SOFAR\UNPUBW\COUNTRYDE\COUNTRYZA\	International WOCE Newsletter, No.30, 39-43.  (Unpublished manuscript)	1998.00
2990.00	Water mass analysis as a tool for climate research, a workshop held at the IAMAS/IAPSO General Assembly in Melbourne, July 1997.	TOMCZAK, M.	\AIR SEA INTERACTION\CLIMATE CHANGES\UNPUBW\WATER MASSES\COUNTRYAU\	International WOCE Newsletter, No.30, 43-45.  (Unpublished manuscript)	1998.00
2991.00	Present results and prospects insights into ocean circulation from the World Ocean Circulation Experiment.	GOULD, W.J.	\CARBON DIOXIDE\OCEAN CIRCULATION\UNPUBW\COUNTRYGB\COUNTRYIPO\	pp.65-76 in, Ocean Storage of Carbon Dioxide: Workshop 3 - International links and concerns, (ed. B.Ormerod).Cheltenham: CRE Group Ltd for IEA Greenhouse Gas R & D Programme.138pp.	1996.00
2992.00	The Oleander Project: monitoring the variability of the Gulf Stream and adjacent waters between New Jersey and Bermuda.	ROSSBY, T. AND GOTTLIEB, E.	\ADCP\ATLNW\GULF STREAM\MONITORING SYSTEMS\UNPUBW\COUNTRYUS\	Bulletin of the American Meteorological Society, 79(1), 5-18.	1998.00
2993.00	The impact of current and possibly future sea surface temperature anomalies on the frequency of Atlantic hurricanes.	KRISHNAMURTI, T.N., CORREA-TORRES, R., LATIF, M. AND DAUGHENBAUGH, G.	\HURRICANES\MODELLING\PREDICTION\REF\SST\TEMPERATURE ANOMALIES\COUNTRYDE\COUNTRYUS\	Tellus, 50A(2), 186-210.	1998.00
2994.00	Sea surface dynamic height of the Pacific Ocean derived from TOPEX/POSEIDON altimeter data: calculation method and accuracy.	KURAGANO, T. AND SHIBATA, A.	\AIMS\ERRORS\PAC\REF\SATELLITE ALTIMETRY\SSH\TOPEX-POSEIDON\COUNTRYJP\	Journal of Oceanography, 53(6), 585-599.	1997.00
2995.00	Tests of mixed-layer schemes and surface boundary conditions in an ocean general circulation model, using the IMET flux data set.	GODFREY, J.S. AND SCHILLER, A.	\HEAT TRANSFER\MIXED LAYER\OCEAN CIRCULATION\OCEAN MODEL\SST\UNPUBW\COUNTRYAU\	Australia CSIRO Marine Laboratories Report, No.231, 39pp.	1997.00
2996.00	Baroclinic flow referred to the 3000 m reference level across the 180 transect in the subarctic North Pacific.	OHTANI, K., ONISHI, H., KOBAYASHI, N. AND ANMA, G.	\AIMS\ALASKA GULF\BAROCLINIC MOTION\GEOSTROPHY\PACNE\REF\TRANSPORT\COUNTRYJP\	Bulletin of the Faculty of Fisheries Hokkaido University, 48(3),53-64.	1997.00
2997.00	Influences of anthropogenic and oceanic forcing on recent climate change.	FOLLAND, C.K., SEXTON, D.M.H., KAROLY, D.J., JOHNSON, C.E., ROWELL, D.P. AND PARKER, D.E.	\ATMOSPHERIC CIRCULATION\CLIMATE CHANGES\CLIMATE MODEL\CLIVAR\METEOROLOGY\REF\SST\COUNTRYAU\COUNTRYGB\	Geophysical Research Letters, 25(3), 353-356.	1998.00
2998.00	The linearity of the atmospheric response to North Atlantic sea surface temperature anomalies.	LUNKEIT, F. AND VON DETTEN, Y.	\ATLN\CLIVAR\OCEAN CIRCULATION\OCEAN MODEL\REF\TEMPERATURE ANOMALIES\COUNTRYDE\	Journal of Climate, 10(12), 3003-3014.	1997.00
2999.00	Comparison of tropical ocean-atmosphere fluxes with the NCAR Community Climate Model CCM3.	COLLINS, W.D., WANG, J., KIEHL, J.T., ZHANG, G.J.,COOPER, D.I. AND EICHINGER, W.E.	\BOUNDARY LAYERS\CLIMATE MODEL\METEOROLOGY\PACT\REF\TOGA TAO\COUNTRYUS\	Journal of Climate, 10(12), 3047-3058.	1997.00
3000.00	Decadal variability in coupled sea-ice-thermohaline circulation systems.	YANG, J. AND NEELIN, J.D.	\CLIMATE CHANGES\CLIVAR\OCEAN CIRCULATION\REF\SEA ICE\THERMODYNAMICS\THERMOHALINE CIRCULATION\COUNTRYUS\	Journal of Climate, 10(12), 3059-3076.	1997.00
3001.00	How slippery are piecewise-constant coastlines in numerical ocean models?	ADCROFT, A.	\AIMS\BOUNDARY CONDITIONS\OCEAN CIRCULATION\OCEAN MODEL\REF\COUNTRYGB\COUNTRYUS\	Tellus, 50A(1), 95-108.	1998.00
3002.00	The influence of the mean state on interdecadal variability in flat-bottomed ocean models.	PETERSON, K.A. AND GREATBATCH, R.J.	\BOUNDARY CONDITIONS\OCEAN CIRCULATION\OCEAN MODEL\REF\TEMPORAL VARIATIONS\COUNTRYCA\	Tellus, 50A(1), 109-123.	1998.00
3003.00	Sensitivity of a coarse resolution ocean general circulation model under climate change forcing.	GOUGH, W.A. AND ALLAKHVERDOVA, T.	\CLIMATE CHANGES\DIFFUSION\METEOROLOGY\OCEAN CIRCULATION\OCEAN MODEL\REF\COUNTRYCA\	Tellus, 50A(1), 124-133.	1998.00
3004.00	The North Atlantic Oscillation and the latitude of the Gulf Stream.	TAYLOR, A.H. AND STEPHENS, J.A.	\ATLNW\CLIMATE CHANGES\GULF STREAM\METEOROLOGY\NAO\REF\COUNTRYGB\	Tellus, 50A(1), 134-142.	1998.00
