DIUREF	TITLE	AUTHOR	KEYWORDS	REFERENCE	PDATE
67.00	Report of the twentieth meeting of the WOCE Scientific Steering Group, WOCE-20, Takebashi-Kaikan Hotel, Tokyo, Japan, 9-11 November 1993.	WOCE INTERNATIONAL PROJECT OFFICE	\COMMITTEES\MANAGEMENT\PROGRESS REPORT\SSG\UNPUBW\COUNTRYIPO\	WOCE International Project Office, WOCE Report 116/94, 27pp.	1994.00
68.00	The WOCE handbook, 5th edition: a guide to WOCE infrastructure for 1994.	WOCE INTERNATIONAL PROJECT OFFICE	\COMMITTEES\MANAGEMENT\PERSONNEL\SSG\UNPUBW\COUNTRYIPO\	WOCE International Project Office, WOCE Report 118/94, 44pp.	1994.00
69.00	Evaluation of fluxes from forecast models using Voluntary Observing Ship data. In, Joint meeting of the JSC/CCCO Working Group on Air Sea Fluxes and the WOCE Surface Layer Scientific Panel, ECMWF, Reading, 21-25 October 1991.	TAYLOR, P.K AND KENT, E.C.	\AIR SEA INTERACTION\PREDICTION\SELECTED SHIPS\UNPUBW\VOS\COUNTRYGB\	International Oceanographic Commission, JSC-CCCO-WGASF-WOCE-SLSP/3, Annex III.3, (11pp.).	1992.00
71.00	Meteorological measurements from WOCE research ships. In, WOCE Operations Manual Vol. 3: the observational programme. Part 3.1.3: WHP operations and methods, Section 3: Underway measurements.	TAYLOR, P.K. AND WELLER, R.A.	\MEASUREMENT\METEOROLOGICAL OBSERVATIONS\UNPUBW\COUNTRYGB\COUNTRYIPO\COUNTRYUS\	US WOCE WHP Office Report WHPO 91-1, various pagination. (WOCE Report 68/91)	1991.00
72.00	Report on the 4th session of the IOC/SCOR Committee on Climatic Changes in the Ocean.	SMED, J.	\CCCO\CLIMATE CHANGES\TOGA\UNPUBW\COUNTRYDK\COUNTRYINT\	International Council for the Exploration of the Sea, Contribution to Statutory Meeting, Hydrography Committee, CM 1983/C:27, 7pp.	1983.00
73.00	Global observations and understanding of the general circulation of the oceans. (Proceedings of a workshop, held 8-12 Aug 1983, Woods Hole Study Center)	WUNSCH, C. et al	\AIR SEA INTERACTION\CONFERENCE\CURRENTS\DATA COLLECTIONS\OCEAN CIRCULATION\UNPUBW\WATER MASSES\COUNTRYUS\	Washington, DC:  National Academy Press for National Research Council. 418pp.	1984.00
74.00	An ocean climate research strategy.	WEBSTER, F.	\CLIMATE\PLANNING\RESEARCH PROGRAMMES\TOGA\UNPUBW\COUNTRYUS\	Washington, DC:  National Academy Press.  65pp.	1984.00
75.00	Report of the first session of the JSC/CCCO WOCE Scientific Steering Group, Wood Hole, USA, 3-5 Aug 1983.	WOCE INTERNATIONAL PLANNING OFFICE	\CCCO\CLIMATE CHANGES\JSC\MANAGEMENT\OCEAN CIRCULATION\SSG\UNPUBW\COUNTRYINT\COUNTRYIPO\	ICSU/IOC/WMO World Climate Research Programme, WCP-69, WOCE International Planning Office, WOCE Report 1/84, 142pp. 1983.	1983.00
76.00	Report of the second session of the JSC/CCCO WOCE Scientific Steering Group, Wormley, UK, 23-28 January 1984.	WOCE INTERNATIONAL PLANNING OFFICE	\CCCO\CLIMATE CHANGES\JSC\MANAGEMENT\OCEAN CIRCULATION\SSG\UNPUBW\COUNTRYINT\COUNTRYIPO\	ICSU/IOC/WMO World Climate Research Programme, WCP-81, WOCE International Planning Office, WOCE Report 2/84, 35pp. 1984	1984.00
77.00	Report of the 5th session of the Joint Scientific Committee, World Climate Research Programme (Hangzhou, China, 12-17 March 1984).	ANONYMOUS	\CCCO\CLIMATE CHANGES\JSC\MANAGEMENT\OCEAN CIRCULATION\SSG\UNPUBW\COUNTRYINT\COUNTRYIPO\	Geneva: ICSU/WMO. 51pp. & appendices. (WMO/TD-No. 1)	1984.00
