SUMLEV,STATE,COUNTY,REGION,DIVISION,ctyname,STNAME,POPESTIMATE2002,POPESTIMATE2001,NPOPCHG_2002,PPOPCHG_2002,SRANK_POPEST2002,SRANK_POPEST2001,SRANK_NPCHG2002,SRANK_PPCHG2002
050,08,053,4,8,Hinsdale County,Colorado,780,800,-20,-2.5,63,63,56,63
050,08,055,4,8,Huerfano County,Colorado,7906,7794,112,1.4370028227,42,43,34,28
050,08,057,4,8,Jackson County,Colorado,1535,1544,-9,-0.582901554,60,60,53,54
050,08,059,4,8,Jefferson County,Colorado,530455,530076,379,0.0714991812,3,3,20,48
050,08,061,4,8,Kiowa County,Colorado,1492,1528,-36,-2.356020942,61,61,57,61
050,08,063,4,8,Kit Carson County,Colorado,7952,7871,81,1.0290941431,41,41,37,37
050,08,065,4,8,Lake County,Colorado,7808,7818,-10,-0.127909951,43,42,54,53
050,08,067,4,8,La Plata County,Colorado,45808,44931,877,1.9518817743,14,14,13,19
050,08,069,4,8,Larimer County,Colorado,263808,259620,4188,1.6131268777,7,7,6,20
050,08,071,4,8,Las Animas County,Colorado,15455,15232,223,1.4640231092,29,29,28,26
050,08,073,4,8,Lincoln County,Colorado,5917,5892,25,0.4243041412,47,47,46,44
050,08,075,4,8,Logan County,Colorado,21017,20987,30,0.142945633,24,24,45,46
050,08,077,4,8,Mesa County,Colorado,122176,119230,2946,2.4708546507,11,11,7,14
050,08,079,4,8,Mineral County,Colorado,857,815,42,5.1533742331,62,62,42,4
050,08,081,4,8,Moffat County,Colorado,13419,13215,204,1.5437003405,34,34,29,23
050,08,083,4,8,Montezuma County,Colorado,24090,23821,269,1.1292556988,21,21,26,34
050,08,085,4,8,Montrose County,Colorado,35333,34343,990,2.8826835163,17,17,12,11
050,08,087,4,8,Morgan County,Colorado,27642,27369,273,0.9974788995,19,19,25,38
050,08,089,4,8,Otero County,Colorado,19821,20088,-267,-1.329151732,26,26,63,60
050,08,091,4,8,Ouray County,Colorado,3964,3859,105,2.7209121534,54,54,35,12
050,08,093,4,8,Park County,Colorado,16123,15406,717,4.6540308971,28,28,16,6
050,08,095,4,8,Phillips County,Colorado,4541,4483,58,1.293776489,52,53,38,32
050,08,097,4,8,Pitkin County,Colorado,14882,14838,44,0.2965359213,31,31,41,45
050,08,099,4,8,Prowers County,Colorado,14216,14301,-85,-0.59436403,32,32,61,55
050,08,101,4,8,Pueblo County,Colorado,147375,144442,2933,2.0305728251,10,10,8,18
050,08,103,4,8,Rio Blanco County,Colorado,6004,5909,95,1.6077170418,46,46,36,22
050,08,105,4,8,Rio Grande County,Colorado,12212,12212,0,0,36,36,50,50
050,08,107,4,8,Routt County,Colorado,20381,20235,146,0.7215221151,25,25,32,42
050,08,109,4,8,Saguache County,Colorado,6470,6161,309,5.0154195747,45,45,23,5
050,08,111,4,8,San Juan County,Colorado,567,572,-5,-0.874125874,64,64,52,59
050,08,113,4,8,San Miguel County,Colorado,7159,6892,267,3.8740568775,44,44,27,7
050,08,115,4,8,Sedgwick County,Colorado,2711,2670,41,1.5355805243,57,57,43,24
050,08,117,4,8,Summit County,Colorado,24745,24556,189,0.7696693273,20,20,30,41
050,08,119,4,8,Teller County,Colorado,21586,21244,342,1.6098663152,23,23,21,21
050,08,121,4,8,Washington County,Colorado,4848,4850,-2,-0.041237113,51,50,51,51
050,08,123,4,8,Weld County,Colorado,204354,193469,10885,5.6262243564,9,9,3,2
050,08,125,4,8,Yuma County,Colorado,9768,9850,-82,-0.83248731,38,38,60,58
