 Incident particle is a   Muon with M =   105.65839 MeV
 Index =  311:  bohrium
     Absorber with Z = 107,  A = [264.], density = ??          
 Sternheimer coef:  a     k=m_s   x_0    x_1    I[eV]   Cbar  delta0 
                 0.2722  3.0000  0.6270  3.0000 1087.0  6.5246 0.00
 ( Restricted energy loss for Tcut =16.64 MeV
 Table written with (1X, 1P9E10.3,0PF8.4,1pE10.3)          post-Born included in pair prod
 *** Results below 10 MeV are not dependable ***
      T         p     Ionization  brems     pair     photonuc  Radloss    dE/dx   CSDA Range dltterm dE/dx|_R
    [MeV]    [MeV/c]  -----------------------[MeV cm^2/g]------------------------  [g/cm^2]  --[MeV cm^2/g]--
  9.000E+00 4.453E+01 3.899E+00 0.000E+00 0.000E+00 4.068E-05 4.068E-05 3.899E+00 1.365E+00  0.0000 3.899E+00
  1.000E+01 4.704E+01 3.641E+00 0.000E+00 0.000E+00 4.104E-05 4.104E-05 3.641E+00 1.631E+00  0.0000 3.641E+00
  1.200E+01 5.177E+01 3.238E+00 0.000E+00 0.000E+00 4.175E-05 4.175E-05 3.238E+00 2.215E+00  0.0000 3.238E+00
  1.400E+01 5.616E+01 2.935E+00 0.000E+00 0.000E+00 4.245E-05 4.245E-05 2.936E+00 2.865E+00  0.0000 2.935E+00
  1.700E+01 6.230E+01 2.602E+00 0.000E+00 0.000E+00 4.352E-05 4.352E-05 2.602E+00 3.953E+00  0.0000 2.602E+00
  2.000E+01 6.802E+01 2.359E+00 0.000E+00 0.000E+00 4.458E-05 4.458E-05 2.359E+00 5.167E+00  0.0000 2.359E+00
  2.500E+01 7.686E+01 2.074E+00 0.000E+00 0.000E+00 4.636E-05 4.636E-05 2.074E+00 7.436E+00  0.0000 2.074E+00
  3.000E+01 8.509E+01 1.879E+00 0.000E+00 0.000E+00 4.813E-05 4.813E-05 1.879E+00 9.975E+00  0.0000 1.879E+00
  3.500E+01 9.285E+01 1.737E+00 0.000E+00 0.000E+00 4.991E-05 4.991E-05 1.737E+00 1.275E+01  0.0000 1.737E+00
  4.000E+01 1.003E+02 1.630E+00 0.000E+00 0.000E+00 5.168E-05 5.168E-05 1.630E+00 1.572E+01  0.0000 1.630E+00
  4.500E+01 1.074E+02 1.547E+00 0.000E+00 0.000E+00 5.345E-05 5.345E-05 1.547E+00 1.887E+01  0.0000 1.547E+00
  5.000E+01 1.143E+02 1.481E+00 0.000E+00 0.000E+00 5.523E-05 5.523E-05 1.481E+00 2.218E+01  0.0000 1.480E+00
  5.500E+01 1.210E+02 1.427E+00 0.000E+00 0.000E+00 5.700E-05 5.700E-05 1.427E+00 2.562E+01  0.0000 1.427E+00
  6.000E+01 1.276E+02 1.382E+00 0.000E+00 0.000E+00 5.878E-05 5.878E-05 1.382E+00 2.918E+01  0.0000 1.382E+00
  7.000E+01 1.403E+02 1.314E+00 0.000E+00 0.000E+00 6.232E-05 6.232E-05 1.314E+00 3.661E+01  0.0000 1.314E+00
  8.000E+01 1.527E+02 1.265E+00 0.000E+00 0.000E+00 6.587E-05 6.587E-05 1.265E+00 4.437E+01  0.0000 1.265E+00
  9.000E+01 1.647E+02 1.229E+00 3.127E-06 0.000E+00 6.942E-05 7.255E-05 1.229E+00 5.239E+01  0.0000 1.229E+00
  1.000E+02 1.764E+02 1.202E+00 1.447E-05 0.000E+00 7.297E-05 8.743E-05 1.202E+00 6.062E+01  0.0000 1.202E+00
