";"
";","File:","e:\outgoing\doe\grayshbr\70anmllw.dat"
";","Date:","Friday","May",15,1998,"10:49:44"
";","Surface","Name:","70anmllw"
";","Surface","Desc:",1970,"annual","condition","moved","-1.5 to NOS mllw"
";","Point","Type:","Random"
";","Format:","Easting","Northing","Elevation"
";","Pen","Order:","One","Then","Zeroes"
";"
222242.2,180963.5,-5.9436
222240.7,180965.6,-5.9436
222239.4,180967.4,-5.9436
222236.8,180970.3,-5.9436
222234.8,180972.5,-5.9436
222233.3,180974,-5.9436
222230.8,180976.2,-5.9436
222228.2,180978.3,-5.9436
222221.4,180983.4,-5.9436
222209.5,180991.9,-5.9436
222200.5,180998.1,-5.9436
222186.8,181006.9,-5.9436
222172.8,181015.4,-5.9436
221416.7,180477.3,-9.6012
221409.6,180485.5,-9.6012
221396.7,180499.3,-9.6012
221377,180519.8,-9.6012
221367.5,180530.4,-9.6012
221363,180535.9,-9.6012
221358.6,180541.5,-9.6012
221351.1,180551.6,-9.6012
221344.6,180560.5,-9.6012
221339.2,180568.4,-9.6012
221330,180582.5,-9.6012
221323.7,180593.3,-9.6012
221319.2,180601.6,-9.6012
221316.1,180607.9,-9.6012
221311.7,180617.5,-9.6012
221307.8,180627.4,-9.6012
221303.9,180638.9,-9.6012
221300.8,180649,-9.6012
221295.9,180666.9,-9.6012
221288.9,180693.8,-9.6012
221285.1,180707.1,-9.6012
221281.1,180720.4,-9.6012
221268.4,180758.5,-9.6012
221258.6,180786.9,-9.6012
221243.1,180829.3,-9.6012
221234.9,180850.4,-9.6012
221226.3,180871.4,-9.6012
221221.3,180882.4,-9.6012
221216.5,180891.7,-9.6012
221770.7,181207.3,-5.9436
221753.3,181210.1,-5.9436
221727.2,181214.6,-5.9436
221714.2,181217,-5.9436
221701.2,181219.6,-5.9436
221660.9,181228.6,-5.9436
221600.7,181242.6,-5.9436
221570.4,181248.9,-5.9436
221540,181254.3,-5.9436
221476.2,181264.1,-5.9436
221412.3,181273.9,-5.9436
222258,177999.7,-9.6012
222249.3,178030.3,-9.6012
222240.7,178060.8,-9.6012
222239.8,178064.5,-9.6012
222239.3,178068,-9.6012
