 Incident particle is a   Muon with M =   105.65839 MeV
 Index =  310:  seaborgium
     Absorber with Z = 106,  A = [266.], density = ??          
 Sternheimer coef:  a     k=m_s   x_0    x_1    I[eV]   Cbar  delta0 
                 0.2717  3.0000  0.6247  3.0000 1074.0  6.5174 0.00
 ( Restricted energy loss for Tcut =16.64 MeV
 Table written with (1X, 1P9E10.3,0PF8.4,1pE10.3)          post-Born included in pair prod
 *** Results below 10 MeV are not dependable ***
      T         p     Ionization  brems     pair     photonuc  Radloss    dE/dx   CSDA Range dltterm dE/dx|_R
    [MeV]    [MeV/c]  -----------------------[MeV cm^2/g]------------------------  [g/cm^2]  --[MeV cm^2/g]--
  5.500E+00 3.453E+01 5.306E+00 0.000E+00 0.000E+00 3.942E-05 3.942E-05 5.306E+00 5.938E-01  0.0000 5.306E+00
  6.000E+00 3.611E+01 5.014E+00 0.000E+00 0.000E+00 3.959E-05 3.959E-05 5.014E+00 6.908E-01  0.0000 5.014E+00
  7.000E+00 3.909E+01 4.535E+00 0.000E+00 0.000E+00 3.995E-05 3.995E-05 4.535E+00 9.008E-01  0.0000 4.535E+00
  8.000E+00 4.189E+01 4.156E+00 0.000E+00 0.000E+00 4.030E-05 4.030E-05 4.156E+00 1.131E+00  0.0000 4.156E+00
  9.000E+00 4.453E+01 3.848E+00 0.000E+00 0.000E+00 4.066E-05 4.066E-05 3.848E+00 1.382E+00  0.0000 3.848E+00
  1.000E+01 4.704E+01 3.593E+00 0.000E+00 0.000E+00 4.101E-05 4.101E-05 3.593E+00 1.651E+00  0.0000 3.593E+00
  1.200E+01 5.177E+01 3.194E+00 0.000E+00 0.000E+00 4.172E-05 4.172E-05 3.194E+00 2.243E+00  0.0000 3.194E+00
  1.400E+01 5.616E+01 2.895E+00 0.000E+00 0.000E+00 4.243E-05 4.243E-05 2.895E+00 2.902E+00  0.0000 2.895E+00
  1.700E+01 6.230E+01 2.565E+00 0.000E+00 0.000E+00 4.349E-05 4.349E-05 2.565E+00 4.006E+00  0.0000 2.565E+00
  2.000E+01 6.802E+01 2.325E+00 0.000E+00 0.000E+00 4.456E-05 4.456E-05 2.325E+00 5.236E+00  0.0000 2.325E+00
  2.500E+01 7.686E+01 2.044E+00 0.000E+00 0.000E+00 4.633E-05 4.633E-05 2.044E+00 7.538E+00  0.0000 2.044E+00
  3.000E+01 8.509E+01 1.852E+00 0.000E+00 0.000E+00 4.810E-05 4.810E-05 1.852E+00 1.011E+01  0.0000 1.852E+00
  3.500E+01 9.285E+01 1.712E+00 0.000E+00 0.000E+00 4.988E-05 4.988E-05 1.712E+00 1.293E+01  0.0000 1.712E+00
  4.000E+01 1.003E+02 1.606E+00 0.000E+00 0.000E+00 5.165E-05 5.165E-05 1.606E+00 1.595E+01  0.0000 1.606E+00
  4.500E+01 1.074E+02 1.524E+00 0.000E+00 0.000E+00 5.342E-05 5.342E-05 1.524E+00 1.914E+01  0.0000 1.524E+00
  5.000E+01 1.143E+02 1.459E+00 0.000E+00 0.000E+00 5.520E-05 5.520E-05 1.459E+00 2.250E+01  0.0000 1.459E+00
  5.500E+01 1.210E+02 1.406E+00 0.000E+00 0.000E+00 5.697E-05 5.697E-05 1.406E+00 2.599E+01  0.0000 1.406E+00
  6.000E+01 1.276E+02 1.362E+00 0.000E+00 0.000E+00 5.874E-05 5.874E-05 1.362E+00 2.961E+01  0.0000 1.362E+00
