DIUREF	TITLE	AUTHOR	KEYWORD	REFERENCE	PDATE
7978	On the statistical stability of the M2 barotropic and baroclinic tidal characteristics from along-track TOPEX/Poseidon satellite altimetry analysis.	CARRERE, L., LE PROVOST, C., AND LYARD, F.	\REF\COUNTRYFR\ATL\PAC\IND\ANT\SATELLITE ALTIMETRY\SSH\TIDES\STATISTICS\AIMS\	Journal Of Geophysical Research, 109, C03033, doi:10.1029/2003JC001873	2004
7979	A comparison of mixed-layer dynamics between the Arabian Sea and Bay of Bengal: One-dimensional model results.	PRASAD, T.G.	\REF\COUNTRYUS\INDN\MATHEMATICAL MODELS\MIXED LAYER\SEASONAL VARIABILITY\AIR SEA EXCHANGE\WIND STRESS\MONSOONS\	Journal Of Geophysical Research, 109, C03035, doi:10.1029/2003JC002000	2004
7980	Tritium budget of the South Atlantic.	BUTZIN, M., AND ROETHER, W.	\REF\COUNTRYDE\ATLS\TRACERS\TRITIUM\GAS EXCHANGE\TEMPORAL VARIATIONS\GEOSECS\OCEAN CIRCULATION\AIMS\	Journal Of Geophysical Research, 109, C03036, doi:10.1029/2002JC001561	2004
7981	Parameterization of ocean self-attraction and loading in numerical models of the ocean circulation.	STEPANOV, V.N., AND HUGHES, C.W.	\REF\COUNTRYGB\TIDAL MODELS\WIND STRESS\BOTTOM PRESSURE\SEA LEVEL\	Journal Of Geophysical Research, 109, C03037, doi:10.1029/2003JC002034	2004
7982	Shallow water modeling of Antarctic Bottom Water crossing the equator.	CHOBOTER, P.F., AND SWATERS, G.E.	\REF\COUNTRYUS\COUNTRYCA\ATLT\MATHEMATICAL MODELS\CURRENTS\EQUATORIAL DYNAMICS\MIXING\	Journal Of Geophysical Research, 109, C03038, doi:10.1029/2003JC002048	2004
7983	Seasonal and interannual variations of the North Equatorial Current bifurcation in a high-resolution OGCM.	KIM, Y.Y., QU, T., JENSEN, T., MIYAMA, T., MITSUDERA, H., KANG, H.-W., AND ISHIDA, A.	\COUNTRYUS\COUNTRYKR\COUNTRYJP\PACT\OCEAN MODEL\NORTH EQUATORIAL CURRENT\WESTERN BOUNDARY CURRENTS\SEASONAL VARIABILITY\	Journal Of Geophysical Research, 109, C03040, doi:10.1029/2003JC002013	2004
7984	Role of winds in estimation of ocean heat storage anomaly using satellite data.	YAN, X.-H., PAN, J., JO, Y.-H., HE, M.-X., LIU, W.T., AND JIANG, L.	\REF\COUNTRYUS\COUNTRYCN\PAC\UPPER OCEAN\TEMPERATURE\HEAT BUDGET\SATELLITE ALTIMETRY\WIND STRESS\EL NINO\MIXING\AIMS\	Journal Of Geophysical Research, 109, C03041, doi:10.1029/2003JC002202	2004
7985	A late medieval warm period in the Southern Ocean as a delayed response to external forcing?	GOOSSE, H., MASSON-DELMOTTE, V., RENSSEN, H., DELMOTTE, M., FICHEFET, T., MORGAN, V., VAN OMMEN, T., KHIM, B.K., AND STENNI, B.	\REF\COUNTRYIT\COUNTRYKR\COUNTRYAU\COUNTRYBE\COUNTRYFR\COUNTRYNL\ATL\ANT\OCEAN MODEL\TEMPERATURE ANOMALIES\THERMOHALINE CIRCULATION\PALEOCEANOGRAPHY\	Geophysical Research Letters, 31, L06203, doi:10.1029/2003GL019140	2004
7986	Links between salinity variation in the Caribbean and North Atlantic thermohaline circulation.	SCHMIDT, M.W., SPERO, H.J., AND LEA, D.W.	\REF\COUNTRYUS\ATLN\THERMOHALINE CIRCULATION\TEMPORAL VARIATIONS\SALINITY\PALEOCEANOGRAPHY\	Nature 428(6979), 160-163, doi:10.1038/nature02346 	2004
7987	Spreading velocities and dilution of North Atlantic Deep Water in the tropical Atlantic based on CFC time series.	STEINFELDT, R., AND RHEIN, M.	\REF\COUNTRYDE\ATLTW\CFC\TRACERS\WATER MASSES\LSW\NADW\CURRENTS\WESTERN BOUNDARY CURRENTS\AIMS\	Journal Of Geophysical Research, 109, C03046, doi:10.1029/2003JC002050	2004
7988	Dissolved rare earth elements in the eastern Indian Ocean: chemical tracers of the water masses.	ALIBO, D.S., AND NOZAKI, Y.	\REF\COUNTRYJP\IND\TRACERS\WATER MASSES\INDONESIAN THROUGHFLOW\	Deep-Sea Research I, 51(4), 559-576, doi:10.1016/j.dsr.2003.11	2004
7989	Downward channeling of dense water in topographic corrugations.	WAHLIN, A.K.	\REF\COUNTRYNO\ATLNW\OVERFLOW\MATHEMATICAL MODEL\BOTTOM TOPOGRAPHY EFFECTS\DENSITY\FRICTION\	Deep-Sea Research I, 51(4), 577-590, doi:10.1016/j.dsr.2003.11	2004
7990	Monitoring Volume Transport through Measurement of Cable Voltage across the Korea Strait.	KIM, K., LYU, S.J., KIM, Y.-G., CHOI, B.H., TAIRA, K., PERKINS, H.T., TEAGUE, W.J., AND BOOK, J.W.	\REF\COUNTRYKR\COUNTRYJP\COUNTRYUS\PACNW\JAPAN SEA\TRANSPORT\TEMPORAL VARIATIONS\	Journal of Atmospheric and Oceanic Technology, 21(4), 671–682, doi: 10.1175/1520-0426(2004)021<0671:MVTTMO>2.0.CO;2	2004
7991	Autonomous Measurements of Sea Surface Temperature Using In Situ Thermal Infrared Data.	NICLOS, R., CASELLES, V., COLL, C., VALOR, E., AND RUBIO, E.	\REF\COUNTRYES\REMOTE SENSING\SST\	Journal of Atmospheric and Oceanic Technology, 21(4), 683–692, doi: 10.1175/1520-0426(2004)021<0683:AMOSST>2.0.CO;2	2004
7992	Reconstructing Synthetic Profiles from Surface Data.	NARDELLI, B.B., AND SANTOLERI, R.	\REF\COUNTRYIT\MED\SSH\SST\STATISTICS\UPPER OCEAN\ERRORS\	Journal of Atmospheric and Oceanic Technology, 21(4), 693–703, doi: 10.1175/1520-0426(2004)021<0693:RSPFSD>2.0.CO;2	2004
7993	Interpolation Scheme for Standard Depth Data Applicable for Areas with a Complex Hydrographical Structure.	OGUMA, S., SUZUKI, T., NAGATA, Y. WATANABE, H., YAMAGUCHI, H., AND HANAWA, K.	\REF\COUNTRYJP\PACNW\TEMPERATURE\SALINITY\DENSITY\	Journal of Atmospheric and Oceanic Technology, 21(4), 704–715, doi: 10.1175/1520-0426(2004)021<0704:ISFSDD>2.0.CO;2	2004
7994	SEAFLUX.	CURRY, J.A., ET AL.	\REF\COUNTRYUS\COUNTRYFR\COUNTRYAU\COUNTRYJP\COUNTRYCA\COUNTRYGB\COUNTRYDE\AIR SEA INTERACTION\CLIMATOLOGY\SATELLITE SENSING\HEAT EXCHANGE\GEWEX\	Bulletin of the American Meteorological Society, 85(3), 409–424, doi: 10.1175/BAMS-85-3-409	2004
7995	The Interannual Variability of Energy Transports within and over the Atlantic Ocean in a Coupled Climate Model.	SHAFFREY L., AND SUTTON, R.	\REF\COUNTRYGB\ATL\COUPLED MODEL\EKMAN TRANSPORT\NAO\WIND DRIVEN CIRCULATION\	Journal of Climate, 17(7), 1433–1448, doi: 10.1175/1520-0442(2004)017<1433:TIVOET>2.0.CO;2	2004
7996	Reconstructing, Monitoring, and Predicting Multidecadal-Scale Changes in the North Atlantic Thermohaline Circulation with Sea Surface Temperature.	LATIF, M., ROECKNER, E., BOTZET, M., ESCH, M., HAAK, H., HAGEMANN, S., JUNGCLAUS, J., LEGUTKE, S., MARSLAND, S., MIKOLAJEWICZ, U., AND MITCHELL, J.	\REF\COUNTRYDE\COUNTRYGB\ATLN\CLIMATE MODEL\THERMOHALINE CIRCULATION\SST\PREDICTION\TEMPORAL VARIATIONS\	Journal of Climate, 17(7), 1605–1614, doi: 10.1175/1520-0442(2004)017<1605:RMAPMC>2.0.CO;2	2004
7997	Air-Sea Interaction, Coastal Circulation and Primary Production in the Eastern Arabian Sea: A Review.	LUIS, A.J., AND KAWAMURA, H.	\REF\COUNTRYJP\IND\ARABIAN SEA\AIR SEA INTERACTION\PRIMARY PRODUCTION\MONSOONS\	Journal of Oceanography, 60(2), 205-218.	2004
7998	Time-Dependent Spatial Wavenumber Spectra Derived from Merged Sea Surface Temperature Data.	HOSODA, K., AND KAWAMURA, H.	\REF\COUNTRYJP\PACNW\KUROSHIO\SST\SEAONAL VARIABILITY\STATISTICS\	Journal of Oceanography, 60(2), 243-251.	2004
7999	Stability of Temperature and Conductivity Sensors of Argo Profiling Floats.	OKA, E., AND ANDO, K.	\REF\COUNTRYJP\PACNW\ARGO\FLOATS\SALINITY\CALIBRATION\ERRORS\	Journal of Oceanography, 60(2), 253-258.	2004
8000	Separation of quasi-semiannual Rossby waves from the eastern boundary of the Indian Ocean.	BIROL, F., AND MORROW, R.	\REF\COUNTRYFR\INDSE\ROSSBY WAVES\SATELLITE ALTIMETRY\SSH\SEASONAL VARIABILITY\LEEUWIN CURRENT\AIMS\	Journal of Marine Research, 61(6), 707-723, DOI: 10.1357/002224003322981110	2003
8001	Stability of the global ocean circulation: The connection of equilibria within a hierarchy of models.	DIJKSTRA, H.A., AND WEIJER, W.	\REF\COUNTRYNL\OCEAN MODEL\THERMOHALINE CIRCULATION\CLIMATE CHANGES\	Journal of Marine Research, 61(6), 725-743, DOI: 10.1357/002224003322981129	2003
8002	Does the nonlinearity of the equation of state impose an upper bound on the buoyancy frequency?	MCDOUGALL, T.J., CHURCH, J.A., AND JACKETT, D.R.	\REF\COUNTRYAU\EQUATION OF STATE\MIXING\STRATIFICATION\POTENTIAL ENERGY\	Journal of Marine Research, 61(6), 745-764, DOI: 10.1357/002224003322981138	2003
8003	Mass and volume contributions to twentieth-century global sea level rise.	MILLER, L., AND DOUGLAS, B.C.	\REF\COUNTRYUS\SEA LEVEL\TIDE GAUGES\TEMPERATURE\SALINITY\TEMPORAL VARIATIONS\	Nature 428(6981), 406-409, doi:10.1038/nature02309	2004
8004	Southern Ocean Iron Enrichment Experiment: Carbon Cycling in High- and Low-Si Waters.	COALE, K.H., ET AL.	\REF\COUNTRYUS\ANT\TRACERS\IRON\NUTRIENTS\CARBON CYCLE\	Science, 304(5669), 408-414, DOI: 10.1126/science.1089778 	2004
8005	Glacial ventilation rates for the deep Pacific Ocean.	BROECKER, W.S., CLARK, E., HAJDAS I., AND BONANI, G.	\REF\COUNTRYUS\COUNTRYCH\PAC\VENTILATION\PALEOCANOGRAPHY\CARBON ISOTOPES\	Paleoceanography, 19, PA2002, doi:10.1029/2003PA000974	2004
8006	Nonuniform response of the major surface currents in the Nordic Seas to insolation forcing: Implications for the Holocene climate variability.	ANDERSEN, C., KOÇ, N., JENNINGS, A., AND ANDREWS, J.T.	\REF\COUNTRYNO\COUNTRYUS\ATLNN\NORDIC SEAS\SST\PALEOCLIMATE\TEMPORAL VARIATIONS\	Paleoceanography, 19, PA2003, doi:10.1029/2002PA000873	2004
8007	Freshwater content variability in the Arctic Ocean.	HAKKINEN, S., AND PROSHUTINSKY, A.	\REF\COUNTRYUS\ARC\OCEAN MODEL\FRESHWATER\SEA ICE\OCEAN CIRCULATION\	Journal Of Geophysical Research, 109, C03051, doi:10.1029/2003JC001940	2004
8008	Seasonal salt budget of the northwestern tropical Atlantic Ocean along 38°W.	FOLTZ, G.R., GRODSKY, S.A., CARTON, J.A., AND MCPHADEN, M.J.	\REF\COUNTRYUS\ATLTW\SALINITY\FRESHWATER\AIR SEA INTERACTION\SEASONAL VARIABILITY\	Journal Of Geophysical Research, 109, C03052, doi:10.1029/2003JC002111	2004
8009	Water masses and circulation pathways through the Iceland Basin during Vivaldi 1996.	POLLARD, R.T., READ, J.F., HOLLIDAY, N.P., AND LEACH, H.	\REF\COUNTRYGB\ATLN\ICELAND BASIN\OCEAN CIRCULATION\FRONTS\WATER MASSES\AIMS\	Journal Of Geophysical Research, 109, C04004, doi:10.1029/2003JC002067	2004
8010	Interannual to interdecadal variability of sea surface salinity in the Atlantic and its link to the atmosphere in a coupled model.	MIGNOT, J., AND FRANKIGNOUL, C.	\REF\COUNTRYFR\COUPLED MODEL\ATLN\SALINITY\FRESHWATER\NAO\ADVECTION\	Journal Of Geophysical Research, 109, C04005, doi:10.1029/2003JC002005	2004
8011	Decadal variability of circulation in the Arctic Ocean retrieved from climatological data by a variational method.	NECHAEV, D., YAREMCHUK, M., AND IKEDA, M.	\REF\COUNTRYUS\COUNTRYJP\ARC\HYDROGRAPHIC DATA\CLIMATOLOGY\INVERSE METHODS\OCEAN CIRCULATION\CLIMATE CHANGES\	Journal Of Geophysical Research, 109, C04006, doi:10.1029/2002JC001740	2004
8012	A coupled ice-ocean modeling study of the northwest Atlantic Ocean.	ZHANG, S., SHENG, J., AND GREATBATCH, R.J.	\REF\COUNTRYCA\COUPLED MODEL\ATLNW\SEA ICE\OCEAN CIRCULATION\	Journal Of Geophysical Research, 109, C04009, doi:10.1029/2003JC001924	2004
8013	Temperature and salinity increase in the eastern North Atlantic along the 24.5N in the last ten years.	VARGAS-YANEZ, M., PARRILLA, G., LAVIN, A., VELEZ-BELCHI, P., AND GONZALEZ-POLA, C.	\REF\COUNTRYES\ATLN\HYDROGRAPHIC SECTIONS\TEMPERATURE\SALINITY\TEMPORAL VARIATIONS\FLOATS\AIMS\	Geophysical Research Letters, 31, L06210, doi:10.1029/2003GL019308	2004
8014	The three-dimensional structure of the interleaving layers in the western equatorial Pacific Ocean.	LEE, J.H., AND RICHARDS, K.J.	\REF\COUNTRYKR\COUNTRYUS\PACTW\MIXING\UPPER OCEAN\TURBULENCE\DIFFUSION\	Geophysical Research Letters, 31, L07301, doi:10.1029/2004GL019441	2004
8015	Evaluation of ocean carbon cycle models with data-based metrics.	MATSUMOTO, K., ET AL.	\REF\COUNTRYJP\COUNTRYUS\COUNTRYFR\COUNTRYBE\COUNTRYNO\COUNTRYCH\COUNTRYDE\COUNTRYAU\COUNTRYIN\COUNTRYGB\OCEAN MODEL\CARBON CYCLE\CFC\TRACERS\BIOGEOCHEMISTRY\INTERCOMPARISON\AIMS\	Geophysical Research Letters, 31, L07303, doi:10.1029/2003GL018970	2004
8016	Sea surface temperature fronts in the East (Japan) Sea and temporal variations.	PARK, K.-A., CHUNG, J.Y., AND KIM, K.	\REF\COUNTRYKR\PACNW\JAPAN SEA\SATELLITE SENSING\SST\FRONTS\SEASONAL VARIABILITY\	Geophysical Research Letters, 31, L07304, doi:10.1029/2004GL019424	2004
8017	Evidence for enhanced coastal sea level rise during the 1990s.	HOLGATE, S.J., AND WOODWORTH, P.L.	\REF\COUNTRYGB\TIDE GAUGES\SEA LEVEL\SATELLITE ALTIMETRY\AIMS\	Geophysical Research Letters, 31, L07305, doi:10.1029/2004GL019626	2004
8018	A decrease in the sink for atmospheric CO2 in the North Atlantic.	LEFEVRE, N., WATSON, A.J., OLSEN, A., RÍOS, A.F., PEREZ, F.F., AND JOHANNESSEN, T.	\REF\COUNTRYGB\COUNTRYNO\COUNTRYES\OCEAN MODEL\ATLN\CARBON CYCLE\GAS EXCHANGE\BIOGEOCHEMISTRY\	Geophysical Research Letters, 31, L07306, doi:10.1029/2003GL018957	2004
8019	Surface and subsurface dipole variability in the Indian Ocean and its relation with ENSO.	SHINODA, T., HENDON, H.H., AND ALEXANDER, M.A.	\REF\COUNTRYUS\COUNTRYAU\OCEAN MODEL\WIND DRIVEN CIRCULATION\EOF\TEMPERATURE\UPPER OCEAN\ENSO\SATELLITE ALTIMETRY\SSH\	Deep-Sea Research I, 51(5), 619-635, doi:10.1016/j.dsr.2004.01.005	2004
8020	Pacific decadal oscillation and sea level in the Japan/East sea.	GORDON, A.L., AND GIULIVI, C.F.	\REF\COUNTRYUS\PACNW\JAPAN SEA\HYDROGRAPHIC DATA\SATELLITE ALTIMETRY\SSH\PDO\	Deep-Sea Research I, 51(5), 653-663, doi:10.1016/j.dsr.2004.02.005	2004
8021	The large-scale context for oceanic subduction in the Northeast Atlantic.	WELLER, R.A., FUREYA, P.W., SPALL, M.A., AND DAVIS, R.E.	\REF\COUNTRYUS\ATLNE\SUBDUCTION\HEAT EXCHANGE\AIR SEA INTERACTION\EKMAN TRANSPORT\AIMS\	Deep-Sea Research I, 51(5), 665-699, doi:10.1016/j.dsr.2004.01.003	2004
8022	Adiabatically Correcting an Eddy-Permitting Model Using Large-Scale Hydrographic Data: Application to the Gulf Stream and the North Atlantic Current.	EDEN, C., GREATBATCH, R.J., AND BOENING, C.W.	\REF\COUNTRYCA\COUNTRYDE\OCEAN MODEL\ATLNW\GULF STREAM\ASSIMILATION\	Journal of Physical Oceanography, 34(4), 701–719, doi: 10.1175/1520-0485(2004)034<0701:ACAEMU>2.0.CO;2	2004
8023	A New Theory for the Generation of the Equatorial Subsurface Countercurrents.	JOCHUM, M., AND MALANOTTE-RIZZOLI, P.	\REF\COUNTRYUS\ATLT\MATHEMATICAL MODEL\EQUATORIAL DYNAMICS\CURRENTS\INSTABILITY WAVES\	Journal of Physical Oceanography, 34(4), 755–771, doi: 10.1175/1520-0485(2004)034<0755:ANTFTG>2.0.CO;2	2004
8024	Spreading of the Indonesian Throughflow in the Indian Ocean.	SONG, Q, GORDON, A.L., AND VISBECK, M.	\REF\COUNTRYUS\IND\OCEAN MODEL\INDONESIAN THROUGHFLOW\OCEAN CIRCULATION\AGULHAS\ 	Journal of Physical Oceanography, 34(4), 772–792, doi: 10.1175/1520-0485(2004)034<0772:SOTITI>2.0.CO;2	2004
8025	Effects of a Wind-Driven Gyre on Thermohaline Circulation Variability.	PASQUERO, C., AND TZIPERMAN, E.	\REF\COUNTRYIT\COUNTRYIL\ATLN\MATHEMATICAL MODEL\THERMOHALINE CIRCULATION\AIR SEA INTERACTION\FRESHWATER\	Journal of Physical Oceanography, 34(4), 805–816, doi: 10.1175/1520-0485(2004)034<0805:EOAWGO>2.0.CO;2	2004
8026	Circulation and Deep-Water Export at the Western Exit of the Subpolar North Atlantic.	SCHOTT, F.A., ZANTOPP, R., STRAMMA, L., DENGLER, M., FISCHER, J., AND WIBAUX, M.	\REF\COUNTRYDE\ATLNW\CURENT METER DATA\ACM6\TRANSPORT\BOTTOM CURRENTS\NORTH ATLANTIC CURRENT\WESTERN BOUNDARY CURRENTS\AIMS\	Journal of Physical Oceanography, 34(4), 817–843, doi: 10.1175/1520-0485(2004)034<0817:CADEAT>2.0.CO;2	2004
8027	Seasonal Variability of the Large-Scale Currents near the Coast of the Philippines.	YAREMCHUK M., AND QU, T.	\REF\COUNTRYUS\PACTW\WESTERN BOUNDARY CURRENTS\DRIFTERS\SATELLITE ALTIMETRY\HYDROGRAPHIC DATA\MINDANAO CURRENT\TRANSPORT\	Journal of Physical Oceanography, 34(4), 844–855, doi: 10.1175/1520-0485(2004)034<0844:SVOTLC>2.0.CO;2	2004
8028	Potential Vorticity and the Quasigeostrophic and Semigeostrophic Mesoscale Vertical Velocity.	VIUDEZ, A., AND DRITSCHEL, D.G.	\REF\COUNTRYES\COUNTRYGB\MATHEMATICAL MODEL\POTENTIAL VORTICITY\UPWELLING\	Journal of Physical Oceanography, 34(4), 865–887, doi: 10.1175/1520-0485(2004)034<0865:PVATQA>2.0.CO;2	2004
8029	The Thermal Structure of the Upper Ocean.	BOCCALETTI, C., PACANOWSKI, R.C., PHILANDER, G.S.H., AND FEDOROV, A.V.	\REF\COUNTRYUS\MATHEMATICAL MODEL\THERMOCLINE\HEAT BUDGET\WINDS\DIFFUSIVITY\	Journal of Physical Oceanography, 34(4), 888–902, doi: 10.1175/1520-0485(2004)034<0888:TTSOTU>2.0.CO;2	2004
8030	Heat and Mass Budgets of the Warm Upper Layer of the Tropical Atlantic Ocean in 1979–99.	VAUCLAIR, F., DU PENHOAT, Y., AND REVERDIN, G.	\REF\COUNTRYFR\ATLT\UPPER OCEAN\HEAT BUDGET\THERMOCLINE\MIXING\	Journal of Physical Oceanography, 34(4), 903–919, doi: 10.1175/1520-0485(2004)034<0903:HAMBOT>2.0.CO;2	2004
8031	Tropical Warm Pool Surface Heat Budgets and Temperature: Contrasts between1997/98 El Niño and 1998/99 La Niña.	CHOU, S.-H., CHOU, M.-D., CHAN, P.-K., LIN, P.-H., AND WANG, K.-H.	\REF\COUNTRYUS\COUNTRYTW\INDPAC\SST\HEAT EXCHANGE\EVAPORATION\SATELLITE SENSING\ENSO\	Journal of Climate, 17(9), 1845–1858, doi: 10.1175/1520-0442(2004)017<1845:TWPSHB>2.0.CO;2	2004
8032	Combining Argo and remote-sensing data to estimate the ocean three-dimensional temperature fields-a first approach based on simulated observations.	GUINEHUT, S., LE TRAON, P.Y., LARNICOL, G., AND PHILIPPS, S.	\REF\COUNTRYFR\ATLN\OCEAN MODEL\ASSIMILATION\SST\ARGO\FLOATS\PROFILERS\SSSH\	Journal of Marine Systems, 46(1-4), 85-98, doi:10.1016/j.jmarsys.2003.11.022	2004
8033	Definition, properties, and Atlantic Ocean distribution of the new tracer TrOCA.	TOURATIER, F., AND GOYET, C.	\REF\COUNTRYFR\ATL\TRACERS\WATER MASSES\OXYGEN\CARBON\ALKALINITY\NITRATE\	Journal of Marine Systems, 46(1-4), 169-179, doi:10.1016/j.jmarsys.2003.11.016	2004
8034	Applying the new TrOCA approach to assess the distribution of anthropogenic CO2 in the Atlantic Ocean.	TOURATIER, F., AND GOYET, C.	\REF\COUNTRYFR\ATL\TRACERS\WATER MASSES\OXYGEN\CARBON DIOXIDE\ALKALINITY\POTENTIAL TEMPERATURE\GAS EXCHANGE\	Journal of Marine Systems, 46(1-4), 181-197, doi:10.1016/j.jmarsys.2003.11.020	2004
8035	Predictability of El Niño over the past 148 years.	CHEN, D., CANE, M.A., KAPLAN, A., ZEBIAK, S.E., AND HUANG, D.	\REF\COUNTRYUS\COUNTRYCN\PACT\COUPLED MODEL\ENSO\PREDICTION\CLIMATE CHANGES\	Nature, 428(6984), 733-736, doi:10.1038/nature02439	2004
8036	Collapse and rapid resumption of Atlantic meridional circulation linked to deglacial climate changes.	MCMANUS, J.F., FRANCOIS, R., GHERARDI, J.-M., KEIGWIN, L.D., AND BROWN-LEGER, S.	\REF\COUNTRYUS\COUNTRYFR\ATLN\THERMOHALINE CIRCULATION\PALEOCLIMATE\TRACERS\	Nature, 428(6985), 834-837, doi:10.1038/nature02494	2004
8037	Time-dependent, coupled, Ekman boundary layer solutions incorporating Stokes drift.	LEWIS, D.M., AND BELCHER, S.E.	\REF\COUNTRYGB\EKMAN TRANSPORT\WAVES\LAGRANGIAN CURRENT MEASUREMENT\WIND STRESS\	Dynamics of Atmospheres and Oceans, 37(4), 313-351, doi:10.1016/j.dynatmoce.2003.11.001	2004
8038	Stability of North Atlantic water masses in face of pronounced climate variability during the Pleistocene.	RAYMO, M.E., OPPO, D.W., FLOWER, B.P., HODELL, D.A., MCMANUS, J.F., VENZ, K.A., KLEIVEN, K.F., AND MCINTYRE, K.	\REF\COUNTRYUS\COUNTRYNO\ATLN\WATER MASSES\CARBON ISOTOPES\CLIMATE CHANGES\PALEOCEANOGRAPHY\	Paleoceanography, 19, PA2008, doi:10.1029/2003PA000921	2004
8039	The 5500-km-long boundary flow off western and southern Australia.	RIDGWAY, K.R., AND CONDIE, S.A.	\REF\COUNTRYAU\ANT\SHELF DYNAMICS\SATELLITE ALTIMETRY\SST\DRIFTERS\WIND DRIVEN CIRCULATION\LEEUWIN CURRENT\	Journal Of Geophysical Research, 109, C04017, doi:10.1029/2003JC001921	2004
8040	Predictability of Lagrangian particle trajectories: Effects of smoothing of the underlying Eulerian flow.	GRIFFA, A., PITERBARG, L.I., AND OZGOKMEN, T.	\REF\COUNTRYUS\MATHEMATICAL ANALYSIS\LAGRANGIAN CURRENT MEASUREMENT\ADVECTION\DIFFUSION\	Journal of Marine Research, 62(1), 1-35, DOI: 10.1357/00222400460744609	2004
8041	Representativeness of meridional hydrographic sections in the western South Atlantic.	THURNHERR, A.M., AND SPEER, K.G.	\REF\COUNTRYUS\ATLSW\HYDROGRAPHIC DATA\FLOATS\OCEAN CIRCULATION\STATISTICS\	Journal of Marine Research, 62(1), 37-65, DOI: 10.1357/00222400460744618	2004
8042	Interdecadal variation in the extent of South Pacific tropical waters during the Younger Dryas event.	CORREGE, T., GAGAN, M.K., BECK, J.W., BURR, G.S., GUY CABIOCH, G., AND LE CORNEC, F.	\REF\COUNTRYNC\COUNTRYAU\COUNTRYUS\COUNTRYFR\PACT\TEMPERATURE\OXYGEN ISOTOPES\PALEOCLIMATE\	Nature, 428(6986), 927-929, doi:10.1038/nature02506	2004
8043	Gulf Stream variability during marine isotope stage 3.	VAUTRAVERS, M.J., SHACKLETON, N.J., LOPEZ-MARTINEZ, C., AND GRIMALT, J.O.	\REF\COUNTRYGB\COUNTRYES\ATLW\GULF STREAM\THERMOHALINE CIRCULATION\PALEOCEANOGRAPHY\OXYGEN ISOTOPES\	Paleoceanography, 19, PA2011, doi:10.1029/2003PA000966	2004
8044	Upper ocean temperature and the baroclinic transport stream function relationship in Drake Passage.	SOKOLOV, S., KING, B.A., RINTOUL, S.R., AND ROJAS, R.L.	\REF\COUNTRYAU\COUNTRYGB\COUNTRYCL\ANT\ACC\HYDROGRAPHIC SECTIONS\XBT\TRANSPORT\ERRORS\AIMS\	Journal Of Geophysical Research, 109, C05001, doi:10.1029/2003JC002010	2004
8045	Coral radiocarbon records of Indian Ocean water mass mixing and wind-induced upwelling along the coast of Sumatra, Indonesia.	GRUMET, N.S., ABRAM, N.J., BECK, J.W., DUNBAR, R.B., GAGAN, M.K., GUILDERSON, T.P., HANTORO, W.S., AND SUWARGADI, B.W.	\REF\COUNTRYUS\COUNTRYAU\COUNTRYID\IND\CARBON ISOTOPES\ADVECTION\MIXING\UPWELLING\	Journal Of Geophysical Research, 109, C05003, doi:10.1029/2003JC002087	2004
8046	Determination of the surface geostrophic velocity field from satellite altimetry.	PARK, Y.-H.	\REF\COUNTRYFR\MATHEMATICAL ANALYSIS\SATELLITE ALTIMETRY\SSH\CURRENTS\GEOSTROPHY\	Journal Of Geophysical Research, 109, C05006, doi:10.1029/2003JC002115	2004
8047	Propagation of the \"Great Salinity Anomaly\" of the 1990s around the northern North Atlantic.	BELKIN, I.M.	\REF\COUNTRYUS\ATLN\ADVECTION\SALINITY\	Geophysical Research Letters, 31, L08306, doi:10.1029/2003GL019334	2004
8048	The dominant influence of the Icelandic Low on the position of the Gulf Stream northwall.	HAMEED, S., AND PIONTKOVSKI, S.	\REF\COUNTRYUS\ATLNW\GULF STREAM\AIR SEA INTERACTION\NAO\	Geophysical Research Letters, 31, L09303, doi:10.1029/2004GL019561	2004
8049	Short-Range Prediction Experiments with Operational Data Assimilation System for the Kuroshio South of Japan.	KAMACHI, M., KURAGANO, T., SUGIMOTO, S., YOSHITA, K., SAKURAI, T., NAKANO, T., USUI, N., AND UBOLDI, F.	\REF\COUNTRYJP\COUNTRYFR\PACNW\OCEAN MODEL\KUROSHIO\PREDICTION\	Journal of Oceanography, 60(2), 269-282.	2004
8050	Predictability of Interannual Variability in the Kuroshio Transport South of Japan Based on Wind Stress Data over the North Pacific.	TANAKA, K., IKEDA, M., AND MASUMOTO, Y.	\REF\COUNTRYJP\PACN\OCEAN MODEL\WIND STRESS\KUROSHIO\TRANSPORT\PREDICTION\	Journal of Oceanography, 60(2), 283-291.	2004
8051	Application of Sensitivity Analysis Using an Adjoint Model for Short-Range Forecasts of the Kuroshio Path South of Japan.	ISHIKAWA, Y., AWAJI, T., KOMORI, N., AND TOYODA, T.	\REF\COUNTRYJP\PACNW\OCEAN MODEL\KUROSHIO\ASSIMILATION\PREDICTION\	Journal of Oceanography, 60(2), 293-301.	2004
8052	Operational Data Assimilation System for the Kuroshio South of Japan: Reanalysis and Validation.	KAMACHI, M., KURAGANO, T., ICHIKAWA, H., NAKAMURA H., NISHINA, A., ISOBE, A., AMBE, D., ARAI, M., GOHDA, N., SUGIMOTO, S., YOSHITA, K., SAKURAI, T., AND UBOLDI, F.	\REF\COUNTRYJP\COUNTRYFR\PACNW\OCEAN MODEL\ASSIMILATION\KUROSHIO\TRANSPORT\PREDICTION\	Journal of Oceanography, 60(2), 303-312.	2004
