Export Name|PCHA/FireFamily Plus
Version|2.0
Creation Date|01/29/2008 10:38
Selection Criteria|BIA - Eastern Oklahoma Region - Okmulgee Field Office (OKOMA)|Fire Cause Natural, Human and not specified|All fire reports (complete and incomplete)|01/01/1972 through 12/31/2007|All fire types and protection types
Record Count|379
FireId|Organization|Unit|UnitIdentifier|FireName|FireNumber|FireCode|FireType|ProtectionType|StartTime|InitAttTime|ControlTime|ControlAcres|GeneralCause|Datum|Latitude|Longitude|Slope|Elevation|Aspect|MsgcModel|Owner|CompletionCode
501188|BIA|EOR|OKOMA|Cumsey|11|BK8Q|1|1|03/11/2005 11:30|03/11/2005 12:30|03/11/2005 19:30|140.0|5|NAD83|35.9134|-96.2414|2|1|5||02|Complete
501242|BIA|EOR|OKOMA|Fife|12|BK9F|1|1|03/11/2005 15:30|03/11/2005 16:15|03/11/2005 17:30|30.0|4|NAD83|35.6901|-96.4503|1|0|0||02|Complete
501244|BIA|EOR|OKOMA|Kellyvill2|13|BK9G|1|1|03/11/2005 17:00|03/11/2005 18:00|03/11/2005 21:00|20.0|5|NAD83|35.6398|-96.2694|3|2|5|D|02|Complete
501250|BIA|EOR|OKOMA|TribalTown|17|BLP2|1|1|03/12/2005 10:00|03/12/2005 11:00|03/12/2005 12:00|100.0|4|NAD83|34.3626|-96.2336|2|0|0|D|02|Complete
501252|BIA|EOR|OKOMA|Lost|18|BLP3|2|1|03/12/2005 12:00|03/12/2005 12:30|03/12/2005 13:00|35.0|1|NAD83|35.4490|-95.8080|2|1|7||02|Complete
501246|BIA|EOR|OKOMA|Pharaoh|14|BK95|1|1|03/12/2005 14:00|03/12/2005 15:00|03/12/2005 20:00|120.0|4|NAD83|35.4012|-96.1608|2|1|3|D|02|Complete
501248|BIA|EOR|OKOMA|Tiger 2|16|BLF6|1|1|03/13/2005 13:00|03/13/2005 14:00|03/13/2005 23:59|650.0|4|NAD83|35.4415|-95.7886|3|3|5|R|02|Complete
501254|BIA|EOR|OKOMA|Adeer|15|BLD4|1|1|03/13/2005 13:16|03/13/2005 13:45|03/13/2005 14:20|24.0|4|NAD83|35.5054|-96.1817|1|0|6|D|02|Complete
514076|BIA|EOR|OKOMA|Hill|20|BL7E|1|1|03/30/2005 12:00|03/30/2005 12:30|03/30/2005 13:00|190.0|5|NAD83|35.3142|-96.4214|1|1|0||02|Complete
518844|BIA|EOR|OKOMA|2006 Suppt|999|B72M|3|7|10/01/2005 09:26|||||||||||||Complete
518836|BIA|EOR|OKOMA|TigerMtn3|81|B9LC|1|5|10/27/2005 12:00|10/27/2005 12:00|10/27/2005 14:00|20.0|1|NAD83|35.4205|-95.8247|1|1|3|E|08|Complete
516480|BIA|EOR|OKOMA|Canadian|23|B8WN|1|5|11/01/2005 18:00|11/01/2005 18:30|11/01/2005 22:30|298.0|5|NAD83|35.2828|-95.7053|2|1|0||08|Complete
514108|BIA|EOR|OKOMA|ARNOLD|22|B8WM|1|1|11/02/2005 15:00|11/02/2005 15:05|11/04/2005 16:00|635.0|5|NAD83|35.2317|-95.8928|1|1|5|E|02|Complete
518843|BIA|EOR|OKOMA|Texana|21|B8T4|1|5|11/02/2005 15:21|11/02/2005 15:41|11/03/2005 19:30|730.0|9|NAD83|35.3625|-95.5125|1|1|0|L|08|Complete
514027|BIA|EOR|OKOMA|Shooter|24|B8WU|1|5|11/05/2005 13:00|11/05/2005 14:00|11/06/2005 18:00|94.0|5|NAD83|35.3205|-95.6630|1|1|1|E|06|Complete
514030|BIA|EOR|OKOMA|Fish Creek|25|B8W5|1|1|11/05/2005 14:00|11/05/2005 15:00|11/07/2005 20:00|995.0|5|NAD83|35.2030|-96.0186|2|1|7|J|02|Complete
518780|BIA|EOR|OKOMA|ETAL|26|B8YT|1|1|11/06/2005 14:00|11/06/2005 14:15|11/08/2005 13:00|237.0|9|NAD83|35.3908|-96.1980|1|1|0|E|02|Complete
518786|BIA|EOR|OKOMA|THOSMAYES|28|B83E|1|5|11/08/2005 13:00|11/08/2005 13:00|11/10/2005 16:00|1740.0|9|NAD83|35.6683|-96.3686|1|1|0|L|02|Complete
516481|BIA|EOR|OKOMA|Artussee|27|B81K|1|5|11/08/2005 14:25|11/08/2005 14:30|11/09/2005 19:00|108.0|5|NAD83|35.2592|-95.6583|2|1|9||08|Complete
514034|BIA|EOR|OKOMA|Larney|31|B89N|1|1|11/09/2005 09:00|11/10/2005 09:00|11/13/2005 18:00|1480.0|4|NAD83|35.1169|-96.0417|2|1|1|K|02|Complete
518787|BIA|EOR|OKOMA|Gypsy Road|29|B84X|1|5|11/10/2005 14:00|11/10/2005 14:30|11/13/2005 15:13|831.0|9|NAD83|35.6997|-96.5303|1|1|0|L|08|Complete
516486|BIA|EOR|OKOMA|Cal Atwood|45|B9C0|1|5|11/12/2005 10:00|11/12/2005 10:00|11/12/2005 21:00|210.0|5|NAD83|34.7958|-96.2697|1|1|0|K|08|Complete
518796|BIA|EOR|OKOMA|Sand Creek|30|B85H|1|5|11/12/2005 14:14|11/12/2005 14:44|11/12/2005 23:30|130.0|5|NAD83|35.2678|-96.1230|1|1|0|E|08|Complete
516484|BIA|EOR|OKOMA|BunnyCreek|34|B87J|1|5|11/13/2005 04:00|11/13/2005 06:00|11/19/2005 16:00|547.0|5|NAD83|35.3203|-95.5939|1|1|0||08|Complete
518840|BIA|EOR|OKOMA|Riverside|92|B87N|1|1|11/13/2005 18:00|11/13/2005 18:30|11/13/2005 23:59|10.0|9|NAD83|35.2019|-95.8092|1|1|0|E|02|Complete
518842|BIA|EOR|OKOMA|NoahRobert|93|B88K|1|5|11/15/2005 09:00|11/15/2005 11:45|11/16/2005 16:00|550.0|9|NAD83|35.2350|-95.7161|1|1|0|E|02|Complete
518271|BIA|EOR|OKOMA|Jones|101|CF0B|1|1|11/16/2005 14:45|11/16/2005 15:50|11/16/2005 19:30|140.0|1|NAD83|35.5497|-96.1653|1|1|0||02|Complete
