        CERES Azimuth Position File

 Terra Satellite Orbit Inclination:  98.140
    GERB longitude:   -3.4  (if different - recompile!!)
    * DOY 2004001 = 01 January 2004

------------------------------------------------------------
--DOY*------ hhmmss ---orbit -- XT_Azimuth     (lat  lon)
------------------------------------------------------------
2006002     112738     32141      196.77        5.02 -14.06
2006002     112751     32141      192.89        4.22 -14.23
2006002     112804     32141      188.93        3.42 -14.40
2006002     112818     32141      184.92        2.63 -14.57
2006002     112831     32141      180.90        1.83 -14.74
2006002     112844     32141      176.92        1.03 -14.91
2006002     112857     32141      173.00        0.23 -15.08
2006002     112910     32141      169.18       -0.56 -15.25
2006002     112924     32141      165.49       -1.36 -15.42
2006002     112937     32141      161.96       -2.16 -15.59
2006002     112950     32141      158.61       -2.96 -15.76
2006002     113003     32141      155.43       -3.75 -15.93
2006002     113016     32141      152.44       -4.55 -16.10
2006002     113030     32141      149.63       -5.35 -16.27
2006002     113043     32141      147.01       -6.14 -16.44
2006002     113056     32141      144.56       -6.94 -16.61
2006002     113109     32141      142.28       -7.74 -16.78
2006002     113122     32141      140.15       -8.54 -16.96
2006002     113142     32141      137.24       -9.73 -17.21
2006002     113202     32141      134.62      -10.93 -17.47
2006002     113222     32141      132.27      -12.12 -17.74
2006002     113242     32141      130.15      -13.32 -18.00
2006002     113308     32141      127.65      -14.91 -18.35
2006002     113334     32141      125.46      -16.50 -18.71
2006002     113407     32141      123.09      -18.49 -19.16
2006002     113447     32141      120.69      -20.87 -19.72
2006002     113533     32141      118.38      -23.65 -20.38
2006002     113626     32141      116.24      -26.82 -21.16
2006002     113732     32141      114.12      -30.78 -22.18
2006002     113904     32141      111.90      -36.31 -23.72
2006002     114116     32141      109.77      -44.17 -26.24
2006002     114255     32141      180.00      -50.03 -28.49

2006002     125400     32142      228.25       50.13 -26.44
2006002     125459     32142      226.06       46.61 -27.86
2006002     125552     32142      223.90       43.47 -28.99
2006002     125645     32142      221.52       40.32 -30.04
2006002     125731     32142      219.23       37.55 -30.89
2006002     125810     32142      217.10       35.18 -31.59
2006002     125850     32142      214.82       32.81 -32.25
2006002     125930     32142      212.39       30.43 -32.89
2006002     130003     32142      210.24       28.44 -33.41
2006002     130036     32142      207.99       26.46 -33.91
2006002     130109     32142      205.63       24.47 -34.40
2006002     130142     32142      203.17       22.48 -34.88
2006002     130215     32142      200.62       20.49 -35.35
2006002     130241     32142      198.51       18.90 -35.72
2006002     130307     32142      196.35       17.31 -36.08
2006002     130334     32142      194.15       15.72 -36.44
2006002     130400     32142      191.91       14.12 -36.80
2006002     130427     32142      189.65       12.53 -37.15
2006002     130453     32142      187.36       10.93 -37.50
2006002     130519     32142      185.06        9.34 -37.85
2006002     130546     32142      182.76        7.74 -38.19
2006002     130612     32142      180.47        6.15 -38.53
2006002     130639     32142      178.19        4.55 -38.88
2006002     130705     32142      175.94        2.96 -39.22
2006002     130731     32142      173.72        1.36 -39.56
2006002     130758     32142      171.55       -0.23 -39.90
2006002     130824     32142      169.42       -1.83 -40.24
2006002     130857     32142      166.84       -3.82 -40.66
2006002     130930     32142      164.35       -5.81 -41.09
2006002     131003     32142      161.96       -7.81 -41.52
2006002     131036     32142      159.68       -9.80 -41.95
2006002     131109     32142      157.51      -11.79 -42.38
2006002     131149     32142      155.06      -14.18 -42.91
2006002     131228     32142      152.77      -16.57 -43.45
2006002     131308     32142      150.63      -18.95 -43.99
2006002     131354     32142      148.33      -21.73 -44.64
2006002     131447     32142      145.95      -24.91 -45.40
2006002     131540     32142      143.82      -28.08 -46.20
2006002     131546     32142      180.00      -28.47 -46.30

2006003     084300     32154      127.85       41.55  33.71
2006003     084425     32154      130.12       36.42  32.13
2006003     084531     32154      132.25       32.47  31.01
2006003     084631     32154      134.52       28.90  30.06
2006003     084724     32154      136.86       25.72  29.26
2006003     084810     32154      139.19       22.94  28.58
2006003     084849     32154      141.42       20.55  28.02
2006003     084929     32154      143.89       18.16  27.47
2006003     085002     32154      146.14       16.17  27.01
2006003     085035     32154      148.59       14.18  26.57
2006003     085108     32154      151.23       12.19  26.13
2006003     085134     32154      153.50       10.59  25.78
2006003     085201     32154      155.90        9.00  25.43
2006003     085227     32154      158.44        7.40  25.09
2006003     085254     32154      161.11        5.81  24.75
2006003     085320     32154      163.91        4.21  24.40
2006003     085340     32154      166.09        3.02  24.15
2006003     085400     32154      168.33        1.82  23.89
2006003     085419     32154      170.64        0.62  23.64
2006003     085439     32154      172.99       -0.57  23.38
2006003     085459     32154      175.39       -1.77  23.13
2006003     085519     32154      177.83       -2.97  22.87
2006003     085539     32154      180.29       -4.16  22.62
2006003     085558     32154      182.77       -5.36  22.36
2006003     085618     32154      185.26       -6.55  22.11
2006003     085638     32154      187.74       -7.75  21.85
2006003     085658     32154      190.21       -8.94  21.59
2006003     085718     32154      192.65      -10.14  21.33
