"uscode","sic","empflag","emp","qp1","ap","est","f1_4","e1_4","q1_4","a1_4","n1_4","f5_9","e5_9","q5_9","a5_9","n5_9","f10_19","e10_19","q10_19","a10_19","n10_19","f20_49","e20_49","q20_49","a20_49","n20_49","f50_99","e50_99","q50_99","a50_99","n50_99","f100_249","e100_249","q100_249","a100_249","n100_249","f250_499","e250_499","q250_499","a250_499","n250_499","f500_999","e500_999","q500_999","a500_999","n500_999","f1000","e1000","q1000","a1000","n1000"
"98","3820",,289930,2265037,9192565,3928,,1872,12634,80103,936,,3999,26220,112839,592,,8946,61142,260882,643,,24413,176806,718476,767,,26976,203371,824628,378,,58777,449773,1797301,369,,45110,343778,1375519,130,,59507,471499,1903748,80,,60330,519814,2119069,33
"98","3821",,18650,142012,565360,250,,99,783,3069,45,,252,1290,5586,36,"D",0,0,0,39,"D",0,0,0,52,,2132,16330,64566,29,,5153,36569,153462,30,,4605,35556,138786,14,"D",0,0,0,4,"D",0,0,0,1
"98","3822",,25990,162571,643723,243,,93,509,2901,50,,246,1427,6583,35,"D",0,0,0,42,,1417,8254,33108,41,"D",0,0,0,22,"D",0,0,0,29,,2968,13284,52915,8,,8978,58819,230446,13,"D",0,0,0,3
"98","3823",,53388,415244,1664876,748,,339,2059,11379,165,,667,4477,19182,101,,1593,11233,46829,115,,4981,37527,150644,159,,5255,39400,156939,76,,13628,106285,433707,89,,7380,49827,197994,22,,11512,94019,368664,16,,8033,70417,279538,5
"98","3824",,13736,102376,414723,162,"D",0,0,0,41,,163,1093,4425,24,,460,2920,12407,33,,721,4782,18540,23,"D",0,0,0,12,"D",0,0,0,15,,3821,26842,108727,10,"D",0,0,0,3,"D",0,0,0,1
"98","3825",,77150,606358,2562691,873,,393,2680,17313,197,,873,6299,26648,127,,2177,15021,63981,157,,5300,39349,159305,171,,5783,44834,186286,84,,12360,91771,366130,74,,11013,95485,385902,32,,14584,114007,492893,18,,24667,196912,864233,13
"98","3826",,36970,303338,1221462,530,,293,2053,8974,137,,594,4157,18688,89,,1157,7711,32313,83,,2861,21711,92210,85,,4369,32841,134683,60,,6745,59877,237519,43,,5757,45060,180679,17,,9389,80930,320473,13,,5805,48998,195923,3
"98","3827",,23435,199346,790433,260,,102,763,18206,52,,242,1559,6472,36,,492,4025,16536,36,,2058,14872,61045,64,,2253,18090,74159,29,,3072,25352,97480,20,,4912,38929,152804,14,,4369,38343,150526,6,,5935,57413,213205,3
"98","3829",,40357,332043,1321351,843,,467,3327,16076,241,,944,5833,24832,141,,1827,12006,51393,134,,5213,37061,152023,168,,4730,37061,146862,66,,10841,88302,349806,69,,4654,38795,157712,13,,6042,54158,214705,7,,5639,55500,207942,4
"98","3840",,229404,1631667,6736611,3408,,2010,11573,70728,989,,3662,22285,97794,545,,6818,41947,183363,493,,17273,105139,439611,538,,23082,145955,618754,323,,44719,294375,1214542,287,,49457,353501,1407312,135,,51548,396398,1635483,75,,30835,260494,1069024,23
"98","3841",,85959,610875,2538643,1127,,592,4035,29512,295,,1154,7883,32721,170,,2311,15324,64791,164,,6222,45446,180611,197,,8517,62315,268559,117,,14911,101302,419946,95,,16592,117759,465539,45,,24346,181447,760117,36,,11314,75364,316847,8
