Report Date/Time:   02-10-08 03:14:28


                             DAPS
                         DAY  -   41

                        PDTS THAT ARE ACTIVE


 OWNER   ADDRESS  FIRST ACTIVE  LAST ACTIVE    LAST TIME
BCFIRE  BCF10492       2008144      2009041          744
BCFIRE  BCF117E4       2009016      2009041          754
BCFIRE  BCF1227E       2008135      2009041          804
BCFIRE  BCF13108       2008145      2009041          814
BCFIRE  BCF14798       2008148      2009041          824
BCFIRE  BCF154EE       2008190      2009041          834
BCFIRE  BCF16174       2008185      2009041          844
BCFIRE  BCF17202       2008192      2009041          854
BCFIRE  BCF18286       2008192      2009041          904
BCFIRE  BCF1A46A       2008222      2009041          924
BCFIRE  BCF1B71C       2008296      2009041          934
BCHYPW  4340028E       2007354      2009040       221547
BCHYPW  43406768       2009015      2009040       210345
BCHYPW  4340741E       2009006      2009040       230447
BCHYPW  4340849A       2009030      2009040       225738
BCHYPW  434097EC       2007338      2009040       210634
BCHYPW  4340A276       2007337      2009040       220734
BCHYPW  4340B100       2007337      2009040       220842
BCHYPW  4340C790       2007337      2009040       220931
BCHYPW  4340D4E6       2007337      2009040       221035
BCHYPW  4340E17C       2008122      2009040       211131
BCHYPW  43410074       2008122      2009040       211328
BCHYPW  43411302       2008122      2009040       151442
BCHYPW  43412698       2007306      2009040       234354
BCHYPW  434135EE       2008337      2009040       234405
BCHYPW  43416592       2007338      2009041           46
BCHYPW  434176E4       2009007      2009041          139
BCHYPW  4341B3FA       2009005      2009040       230715
BCHYPW  4341C56A       2007337      2009040       230752
BCHYPW  4341D61C       2007337      2009040       230852
BCHYPW  4341E386       2009005      2009040       230908
BCHYPW  4341F0F0       2009025      2009040       231031
BCHYPW  4342077A       2008307      2009040       213159
BCHYPW  4342140C       2007337      2009040       213304
BCHYPW  43422196       2008025      2009040       213351
BCHYPW  43424470       2009028      2009040       213601
                        PDTS THAT ARE ACTIVE


 OWNER   ADDRESS  FIRST ACTIVE  LAST ACTIVE    LAST TIME
--------------------------------------------------------------------------------
BCHYPW  4342629C       2007337      2009040       213753
BCHYPW  434271EA       2007337      2009040       213923
BCHYPW  4342816E       2007337      2009040       214001
BCHYPW  43429218       2007337      2009040       214041
BCHYPW  4342A782       2008255      2009040       230417
BCHYPW  4342B4F4       2007337      2009040       214240
BCHYPW  4342C264       2007337      2009040       214349
BCHYPW  4342D112       2009016      2009040       215039
BCHYPW  4342E488       2007337      2009040       215136
BCHYPW  4342F7FE       2007337      2009040       215239
BCHYPW  43430580       2009008      2009040       215332
BCHYPW  434316F6       2008208      2009040       215454
BCHYPW  4343236C       2007337      2009040       215545
BCHYPW  4343301A       2007337      2009040       215649
BCHYPW  4343468A       2009006      2009040       215744
BCHYPW  43436066       2009040      2009040       194106
BCHYPW  43438394       2008212      2009040       234054
BCHYPW  434390E2       2008021      2009040       235359
BCHYPW  4343A578       2008024      2009040       235255
BCHYPW  4343E672       2007337      2009040       234738
BCHYPW  4343F504       2007337      2009040       214459
BCHYPW  434414C2       2007337      2009040       232947
BCHYPW  43442158       2007345      2009040       234417
BCHYPW  4344322E       2008353      2009040       234426
BCHYPW  434444BE       2008054      2009040       234309
BCHYPW  43447124       2008204      2009040       233433
BCHYPW  434492D6       2009026      2009040       213638
BCHYPW  4344A74C       2006018      2009040       213714
BCHYPW  4344D1DC       2006018      2009040       222136
BCHYPW  4344F730       2008287      2009041          406
BCHYPW  4345054E       2008016      2009040       224345
BCHYPW  43451638       2009038      2009040       233443
BCHYPW  43454644       2008310      2009040       233607
BCHYPW  434573DE       2009028      2009040       234514
BCHYPW  4345A5B6       2009026      2009040       230246
BCHYPW  434674D0       2006018      2009040       231548
BCHYPW  43469722       2009008      2009040       232553
BCHYPW  4347655C       2009030      2009040       234037
BCHYPW  434786AE       2009018      2009040       234047
BCHYPW  434795D8       2009022      2009040       234837
BCHYPW  4347B334       2006018      2009040       235034
BCHYPW  4348803C       2009012      2009040       214537
BCHYPW  4348934A       2009029      2009040       214648
BCHYPW  4348B5A6       2009027      2009040       214842
BCHYPW  4348C336       2008005      2009040       214944
BCHYPW  434917A4       2006018      2009040       233347
BCHYPW  4349223E       2006018      2009040       233504
BCHYPW  43493148       2006018      2009040       233615
BCHYPW  434947D8       2008311      2009040       231903
BCHYPW  43497242       2006018      2009040       233949
BCHYPW  4349B75C       2008274      2009040       220141
BCHYPW  4349C1CC       2009028      2009040       230648
BCHYPW  4349D2BA       2006018      2009040       220339
BCHYPW  4349E720       2009018      2009040       221335
BCHYPW  4349F456       2009027      2009040       221439
                        PDTS THAT ARE ACTIVE


 OWNER   ADDRESS  FIRST ACTIVE  LAST ACTIVE    LAST TIME
--------------------------------------------------------------------------------
BCHYPW  434A03DC       2007342      2009040       225104
BCHYPW  434A10AA       2006018      2009040       225035
BCHYPW  434A3646       1999196      2009040       231734
BCHYPW  434A40D6       2009038      2009040       231839
BCHYPW  434A663A       2001354      2009040       232046
BCHYPW  434A754C       2008318      2009040       232137
BCHYPW  434A85C8       2008290      2009041          354
BCHYPW  434AA324       2006018      2009040       232438
BCHYPW  434AB052       2006018      2009040       232554
BCHYPW  434AD5B4       2008142      2009040       232738
BCHYPW  434B0126       2008045      2009040       232635
BCHYPW  434B1250       2009008      2009040       235854
BCHYPW  434B27CA       2008017      2009041          607
BCHYPW  434B34BC       2006018      2009040       232705
BCHYPW  434B422C       2009011      2009040       234129
BCHYPW  434B515A       2006018      2009040       234537
BCHYPW  434B64C0       2009014      2009040       234546
BCHYPW  434B77B6       2009037      2009040       234807
BCHYPW  434B8732       2007354      2009040       232713
BCHYPW  434B9444       2008325      2009040       235246
