table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,
"Table 2: Annual Estimates of the Population by Sex and Age for New Hampshire: April 1, 2000 to July 1, 2007",,,,,,,,,,
Sex and Age,Population Estimates,,,,,,,,"April 1, 2000",
,"July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
.Under 5 years,"36,870","37,438","37,512","37,216","37,045","37,201","37,097","36,735","36,679","36,679"
.5 to 13 years,"71,780","72,905","73,948","75,684","77,499","78,757","79,735","79,975","79,877","79,877"
.14 to 17 years,"36,916","37,371","37,526","37,079","36,742","36,137","35,085","34,509","34,353","34,353"
.18 to 64 years,"426,292","423,707","419,526","415,305","409,993","405,450","399,584","392,968","391,354","391,354"
.18 to 24 years,"58,704","58,199","58,615","57,644","56,280","54,956","53,548","52,072","51,745","51,745"
.25 to 44 years,"176,773","179,837","181,726","184,530","186,884","189,602","191,482","192,139","192,157","192,157"
.45 to 64 years,"190,815","185,671","179,185","173,131","166,829","160,892","154,554","148,757","147,452","147,452"
.65 years and over,"94,671","93,199","92,165","91,183","89,084","88,041","87,051","86,133","85,836","85,836"
,,,,,,,,,,
.16 years and over,"539,842","535,637","530,258","524,709","517,113","511,238","503,594","495,879","493,920","493,920"
.18 years and over,"520,963","516,906","511,691","506,488","499,077","493,491","486,635","479,101","477,190","477,190"
.15 to 44 years,"263,534","266,260","268,390","269,781","270,525","271,363","271,101","269,655","269,194","269,194"
,,,,,,,,,,
.Median age (years),40.7,40.2,39.8,39.5,39.0,38.6,38.2,37.9,37.8,37.8
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Median age is calculated based on single year of age.",,,,,,,,,,
Suggested Citation:,,,,,,,,,,
"Table 2: Annual Estimates of the Population by Sex and Age for New Hampshire: April 1, 2000 to July 1, 2007 (SC-EST2007-02-33)",,,,,,,,,,
"Source: Population Division, U.S. Census Bureau",,,,,,,,,,
"Release Date: May 1, 2008",,,,,,,,,,
,,,,,,,,,,
