Section P
September 1951 - July 1969
P-1 through P-____?

Public release photos of JPL projects, visitors to JPL, portraits and group photos of employees, social events, club activities, early facilities photos,  ...

There are 17 P-numbered photo albums ... when visiting the Archives to view photos, please request specific photo album numbers, such as photo album P1, or P17.

Dates seen in the index are the dates the photographs were entered into the Photo Lab index and filed.  This is not necessarily the date the photo was actually taken.

(U) - Unclassified


Photo Album P1  (Contains photograph numbers P-1 through P-____)

Date
Entered	Photo #	Description				
11-11-53	P-251		A Negative - H. Richardson, R. Strickler, and Jay Kimple
B Negative - T. H. Pierce, Bob Droz, and T. Fredrico
11-12-53	P-252AB	Christmas negatives
11-19-53	P-253		Bill Cashman
11-23-53	P-254AB	Ten-year pins, W.S. Fernald, R.C. Tarbeck, J. Zitzenberger
V. Valles
11-24-53	P-255		Personnel Section
11-24-53	P-256	1954 ERC Council
11-27-53	P-257		JPL map
11-27-53	P-258		Interior of machine shop
11-24-53	P-259		Dr. Dunn, T. Shack, Howard Martens, Dr. Duwez, V. Larsen
12-4-53	P-260		WSPG chapel and business stores area
12-4-53	P-261		Ten-year pin
12-7-53	P-262		Transportation
12-12-53	P-263ABCD	Christmas Dance
12-12-53	P-264ABCD	Christmas Dance
12-12-53	P-265ABCD	Christmas Dance
12-12-53	P-266ABCD	Christmas Dance
12-12-53	P-267ABCD	Christmas Dance
12-12-53	P-268ABCD	Christmas Dance
12-17-53	P-269AB	Christmas drawings
12-17-53	P-270		Don Ricardo Orchestra


12-17-53	P-271		Toy collection
		P-272		[No Photo]
12-19-53	P-273		JPL children's party
12-21-53	P-274		Christmas party, Children's Aid Society
12-22-53	P-275		Pheasant hunters copied from 35mm Kodachrome
12-30-53	P-276		ERC officers
1-22-54	P-277		Section 69
1-28-54	P-278		1954 Credit Union officers
1-28-54	P-279		Reproductions personnel
1-29-54	P-280AB	Section 14 at WSPG
2-8-54		P-281		Rod and Gun Club
2-25-54	P-282		Guards, swing shift
2-25-54	P-283		Guards, graveyard shift
2-25-54	P-284		Guards, day shift
3-1-54		P-285AB	Archery Club
3-8-54		P-286		ERC gift presentation to Lois Birdsall
3-8-54		P-287ABCD	Pictures of old La Canada Valley
3-25-54	P-288		Stores department
3-29-54	P-289		Mari-Graham, science fiction writer
3-29-54	P-290		Frank Wachtel, grandfather's clock
4-6-54		P-291		Basketball Cup winners
4-9-54		P-292		Bowling trophy winners
4-23-54	P-293		Dr. Dunn opening new building 125
4-27-54	P-294		Section 1 group
4-29-54	P-295		Plant Engineering Group, Section 73
4-28-54	P-296		Miss Guided Missile group
4-28-54	P-297ABCD	Candidates for Miss Guided Missile
4-28-54	P-298ABC	Candidates for Miss Guided Missile
4-28-54	P-299ABC	Candidates for Miss Guided Missile


4-28-54	P-300ABC	Candidates for Miss Guided Missile
5-4-54		P-301		Winner of Credit Union contest
5-5-54		P-302		Bowling champions, 1953-1954
5-5-54		P-303		All-star bowling team
5-7-54		P-304ABC	Caltech Hobby Show
5-7-54		P-305ABC	Caltech Hobby Show
5-7-54		P-306AB	Caltech Hobby Show
5-11-54	P-307AB	Bowling Cup winners and officers
5-10-54	P-308		Bowling shirt presentation
5-13-54	P-309AB	Bob Smith paintings
5-25-54	P-310		Presentation of car keys to R. Strickler (contest winner)
5-22-54	P-311ABCD	Spring Dance
5-22-54	P-312ABCD	Spring Dance
5-22-54	P-313ABCD	Spring Dance
5-22-54	P-314ABCD	Spring Dance
5-22-54	P-315ABC	Spring Dance
5-22-54	P-316ABCD	Spring Dance
5-22-54	P-317ABCD	Spring Dance
5-22-54	P-318ABCD	Spring Dance
5-22-54	P-319ABC	Spring Dance
6-10-54	P-320		Dr. P. Wegener
6-16-54	P-321AB	Moretti sports car
6-18-54	P-322		Sport Car Club
6-28-54	P-323		Steam roller accident by bldg. 125
6-30-54	P-324		Section 2
7-21-54	P-325ABC	Opening of cafeteria
7-23-54	P-326		Section 4, Solid Rockets
7-29-54	P-327		Chest x-ray unit
7-29-54	P-328		Reporting staff, Lab-Oratory
7-30-54	P-329		Golf winners
8-4-54		P-330		JPL baseball team, 1954


8-26-54	P-331		Dr. Dunn, Dr. William Pickering
8-27-54	P-332		John Burke, Gene Giberson
8-27-54	P-333		Athletic Club officers
8-30-54	P-334		Section 3 group, liquid rockets
9-1-54		P-335AB	Dr. William Pickering
9-10-54	P-336ABCD	Dr. William Pickering, General Simon, Dr. Powers, Lieutenant Colonel Johnson
9-12-54	P-337A-E	JPL Picnic, general shots
9-12-54	P-338A-G	JPL Picnic, Indian Springs, Montrose, swimming pool
9-12-54	P-339A-F	JPL Picnic, games
9-12-54	P-340A-F	JPL Picnic, speakers stand, door prizes
9-20-54	P-341ABC	Publicity photos for Credit Union, new car
9-28-54	P-342		Automobile winner
9-28-54	P-343ABCD	Ten-year pins
9-28-54	P-344ABCD	Ten-year pins
9-27-54	P-345		Luncheon for ten-year pin winners
9-28-54	P-346		Section 16
9-27-54	P-347ABCD	Ten-year pins
10-1-54	P-348		Summer bowling winners
10-8-54	P-349		Dr. Jaffee, Section Chief, Section 5
10-7-54	P-350AB	Bob Smith and Bob Hall with cars for Credit Union
10-12-54	P-351		Ray Wilson and trailer
10-20-54	P-352		Rod and Gun Club officers
10-22-54	P-353ABCD	Masquerade Dance
10-22-54	P-354ABCD	Masquerade Dance
10-22-54	P-355ABCD	Masquerade Dance
10-22-54	P-356ABCD	Masquerade Dance
10-22-54	P-357ABCD	Masquerade Dance
10-22-54	P-358ABCD	Masquerade Dance
10-22-54	P-359ABCD	Masquerade Dance


10-22-54	P-360ABCD	Masquerade Dance
10-22-54	P-361ABCD	Masquerade Dance
10-22-54	P-362ABCD	Masquerade Dance
10-22-54	P-363ABCD	Masquerade Dance
10-22-54	P-364ABCD	Masquerade Dance
10-22-54	P-365ABCD	Masquerade Dance
10-22-54	P-366ABCD	Masquerade Dance
10-22-54	P-367ABC	Masquerade Dance
10-25-54	P-368		Dr. Rechtin
10-27-54	P-369		Deleted
10-28-54	P-370		Section 15 at White Sands
10-28-54	P-371AB	Bob Sorenson
10-29-54	P-372ABCD	JPL display at Pasadena Library
[10-54?]	P-373		Bill Lundbom, luncheon
10-28-54	P-374		Lillian Miles
11-19-54	P-375		Bowling trophy winners, 1954 summer season
11-30-54	P-376		Section 17 group
11-30-54	P-377		Employee Recreation Club chairman
12-1-54	P-378		Golf Club trophy winners
12-1-54	P-379		Shooters at target range
12-1-54	P-380		ERC Council, 1955
12-8-54	P-381ABCD	Visit by Frank H. Higgins (Assistant Secretary of Army)
12-8-54	P-382ABCD	Visit by Frank H. Higgins (Assistant Secretary of Army)
12-8-54	P-383ABCD	Visit by Frank H. Higgins (Assistant Secretary of Army)
12-8-54	P-384ABCD	Visit by Frank H. Higgins (Assistant Secretary of Army)
12-8-54	P-385ABCD	Visit by Frank H. Higgins (Assistant Secretary of Army)
12-8-54	P-386ABCD	Visit by Frank H. Higgins (Assistant Secretary of Army)
12-8-54	P-387AB	Visit by Frank H. Higgins (Assistant Secretary of Army)
