Section P
September 1951 - July 1969
P-1 through P-____?

Public release photos of JPL projects, visitors to JPL, portraits and group photos of employees, social events, club activities, early facilities photos,  ...

There are 17 P-numbered photo albums ... when visiting the Archives to view photos, please request specific photo album numbers, such as photo album P1, or P17.

Dates seen in the index are the dates the photographs were entered into the Photo Lab index and filed.  This is not necessarily the date the photo was actually taken.

(U) - Unclassified


Photo Album P1  (Contains photograph numbers P-1 through P-____)

Date
Entered	Photo #	Description				
8-67		P-7823		Lunar Orbiter 5, H-101-R, 378
8-67		P-7824		Lunar Orbiter 5, H-100-L, 379
8-67		P-7825		Lunar Orbiter 5, H-100-C, 380


8-67		P-7826		Lunar Orbiter 5, H-100-R, 381
8-67		P-7827		Lunar Orbiter 5, M-98, 382
8-67		P-7828		Lunar Orbiter 5, M-99, 383
8-67		P-7829		Lunar Orbiter 5, M-100, 384
8-67		P-7830		Lunar Orbiter 5, H-98-L, 385
8-67		P-7831		Lunar Orbiter 5, H-98-C, 386
8-67		P-7832		Lunar Orbiter 5, H-98-R, 387
8-67		P-7833		Lunar Orbiter 5, H-97-L, 388
8-67		P-7834		Lunar Orbiter 5, H-97-C, 389
8-67		P-7835		Lunar Orbiter 5, H-97-R, 390
8-67		P-7836		Lunar Orbiter 5, H-96-L, 391
8-67		P-7837		Lunar Orbiter 5, H-96-C, 392
8-67		P-7838		Lunar Orbiter 5, H-96-R, 393
8-67		P-7839		Lunar Orbiter 5, H-95-L, 394
8-67		P-7840		Lunar Orbiter 5, H-95-C, 395
8-67		P-7841		Lunar Orbiter 5, H-95-R, 396
8-67		P-7842		Lunar Orbiter 5, M-94, 397
8-67		P-7843		Lunar Orbiter 5, M-95, 398
8-67		P-7844		Lunar Orbiter 5, M-96, 399
8-67		P-7845		Lunar Orbiter 5, M-97, 400
8-67		P-7846		Lunar Orbiter 5, H-80-L, 401
8-67		P-7847		Lunar Orbiter 5, H-80-C, 402
8-67		P-7848		Lunar Orbiter 5, H-80-R, 403
8-67		P-7849		Lunar Orbiter 5, H-74-L, 404
8-67		P-7850		Lunar Orbiter 5, H-74-C, 405
8-67		P-7851		Lunar Orbiter 5, H-74-R, 406
8-67		P-7852		Lunar Orbiter 5, H-76-L, 407
8-67		P-7853		Lunar Orbiter 5, H-76-C, 408
8-67		P-7854		Lunar Orbiter 5, H-76-R, 409
8-67		P-7855		Lunar Orbiter 5, H-77-C, 410


8-67		P-7856		Lunar Orbiter 5, H-77-C, 411
8-67		P-7857		Lunar Orbiter 5, M-73, 412
8-67		P-7858		Lunar Orbiter 5, M-75, 413
8-67		P-7859		Lunar Orbiter 5, M-76, 414
8-67		P-7860		Lunar Orbiter 5, M-71, 415
8-67		P-7861		Lunar Orbiter 5, M-98, 416
8-67		P-7862		Lunar Orbiter 5, H-73-L, 417
8-67		P-7863		Lunar Orbiter 5, H-73-C, 418
8-67		P-7864		Lunar Orbiter 5, H-73-R, 419
8-30-67	P-7865AB	Phil McKown, co-op summer student, Systems Analysis Section
8-30-67	P-7866		Phil McKown, co-op summer student, Systems Analysis Section
8-25-67	P-7867AB	NASA Western support sponsored youth and employees, University of
Redlands, teachers' space science workshop
8-25-67	P-7868AB	NASA Western support sponsored youth and employees, University of
Redlands, teachers' space science workshop
8-25-67	P-7869AB	NASA Western support sponsored youth and employees, University of
Redlands, teachers' space science workshop
9-5-67		P-7870AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, B-1 and B-2
9-5-67		P-7871AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, B-3 and B-4
9-5-67		P-7872AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, B-5 and B-6
9-5-67		P-7873AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, B-7 and B-8
9-5-67		P-7874AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, B-9 and B-10
9-5-67		P-7875AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, B-11 and B-12
9-5-67		P-7876AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, B-13 and B-14
9-5-67		P-7877AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, B-15 and B-16
9-5-67		P-7878AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, B-17 and B-18
9-5-67		P-7879AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, C-1 and C-2
9-5-67		P-7880AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, C-3 and C-4
9-5-67		P-7881AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, C-5 and C-6
9-5-67		P-7882AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, C-7 and C-8
9-5-67		P-7883AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, C-9 and C-10


9-5-67		P-7884AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, C-11 and C-12
9-5-67		P-7885AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, C-13 and C-14
9-5-67		P-7886AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, C-15 and C-16
9-5-67		P-7887AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, C-17 and C-18
9-5-67		P-7888		Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, C-19
9-5-67		P-7889AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, D-1 and D-2
9-5-67		P-7890AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, D-3 and D-4
9-5-67		P-7891AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, D-5 and D-6
9-5-67		P-7892AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, D-7 and D-8
9-5-67		P-7893AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, D-9 and D-10
9-5-67		P-7894AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, D-11 and D-12
9-5-67		P-7895AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, D-13 and D-14
9-5-67		P-7896AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, D-15 and D-16
9-5-67		P-7897AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, D-17 and D-18
9-5-67		P-7898		Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, D-19
9-5-67		P-7899AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, E-1 and E-2
9-5-67		P-7900AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, E-3 and E-4
9-5-67		P-7901AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, E-5 and E-6
9-5-67		P-7902AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, E-7 and E-8
9-5-67		P-7903AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, E-9 and E-10
9-5-67		P-7904AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, E-11 and E-12
9-5-67		P-7905AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, E-13 and E-14
9-5-67		P-7906AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, E-15 and E-16
9-5-67		P-7907AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, E-17 and E-18
9-5-67		P-7908		Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, E-19
9-5-67		P-7909AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, F-1 and F-2
9-5-67		P-7910AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, F-3 and F-4
9-5-67		P-7911AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, F-5 and F-6
9-5-67		P-7912AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, F-7 and F-8
9-5-67		P-7913AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, F-9 and F-10


9-5-67		P-7914AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, F-11 and F-12
9-5-67		P-7915AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, F-13 and F-14
9-5-67		P-7916AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, F-15 and F-16
9-5-67		P-7917AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, F-17 and F-18
9-5-67		P-7918AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, G-1 and G-2
9-5-67		P-7919AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, G-3 and G-4
9-5-67		P-7920AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, G-5 and G-6
9-5-67		P-7921AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, G-7 and G-8
9-5-67		P-7922AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, G-9 and G-10
9-5-67		P-7923AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, G-11 and G-12
9-5-67		P-7924AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, G-13 and G-14
9-5-67		P-7925AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, G-15 and G-16
9-5-67		P-7926AB	Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, G-17 and G-18
9-5-67		P-7927		Mariner Mars 1964 (Mariner 3) (Mariner 4) versions, G-19
9-7-67		P-7928AcBc	Evolution of Mariner spacecraft for J. James presentation
9-7-67		P-7929AcBc	Evolution of Mariner spacecraft for J. James presentation
9-7-67		P-7930AcBc	Evolution of Mariner spacecraft for J. James presentation
9-7-67		P-7931AcBc	Evolution of Mariner spacecraft for J. James presentation
9-7-67		P-7932		Evolution of Mariner spacecraft for J. James presentation (color)
9-7-67		P-7933		P. Chapman, portrait
9-7-67		P-7934		Pete Lindley, portrait
9-8-67		P-7935		Gemini 5, California coastline Los Angeles, Salton Sea in background,
Aug 25, 1965, S-65-45631
9-10-67	P-7936AB	Surveyor 5 mission touchdown
9-10-67	P-7937AB	Surveyor 5 mission touchdown
9-10-67	P-7938AB	Surveyor 5 mission touchdown
9-10-67	P-7939AB	Surveyor 5 mission touchdown
9-10-67	P-7940AB	Surveyor 5 mission touchdown


9-10-67	P-7941AB	Surveyor 5 mission touchdown
9-10-67	P-7942AB	Surveyor 5 mission touchdown
9-10-67	P-7943AB	Surveyor 5 mission touchdown
9-10-67	P-7944AB	Surveyor 5 mission touchdown
9-10-67	P-7945AB	Surveyor 5 mission touchdown
9-10-67	P-7946AB	Surveyor 5 mission touchdown
9-10-67	P-7947AB	Surveyor 5 mission touchdown
9-10-67	P-7948AB	Surveyor 5 mission touchdown
9-10-67	P-7949		Surveyor 5 mission touchdown
9-10-67	P-7950AB	Surveyor 5 mission touchdown
9-10-67	P-7951AB	Surveyor 5 mission touchdown
9-10-67	P-7952AB	Surveyor 5 mission touchdown
9-10-67	P-7953AB	Surveyor 5 mission touchdown
9-10-67	P-7954AB	Surveyor 5 mission touchdown
9-10-67	P-7955AB	Surveyor 5 mission touchdown
9-10-67	P-7956AB	Surveyor 5 mission touchdown
9-10-67	P-7957AB	Surveyor 5 mission touchdown
9-10-67	P-7958AB	Surveyor 5 mission touchdown
9-10-67	P-7959AB	Surveyor 5 mission touchdown
9-10-67	P-7960AB	Surveyor 5 mission touchdown
9-10-67	P-7961AB	Surveyor 5 mission touchdown
9-10-67	P-7962AB	Surveyor 5 mission touchdown
9-10-67	P-7963AB	Surveyor 5 mission touchdown
9-10-67	P-7964AB	Surveyor 5 mission touchdown
9-10-67	P-7965AB	Surveyor 5 mission touchdown
9-10-67	P-7966AB	Surveyor 5 mission touchdown
9-10-67	P-7967AB	Surveyor 5 mission touchdown
9-10-67	P-7968AB	Surveyor 5 mission touchdown


9-8-67		P-7969		J. A. Dufresne, portrait
9-11-67	P-7970		Tom Stewart, portrait, CALTECH Management Club newsletter
9-12-67	P-7971		Carol Robillard, portrait
9-15-67	P-7972		H. Trenton England, portrait, (Cape) (color) no neg?
9-15-67	P-7973		Jacqueline Stanley, portrait (Cape) (color) no neg?
9-15-67	P-7974		Richard A. Weaver, portrait (Cape) (color) no neg?
9-19-67	P-7975AB	Christian Science Monitor, interview with Dr. William Pickering and Dr. Parks
9-19-67	P-7976AB	Christian Science Monitor, interview with Dr. William Pickering and Dr. Parks
9-19-67	P-7977AB	Christian Science Monitor, interview with Dr. William Pickering and Dr. Parks
9-19-67	P-7978AB	Christian Science Monitor, interview with Dr. William Pickering and Dr. Parks
9-19-67	P-7979AB	Christian Science Monitor, interview with Dr. William Pickering and Dr. Parks
9-19-67	P-7980AB	Christian Science Monitor, interview with Dr. William Pickering and Dr. Parks
9-19-67	P-7981AB	Christian Science Monitor, interview with Dr. William Pickering and Dr. Parks
9-19-67	P-7982AB	Christian Science Monitor, interview with Dr. William Pickering and Dr. Parks
9-19-67	P-7983AB	Christian Science Monitor, interview with Dr. William Pickering and Dr. Parks
9-19-67	P-7984AB	Christian Science Monitor, interview with Dr. William Pickering and Dr. Parks
9-19-67	P-7985AB	Christian Science Monitor, interview with Dr. William Pickering and Dr. Parks
9-19-67	P-7986AB	Christian Science Monitor, interview with Dr. William Pickering and Dr. Parks
9-20-67	P-7987AB	Surveyor 5, Vernier firing mosaic
9-20-67	P-7988		George Kunkel, portrait
9-21-67	P-7989AB	1 of 2 - Plastic vacuum chamber
			AcBc	2 of 2 - Plastic vacuum chamber
9-21-67	P-7990AB	1 of 2 - Plastic vacuum chamber
			AcBc	2 of 2 - Plastic vacuum chamber
9-21-67	P-7991AB	Italian ambassador and consul visit, Space Flight Operations Facility
(SFOF) bldg.
9-21-67	P-7992AB	Italian ambassador and consul visit, Space Flight Operations Facility
(SFOF) bldg.
9-21-67	P-7993AB	Italian ambassador and consul visit, Space Flight Operations Facility
(SFOF) bldg.
9-21-67	P-7994AB	Italian ambassador and consul visit, bldg. 186
9-21-67	P-7995AB	Italian ambassador and consul visit, bldg. 186


9-21-67	P-7996AB	Italian ambassador and consul visit, bldg. 186
9-21-67	P-7997		Italian ambassador and consul visit, bldg. 186
9-22-67	P-7998AB	Surveyor award presentation
9-22-67	P-7999AB	Surveyor award presentation
9-22-67	P-8000AB	Surveyor award presentation
9-22-67	P-8001		Surveyor award presentation
9-26-67	P-8002		Surveyor 5 footpad, now P-8078, (color)
9-26-67	P-8003		Surveyor 5, Washington press conference, W-1
9-26-67	P-8004		Surveyor 5, Washington press conference, W-2
9-26-67	P-8005		Surveyor 5, Washington press conference, W-3
9-26-67	P-8006		Surveyor 5, Washington press conference, W-4
9-26-67	P-8007		Surveyor 5, Washington press conference, W-5
9-26-67	P-8008		Surveyor 5, Washington press conference, W-6
9-26-67	P-8009		Surveyor 5, Washington press conference, W-7
9-26-67	P-8010		Surveyor 5, Washington press conference, W-8
9-26-67	P-8011		Surveyor 5, Washington press conference, W-9
9-26-67	P-8012		Surveyor 5, Washington press conference, W-10
9-26-67	P-8013		Surveyor 5, Washington press conference, W-11
9-26-67	P-8014		Surveyor 5, Washington press conference, W-12
9-26-67	P-8015		Surveyor 5, Washington press conference, W-13
9-26-67	P-8016		Surveyor 5, Washington press conference, W-14
9-26-67	P-8017		Surveyor 5, Washington press conference, W-15
9-26-67	P-8018		Surveyor 5, Washington press conference, W-16
9-26-67	P-8019		Surveyor 5, Washington press conference, W-17
9-26-67	P-8020		Surveyor 5, Washington press conference, W-18
9-26-67	P-8021		Surveyor 5, Washington press conference, W-19
9-26-67	P-8022		Surveyor 5, Washington press conference, W-20
9-26-67	P-8023		Surveyor 5, Washington press conference, W-21
9-26-67	P-8024		Surveyor 5, Washington press conference, W-22
9-26-67	P-8025		Surveyor 5, Washington press conference, W-23


9-26-67	P-8026		Surveyor 5, Washington press conference, W-24
9-26-67	P-8027		Surveyor 5, Washington press conference, W-25
9-26-67	P-8028		Surveyor 5, Washington press conference, W-26
9-26-67	P-8029		Surveyor 5, Washington press conference, W-27
9-26-67	P-8030		Surveyor 5, Washington press conference, W-28
9-26-67	P-8031		Surveyor 5, Washington press conference, W-29
9-26-67	P-8032		Surveyor 5, Washington press conference, W-30
9-26-67	P-8033		Surveyor 5, Washington press conference, W-31
9-26-67	P-8034		Surveyor 5, Washington press conference, W-32
9-26-67	P-8035		Surveyor 5, Washington press conference, W-33
9-26-67	P-8036		Surveyor 5, Washington press conference, W-34
9-26-67	P-8037		Surveyor 5, Washington press conference, W-35
9-26-67	P-8038		Surveyor 5, Washington press conference, W-36
9-26-67	P-8039		Surveyor 5, Washington press conference, W-37
9-26-67	P-8040		Surveyor 5, Washington press conference, W-38
9-26-67	P-8041		Surveyor 5, Washington press conference, W-39
9-26-67	P-8042		Surveyor 5, Washington press conference, W-40
9-26-67	P-8043		Surveyor 5, Washington press conference, W-41
9-26-67	P-8044		Surveyor 5, Washington press conference, W-42
9-26-67	P-8045		Surveyor 5, Washington press conference, W-43
9-26-67	P-8046		Surveyor 5, Washington press conference, W-44
9-26-67	P-8047		Surveyor 5, Washington press conference, W-45
9-26-67	P-8048		Surveyor 5, Washington press conference, W-46
9-26-67	P-8049		Surveyor 5, Washington press conference, W-47
9-26-67	P-8050		Surveyor 5, Washington press conference, W-48
9-26-67	P-8051		Surveyor 5, Washington press conference, W-49
9-26-67	P-8052		Surveyor 5, Washington press conference, W-50
9-26-67	P-8053		Surveyor 5, Washington press conference, W-51
9-26-67	P-8054		Surveyor 5, Washington press conference, W-52
9-26-67	P-8055		Surveyor 5, Washington press conference, W-53


9-26-67	P-8056		Surveyor 5, Washington press conference, W-54
9-26-67	P-8057		Surveyor 5, Washington press conference, W-55
9-26-67	P-8058		Surveyor 5, Washington press conference, W-56
9-26-67	P-8059		Surveyor 5, Washington press conference, W-57
9-26-67	P-8060		Surveyor 5, Washington press conference, W-58
9-26-67	P-8061		Surveyor 5, Washington press conference, W-59
9-26-67	P-8062		Surveyor 5, Washington press conference, W-60
9-26-67	P-8063		Surveyor 5, Washington press conference, W-61
9-26-67	P-8064		Surveyor 5, Washington press conference, W-62
9-26-67	P-8065		Surveyor 5, Washington press conference, W-63
9-26-67	P-8066		Surveyor 5, Washington press conference, W-64
9-26-67	P-8067		Surveyor 5, Washington press conference, W-65
9-26-67	P-8068		Surveyor 5, Washington press conference, W-66
9-26-67	P-8069		Surveyor 5, Washington press conference, W-67
9-26-67	P-8070		Surveyor 5, Washington press conference, W-68
9-26-67	P-8071		Surveyor 5, Washington press conference, W-69
9-26-67	P-8072		Surveyor 5, Washington press conference, W-70
9-26-67	P-8073		Surveyor 5, Washington press conference, W-71
9-26-67	P-8074		Surveyor 5, Washington press conference, W-72
9-26-67	P-8075		Surveyor 5, Washington press conference, W-73
9-26-67	P-8076		Surveyor 5, Washington press conference, W-74
9-26-67	P-8077		Surveyor 5, Washington press conference, W-75
9-26-67	P-8078		Surveyor 5, Washington press conference, W-76 (color)
9-26-67	P-8079		Surveyor 5, Washington press conference, W-77 (color)
9-26-67	P-8080		Surveyor 5, Washington press conference, W-78 (color)
9-26-67	P-8081		Surveyor 5, Washington press conference, W-79
9-26-67	P-8082		Surveyor 5, Washington press conference, W-80
9-26-67	P-8083		Surveyor 5, Washington press conference, W-81
9-26-67	P-8084		Surveyor 5, Washington press conference, W-82


9-26-67	P-8085		Surveyor 5, Washington press conference, W-83
9-26-67	P-8086		Surveyor 5, Washington press conference, W-84
9-25-67	P-8087AcBc	Plastic vacuum chamber gas glo
9-25-67	P-8088AcBc	Plastic vacuum chamber gas glo
9-25-67	P-8089AcBc	Plastic vacuum chamber gas glo
9-25-67	P-8090AcBc	Plastic vacuum chamber gas glo
9-25-67	P-8091		Plastic vacuum chamber gas glo
9-10-67	P-8092		Surveyor 5 press release 1, day 254-02:04:15
9-10-67	P-8093		Surveyor 5 press release 2, day 254-02:05:35
9-10-67	P-8094		Surveyor 5 press release 3, day 254-02:29:37
9-10-67	P-8095		Surveyor 5 press release 4, day 254-23:40:37
9-10-67	P-8096		Surveyor 5 press release 5, 00:39:53
9-10-67	P-8097		Surveyor 5 press release 6, mosaic
9-10-67	P-8098		Surveyor 5 press release 7, day 254-23:50:17
9-10-67	P-8099		Surveyor 5 press release 8, day 254-23:52:53
9-10-67	P-8100		Surveyor 5 press release 9, 256-06:36:07
9-10-67	P-8101		Surveyor 5 press release 10, before and after Vernier [LEAVE
BOLDED]
10-3-67	P-8102AB	NASA Service Awards, 10 and 15 years
10-3-67	P-8103AB	NASA Service Awards, 10 and 15 years
10-5-67	P-8104AB	Surveyor 5, Washington press conference, W-36
10-5-67	P-8105CD	Surveyor 5, Washington press conference, W-36
10-5-67	P-8106EF	Surveyor 5, Washington press conference, W-36
10-5-67	P-8107GH	Surveyor 5, Washington press conference, W-36
10-5-67	P-8108		Dennis Le Croissette, portrait
10-2-67	P-8109		Dr. Eberhart Rechtin, portrait
10-9-67	P-8110		Surveyor 5, Washington press conference, W-77A
10-10-67	P-8111AB	Charles C. Kirsten, portrait


10-9-67	P-8112AB	Annual award - NASA Service
10-9-67	P-8113AB	Annual award - NASA Service
10-9-67	P-8114AB	Annual award - NASA Service
10-9-67	P-8115AB	Annual award - NASA Service
10-9-67	P-8116		Annual award - NASA Service
10-12-67	P-8117AB	John Scull, portrait
10-12-67	P-8118		Robert Stevens, portrait
10-12-67	P-8119AcBc	Technology utilization configuration, NASA/JPL
10-12-67	P-8120AcBc	Technology utilization configuration, NASA/JPL
10-12-67	P-8121AcBc	Technology utilization configuration, NASA/JPL
10-12-67	P-8122AcBc	Technology utilization configuration, NASA/JPL
10-12-67	P-8123AcBc	Technology utilization configuration, NASA/JPL
10-12-67	P-8124AcBc	Technology utilization configuration, NASA/JPL
10-12-67	P-8125AcBc	Technology utilization configuration, NASA/JPL
10-12-67	P-8126AcBc	Technology utilization configuration, NASA/JPL
10-12-67	P-8127AcBc	Technology utilization configuration, NASA/JPL
10-12-67	P-8128AB	NASA/JPL technology seminar
10-12-67	P-8129AB	NASA/JPL technology seminar
10-12-67	P-8130AB	NASA/JPL technology seminar
10-12-67	P-8131AB	NASA/JPL technology seminar
10-12-67	P-8132AB	NASA/JPL technology seminar
10-12-67	P-8133AB	NASA/JPL technology seminar
10-12-67	P-8134AB	NASA/JPL technology seminar
10-12-67	P-8135AB	NASA/JPL technology seminar
10-12-67	P-8136		NASA/JPL technology seminar
10-12-67	P-8137AB	Technology utilization conference, NASA/JPL
10-12-67	P-8138AB	Technology utilization conference, NASA/JPL
10-12-67	P-8139AB	Technology utilization conference, NASA/JPL
10-12-67	P-8140AB	Technology utilization conference, NASA/JPL
10-17-67	P-8141		Mariner Mars 1969 (Mariner 7)
				A - Effects of electrons on radio waves
				B - Atmospheric effects on radio waves


10-19-67	P-8142AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF),
flyby activity
10-19-67	P-8143AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF),
flyby activity
10-19-67	P-8144AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF),
flyby activity
10-19-67	P-8145AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-19-67	P-8146AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-19-67	P-8147AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF),
flyby activity
10-19-67	P-8148AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-19-67	P-8149AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF),
flyby activity
10-19-67	P-8150AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF),
flyby activity
10-19-67	P-8151AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF),
flyby activity
10-19-67	P-8152AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-19-67	P-8153AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-17-67	P-8154AB	10 and 15-year service awards
10-17-67	P-8155AB	10 and 15-year service awards
10-17-67	P-8156AB	10 and 15-year service awards
10-17-67	P-8157AB	10 and 15-year service awards
10-17-67	P-8158AB	10 and 15-year service awards
10-17-67	P-8159AB	10 and 15-year service awards
10-17-67	P-8160AB	10 and 15-year service awards
10-17-67	P-8161AB	10 and 15-year service awards
10-17-67	P-8162		10 and 15-year service awards
10-19-67	P-8163AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-19-67	P-8164AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-19-67	P-8165AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-19-67	P-8166AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-19-67	P-8167AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-19-67	P-8168AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-19-67	P-8169AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-19-67	P-8170AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-19-67	P-8171AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity


10-19-67	P-8172AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-19-67	P-8173AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-19-67	P-8174AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-19-67	P-8175AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-19-67	P-8176AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-19-67	P-8177AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-19-67	P-8178AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-19-67	P-8179AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-19-67	P-8180AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-18-67	P-8181AB	Dr. William Pickering and Mariner Venus (Mariner 5) [Proof Test Model]
PTM for LA Times supplement
10-18-67	P-8182AcBc	Dr. William Pickering and Mariner Venus (Mariner 5) PTM for LATimes
supplement
10-20-67	P-8183AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-20-67	P-8184AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-20-67	P-8185AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-20-67	P-8186AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-20-67	P-8187AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-20-67	P-8188AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-20-67	P-8189AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-20-67	P-8190AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-20-67	P-8191AB	Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-20-67	P-8192		Mariner Venus (Mariner 5), Space Flight Operations Facility (SFOF), flyby
activity
10-20-67	P-8193AB	Mariner Venus (Mariner 5) , von Karman press conference
10-20-67	P-8194AB	Mariner Venus (Mariner 5) , von Karman press conference
10-20-67	P-8195AB	Mariner Venus (Mariner 5) , von Karman press conference
10-20-67	P-8196AB	Mariner Venus (Mariner 5) , von Karman press conference
10-20-67	P-8197AB	Mariner Venus (Mariner 5) , von Karman press conference
