                                                                     TABLE 1
                                          AGGREGATE RESERVES OF DEPOSITORY INSTITUTIONS AND THE MONETARY BASE
                                          ADJUSTED FOR CHANGES IN RESERVE REQUIREMENTS, MILLIONS OF DOLLARS                   February  5, 2009
               ----------------------SEASONALLY ADJUSTED----------------------  --------------------NOT SEASONALLY ADJUSTED--------------------
                                            NON-                                                             NON-
                               NON-       BORROWED                                              NON-       BORROWED
                  TOTAL      BORROWED     RESERVES     REQUIRED     MONETARY       TOTAL      BORROWED     RESERVES     REQUIRED     MONETARY
     DATE       RESERVES     RESERVES    PLUS EXT CR   RESERVES       BASE       RESERVES     RESERVES    PLUS EXT CR   RESERVES       BASE
 -----------   -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------
      Dec.        17021        15723        15723        16717        81073        17242        15944        15944        16939        82465  
 1974-Jan.        17222        16171        16174        17060        81850        18290        17239        17242        18128        82387  
      Feb.        17125        15933        15933        16941        82341        17155        15964        15964        16971        81369  
      Mar.        17131        15817        15817        16997        82835        16853        15539        15539        16719        81886  
      Apr.        17298        15561        15561        17116        83621        17380        15643        15643        17198        83417  
      May         17423        14833        15491        17263        84432        17355        14765        15423        17195        84294  
      June        17367        14361        15587        17169        84895        17050        14043        15269        16852        84845  
      July        17486        14185        15615        17323        85439        17580        14279        15709        17418        86012  
      Aug.        17391        14055        15592        17203        85974        17068        13732        15268        16879        86043  
      Sep.        17385        14102        15731        17204        86377        17046        13764        15393        16866        86014  
      Oct.        17349        15536        16021        17228        86513        17220        15407        15892        17100        86356  
      Nov.        17453        16201        16361        17248        87043        17321        16069        16229        17116        87551  
      Dec.        17550        16823        16970        17292        87535        17768        17041        17188        17510        89089  
 1975-Jan.        17273        16874        17010        17126        87756        18296        17898        18034        18149        88285  
      Feb.        17271        17123        17176        17077        88192        17271        17124        17177        17078        87151  
      Mar.        17439        17333        17370        17239        88916        17155        17049        17086        16955        87935  
      Apr.        17498        17387        17398        17340        89116        17552        17441        17452        17394        88839  
      May         17353        17288        17291        17198        89610        17311        17245        17248        17155        89476  
      June        17715        17488        17504        17513        90817        17413        17186        17202        17211        90801  
      July        17632        17331        17351        17445        91373        17722        17421        17440        17534        91954  
      Aug.        17660        17449        17461        17465        91700        17404        17193        17205        17209        91781  
      Sep.        17834        17438        17452        17643        92119        17536        17140        17154        17345        91748  
      Oct.        17587        17397        17408        17380        92448        17484        17293        17305        17277        92254  
      Nov.        17849        17789        17794        17566        93373        17804        17744        17749        17521        93927  
      Dec.        17822        17692        17704        17556        93887        18088        17958        17970        17822        95568  
 1976-Jan.        17616        17537        17549        17376        94281        18666        18588        18599        18426        94827  
      Feb.        17806        17725        17734        17587        95039        17766        17686        17695        17548        93927  
      Mar.        17875        17821        17824        17651        95786        17524        17471        17474        17301        94708  
      Apr.        17719        17675        17675        17564        96479        17741        17697        17697        17586        96231  
