  Tick      DoY      hits
  325698  147.98270   1
  325699  147.98280   1
  325703  147.98340   2
  325704  147.98360   1
  325705  147.98370   2
  325707  147.98400   1
  325711  147.98460   2
  325713  147.98490   1
  325715  147.98520   1
  325716  147.98540   1
  325723  147.98650   1
  325728  147.98720   1
  325729  147.98740   1
  325739  147.98890   1
  325746  147.98990   1
  325754  147.99120   2
  325783  147.99560   1
  325798  147.99780   1
  325804  147.99870   1
  325813  148.00010   1
  325817  148.00070   1
  325842  148.00450   1
  325851  148.00590   1
  325854  148.00630   1
  326121  148.04680   1
  326127  148.04770   1
  326130  148.04820   1
  326131  148.04830   1
  326136  148.04910   1
  326149  148.05110   1
  326193  148.05770   1
  326266  148.06880   1
  326273  148.06990   1
  326559  148.11320   1
  326581  148.11660   1
  326597  148.11900   1
  326617  148.12200   1
  326935  148.17020   1
  326958  148.17370   1
  327273  148.22150   1
  327450  148.24830   1
  327896  148.31600   1
  328315  148.37950   1
  328323  148.38070   1
  328704  148.43850   1
  328705  148.43860   3
  328720  148.44090   1
  328721  148.44110   1
  328725  148.44170   1
  328729  148.44230   1
  328738  148.44360   2
  328739  148.44380   1
  328749  148.44530   1
  328750  148.44550   1
  328763  148.44740   1
  328992  148.48220   1
  329135  148.50380   1
  329166  148.50860   1
  329188  148.51190   1
  329562  148.56860   1
  329563  148.56880   1
  329857  148.61330   1
  330276  148.67690   1
  330277  148.67700   1
  330688  148.73930   1
  330729  148.74560   1
  331209  148.81840   1
  331321  148.83530   1
  331529  148.86690   1
  331717  148.89540   1
  331718  148.89550   4
  331719  148.89570   1
  331733  148.89780   2
  331737  148.89840   1
  331738  148.89860   1
  331757  148.90140   1
  331776  148.90430   1
  332006  148.93920   1
  332013  148.94030   1
  332148  148.96070   1
  332166  148.96350   1
  332182  148.96590   1
  332184  148.96620   1
  332192  148.96740   1
  332605  149.03000   1
  332646  149.03630   1
  332814  149.06170   1
  332988  149.08810   1
  333611  149.18260   1
  333729  149.20050   1
  334158  149.26550   1
  334584  149.33010   1
  334733  149.35270   1
  334751  149.35550   1
  335156  149.41690   1
  335181  149.42070   1
  335182  149.42080   1
  335190  149.42200   1
  335197  149.42310   1
  335210  149.42510   1
  335587  149.48220   1
  335626  149.48810   1
  336055  149.55320   1
  336485  149.61840   1
  338206  149.87940   1
  339080  150.01190   1
  339183  150.02750   1
  339501  150.07570   1
  340178  150.17840   1
  340236  150.18720   1
  340359  150.20590   1
  340759  150.26650   1
  340783  150.27010   1
  342536  150.53600   1
  343125  150.62530   1
  343384  150.66460   1
  343415  150.66930   1
  344229  150.79270   1
  344489  150.83210   1
  344499  150.83360   1
  344658  150.85780   1
  345286  150.95300   1
  345423  150.97380   1
  345779  151.02770   1
  345784  151.02850   1
  346100  151.07640   1
  346425  151.12570   1
  347206  151.24410   1
  347414  151.27570   1
  347687  151.31710   1
  348132  151.38460   1
  349817  151.64010   1
  350950  151.81190   1
  351580  151.90740   1
  352680  152.07420   1
  353330  152.17280   1
  355255  152.46470   1
  355708  152.53340   1
  356550  152.66100   1
  356970  152.72470   1
  358699  152.98690   1
  360843  153.31200   1
  363656  153.73860   1
  363883  153.77300   1
  366688  154.19840   1
  368598  154.48800   1
  372024  155.00750   1
  372047  155.01100   1
  372466  155.07450   1
  372835  155.13050   1
  372836  155.13060   2
  375477  155.53110   1
  375514  155.53670   1
  376998  155.76180   1
  377624  155.85670   1
  379392  156.12480   1
  380551  156.30050   1
  380977  156.36510   3
  380978  156.36530  14
  380979  156.36540   2
  380981  156.36580   5
  380982  156.36590   4
  380983  156.36600   3
  380984  156.36620  13
  380985  156.36630  26
  380986  156.36650  27
  380987  156.36670   2
