Begin Header
	version	6.0.0
	Date	Wed May 04 16:46:14 EDT 2005
	Image File	C:\My Documents\Results\LBL samples\2005_03_E39_KCl\E39_Qiang_N_Cy3_13090826.tif
	Page	0
	Page Name	
	Inverted	false
	Begin Field Dimensions
		Field	Metarows	Metacols	Rows	Cols
		A	8	4	16	18
	End Field Dimensions
	Begin Measurement parameters
		Segmentation Method	auto
		Signal Low	0.0
		Signal High	0.0
		Background Low	0.0
		Background High	0.0
		Background Buffer	3.0
		Background Width	3.0
	End Measurement parameters
	Begin Alerts
		Control Type	Minimum threshold	If tested	Percentage allowed	If failed	Maximum threshold	If tested	Percentage allowed	If failed	CV threshold	If tested	If failed
	End Alerts
	Begin Quality Flags
		Begin Flagging Settings
			Empty Spots	true	Threshold:	3.0
			Poor Spots	true
			Begin Poor Spots Parameters
				Background contamination flag	true	Threshold:	0.9995
				Background tested against subgrid data only	true
				Signal contamination flag	false	Threshold:	0.9995
				Signal contamination test connected to background contamination threshold	false
				Ignored percentage flag	true	Threshold:	25.0
				Open perimeter flag	true	Threshold:	25.0
				Shape regularity flag	true	Threshold:	0.6
				Area To Perimeter Ratio flag	false	Threshold:	0.65
				Offset flag	true	Threshold:	60.0
			End Poor Spots Parameters
			Negative Spots	true
		End Flagging Settings
		Begin Flagged spots
			# of Empty Spots: 2503
			# of Poor Spots: 116
			# of Negative Spots: 12
			# of Manually Flagged Spots: 0
		End Flagged spots
		
	End Quality Flags
End Header
Begin Raw Data
	Field	Meta Row	Meta Column	Row	Column	Gene ID	Flag	Signal Mean	Background Mean	Signal Median	Background Median	Signal Mode	Background Mode	Signal Area	Background Area	Signal Total	Background Total	Signal Stdev	Background Stdev	Shape Regularity	Ignored Area	Spot Area	Ignored Median	Area To Perimeter	Open Perimeter	XCoord	YCoord	Diameter	Position offset	Offset X	Offset Y	Expected X	Expected Y	CM-X	CM-Y	CM Offset	CM Offset-X	CM Offset-Y	Min Diam	Max Diam	Control	Failed Control	Background contamination present	Signal contamination present	Ignored % failed	Open perimeter failed	Shape regularity failed	Perim-to-area failed	Offset failed	Empty spot	Negative spot	Selected spot	Saturated spot
	A	1	1	2	12	ORF00888	0	1099.7934	437.4498	996.0	391.0	973.9677	328.9793	92.0	369.0	101181.0	161419.0	402.6055	245.3567	0.8214	1.0	93.0	2533.0	1.0	0.0	376.5	171.5	11.0	0.779	-0.7431	-0.2337	377.2431	171.7337	377.0869	171.5434	0.2462	-0.1562	-0.1902	10.7432	11.1262		0	0	0	0	0	0	0	0	1	0	0	0
	A	1	1	2	13	ORF00291	0	11216.0732	453.932	11881.0	394.0	11898.0498	318.5437	109.0	353.0	1222552.0	160238.0	3734.945	269.6351	0.7077	0.0	109.0	0.0	1.0	0.0	397.5	171.5	11.0	0.2788	-0.2465	-0.1302	397.7465	171.6302	397.6422	171.4036	0.2494	-0.1043	-0.2265	10.9141	12.9129		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	14	ORF00248	0	14832.1074	509.1239	15990.0	453.0	20626.4804	379.7954	121.0	363.0	1794685.0	184812.0	7039.0502	294.3044	0.796	0.0	121.0	0.0	1.0	0.0	418.5	171.5	11.0	0.194	0.1922	-0.0264	418.3077	171.5264	419.0991	172.1239	0.9916	0.7914	0.5974	11.7844	13.2409		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	15	ORF00209	0	13201.2265	493.5052	13325.5	428.5	13475.1113	345.4041	106.0	378.0	1399330.0	186545.0	4255.624	298.5253	0.6883	0.0	106.0	0.0	1.0	0.0	440.5	171.5	11.0	0.944	0.9405	0.0808	439.5594	171.4191	440.7735	171.3113	1.2189	1.2141	-0.1078	10.8105	12.689		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	16	ORF00166	3	14406.0156	477.8511	14729.0	414.0	16765.0585	286.1475	126.0	336.0	1815158.0	160558.0	7064.4116	337.2313	0.8181	0.0	126.0	0.0	1.0	0.0	461.5	170.5	11.0	1.1084	0.7543	-0.8122	460.7456	171.3122	461.2857	170.6984	0.8175	0.54	-0.6138	12.5374	12.9634		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	17	ORF00287	0	4655.3671	453.9862	4626.0	383.0	4671.1313	362.1003	98.0	363.0	456226.0	164797.0	1531.0229	411.7975	0.6363	1.0	99.0	8105.0	1.0	0.0	481.5	171.5	11.0	0.6366	0.5669	0.2896	480.933	171.2103	481.6836	171.2755	0.7534	0.7506	0.0651	10.398	12.2214		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	18	ORF00246	0	16483.248	562.1656	16760.0	430.0	20038.8457	487.4338	109.0	332.0	1796674.0	186639.0	7024.1381	790.1522	0.6987	0.0	109.0	0.0	1.0	0.0	502.5	170.5	11.0	0.6266	-0.1788	-0.6005	502.6788	171.1005	502.6422	170.9174	0.1867	-0.0365	-0.1831	11.3778	12.2933		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	1	ORF01523	0	2819.2041	427.7609	2648.0	379.5	2743.4074	333.6283	98.0	364.0	276282.0	155705.0	1000.3364	280.4024	0.9074	0.0	98.0	0.0	1.0	0.0	146.5	193.5	11.0	0.1531	0.1378	-0.0667	146.3621	193.5667	146.0	193.5	0.3682	-0.3621	-0.0667	10.726	11.7398		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	2	ORF01481	0	4291.6347	428.2132	4312.0	376.0	4455.184	315.7835	115.0	347.0	493538.0	148590.0	1300.1958	312.9918	0.7615	0.0	115.0	0.0	1.0	0.0	167.0	194.0	12.0	0.9149	-0.7377	0.5411	167.7377	193.4588	167.1652	193.9652	0.7643	-0.5725	0.5063	11.3649	13.0098		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	3	ORF01597	0	4218.7202	448.3618	4138.5	361.0	4562.4072	343.0838	100.0	362.0	421872.0	162307.0	1410.1123	441.4252	0.6451	0.0	100.0	0.0	1.0	0.0	188.5	193.5	11.0	0.596	0.5786	0.143	187.9213	193.3569	188.69	193.52	0.7857	0.7686	0.163	10.7397	12.054		0	0	0	0	0	0	0	0	0	0	0	0
