CRUISEINFO ,,,,,,,,,,
90,COUNTRY CODE,RUSSIA,,,,,,,,
224,PROJECT,DATA ARCHAEOLOGY AND RESCUE,,,,,,,,
1037,INSTITUTE,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
,PLATFORM,,,,,,,,,
,CRUISE,,,,,,,,,
,REFERENCE,,,,,,,,,
1037,COUNTING,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
1037,VOUCHER,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
,NUMBER,,,,,,,,,

STATION,5130,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,1,18,1975

HEADERS,,, , , ,,,,,
,50,0.4,28.8,8,21,0,AGLANTHA DIGITALE
,65,0.3,28.8,0,0,0,ASCIDIA Larvae
,,,,100,20,1,BIVALVIA larvae
,,,,0,0,3,CALANUS GLACIALIS   Male  Cop 6
,,,,0,0,6,CALANUS GLACIALIS   Cop 5
,,,,10,13,5,CALANUS GLACIALIS   Cop 4
,,,,90,134,7,CALANUS GLACIALIS   Cop 3
,,,,200,19,8,CALANUS GLACIALIS   Cop 2
,,,,200,67,3,CALANUS GLACIALIS   Cop 1
,,,,100,67,3,CALANUS GLACIALIS   Naup 
,,,,10,0,0,CENTROPAGES HAMATUS   Female  Cop 6
,,,,100,0,0,CENTROPAGES HAMATUS   Cop 
,,,,100,0,0,CENTROPAGES HAMATUS   Juv
,,,,0,1,1,CENTROPAGES HAMATUS   Naup 
,,,,0,1,0,CIRRIPEDIA  Naup 
,,,,300,2,1,ECHINODERMATA Larvae
,,,,30,3,1,EVADNE NORDMANNI
,,,,700,200,1,FRITILLARIA BOREALIS
,,,,200,67,5,GASTROPODA Larvae
,,,,0,0,2,METRIDIA LONGA   Female  Cop 6
,,,,0,0,1,METRIDIA LONGA   Male  Cop 6
,,,,0,0,2,METRIDIA LONGA   Cop 5
,,,,0,0,4,METRIDIA LONGA   Cop 4
,,,,0,0,1,METRIDIA LONGA   Cop 3
,,,,0,2,0,METRIDIA LONGA   Cop 2
,,,,0,3,5,METRIDIA LONGA   Cop 1
,,,,100,200,175,METRIDIA LONGA   Naup 
,,,,3,7,1,MICROSETELLA NORVEGICA
,,,,3,7,1,MICROSETELLA NORVEGICA   Cop 
,,,,0,3,1,OICOPLEURA VANHOFFENIS
,,,,1200,2948,275,OITHONA SIMILIS   Female  Cop 6
,,,,100,134,25,OITHONA SIMILIS   Male  Cop 6
,,,,400,200,25,OITHONA SIMILIS   Cop 
,,,,100,7,0,OITHONA SIMILIS   Juv 
,,,,400,3,1,OITHONA SIMILIS   Naup 
,,,,300,200,550,ONCAEA BOREALIS   Female  Cop 6
,,,,10,134,125,ONCAEA BOREALIS   Male  Cop 6
,,,,200,1541,250,ONCAEA BOREALIS   Cop 
,,,,1400,737,5,PARAFAVELLA DENTICULATA
,,,,10,0,0,PODON LEUCKARTI
,,,,100,20,50,POLYCHAETA Larvae,,,
,,,,10,7,25,PSEUDOCALANUS MINUTUS   Female  Cop 6,,,
,,,,0,0,5,PSEUDOCALANUS MINUTUS   Male  Cop 6,,,
,,,,300,536,1475,PSEUDOCALANUS MINUTUS   Cop 5,,,
,,,,300,400,500,PSEUDOCALANUS MINUTUS   Cop 4,,,
,,,,300,871,600,PSEUDOCALANUS MINUTUS   Cop 3,,,
,,,,500,1474,975,PSEUDOCALANUS MINUTUS   Cop 2,,,
,,,,1100,3551,600,PSEUDOCALANUS MINUTUS   Cop 1,,,
,,,,800,1474,150,PSEUDOCALANUS MINUTUS   Naup ,,,
,,,,300,140,7,SAGITTA ELEGANS,,,
,,,,5,0,0,TEMORA LONGICORNIS   Female  Cop 6,,,
,,,,200,0,0,TEMORA LONGICORNIS   Cop ,,,
,,,,200,0,0,TEMORA LONGICORNIS   Juv,,,
STATION,5284,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,6,21,1975

HEADERS,,, , , ,,
LAT END,66,19.5,,N,,,
LONG END,33,39.4,,E,,,
BOTTOM DEPTH,65,m,,,,,
GEAR,Juday Net (Tropical or Large),,,,,,
MESH SIZE,0.168,MM,,,,,
MOUTH AREA,0.1,M2,,,,,
MOUTH DIAM,0.36,M,,,,,
PRESERVATIVE,FORMALIN,,,,,,

DETAILS,DEPTH,TEMP,SAL,TAX CNT B0-10,TAX CNT B10-25,TAX CNT B25-65,TAX NAME
units,m,C,psu,#/M3,#/M3,#/M3,
decimal places,0,1,1,0,0,0,Name
,0,9.1,26.1,200,0,1,ACARTIA LONGIREMIS   Female  Cop 6
,5,8.6,26.3,200,0,0,ACARTIA LONGIREMIS   Male  Cop 6
,10,5,27,30,0,0,ACARTIA LONGIREMIS   Cop 
,15,3.9,27.6,200,3,1,ACARTIA LONGIREMIS   Juv 
,25,2.8,28.3,0,7,1,ACARTIA LONGIREMIS   Naup 
,50,1,28.4,6,2,1,AGLANTHA DIGITALE
,65,0.9,28.4,0,0,0,ASCIDIA Larvae
,,,,700,200,52,BIVALVIA larvae
