"State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"AR","NNACV","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.11386","0.14851","0.19282","0.30092","0.42675","0.49953","0.66594","0.96471","0.55831","0.81348","1.18509","0.10735","0.09788"
"AR","NNCCD","0.52355","0.54501","0.56839","0.61839","0.75826","0.89514","1.02177","1.58148","1.62582","2.22371","2.28967","2.82925","3.63971","4.08975","4.10077","4.06438","4.33149","4.20741","4.31099","4.36012","4.42532","4.27910","4.35137","4.36127","4.48531","3.76958","4.56366","5.15805","5.03488","5.28534","5.30991","7.69808","6.69192","7.29483","8.47660","10.14259","10.35559"
"AR","NNCCV","20.58896","16.87096","18.45100","20.85195","23.46813","29.65200","34.60894","54.70914","56.22786","75.53805","69.85701","79.63345","106.80098","115.79390","121.14194","110.46692","109.50795","104.80884","119.16346","119.39299","112.05144","113.04137","110.89960","128.05393","125.60474","112.04869","145.23013","153.97640","144.79852","150.09029","179.50464","249.84230","232.14018","243.49125","264.21267","321.50928","335.38878"
"AR","NNEID","0.25398","0.28187","0.30142","0.35300","0.40200","0.61100","0.79100","0.96800","1.10300","1.71210","2.15500","2.68700","2.99200","3.21100","3.37300","2.82300","1.55900","1.52200","1.35000","1.65400","1.54000","1.40900","1.53200","2.20500","1.82300","1.69700","2.46600","2.61910","2.24020","2.53040","4.37520","4.29030","3.53225","4.23446","6.02175","8.34848","6.20623"
"AR","NNEIV","27.39818","24.46035","22.17284","17.38852","16.11365","19.65447","12.79790","7.02503","8.12263","53.14454","130.14527","150.94451","103.26205","110.58433","87.31088","33.98372","46.66347","50.30267","30.66574","49.71429","50.29160","40.09432","42.42271","48.04693","46.62155","56.64077","85.80420","66.59041","92.64807","103.95387","154.40896","116.13836","152.32439","246.33437","248.45175","420.79852","453.33587"
"AR","NNICD","0.28386","0.30677","0.34595","0.39581","0.48140","0.67535","0.81635","1.19305","1.15592","1.21287","2.23569","2.77546","3.25404","3.55553","3.81189","3.64786","3.40418","3.10123","3.03954","3.07738","2.85825","3.01012","3.10883","3.26897","3.21008","2.56346","3.19573","3.65896","3.39562","3.38930","5.13324","6.29663","5.35353","6.60053","7.68252","9.38687","9.18672"
"AR","NNICV","40.68823","43.31486","48.55029","68.18268","72.78540","82.27015","106.49688","148.25792","129.12039","138.65017","265.77715","311.35582","297.14131","282.88690","319.21058","314.54031","270.61885","146.04336","276.65217","350.28992","303.02688","279.68847","320.84175","335.60803","372.48545","325.40523","396.13278","466.73184","411.14913","407.10516","593.80281","677.92469","584.69931","677.58921","716.88404","725.91356","720.56251"
"AR","NNRCD","0.75099","0.78386","0.82687","0.87379","1.06309","1.12157","1.23205","1.94105","1.96158","1.54463","2.48839","3.05656","3.84193","4.31885","4.29214","4.35463","4.76995","4.57284","4.77785","4.82820","5.06247","4.89489","5.06352","5.31036","5.59024","5.05408","5.76887","6.57823","6.68390","7.09296","7.29254","9.89894","8.49541","9.82471","11.22241","13.57318","13.66899"
"AR","NNRCV","45.08281","38.35580","39.18877","42.62591","46.75691","54.17378","60.54993","97.13320","93.95703","78.27999","115.85885","130.18177","171.68712","188.59817","200.73400","177.94311","186.23788","185.45467","206.19048","205.12805","199.89748","202.21965","201.24033","244.89531","237.20089","225.30762","274.07492","282.99135","261.60150","261.68728","314.73888","373.14094","350.21036","392.48132","407.73866","458.71273","445.64907"
"AR","NNTCD","0.38154","0.39954","0.43697","0.49026","0.59774","0.78904","0.93382","1.42082","1.42608","1.50263","2.26900","2.81108","3.39686","3.75229","3.91748","3.82988","3.52815","3.34190","3.42855","3.38955","3.26942","3.35822","3.44377","3.78429","3.68755","3.06633","3.78539","4.29630","3.95203","4.07493","5.45120","6.91675","5.77936","6.66061","8.10100","9.97216","9.03091"
