 485799.85 2836603.13   -0.11 AB11A11300 20020509Y
 485364.93 2836597.01   -0.46 AB11A11300 20020509Y
 484837.93 2836571.66    0.02 AB11A11300 20020509Y
 484579.15 2836616.51   -0.23 AB11A11300 20020509Y
 484224.45 2836604.91   -0.06 AB11A11300 20020509Y
 483788.20 2836602.19    0.06 AB11A11300 20020509Y
 483394.20 2836603.58   -0.10 AB11A11300 20020509Y
 482905.79 2836599.45   -0.07 AB11A11300 20020509Y
 482617.09 2836600.13   -0.14 AB11A11300 20020509Y
 482211.62 2836610.09    0.17 AB11A11300 20020509Y
 481797.56 2836596.58    0.05 AB11A11300 20020509Y
 481410.91 2836603.77   -0.01 AB11A11300 20020509Y
 480999.26 2836599.36   -0.07 AB11A11300 20020509Y
 480599.65 2836604.20   -0.03 AB11A11300 20020509Y
 480190.60 2836602.27   -0.07 AB11A11300 20020509Y
 479812.95 2836614.25    0.10 AB11A11300 20020509Y
 479360.88 2836601.56   -0.05 AB11A11300 20020509Y
 478947.75 2836598.80   -0.13 AB11A11300 20020509Y
 478563.80 2836591.41   -0.16 AB11A11300 20020509Y
 478194.04 2836602.27   -0.39 AB11A11300 20020509Y
 477813.12 2836598.89   -0.24 AB11A11300 20020509Y
 477419.94 2836607.06   -0.21 AB11A11300 20020509Y
 477018.98 2836599.51   -0.12 AB11A11300 20020509Y
 476654.22 2836609.28   -0.15 AB11A11300 20020509Y
 476246.35 2836600.92   -0.45 AB11A11300 20020509Y
 475840.86 2836605.70   -0.25 AB11A11300 20020509Y
 475441.48 2836607.27   -0.18 AB11A11300 20020509Y
 475040.08 2836600.10   -0.01 AB11A11300 20020509Y
 487008.39 2837003.45   -0.28 AB13G11200 20020509Y
 486603.12 2836982.95   -0.12 AB13G11200 20020509Y
 486206.64 2837008.23   -0.29 AB13G11200 20020509Y
 485833.36 2836984.09   -0.24 AB13G11200 20020509Y
 485494.41 2836974.68   -0.32 AB13G11200 20020509Y
 485093.73 2836985.08   -0.40 AB13G11200 20020509Y
 484626.29 2836988.53   -0.12 AB13G11200 20020509Y
 484259.96 2836992.84   -0.15 AB13G11200 20020509Y
 483423.19 2837000.01   -0.28 AB13G11200 20020509Y
 483044.01 2836965.99   -0.19 AB13G11200 20020509Y
 482643.34 2836975.71   -0.44 AB13G11200 20020509Y
 482359.57 2836992.79   -0.12 AB13G11200 20020509Y
 482128.34 2836990.43   -0.33 AB13G11200 20020509Y
 481822.57 2836980.97   -0.16 AB13G11200 20020509Y
 481442.23 2836983.74   -0.44 AB13G11200 20020509Y
 481134.99 2837024.63   -0.33 AB13G11200 20020509Y
 480587.60 2836969.65   -0.12 AB13G11200 20020509Y
 480186.76 2836999.32   -0.24 AB13G11200 20020509Y
 479781.02 2836981.36   -0.01 AB13G11200 20020509Y
 479421.69 2837007.60   -0.12 AB13G11200 20020509Y
 479063.00 2837003.10   -0.15 AB13G11200 20020509Y
 478587.69 2837013.20   -0.50 AB13G11200 20020509Y
 478228.51 2837058.17   -0.35 AB13G11200 20020509Y
 477816.58 2836989.62   -0.40 AB13G11200 20020509Y
 477470.78 2836992.84   -0.52 AB13G11200 20020509Y
 477072.48 2836978.36   -0.44 AB13G11200 20020509Y
 476606.40 2836999.34   -0.35 AB13G11200 20020509Y
 476170.66 2837007.91   -0.42 AB13G11200 20020509Y
 475677.54 2836983.18   -0.89 AB13G11200 20020509Y
 475376.72 2837014.63   -0.32 AB13G11200 20020509Y
 475003.49 2836997.05   -0.24 AB13G11200 20020509Y
 487033.13 2837401.13   -0.18 AB15E11200 20020509Y
 486592.41 2837403.05   -0.23 AB15E11200 20020509Y
 486207.72 2837393.89   -0.11 AB15E11200 20020509Y
 485754.28 2837365.49   -0.08 AB15E11200 20020509Y
 485393.21 2837424.60   -0.24 AB15E11200 20020509Y
 484981.19 2837392.19   -0.10 AB15E11200 20020509Y
 484638.14 2837400.72    0.29 AB15E11200 20020509Y
 483369.61 2837390.83   -0.03 AB15E11200 20020509Y
 483012.17 2837412.77   -0.05 AB15E11200 20020509Y
 482015.63 2837469.16    0.09 AB15E11200 20020509Y
 481800.00 2837380.23   -0.03 AB15E11200 20020509Y
 481397.88 2837388.95    0.10 AB15E11200 20020509Y
 480882.92 2837418.37    0.03 AB15E11200 20020509Y
 480574.27 2837397.59    0.13 AB15E11200 20020509Y
 480174.37 2837417.80    0.09 AB15E11200 20020509Y
 479772.57 2837457.38    0.15 AB15E11200 20020509Y
 479425.71 2837400.01   -0.39 AB15F11200 20020509Y
 478995.58 2837400.23    0.01 AB15F11200 20020509Y
 478567.32 2837385.98   -0.03 AB15F11200 20020509Y
 478126.35 2837408.32   -0.28 AB15F11200 20020509Y
 477755.32 2837424.27   -0.10 AB15F11200 20020509Y
 476987.52 2837394.80   -0.22 AB15F11200 20020509Y
 476595.92 2837395.95   -0.34 AB15F11200 20020509Y
 476229.55 2837370.21   -0.22 AB15F11200 20020509Y
 475735.73 2837414.19   -0.47 AB15F11200 20020509Y
 475347.70 2837371.07   -0.07 AB15F11200 20020509Y
 474987.32 2837399.33   -0.11 AB15F11200 20020509Y
 487034.87 2837804.30   -0.42 AB17D11200 20020509Y
 486619.26 2837833.84   -0.29 AB17D11200 20020509Y
 486205.59 2837788.62   -0.18 AB17D11200 20020509Y
 485733.64 2837805.78   -0.32 AB17D11200 20020509Y
 485401.44 2837789.67   -0.14 AB17D11200 20020509Y
 484983.57 2837749.66   -0.27 AB17D11200 20020509Y
 483366.45 2837799.81    0.20 AB17D11200 20020509Y
 481382.19 2837805.85    0.01 AB17D11200 20020509Y
 480999.52 2837802.08    0.45 AB17D11200 20020509Y
 480454.69 2837826.08   -0.06 AB17D11200 20020509Y
 480047.52 2837804.33    0.06 AB17D11200 20020509Y
 479841.42 2837796.17   -0.17 AB17D11200 20020509Y
 479402.64 2837805.99    0.15 AB17D11200 20020509Y
 479003.65 2837800.63    0.06 AB17D11200 20020509Y
 478609.97 2837781.10   -0.54 AB17D11200 20020509Y
 478201.08 2837830.56   -0.07 AB17D11200 20020509Y
 477745.00 2837794.98   -0.27 AB17D11200 20020509Y
 477397.91 2837817.40   -0.23 AB17D11200 20020509Y
 477004.44 2837830.94   -0.12 AB17D11200 20020509Y
 476527.86 2837787.44   -0.60 AB17D11200 20020509Y
 476202.89 2837799.15   -0.45 AB17D11200 20020509Y
 475803.00 2837819.98   -0.21 AB17D11200 20020509Y
 475454.38 2837793.34   -0.06 AB17D11200 20020509Y
 474947.90 2837833.45   -0.59 AB17D11200 20020509Y
 487041.87 2838203.56   -0.17 AB19C11200 20020509Y
 486582.32 2838198.07   -0.27 AB19C11200 20020509Y
 486227.87 2838196.77   -0.22 AB19C11200 20020509Y
 485757.23 2838177.91   -0.35 AB19C11200 20020509Y
 485408.88 2838204.99   -0.26 AB19C11200 20020509Y
 485029.92 2838206.31   -0.20 AB19C11200 20020509Y
 484554.36 2838202.16   -0.36 AB19C11200 20020509Y
 483810.25 2838198.68   -0.10 AB19C11200 20020509Y
 483365.38 2838198.34   -0.15 AB19C11200 20020509Y
 481401.75 2838190.11   -0.17 AB19C11200 20020509Y
 481005.03 2838188.48   -0.12 AB19C11200 20020509Y
 480612.79 2838206.55   -0.01 AB19C11200 20020509Y
 480215.11 2838190.46    0.03 AB19C11200 20020509Y
 479788.22 2838178.86   -0.12 AB19C11200 20020509Y
 479347.35 2838199.71   -0.04 AB19C11200 20020509Y
 479009.28 2838200.95   -0.06 AB19C11200 20020509Y
 478593.99 2838198.05   -0.07 AB19C11200 20020509Y
 478200.09 2838199.33   -0.20 AB19C11200 20020509Y
 477744.89 2838210.34   -0.24 AB19C11200 20020509Y
 477392.48 2838201.13   -0.17 AB19C11200 20020509Y
 476960.66 2838197.11   -0.36 AB19C11200 20020509Y
 476602.63 2838198.78   -0.33 AB19C11200 20020509Y
 476219.29 2838216.75   -0.26 AB19C11200 20020509Y
 475802.64 2838220.07   -0.23 AB19C11200 20020509Y
 475344.44 2838187.96   -0.54 AB19C11200 20020509Y
 474932.04 2838201.81   -0.24 AB19C11200 20020509Y
 486551.69 2838602.27   -0.15 AB21A11200 20020509Y
 486190.76 2838614.90   -0.17 AB21A11200 20020509Y
 485804.25 2838593.09   -0.09 AB21A11200 20020509Y
 485397.15 2838606.77   -0.13 AB21A11200 20020509Y
 485010.54 2838601.81   -0.17 AB21A11200 20020509Y
 484579.71 2838609.56   -0.16 AB21A11200 20020509Y
 484182.56 2838642.74   -0.08 AB21A11200 20020509Y
 481429.70 2838607.95    0.11 AB21A11200 20020509Y
 480916.15 2838603.32   -0.06 AB21A11200 20020509Y
 480609.61 2838614.18   -0.11 AB21A11200 20020509Y
 480157.58 2838589.56   -0.09 AB21A11200 20020509Y
 479811.23 2838614.26    0.01 AB21A11200 20020509Y
 479391.53 2838587.47    0.26 AB21A11200 20020509Y
 478994.63 2838614.17    0.08 AB21A11200 20020509Y
 478577.49 2838589.06   -0.06 AB21A11200 20020509Y
 478209.23 2838609.18   -0.22 AB21A11200 20020509Y
 477755.82 2838592.60   -0.47 AB21A11200 20020509Y
 477374.80 2838591.66   -0.36 AB21A11200 20020509Y
 476969.47 2838616.30   -0.32 AB21A11200 20020509Y
 476619.39 2838601.90   -0.30 AB21A11200 20020509Y
 476194.99 2838595.91   -0.28 AB21A11200 20020509Y
 475779.58 2838612.98   -0.34 AB21A11200 20020509Y
 475414.31 2838604.66   -0.24 AB21A11200 20020509Y
 474999.48 2838609.05   -0.22 AB21A11200 20020509Y
 487015.30 2838997.78   -0.08 AB23A11200 20020509Y
 486597.00 2839004.95   -0.23 AB23A11200 20020509Y
 486187.39 2839006.85   -0.23 AB23A11200 20020509Y
 485811.95 2839001.98   -0.08 AB23A11200 20020509Y
 485369.29 2838994.76   -0.17 AB23A11200 20020509Y
 475008.39 2838998.93   -0.15 AB23C10800 20020509Y
 475421.27 2838998.82   -0.27 AB23C10800 20020509Y
 475819.57 2839003.34   -0.25 AB23C10800 20020509Y
 476221.11 2839002.38   -0.38 AB23C10800 20020509Y
 476599.08 2838999.07   -0.30 AB23C10800 20020509Y
 477017.73 2839011.61   -0.30 AB23C10800 20020509Y
 477427.94 2839010.01   -0.22 AB23C10800 20020509Y
 477836.50 2839003.65   -0.35 AB23C10800 20020509Y
 478725.74 2839002.85   -0.01 AB23C10800 20020509Y
 479008.17 2838994.82    0.07 AB23C10800 20020509Y
 479417.20 2838994.77    0.17 AB23C10800 20020509Y
 479806.85 2839003.02    0.08 AB23C10800 20020509Y
 480215.94 2838997.41    0.00 AB23C10800 20020509Y
 480611.26 2838995.88    0.02 AB23C10800 20020509Y
 481383.27 2838993.14    0.09 AB23C10800 20020509Y
 482766.07 2838995.33    0.30 AB23C10800 20020509Y
 483489.69 2838989.87    0.14 AB23C10800 20020509Y
 483803.95 2838996.74   -0.12 AB23C10800 20020509Y
 484261.97 2839004.20   -0.12 AB23C10800 20020509Y
 484648.85 2839004.92   -0.19 AB23C10800 20020509Y
 485025.00 2838992.88   -0.64 AB23C10800 20020509Y
 475021.77 2839401.48   -0.04 AB25B10800 20020509Y
 475452.03 2839395.21   -0.01 AB25B10800 20020509Y
 475868.14 2839402.69   -0.07 AB25B10800 20020509Y
 476260.37 2839395.42   -0.16 AB25B10800 20020509Y
 476606.65 2839399.58   -0.35 AB25B10800 20020509Y
 477076.70 2839403.08   -0.30 AB25B10800 20020509Y
 477477.93 2839397.76   -0.47 AB25B10800 20020509Y
 477849.33 2839399.51   -0.51 AB25B10800 20020509Y
 478216.68 2839400.31   -0.22 AB25B10800 20020509Y
 479008.84 2839388.44   -0.27 AB25B10800 20020509Y
 479417.54 2839401.60   -0.22 AB25B10800 20020509Y
 479822.02 2839394.11   -0.15 AB25B10800 20020509Y
 480224.45 2839398.68    0.11 AB25B10800 20020509Y
 480630.99 2839397.51   -0.10 AB25B10800 20020509Y
 481020.96 2839395.37    0.09 AB25B10800 20020509Y
 481412.06 2839394.53    0.02 AB25B10800 20020509Y
 481821.57 2839405.61    0.06 AB25B10800 20020509Y
