SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004
050,22,075,Louisiana,Plaquemines Parish,0,0,04,799,799,773,849,951,992,1020
050,22,075,Louisiana,Plaquemines Parish,0,0,05,23,23,10,10,15,15,13
050,22,077,Louisiana,Pointe Coupee Parish,0,0,01,14014,14014,13950,14005,13956,13952,13937
050,22,077,Louisiana,Pointe Coupee Parish,0,0,02,8686,8686,8738,8539,8528,8485,8513
050,22,077,Louisiana,Pointe Coupee Parish,0,0,03,97,97,45,54,55,53,61
050,22,077,Louisiana,Pointe Coupee Parish,0,0,04,77,77,62,59,62,63,65
050,22,077,Louisiana,Pointe Coupee Parish,0,0,05,4,4,0,0,0,0,0
050,22,079,Louisiana,Rapides Parish,0,0,01,85514,85514,85474,85308,85404,85669,85979
050,22,079,Louisiana,Rapides Parish,0,0,02,38963,38963,39108,39275,39509,39803,40072
050,22,079,Louisiana,Rapides Parish,0,0,03,1519,1519,1542,1564,1600,1640,1690
050,22,079,Louisiana,Rapides Parish,0,0,04,1291,1291,1268,1218,1251,1298,1346
050,22,079,Louisiana,Rapides Parish,0,0,05,100,100,53,51,50,50,53
050,22,081,Louisiana,Red River Parish,0,0,01,5627,5627,5578,5543,5462,5447,5431
050,22,081,Louisiana,Red River Parish,0,0,02,3966,3966,3991,3982,4080,4133,4140
050,22,081,Louisiana,Red River Parish,0,0,03,46,46,37,37,37,36,36
050,22,081,Louisiana,Red River Parish,0,0,04,26,26,14,9,9,13,17
050,22,081,Louisiana,Red River Parish,0,0,05,10,10,9,6,11,8,6
050,22,083,Louisiana,Richland Parish,0,0,01,12908,12908,12835,12909,12760,12724,12683
050,22,083,Louisiana,Richland Parish,0,0,02,8012,8012,8056,7934,7903,7793,7735
050,22,083,Louisiana,Richland Parish,0,0,03,86,86,50,48,55,58,61
050,22,083,Louisiana,Richland Parish,0,0,04,62,62,43,42,47,48,46
