"                   ","        YTD         "," ","        YTD         "," ","        YTD         "," ","        May         "," ","       April        "," ","       March        "," ","      February      "," ","      January       "," ","       Total        "," ","      December      "," ","      November      "," ","      October       "," ","     September      "," ","       August       "," ","        July        "," ","        June        "," ","        May         "," ","       April        "," ","       March        "," ","      February      "," ","      January       "," ","       Total        "," ","      December      "," ","      November      "," ","      October       "," ","     September      "," ","       August       "," ","        July        "," ","        June        "," ","        May         "," ","       April        "," ","       March        "," ","      February      "," ","      January       "," "
"North Carolina                          ","0","NA","0","NA","101784","  ","0","NA","0","NA","0","NA","25307","  ","31552","  ","0","NA","23571","  ","17722","  ","14203","  ","15533","  ","22340","  ","14212","  ","14044","  ","0","NA","17779","  ","21926","  ","30875","  ","26868","  ","218351","  ","22896","  ","18461","  ","14060","  ","11440","  ","19139","  ","17464","  ","13107","  ","13079","  ","15871","  ","23286","  ","23924","  ","25624","  ",
"North Dakota                            ","0","NA","18656","  ","16641","  ","0","NA","0","NA","0","NA","5695","  ","5074","  ","39017","  ","5659","  ","4445","  ","3314","  ","2414","  ","1543","  ","1176","  ","1809","  ","2618","  ","3419","  ","3417","  ","4571","  ","4631","  ","33304","  ","3672","  ","3833","  ","3340","  ","1770","  ","971","  ","1132","  ","1945","  ","2395","  ","2658","  ","3685","  ","4128","  ","3774","  ",
"Ohio                                    ","0","NA","433141","  ","374668","  ","0","NA","0","NA","0","NA","115086","  ","115030","  ","791821","  ","102823","  ","70153","  ","41994","  ","34725","  ","40583","  ","33433","  ","34970","  ","41870","  ","70534","  ","87828","  ","127941","  ","104968","  ","728861","  ","88329","  ","69951","  ","54845","  ","35048","  ","36307","  ","36271","  ","33443","  ","42766","  ","52957","  ","85732","  ","97666","  ","95548","  ",
"Oklahoma                                ","0","NA","239400","  ","218816","  ","0","NA","0","NA","0","NA","51401","  ","63059","  ","555901","  ","48707","  ","35653","  ","41716","  ","43139","  ","58247","  ","47319","  ","41720","  ","41145","  ","43195","  ","44188","  ","56597","  ","54275","  ","522310","  ","45867","  ","34408","  ","34992","  ","36892","  ","55815","  ","51472","  ","44047","  ","43246","  ","45270","  ","43081","  ","45067","  ","42152","  ",
"Oregon                                  ","0","NA","99065","  ","87682","  ","0","NA","0","NA","0","NA","29618","  ","31414","  ","233680","  ","29060","  ","23788","  ","18708","  ","16666","  ","17383","  ","15324","  ","13686","  ","12898","  ","15724","  ","17215","  ","25157","  ","28071","  ","214166","  ","26011","  ","19557","  ","19209","  ","17231","  ","16894","  ","16913","  ","10669","  ","10230","  ","12842","  ","22860","  ","21431","  ","20318","  ",
"Pennsylvania                            ","0","NA","360342","  ","316984","  ","0","NA","0","NA","0","NA","89500","  ","90844","  ","709788","  ","81978","  ","57295","  ","42833","  ","38216","  ","49548","  ","42603","  ","36974","  ","41676","  ","62867","  ","81440","  ","95997","  ","78362","  ","625620","  ","63941","  ","49703","  ","40867","  ","31545","  ","41471","  ","44307","  ","36803","  ","37224","  ","49039","  ","76877","  ","77324","  ","76519","  ",
"Rhode Island                            ","0","NA","39263","  ","33863","  ","0","NA","0","NA","0","NA","8538","  ","10135","  ","0","NA","9218","  ","5866","  ","6196","  ","0","NA","7620","  ","7037","  ","0","NA","5999","  ","7169","  ","8366","  ","9766","  ","7962","  ","76247","  ","6230","  ","5472","  ","6845","  ","5724","  ","5512","  ","6982","  ","5619","  ","5935","  ","5579","  ","7405","  ","6737","  ","8207","  ",
"South Carolina                          ","0","NA","73185","  ","68632","  ","0","NA","0","NA","0","NA","15102","  ","19240","  ","174309","  ","13762","  ","11625","  ","12468","  ","13301","  ","22610","  ","14538","  ","12819","  ","11321","  ","11607","  ","12266","  ","19594","  ","18397","  ","172506","  ","14246","  ","14061","  ","12902","  ","10930","  ","19755","  ","18401","  ","13578","  ","11535","  ","12013","  ","14881","  ","15594","  ","14609","  ",
"South Dakota                            ","0","NA","21405","  ","16514","  ","0","NA","0","NA","0","NA","6462","  ","6913","  ","0","NA","0","NA","4679","  ","3152","  ","2686","  ","3197","  ","3204","  ","2906","  ","2722","  ","3899","  ","3856","  ","5690","  ","5239","  ","34809","  ","4503","  ","3428","  ","2584","  ","1584","  ","1955","  ","2525","  ","1716","  ","1775","  ","2535","  ","3843","  ","4348","  ","4013","  ",
"Tennessee                               ","0","NA","113762","  ","109639","  ","0","NA","0","NA","0","NA","30267","  ","31423","  ","0","NA","0","NA","15190","  ","11495","  ","10931","  ","14004","  ","10352","  ","10500","  ","12870","  ","16129","  ","24207","  ","32556","  ","28000","  ","211641","  ","24667","  ","18367","  ","12080","  ","10759","  ","12341","  ","12430","  ","11358","  ","12057","  ","16623","  ","24451","  ","27754","  ","28754","  ",
"Texas                                   ","0","NA","1297714","  ","1224635","  ","0","NA","0","NA","0","NA","256065","  ","297368","  ","0","NA","259637","  ","222577","  ","244822","  ","265060","  ","344523","  ","0","NA","264553","  ","245582","  ","234464","  ","258010","  ","265816","  ","293842","  ","3067674","  ","249106","  ","215133","  ","236152","  ","247807","  ","316132","  ","297993","  ","280716","  ","261315","  ","247277","  ","247488","  ","231539","  ","237016","  ",
"Utah                                    ","0","NA","88024","  ","75473","  ","0","NA","0","NA","0","NA","25810","  ","27122","  ","172519","  ","18999","  ","14371","  ","10924","  ","10062","  ","9739","  ","9592","  ","10807","  ","12045","  ","13266","  ","16777","  ","22073","  ","23863","  ","152097","  ","19710","  ","13464","  ","9422","  ","8599","  ","8180","  ","8734","  ","8516","  ","8309","  ","13496","  ","16428","  ","17533","  ","19708","  ",
"Vermont                                 ","0","NA","5185","  ","4609","  ","0","NA","0","NA","0","NA","1222","  ","1206","  ","8863","  ","1159","  ","697","  ","424","  ","343","  ","332","  ","340","  ","382","  ","536","  ","916","  ","1251","  ","1376","  ","1105","  ","8041","  ","893","  ","658","  ","481","  ","347","  ","318","  ","318","  ","415","  ","501","  ","745","  ","1190","  ","1063","  ","1112","  ",
"Virginia                                ","0","NA","136049","  ","113312","  ","0","NA","0","NA","0","NA","32019","  ","37665","  ","0","NA","34505","  ","0","NA","21069","  ","20735","  ","0","NA","23008","  ","0","NA","14851","  ","20416","  ","27485","  ","39463","  ","33833","  ","264662","  ","26888","  ","21585","  ","16941","  ","13244","  ","27750","  ","26870","  ","18071","  ","13134","  ","15279","  ","26903","  ","30986","  ","27010","  ",
"Washington                              ","0","NA","119866","  ","111011","  ","0","NA","0","NA","0","NA","36383","  ","0","NA","269940","  ","32456","  ","26946","  ","24675","  ","18859","  ","17905","  ","16213","  ","13021","  ","15390","  ","19161","  ","23056","  ","28684","  ","33574","  ","256340","  ","31558","  ","24231","  ","22942","  ","19953","  ","18487","  ","15757","  ","12401","  ","14131","  ","18361","  ","24614","  ","27834","  ","26071","  ",
"West Virginia                           ","0","NA","48716","  ","44337","  ","0","NA","0","NA","0","NA","11479","  ","11824","  ","89555","  ","10544","  ","7756","  ","5027","  ","4591","  ","5144","  ","3997","  ","3780","  ","4501","  ","7336","  ","12070","  ","13510","  ","11299","  ","85499","  ","9202","  ","7860","  ","5877","  ","4122","  ","4899","  ","4982","  ","4220","  ","5534","  ","6693","  ","10154","  ","10984","  ","10973","  ",
"Wisconsin                               ","0","NA","207182","  ","181221","  ","0","NA","0","NA","0","NA","58769","  ","62096","  ","391930","  ","52058","  ","35685","  ","22573","  ","17201","  ","21751","  ","18199","  ","17280","  ","19391","  ","32451","  ","40914","  ","61138","  ","53288","  ","369283","  ","44483","  ","36227","  ","31566","  ","18038","  ","19919","  ","20221","  ","17607","  ","20527","  ","24331","  ","42628","  ","49036","  ","44700","  ",
"Wyoming                                 ","0","NA","31752","  ","30743","  ","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","3865","  ","3770","  ","4119","  ","4792","  ","5314","  ","6697","  ","7155","  ","7794","  ","64289","  ","6852","  ","5793","  ","5054","  ","3847","  ","3968","  ","4014","  ","4020","  ","4670","  ","5300","  ","6852","  ","6724","  ","7196","  ",
"Total                                  ","10109606","E ","9718523","  ","8905027","  ","1489115","E ","1685347","RE","2079203","RE","2319583","R","2536358","  ","21266707","R","2224590","  ","1677348","  ","1488807","  ","1448345","R","1781613","R","1517959","R","1409521","R","1413088","R","1654538","  ","1956997","  ","2400419","  ","2293481","  ","19944731","  ","1962735","  ","1619476","  ","1499486","  ","1325987","  ","1605589","  ","1613214","  ","1413217","  ","1388506","  ","1541400","  ","1969353","  ","1997127","  ","2008641","  ",
