NASA Ames Airborne Tracking 6-Channel Sunphotometer, AATS-6
ACE-Asia  4/12/2001
Date processed: 09-Nov-2002 by Jens Redemann, Version 4.0
This file contains aerosol optical depth, extinction, averaged vertically over  20.000  m, smoothed by aero_smooth =    0.990 
intervals; time period:   1.235 to  1.638 UT
NO2 [molec/cm2]: 2e+015
O3 [DU]: 343
Relative Std Dev Filter Aerosol[%]: 0.8
Relative Std Dev Filter H2O [%]: 5.0
Max m_aero: Inf
Max tau_aero: 3.0
Max tau_aero error: Inf
Min Alpha Angstrom: -0.03
H2O smoothing parameter: 0.99
aerosol wavelengths [10^-6 m]  0.380  0.451  0.526  1.021 
UT[h]     Lat[deg] Long[deg] RAF_ref_Altitude[km] p[hPa]  CWV[cm] Err[cm] D[g/m3] Err[g/m3] D_is[g/m3]
01.40139  33.41656 126.90823   4.340  582.38  0.0052  0.1023  0.0889  0.0055   0.0990
01.40014  33.41700 126.91389   4.362  580.59  0.0051  0.1023  0.0965  0.0054   0.0901
01.39889  33.41744 126.91956   4.385  578.77  0.0033  0.1017  0.1029  0.0034   0.0802
01.39806  33.41773 126.92333   4.401  577.48  0.0052  0.1023  0.1070  0.0052   0.0740
01.39722  33.41801 126.92712   4.418  576.17  0.0074  0.1029  0.1115  0.0070   0.0702
01.39597  33.41843 126.93282   4.444  574.20  0.0079  0.1031  0.1183  0.0074   0.0679
01.39472  33.41884 126.93852   4.469  572.22  0.0038  0.1019  0.1238  0.0036   0.0670
01.39389  33.41910 126.94233   4.486  570.95  0.0040  0.1019  0.1264  0.0038   0.0669
01.39306  33.41936 126.94615   4.502  569.71  0.0050  0.1022  0.1284  0.0049   0.0668
01.39139  33.41989 126.95382   4.532  567.46  0.0016  0.1010  0.1310  0.0018   0.0665
01.39056  33.42016 126.95768   4.547  566.28  0.0064  0.1027  0.1319  0.0072   0.0660
01.38972  33.42042 126.96155   4.563  565.02  0.0064  0.1027  0.1328  0.0066   0.0653
01.38889  33.42068 126.96543   4.581  563.68  0.0060  0.1025  0.1328  0.0054   0.0642
01.38806  33.42093 126.96932   4.600  562.21  0.0017  0.1011  0.1307  0.0015   0.0629
01.38722  33.42118 126.97321   4.619  560.68  0.0009  0.1007  0.1264  0.0008   0.0614
01.38639  33.42143 126.97710   4.639  559.16  0.0007  0.1006  0.1203  0.0006   0.0607
01.38556  33.42167 126.98100   4.659  557.72  0.0005  0.1004  0.1133  0.0004   0.0596
01.38472  33.42191 126.98490   4.676  556.17  0.0024  0.1013  0.1069  0.0022   0.0595
01.38389  33.42216 126.98882   4.695  554.75  0.0023  0.1013  0.1005  0.0021   0.0596
01.38264  33.42253 126.99469   4.723  552.65  0.0014  0.1009  0.0912  0.0013   0.0597
01.38139  33.42293 127.00057   4.751  550.46  0.0015  0.1010  0.0826  0.0013   0.0599
