"State","MSN","2007"
"WA","JFTCV","1871.63638"
"WI","JFACB","12629.87369"
"WI","JFACD","15.97778"
"WI","JFACP","2227.49095"
"WI","JFACV","201.79734"
"WI","JFTCB","12629.87369"
"WI","JFTCD","15.97778"
"WI","JFTCP","2227.49095"
"WI","JFTCV","201.79734"
"WV","JFACB","1336.08322"
"WV","JFACD","15.95556"
"WV","JFACP","235.64078"
"WV","JFACV","21.31796"
"WV","JFTCB","1336.08322"
"WV","JFTCD","15.95556"
"WV","JFTCP","235.64078"
"WV","JFTCV","21.31796"
"WY","JFACB","2142.60409"
"WY","JFACD","16.42222"
"WY","JFACP","377.88432"
"WY","JFACV","35.18632"
"WY","JFTCB","2142.60409"
"WY","JFTCD","16.42222"
"WY","JFTCP","377.88432"
"WY","JFTCV","35.18632"
